Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
            0, -0.0011014736956, 0.201118409634, 0.148498013616, 61.9425926208, -12.7095565796, 5092.75683594, -4.36895799637, -0.514416337013
        0.001, -0.00151937850751, 0.200609773397, 0.147746995091, 56.5367012024, -16.7905254364, 5092.67871094, -4.3161239624, -0.336936473846
        0.002, -0.00190444639884, 0.200435996056, 0.147526606917, 49.4099388123, -20.818157196, 5092.59082031, -4.27962493896, -0.165288165212
        0.003, -0.00225410982966, 0.200268477201, 0.147309854627,  40.979133606, -24.7623443604, 5092.50927734, -4.24385929108, 0.00300468015485
        0.004, -0.00256400811486, 0.200106963515, 0.147096693516, 31.4527816772, -28.6250629425, 5092.43505859, -4.20881128311, 0.168041422963
        0.005, -0.00283068604767, 0.199951127172, 0.146886974573, 21.0486068726, -32.408164978, 5092.36914062, -4.17446374893, 0.329905718565
        0.006, -0.00305160391144, 0.19980058074, 0.146680548787, 9.98912715912, -36.1134033203,     5092.3125, -4.14079999924, 0.488666594028
        0.007, -0.00322513631545, 0.19965493679, 0.146477296948, -1.50243091583, -39.7424201965, 5092.26660156, -4.10780477524, 0.644380033016
        0.008, -0.00335055380128, 0.199570596218, 0.146280109882, -13.2060785294, -43.297039032, 5092.23144531, -4.07555150986, 0.797080457211
        0.009, -0.00342800840735, 0.199432000518, 0.146082744002, -24.9086494446, -46.7787780762, 5092.20800781, -4.04384183884, 0.946849226952
         0.01, -0.0034584668465, 0.199297294021, 0.145888268948, -36.4073524475, -50.1887168884, 5092.19628906, -4.01275920868, 1.09367835522
        0.011, -0.00344367162324, 0.199166089296, 0.145696565509, -47.5127182007, -53.5281829834, 5092.19628906, -3.98229169846, 1.23759138584
        0.012, -0.0033860723488, 0.199037969112, 0.145507588983, -58.0513076782, -56.7984580994, 5092.20849609, -3.95242619514,  1.3786085844
        0.013, -0.00328875053674, 0.198912575841, 0.145321249962, -67.8679962158, -60.0007820129, 5092.23144531, -3.92315173149, 1.51674854755
        0.014, -0.00315533881076, 0.198789522052, 0.145137488842, -76.8278045654, -63.1363487244,   5092.265625, -3.8944568634, 1.65202987194
        0.015, -0.00298993196338, 0.198668524623, 0.144956275821, -84.8173217773, -66.2063217163, 5092.31005859, -3.86633062363, 1.78447163105
        0.016, -0.00279699638486, 0.198549240828, 0.144777536392, -91.7456665039, -69.2118377686, 5092.36425781, -3.83876299858, 1.91409480572
        0.017, -0.00258127669804, 0.198431447148, 0.144601255655, -97.5450210571, -72.154006958, 5092.42675781, -3.81174349785, 2.04092240334
        0.018, -0.00234770076349, 0.198314920068, 0.144427388906, -102.170722961, -75.0339508057, 5092.49755859, -3.78526210785, 2.16498041153
        0.019, -0.00210128631443, 0.19819945097, 0.144255906343, -105.600982666, -77.8527450562, 5092.57421875, -3.75930905342,  2.2862970829
         0.02, -0.0018470515497, 0.198084920645, 0.144086793065, -107.836181641, -80.6114883423, 5092.65673828, -3.73387479782, 2.40490460396
        0.021, -0.00158992654178, 0.197971239686, 0.14392003417, -108.897895813, -83.3112716675, 5092.74365234, -3.70894980431, 2.52083730698
        0.022, -0.00133467325941, 0.197858318686, 0.143755599856, -108.827507019, -85.9531784058, 5092.83398438, -3.68452453613, 2.63413333893
        0.023, -0.0010858096648, 0.197746142745, 0.143593490124, -107.684616089, -88.5383071899, 5092.92626953, -3.66058945656, 2.74483418465
        0.024, -0.000847541901749, 0.197634726763, 0.14343367517, -105.545188904, -91.0677490234, 5093.01904297, -3.63713550568, 2.85298418999
        0.025, -0.000623704807367, 0.197524100542, 0.143276154995, -102.499473572, -93.5426177979, 5093.11181641, -3.61415314674,  2.9586315155
        0.026, -0.000417711184127, 0.19741435349, 0.143120914698, -98.6498260498, -95.9640350342,   5093.203125, -3.59163331985, 3.06182742119
        0.027, -0.000232510326896, 0.197305560112, 0.142967954278, -94.1083602905, -98.3331069946, 5093.29199219, -3.56956672668, 3.16262698174
        0.028, -7.05566199031e-05, 0.197197854519, 0.142817243934, -88.9945678711, -100.650985718, 5093.37792969, -3.54794359207,  3.2610886097
        0.029, 6.62121456116e-05, 0.197091370821, 0.142668768764, -83.4328994751, -102.918800354, 5093.45947266, -3.52675485611,  3.3572742939
         0.03, 0.000176386369276, 0.19698625803, 0.142522543669, -77.5503311157, -105.137702942, 5093.53662109, -3.50599122047, 3.45124936104
        0.031, 0.000259086489677, 0.196882665157, 0.142378509045, -71.4740524292, -107.308837891, 5093.60791016, -3.48564338684, 3.54308223724
        0.032, 0.00031395550468, 0.196780756116, 0.142236679792, -65.3292007446, -109.433349609, 5093.67382812, -3.46570158005, 3.63284349442
        0.033, 0.000341142411344, 0.19668070972, 0.142097011209, -59.2367401123, -111.512397766, 5093.73291016, -3.44615697861, 3.72060608864
        0.034, 0.000341277453117, 0.196582689881, 0.141959473491, -53.3115005493, -113.547111511, 5093.78613281, -3.42699980736, 3.80644464493
        0.035, 0.000315439974656, 0.196486830711, 0.141824066639, -47.6604270935, -115.538619995, 5093.83251953, -3.40822124481, 3.89043402672
        0.036, 0.000265119422693, 0.196393296123, 0.141690731049, -42.381023407, -117.488044739, 5093.87207031, -3.38981199265, 3.97264909744
        0.037, 0.000192171137314, 0.196302220225, 0.141559451818, -37.5600547791, -119.396469116, 5093.90527344, -3.37176299095, 4.05316400528
        0.038, 9.8767101008e-05, 0.196213707328, 0.141430184245, -33.2724761963, -121.264961243, 5093.93164062, -3.35406565666, 4.13205003738
        0.039, -1.26563963931e-05, 0.196127861738, 0.141302883625, -29.5806255341, -123.094558716, 5093.95263672, -3.33671140671, 4.20937633514
         0.04, -0.00013945371029, 0.196044787765, 0.141177520156, -26.5336933136, -124.886276245, 5093.96728516, -3.31969189644, 4.28520822525
        0.041, -0.000278826046269, 0.195964515209, 0.141054049134, -24.1674213409, -126.641067505, 5093.97705078, -3.3029987812, 4.35960626602
        0.042, -0.000427877763286, 0.195887103677, 0.140932425857, -22.5040798187, -128.35987854, 5093.98242188, -3.28662467003, 4.43262529373
        0.043, -0.000583672197536, 0.195812568069, 0.140812605619, -21.5526638031, -130.04359436, 5093.98339844, -3.27056193352, 4.50431632996
        0.044, -0.000743285287172, 0.195740908384, 0.140694543719, -21.3093280792, -131.693054199, 5093.98095703, -3.25480318069,  4.5747218132
        0.045, -0.000903856998775, 0.195672094822, 0.140578210354, -21.7580318451, -133.309051514, 5093.97509766, -3.23934197426, 4.64388084412
        0.046, -0.00106263905764, 0.19560611248, 0.140463531017, -22.8713607788, -134.892364502, 5093.96777344, -3.22417163849, 4.71182441711
        0.047, -0.00121704034973, 0.195515945554, 0.140349045396, -24.6114959717, -136.444442749, 5093.95849609, -3.20923733711, 4.77862024307
        0.048, -0.00136465509422, 0.195508569479, 0.140240415931, -26.9314613342, -137.964553833, 5093.94824219, -3.1947145462, 4.84418773651
        0.049, -0.00150332413614, 0.195424258709, 0.140129074454, -29.7761287689, -139.453903198, 5093.93798828, -3.1803381443, 4.90862846375
         0.05, -0.00163112767041, 0.195345237851, 0.140019416809, -33.0838012695, -140.913848877, 5093.92822266, -3.16623044014, 4.97195148468
        0.051, -0.00174642610364, 0.195338502526, 0.139914944768, -36.7875137329, -142.343673706, 5093.91894531, -3.1525015831, 5.03408622742
        0.052, -0.00184788904153, 0.195264533162, 0.139808177948, -40.8163261414, -143.744491577, 5093.91113281, -3.13891983032, 5.09511232376
        0.053, -0.0019344772445, 0.195194870234, 0.139702945948, -45.0969581604, -145.117385864, 5093.90576172, -3.12559223175, 5.15502977371
        0.054, -0.00200546276756, 0.195188984275, 0.13960236311, -49.5551071167, -146.461807251, 5093.90185547, -3.11261630058, 5.21376991272
        0.055, -0.0020604392048, 0.195123419166, 0.139499813318, -54.1167030334, -147.778640747, 5093.90136719, -3.09978699684, 5.27139806747
        0.056, -0.0020992862992, 0.195118173957, 0.139401704073, -58.709400177, -149.06918335, 5093.90380859, -3.08728766441, 5.32790136337
        0.057, -0.00212219194509, 0.195037692785, 0.139300748706, -63.2636146545, -150.332321167, 5093.90966797, -3.07490777969, 5.38326501846
