Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -10,             0, 3.74465662389e-06, 6602.83984375,          8000, -67.7702026367, -21.2383747101, 3.37739992142
        0.025,             0, -9.98999977112,             0, 3.74848173124e-06, 6602.83984375,          8000, -67.7702026367, -21.2384548187, 3.37739992142
         0.05,             0, -9.97999954224,             0, 3.75231570615e-06, 6602.83984375,          8000, -67.7702026367, -21.2385349274, 3.37739992142
        0.075,             0, -9.97000026703,             0, 3.75615536541e-06, 6602.83984375,          8000, -67.7702026367, -21.238615036, 3.37739992142
          0.1,             0, -9.96000003815,             0, 3.76000411961e-06, 6602.83984375,          8000, -67.7702026367, -21.2386951447, 3.37739992142
        0.125,             0, -9.94999980927,             0, 3.7638599224e-06, 6602.83984375,          8000, -67.7702026367, -21.2387733459, 3.37739992142
         0.15,             0, -9.93999958038,             0, 3.76772459276e-06, 6602.83984375,          8000, -67.7702026367, -21.2388534546, 3.37739992142
        0.175,             0, -9.93000030518,             0, 3.77159517484e-06, 6602.83984375,          8000, -67.7702026367, -21.2389335632, 3.37739992142
          0.2,             0, -9.92000007629,             0, 3.77547462449e-06, 6602.83984375,          8000, -67.7702026367, -21.2390117645, 3.37739992142
        0.225,             0, -9.90999984741,             0, 3.7793613501e-06, 6602.83984375,          8000, -67.7702026367, -21.2390918732, 3.37739992142
         0.25,             0, -9.89999961853,             0, 3.78325671591e-06, 6602.83984375,          8000, -67.7702026367, -21.2391719818, 3.37739992142
        0.275,             0, -9.89000034332,             0, 3.78715958504e-06, 6602.83984375,          8000, -67.7702026367, -21.2392501831, 3.37739992142
          0.3,             0, -9.88000011444,             0, 3.79106973014e-06, 6602.83984375,          8000, -67.7702026367, -21.2393302917, 3.37739992142
        0.325,             0, -9.86999988556,             0, 3.7949871512e-06, 6602.83984375,          8000, -67.7702026367, -21.239408493, 3.37739992142
         0.35,             0, -9.85999965668,             0, 3.79891343982e-06, 6602.83984375,          8000, -67.7702026367, -21.2394886017, 3.37739992142
        0.375,             0, -9.85000038147,             0, 3.80284723178e-06, 6602.83984375,          8000, -67.7702026367, -21.239566803, 3.37739992142
          0.4,             0, -9.84000015259,             0, 3.80678966394e-06, 6602.83984375,          8000, -67.7702026367, -21.2396450043, 3.37739992142
        0.425,             0, -9.82999992371,             0, 3.81073937206e-06, 6602.83984375,          8000, -67.7702026367, -21.2397251129, 3.37739992142
         0.45,             0, -9.81999969482,             0, 3.81469772037e-06, 6602.83984375,          8000, -67.7702026367, -21.2398033142, 3.37739992142
        0.475,             0, -9.81000041962,             0, 3.81866220778e-06, 6602.83984375,          8000, -67.7702026367, -21.2398815155, 3.37739992142
          0.5,             0, -9.80000019073,             0, 3.82263669962e-06, 6602.83984375,          8000, -67.7702026367, -21.2399597168, 3.37739992142
        0.525,             0, -9.78999996185,             0, 3.82661892218e-06, 6602.83984375,          8000, -67.7702026367, -21.2400379181, 3.37739992142
         0.55,             0, -9.77999973297,             0, 3.83060842069e-06, 6602.83984375,          8000, -67.7702026367, -21.2401161194, 3.37739992142
        0.575,             0, -9.77000045776,             0, 3.83460655939e-06, 6602.83984375,          8000, -67.7702026367, -21.2401943207, 3.37739992142
          0.6,             0, -9.76000022888,             0, 3.83861197406e-06, 6602.83984375,          8000, -67.7702026367, -21.240272522, 3.37739992142
        0.625,             0,         -9.75,             0, 3.84262602893e-06, 6602.83984375,          8000, -67.7702026367, -21.2403507233, 3.37739992142
         0.65,             0, -9.73999977112,             0, 3.84664917874e-06, 6602.83984375,          8000, -67.7702026367, -21.2404289246, 3.37739992142
        0.675,             0, -9.72999954224,             0, 3.85067960451e-06, 6602.83984375,          8000, -67.7702026367, -21.2405071259, 3.37739992142
          0.7,             0, -9.72000026703,             0, 3.85471867048e-06, 6602.83984375,          8000, -67.7702026367, -21.2405853271, 3.37739992142
        0.725,             0, -9.71000003815,             0, 3.85876501241e-06, 6602.83984375,          8000, -67.7702026367, -21.2406635284, 3.37739992142
         0.75,             0, -9.69999980927,             0, 3.86282044929e-06, 6602.83984375,          8000, -67.7702026367, -21.2407417297, 3.37739992142
        0.775,             0, -9.68999958038,             0, 3.86688452636e-06, 6602.83984375,          8000, -67.7702026367, -21.2408180237, 3.37739992142
          0.8,             0, -9.68000030518,             0, 3.87095587939e-06, 6602.83984375,          8000, -67.7702026367, -21.240896225, 3.37739992142
        0.825,             0, -9.67000007629,             0, 3.87503632737e-06, 6602.83984375,          8000, -67.7702026367, -21.2409744263, 3.37739992142
         0.85,             0, -9.65999984741,             0, 3.87912541555e-06, 6602.83984375,          8000, -67.7702026367, -21.2410507202, 3.37739992142
        0.875,             0, -9.64999961853,             0, 3.88322177969e-06, 6602.83984375,          8000, -67.7702026367, -21.2411289215, 3.37739992142
          0.9,             0, -9.64000034332,             0, 3.88732678402e-06, 6602.83984375,          8000, -67.7702026367, -21.2412052155, 3.37739992142
        0.925,             0, -9.63000011444,             0, 3.89144088331e-06, 6602.83984375,          8000, -67.7702026367, -21.2412834167, 3.37739992142
         0.95,             0, -9.61999988556,             0, 3.89556362279e-06, 6602.83984375,          8000, -67.7702026367, -21.2413597107, 3.37739992142
        0.975,             0, -9.60999965668,             0, 3.89969363823e-06, 6602.83984375,          8000, -67.7702026367, -21.2414360046, 3.37739992142
            1,             0, -9.60000038147,             0, 3.90383365811e-06, 6602.83984375,          8000, -67.7702026367, -21.2415142059, 3.37739992142
        1.025,             0, -9.59000015259,             0, 3.9079814087e-06, 6602.83984375,          8000, -67.7702026367, -21.2415904999, 3.37739992142
         1.05,             0, -9.57999992371,             0, 3.91213779949e-06, 6602.83984375,          8000, -67.7702026367, -21.2416667938, 3.37739992142
        1.075,             0, -9.56999969482,             0, 3.91630328522e-06, 6602.83984375,          8000, -67.7702026367, -21.2417449951, 3.37739992142
          1.1,             0, -9.56000041962,             0, 3.92047604691e-06, 6602.83984375,          8000, -67.7702026367, -21.2418212891, 3.37739992142
        1.125,             0, -9.55000019073,             0, 3.92465881305e-06, 6602.83984375,          8000, -67.7702026367, -21.241897583, 3.37739992142
         1.15,             0, -9.53999996185,             0, 3.92885021938e-06, 6602.83984375,          8000, -67.7702026367, -21.241973877, 3.37739992142
        1.175,             0, -9.52999973297,             0, 3.93304935642e-06, 6602.83984375,          8000, -67.7702026367, -21.2420501709, 3.37739992142
          1.2,             0, -9.52000045776,             0, 3.9372584979e-06, 6602.83984375,          8000, -67.7702026367, -21.2421264648, 3.37739992142
        1.225,             0, -9.51000022888,             0, 3.94147491534e-06, 6602.83984375,          8000, -67.7702026367, -21.2422027588, 3.37739992142
         1.25,             0,          -9.5,             0, 3.94570179196e-06, 6602.83984375,          8000, -67.7702026367, -21.2422790527, 3.37739992142
        1.275,             0, -9.48999977112,             0, 3.94946118831e-06, 6602.04638672,          8000, -67.7632904053, -21.2423553467, 3.15896129608
          1.3,             0, -9.47999954224,             0, 3.95322967961e-06, 6601.25244141,          8000, -67.7563781738, -21.2424316406, 2.94052267075
        1.325,             0, -9.47000026703,             0, 3.95700453737e-06, 6600.45849609,          8000, -67.7494659424, -21.2425060272, 2.72208380699
         1.35,             0, -9.46000003815,             0, 3.96078894482e-06, 6599.66503906,          8000, -67.7425537109, -21.2425823212, 2.50364518166
        1.375,             0, -9.44999980927,             0, 3.96458062824e-06, 6598.87109375,          8000, -67.7356414795, -21.2426586151,  2.2852063179
          1.4,             0, -9.43999958038,             0, 3.96838004235e-06, 6598.07714844,          8000, -67.728729248, -21.2427330017, 2.06676769257
        1.425,             0, -9.43000030518,             0, 3.97218764192e-06, 6597.28320312,          8000, -67.7218170166, -21.2428092957, 1.84832894802
         1.45,             0, -9.42000007629,             0, 3.97600297219e-06, 6596.48974609,          8000, -67.7149047852, -21.2428855896, 1.62989032269
        1.475,             0, -9.40999984741,             0, 3.97982557843e-06, 6595.69580078,          8000, -67.7079925537, -21.2429599762, 1.41145157814
          1.5,             0, -9.39999961853,             0, 3.98365773435e-06, 6594.90185547,          8000, -67.7010803223, -21.2430362701,  1.1930128336
        1.525,             0, -9.39000034332,             0, 3.98749625674e-06, 6594.10839844,          8000, -67.6941680908, -21.2431106567, 0.97457408905
         1.55,             0, -9.38000011444,             0, 3.99134387408e-06, 6593.31445312,          8000, -67.6872558594, -21.2431869507, 0.75613540411
        1.575,             0, -9.36999988556,             0, 3.99520058636e-06, 6592.52050781,          8000, -67.6803436279, -21.2432613373, 0.537696659565
          1.6,             0, -9.35999965668,             0, 3.99906366511e-06,  6591.7265625,          8000, -67.6734313965, -21.2433357239, 0.319257944822
