Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -10,             0, 2.57734228626e-07, 454.454986572,           500, -1.33683252335, -1.32739841938, 1.21684253216
        0.025,             0, -9.98999977112,             0, 2.5799749892e-07, 454.454986572,           500, -1.33683252335, -1.32740342617, 1.21684253216
         0.05,             0, -9.97999954224,             0, 2.58261394492e-07, 454.454986572,           500, -1.33683252335, -1.32740843296, 1.21684253216
        0.075,             0, -9.97000026703,             0, 2.58525659547e-07, 454.454986572,           500, -1.33683252335, -1.32741343975, 1.21684253216
          0.1,             0, -9.96000003815,             0, 2.58790549879e-07, 454.454986572,           500, -1.33683252335, -1.32741844654, 1.21684253216
        0.125,             0, -9.94999980927,             0, 2.59055951801e-07, 454.454986572,           500, -1.33683252335, -1.32742333412, 1.21684253216
         0.15,             0, -9.93999958038,             0, 2.5932195058e-07, 454.454986572,           500, -1.33683252335, -1.32742834091, 1.21684253216
        0.175,             0, -9.93000030518,             0, 2.59588347262e-07, 454.454986572,           500, -1.33683252335, -1.3274333477, 1.21684253216
          0.2,             0, -9.92000007629,             0, 2.59855340801e-07, 454.454986572,           500, -1.33683252335, -1.32743823528, 1.21684253216
        0.225,             0, -9.90999984741,             0, 2.60122874352e-07, 454.454986572,           500, -1.33683252335, -1.32744324207, 1.21684253216
         0.25,             0, -9.89999961853,             0, 2.60390976337e-07, 454.454986572,           500, -1.33683252335, -1.32744824886, 1.21684253216
        0.275,             0, -9.89000034332,             0, 2.60659589912e-07, 454.454986572,           500, -1.33683252335, -1.32745313644, 1.21684253216
          0.3,             0, -9.88000011444,             0, 2.60928715079e-07, 454.454986572,           500, -1.33683252335, -1.32745814323, 1.21684253216
        0.325,             0, -9.86999988556,             0, 2.61198351836e-07, 454.454986572,           500, -1.33683252335, -1.32746303082, 1.21684253216
         0.35,             0, -9.85999965668,             0, 2.6146858545e-07, 454.454986572,           500, -1.33683252335, -1.32746803761, 1.21684253216
        0.375,             0, -9.85000038147,             0, 2.61739330654e-07, 454.454986572,           500, -1.33683252335, -1.32747292519, 1.21684253216
          0.4,             0, -9.84000015259,             0, 2.62010672714e-07, 454.454986572,           500, -1.33683252335, -1.32747781277, 1.21684253216
        0.425,             0, -9.82999992371,             0, 2.62282526364e-07, 454.454986572,           500, -1.33683252335, -1.32748281956, 1.21684253216
         0.45,             0, -9.81999969482,             0, 2.62554976871e-07, 454.454986572,           500, -1.33683252335, -1.32748770714, 1.21684253216
        0.475,             0, -9.81000041962,             0, 2.62827825281e-07, 454.454986572,           500, -1.33683252335, -1.32749259472, 1.21684253216
          0.5,             0, -9.80000019073,             0, 2.63101412656e-07, 454.454986572,           500, -1.33683252335, -1.3274974823, 1.21684253216
        0.525,             0, -9.78999996185,             0, 2.633754832e-07, 454.454986572,           500, -1.33683252335, -1.32750236988, 1.21684253216
         0.55,             0, -9.77999973297,             0, 2.63650036914e-07, 454.454986572,           500, -1.33683252335, -1.32750725746, 1.21684253216
        0.575,             0, -9.77000045776,             0, 2.63925215904e-07, 454.454986572,           500, -1.33683252335, -1.32751214504, 1.21684253216
          0.6,             0, -9.76000022888,             0, 2.64200906486e-07, 454.454986572,           500, -1.33683252335, -1.32751703262, 1.21684253216
        0.625,             0,         -9.75,             0, 2.64477193923e-07, 454.454986572,           500, -1.33683252335, -1.3275219202, 1.21684253216
         0.65,             0, -9.73999977112,             0, 2.64754106638e-07, 454.454986572,           500, -1.33683252335, -1.32752680779, 1.21684253216
        0.675,             0, -9.72999954224,             0, 2.65031502522e-07, 454.454986572,           500, -1.33683252335, -1.32753169537, 1.21684253216
          0.7,             0, -9.72000026703,             0, 2.65309495262e-07, 454.454986572,           500, -1.33683252335, -1.32753658295, 1.21684253216
        0.725,             0, -9.71000003815,             0, 2.65587999593e-07, 454.454986572,           500, -1.33683252335, -1.32754147053, 1.21684253216
         0.75,             0, -9.69999980927,             0, 2.65867129201e-07, 454.454986572,           500, -1.33683252335, -1.32754635811, 1.21684253216
        0.775,             0, -9.68999958038,             0, 2.66146855665e-07, 454.454986572,           500, -1.33683252335, -1.32755112648, 1.21684253216
          0.8,             0, -9.68000030518,             0, 2.66427065299e-07, 454.454986572,           500, -1.33683252335, -1.32755601406, 1.21684253216
        0.825,             0, -9.67000007629,             0, 2.66707900209e-07, 454.454986572,           500, -1.33683252335, -1.32756090164, 1.21684253216
         0.85,             0, -9.65999984741,             0, 2.66989331976e-07, 454.454986572,           500, -1.33683252335, -1.32756567001, 1.21684253216
        0.875,             0, -9.64999961853,             0, 2.67271275334e-07, 454.454986572,           500, -1.33683252335, -1.32757055759, 1.21684253216
          0.9,             0, -9.64000034332,             0, 2.67553815547e-07, 454.454986572,           500, -1.33683252335, -1.32757532597, 1.21684253216
        0.925,             0, -9.63000011444,             0, 2.67836981038e-07, 454.454986572,           500, -1.33683252335, -1.32758021355, 1.21684253216
         0.95,             0, -9.61999988556,             0, 2.68120743385e-07, 454.454986572,           500, -1.33683252335, -1.32758498192, 1.21684253216
        0.975,             0, -9.60999965668,             0, 2.68404988901e-07, 454.454986572,           500, -1.33683252335, -1.32758975029, 1.21684253216
            1,             0, -9.60000038147,             0, 2.68689973382e-07, 454.454986572,           500, -1.33683252335, -1.32759463787, 1.21684253216
        1.025,             0, -9.59000015259,             0, 2.68975441031e-07, 454.454986572,           500, -1.33683252335, -1.32759940624, 1.21684253216
         1.05,             0, -9.57999992371,             0, 2.69261505537e-07, 454.454986572,           500, -1.33683252335, -1.32760417461, 1.21684253216
        1.075,             0, -9.56999969482,             0, 2.6954819532e-07, 454.454986572,           500, -1.33683252335, -1.32760906219, 1.21684253216
          1.1,             0, -9.56000041962,             0, 2.69835368272e-07, 454.454986572,           500, -1.33683252335, -1.32761383057, 1.21684253216
        1.125,             0, -9.55000019073,             0, 2.70123280188e-07, 454.454986572,           500, -1.33683252335, -1.32761859894, 1.21684253216
         1.15,             0, -9.53999996185,             0, 2.70411760539e-07, 454.454986572,           500, -1.33683252335, -1.32762336731, 1.21684253216
        1.175,             0, -9.52999973297,             0, 2.70700780902e-07, 454.454986572,           500, -1.33683252335, -1.32762813568, 1.21684253216
          1.2,             0, -9.52000045776,             0, 2.70990483386e-07, 454.454986572,           500, -1.33683252335, -1.32763290405, 1.21684253216
        1.225,             0, -9.51000022888,             0, 2.71280697461e-07, 454.454986572,           500, -1.33683252335, -1.32763767242, 1.21684253216
         1.25,             0,          -9.5,             0, 2.71571622079e-07, 454.454986572,           500, -1.33683252335, -1.3276424408, 1.21684253216
        1.275,             0, -9.48999977112,             0, 2.71870305824e-07, 454.467163086,           500, -1.33686804771, -1.32764720917, 1.21328616142
          1.3,             0, -9.47999954224,             0, 2.72169728532e-07, 454.479309082,           500, -1.33690369129, -1.32765197754,  1.2097299099
        1.325,             0, -9.47000026703,             0, 2.72469662832e-07, 454.491455078,           500, -1.33693933487, -1.3276566267, 1.20617365837
         1.35,             0, -9.46000003815,             0, 2.72770336096e-07, 454.503601074,           500, -1.33697485924, -1.32766139507, 1.20261728764
        1.375,             0, -9.44999980927,             0, 2.73071606216e-07,  454.51574707,           500, -1.33701050282, -1.32766616344, 1.19906103611
          1.4,             0, -9.43999958038,             0, 2.73373501614e-07, 454.527893066,           500, -1.33704614639, -1.32767081261, 1.19550466537
        1.425,             0, -9.43000030518,             0, 2.73676022289e-07, 454.540039062,           500, -1.33708167076, -1.32767558098, 1.19194841385
         1.45,             0, -9.42000007629,             0, 2.73979168242e-07, 454.552185059,           500, -1.33711731434, -1.32768034935, 1.18839204311
        1.475,             0, -9.40999984741,             0, 2.74282939472e-07, 454.564361572,           500, -1.33715295792, -1.32768499851, 1.18483579159
          1.5,             0, -9.39999961853,             0, 2.74587421245e-07, 454.576507568,           500, -1.33718848228, -1.32768976688, 1.18127954006
        1.525,             0, -9.39000034332,             0, 2.74892443031e-07, 454.588653564,           500, -1.33722412586, -1.32769441605, 1.17772316933
         1.55,             0, -9.38000011444,             0, 2.75198175359e-07, 454.600799561,           500, -1.33725965023, -1.32769918442,  1.1741669178
        1.575,             0, -9.36999988556,             0, 2.7550461823e-07, 454.612945557,           500, -1.33729529381, -1.32770383358, 1.17061054707
          1.6,             0, -9.35999965668,             0, 2.75811601114e-07, 454.625091553,           500, -1.33733093739, -1.32770848274, 1.16705429554
        1.625,             0, -9.35000038147,             0, 2.7611929454e-07, 454.637237549,           500, -1.33736646175, -1.32771325111, 1.16349804401
         1.65,             0, -9.34000015259,             0, 2.76427613244e-07, 454.649414062,           500, -1.33740210533, -1.32771790028, 1.15994167328
        1.675,             0, -9.32999992371,             0, 2.76736642491e-07, 454.661560059,           500, -1.33743774891, -1.32772254944, 1.15638542175
          1.7,             0, -9.31999969482,             0, 2.7704621175e-07, 454.673706055,           500, -1.33747327328, -1.3277271986, 1.15282905102
        1.725,             0, -9.31000041962,             0, 2.77356605238e-07, 454.685852051,           500, -1.33750891685, -1.32773184776, 1.14927279949
