Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -10,             0, 2.32589422922e-06, 4101.17919922,          4000, -23.5875473022, -5.02750301361, -6.27604484558
        0.025,             0, -9.98999977112,             0, 2.32815796153e-06, 4100.98144531,          4000, -23.5979499817, -5.02751207352, -6.27010965347
         0.05,             0, -9.97999954224,             0, 2.33042692344e-06, 4100.78369141,          4000, -23.6083507538, -5.02752113342, -6.26417398453
        0.075,             0, -9.97000026703,             0, 2.33269906857e-06,  4100.5859375,          4000, -23.6187515259, -5.02753019333, -6.25823879242
          0.1,             0, -9.96000003815,             0, 2.33497667068e-06, 4100.38867188,          4000, -23.6291542053, -5.0275387764, -6.25230312347
        0.125,             0, -9.94999980927,             0, 2.33725859289e-06, 4100.19091797,          4000, -23.6395549774, -5.0275478363, -6.24636745453
         0.15,             0, -9.93999958038,             0, 2.33954574469e-06, 4099.99316406,          4000, -23.6499576569, -5.02755689621, -6.24043226242
        0.175,             0, -9.93000030518,             0, 2.34183607972e-06, 4099.79541016,          4000, -23.660358429, -5.02756547928, -6.23449659348
          0.2,             0, -9.92000007629,             0, 2.34413187172e-06, 4099.59765625,          4000, -23.670759201, -5.02757453918, -6.22856092453
        0.225,             0, -9.90999984741,             0, 2.34643198382e-06, 4099.40039062,          4000, -23.6811618805, -5.02758359909, -6.22262573242
         0.25,             0, -9.89999961853,             0, 2.34873732552e-06, 4099.20263672,          4000, -23.6915626526, -5.02759218216, -6.21669006348
        0.275,             0, -9.89000034332,             0, 2.35104675994e-06, 4099.00488281,          4000, -23.701965332, -5.02760124207, -6.21075487137
          0.3,             0, -9.88000011444,             0, 2.35336074184e-06, 4098.80712891,          4000, -23.7123661041, -5.02761030197, -6.20481920242
        0.325,             0, -9.86999988556,             0, 2.35567904383e-06, 4098.60986328,          4000, -23.7227668762, -5.02761888504, -6.19888353348
         0.35,             0, -9.85999965668,             0, 2.35800234805e-06, 4098.41210938,          4000, -23.7331695557, -5.02762794495, -6.19294834137
        0.375,             0, -9.85000038147,             0, 2.36033019974e-06, 4098.21435547,          4000, -23.7435703278, -5.02763652802, -6.18701267242
          0.4,             0, -9.84000015259,             0, 2.36266328102e-06, 4098.01660156,          4000, -23.7539730072, -5.02764558792, -6.18107748032
        0.425,             0, -9.82999992371,             0, 2.36500045503e-06, 4097.81884766,          4000, -23.7643737793, -5.02765417099, -6.17514181137
         0.45,             0, -9.81999969482,             0, 2.36734308601e-06, 4097.62158203,          4000, -23.7747745514, -5.0276632309, -6.16920614243
        0.475,             0, -9.81000041962,             0, 2.36968890022e-06, 4097.42382812,          4000, -23.7851772308, -5.02767181396, -6.16327095032
          0.5,             0, -9.80000019073,             0, 2.37204108089e-06, 4097.22607422,          4000, -23.7955780029, -5.02768087387, -6.15733528137
        0.525,             0, -9.78999996185,             0, 2.37439735429e-06, 4097.02832031,          4000, -23.8059806824, -5.02768945694, -6.15139961243
         0.55,             0, -9.77999973297,             0, 2.37675817516e-06, 4096.83056641,          4000, -23.8163814545, -5.02769851685, -6.14546442032
        0.575,             0, -9.77000045776,             0, 2.37912399825e-06, 4096.63330078,          4000, -23.8267841339, -5.02770709991, -6.13952875137
          0.6,             0, -9.76000022888,             0, 2.38149414145e-06, 4096.43554688,          4000, -23.837184906, -5.02771568298, -6.13359355927
        0.625,             0,         -9.75,             0, 2.38386974161e-06, 4096.23779297,          4000, -23.8475856781, -5.02772474289, -6.12765789032
         0.65,             0, -9.73999977112,             0, 2.38625034399e-06, 4096.04003906,          4000, -23.8579883575, -5.02773332596, -6.12172222137
        0.675,             0, -9.72999954224,             0, 2.38863526647e-06,  4095.8425293,          4000, -23.8683891296, -5.02774190903, -6.11578702927
          0.7,             0, -9.72000026703,             0, 2.39102541855e-06, 4095.64477539,          4000, -23.8787918091, -5.02775096893, -6.10985136032
        0.725,             0, -9.71000003815,             0, 2.39341989072e-06, 4095.44702148,          4000, -23.8891925812,  -5.027759552, -6.10391569138
         0.75,             0, -9.69999980927,             0, 2.39581959249e-06, 4095.24951172,          4000, -23.8995933533, -5.02776813507, -6.09798049927
        0.775,             0, -9.68999958038,             0, 2.39822452386e-06, 4095.05175781,          4000, -23.9099960327, -5.02777719498, -6.09204483032
          0.8,             0, -9.68000030518,             0, 2.40063377532e-06, 4094.85424805,          4000, -23.9203968048, -5.02778577805, -6.08610963821
        0.825,             0, -9.67000007629,             0, 2.40304802901e-06, 4094.65649414,          4000, -23.9307994843, -5.02779436111, -6.08017396927
         0.85,             0, -9.65999984741,             0, 2.40546773966e-06, 4094.45874023,          4000, -23.9412002563, -5.02780294418, -6.07423830032
        0.875,             0, -9.64999961853,             0, 2.40789177042e-06, 4094.26123047,          4000, -23.9516010284, -5.02781152725, -6.06830310822
          0.9,             0, -9.64000034332,             0, 2.41032080339e-06, 4094.06347656,          4000, -23.9620037079, -5.02782011032, -6.06236743927
        0.925,             0, -9.63000011444,             0, 2.41275506596e-06,  4093.8659668,          4000,  -23.97240448, -5.02782917023, -6.05643224716
         0.95,             0, -9.61999988556,             0, 2.4151947855e-06, 4093.66821289,          4000, -23.9828071594, -5.0278377533, -6.05049657822
        0.975,             0, -9.60999965668,             0, 2.41763859776e-06, 4093.47070312,          4000, -23.9932079315, -5.02784633636, -6.04456090927
            1,             0, -9.60000038147,             0, 2.42008854912e-06, 4093.27294922,          4000, -24.0036087036, -5.02785491943, -6.03862571716
        1.025,             0, -9.59000015259,             0, 2.42254282057e-06, 4093.07519531,          4000, -24.0140113831, -5.0278635025, -6.03269004822
         1.05,             0, -9.57999992371,             0, 2.42500232162e-06, 4092.87768555,          4000, -24.0244121552, -5.02787208557, -6.02675437927
        1.075,             0, -9.56999969482,             0, 2.42746682488e-06, 4092.67993164,          4000, -24.0348148346, -5.02788066864, -6.02081918716
          1.1,             0, -9.56000041962,             0, 2.42993587563e-06, 4092.48242188,          4000, -24.0452156067, -5.02788925171, -6.01488351822
        1.125,             0, -9.55000019073,             0, 2.43241106546e-06, 4092.28466797,          4000, -24.0556163788, -5.02789783478, -6.00894832611
         1.15,             0, -9.53999996185,             0, 2.43489125751e-06, 4092.08691406,          4000, -24.0660190582, -5.02790641785, -6.00301265717
        1.175,             0, -9.52999973297,             0, 2.43737576966e-06,  4091.8894043,          4000, -24.0764198303, -5.02791500092, -5.99707698822
          1.2,             0, -9.52000045776,             0, 2.4398664209e-06, 4091.69165039,          4000, -24.0868225098, -5.02792358398, -5.99114179611
        1.225,             0, -9.51000022888,             0, 2.44236139224e-06, 4091.49414062,          4000, -24.0972232819, -5.02793216705, -5.98520612717
         1.25,             0,          -9.5,             0, 2.44486250267e-06, 4091.29638672,          4000, -24.107624054, -5.02794075012, -5.97927045822
        1.275,             0, -9.48999977112,             0, 2.4473506528e-06, 4091.06982422,          4000, -24.1179218292, -5.02794885635, -5.99162006378
          1.3,             0, -9.47999954224,             0, 2.44984471465e-06, 4090.84301758,          4000, -24.1282176971, -5.02795743942, -6.00396966934
        1.325,             0, -9.47000026703,             0, 2.45234309659e-06, 4090.61645508,          4000, -24.1385135651, -5.02796602249, -6.01631879807
         1.35,             0, -9.46000003815,             0, 2.45484739025e-06, 4090.38989258,          4000, -24.148809433, -5.02797460556, -6.02866840363
        1.375,             0, -9.44999980927,             0, 2.45735691351e-06, 4090.16308594,          4000, -24.1591053009, -5.02798318863, -6.04101753235
          1.4,             0, -9.43999958038,             0, 2.45987166636e-06, 4089.93652344,          4000, -24.1694011688, -5.0279917717, -6.05336713791
        1.425,             0, -9.43000030518,             0, 2.46239164881e-06, 4089.70996094,          4000, -24.1796970367, -5.02799987793, -6.06571674347
