Time,Ay,Bk_Stat,GearStat,Pitch,Roll,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Steer_SW,Vx,VxTarget,Vxz_Fwd,Xo,Xpreview,X_Design,X_L1,X_L2,X_R1,X_R2,X_Target,Yaw,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yo,Ypreview,Y_Design,Y_L1,Y_L2,Y_R1,Y_R2,Y_Target,Zcg_SM,Zo,Z_L1,Z_L2,Z_R1,Z_R2
0, -0.001776605635668, 0, 6, 2.01196759821, 0.1003533393543, 0.1004152438468, 1.106759094411, 1.592403379332, -0.9060532458912, -1.391698651452, 0.005578095524959, 0.00560428095074, 0.005580042526599, 0.005602334309397, 0, 99.96459874838, 100, 100, 87.0358263826, 17.40704583707, 87.0358263826, 87.41006218464, 85.38402886262, 86.68118827237, 84.65269253849, 87.0358263826, -29.5003960789, -29.33912073051, -29.75655259266, -29.66871209901, -29.2513134275, -49.24190177042, -9.848591535138, -49.24190177042, -48.60407299563, -47.45486733685, -49.89214756663, -48.74729351113, -49.24190177042, 45.53908883468, 45.12341948914, 45.45451164932, 45.51633059392, 45.45191943629, 45.51372962341
0.025, -0.1162450447518, 0, 6, 2.009357871864, 0.07923963160926, 0.07928838498157, 1.016405038144, 1.634702118369, -1.033715869597, -1.471686933397, 0.3767731220991, 0.3764672560238, 0.375949686638, 0.3763826786079, -15.96437702474, 99.96602744638, 100, 100.0011131465, 87.63979541297, 104.0121553627, 87.64004543395, 88.01466337528, 85.98832591865, 87.28459111389, 85.25678276914, 87.64004543395, -29.50987307092, -30.18527754918, -29.76875540938, -30.51336482736, -29.25909932354, -49.58420641398, -58.85133406303, -49.5837645269, -48.94662768382, -47.79678841618, -50.23402047457, -49.08909452442, -49.5837645269, 45.52064665616, 45.10502952575, 45.43582994296, 45.49761398299, 45.43381259595, 45.49535345126
0.05, -0.1183196633002, 0, 6, 2.002135008569, 0.02963409800841, 0.02965219991103, 0.9735344043455, 1.606907560338, -1.072889045815, -1.513837476357, 0.7478267854036, 0.7474977775033, 0.7464258594547, 0.7469103167191, -15.8042079857, 99.96459785738, 100, 99.99932192753, 88.24302778041, 104.6084650661, 88.24428399559, 88.61848291044, 86.59301902554, 87.8874230882, 85.8604889233, 88.24428399559, -29.55414688573, -30.23397494555, -29.81406776863, -30.56393096004, -29.30535423193, -49.92787087279, -59.20711419954, -49.9256507153, -49.29031932052, -48.1389156627, -50.57715338009, -49.43066425429, -49.9256507153, 45.50227181507, 45.08679949456, 45.41723158942, 45.47863267209, 45.41592320828, 45.4771786242
0.075, -0.1207889860677, 0, 6, 1.992558250314, -0.03014824980577, -0.03016648993209, 0.9294190709159, 1.579204196385, -1.109270272199, -1.546556185569, 1.119120163605, 1.118708822234, 1.116660700594, 1.117142959001, -15.51647527889, 99.96151156496, 100, 99.99596608774, 88.8455257729, 105.1984368507, 88.84851532589, 89.22196158894, 87.19807441625, 88.48914109101, 86.46377374965, 88.84851532589, -29.63282864255, -30.30771611576, -29.89595077452, -30.63825506981, -29.38757833822, -50.27282753226, -59.57399153655, -50.2675441474, -49.63547333489, -48.48129753292, -50.92131502114, -49.77204054971, -50.2675441474, 45.48396682899, 45.06868693239, 45.39874229524, 45.45973905007, 45.39796885827, 45.45905712482
0.1, -0.1325054551893, 0, 6, 1.983556534857, -0.08076013680955, -0.08080855718694, 0.8900373681501, 1.569431195278, -1.140286902597, -1.562270272287, 1.490595128884, 1.490045896216, 1.486687867831, 1.487110797593, -15.12572799173, 99.95654733595, 100, 99.99084143279, 89.44738034005, 105.7832364124, 89.4527078309, 89.82507385214, 87.80333216357, 89.08988267121, 87.06663447309, 89.4527078309, -29.73880523712, -30.39891810985, -30.00670250542, -30.72895266892, -29.49813918287, -50.61884079988, -59.94979948178, -50.60942588722, -49.98190976919, -48.82400772869, -51.26641208673, -50.11338267031, -50.60942588722, 45.46572341933, 45.05062472213, 45.38038412317, 45.44111857045, 45.37984759483, 45.44085506508
0.125, -0.1484840798947, 0, 6, 1.977082453671, -0.1155584577074, -0.1156272899858, 0.8600135868134, 1.575556032273, -1.161888198126, -1.562451445387, 1.862192914433, 1.861459988703, 1.856546143005, 1.856856407732, -14.65567243288, 99.94994949329, 100, 99.98418916032, 90.04862302281, 106.3639909871, 90.05683678607, 90.42776511187, 88.40859724639, 89.68975795461, 87.66904308582, 90.05683678607, -29.8650884371, -30.50251642415, -30.13729267639, -30.8313286951, -29.62895257919, -50.96579614027, -60.3324429499, -50.95128088422, -50.32950394606, -49.16716899312, -51.61240656877, -50.4549060162, -50.95128088422, 45.4475269913, 45.03255877972, 45.36208461827, 45.42273332443, 45.36161755523, 45.42259759721
0.15, -0.1653460428979, 0, 6, 1.973918177742, -0.1385969385373, -0.1386792295381, 0.8365118447425, 1.587677808917, -1.176871663166, -1.55354311508, 2.233864454216, 2.232912052117, 2.226270537328, 2.22643268172, -14.12608677948, 99.94186630113, 100, 99.97615196879, 90.64923733869, 106.9416434035, 90.66088673224, 91.02996696241, 89.01367980511, 90.28883664414, 88.27095348677, 90.66088673224, -30.00574292464, -30.6142801177, -30.28086161754, -30.94168792229, -29.77346373471, -51.31368552674, -60.7201738574, -51.29309933003, -50.67819100659, -49.51092595073, -51.95930796344, -50.79683524693, -51.29309933003, 45.42935783845, 45.01445354882, 45.34375282361, 45.40445429283, 45.34335007015, 45.40436379489
0.175, -0.1810981823294, 0, 6, 1.973921431268, -0.1576439035416, -0.1577375039123, 0.814060942209, 1.597153333202, -1.190643837643, -1.544495240509, 2.605570100091, 2.604376018607, 2.595891090107, 2.595899690502, -13.55350778919, 99.93290713063, 100, 99.96732676073, 91.24919129698, 107.5169887382, 91.26484997244, 91.63161157613, 89.61840931323, 90.8871645222, 88.87231342281, 91.26484997244, -30.15573348766, -30.73068999518, -30.4323279874, -31.05682328016, -29.92663583786, -51.6625464645, -61.11153296695, -51.63487580881, -51.02793935776, -49.85542432542, -52.30714688859, -51.13938194843, -51.63487580881, 45.41119156724, 44.9962875347, 45.32533008787, 45.38616374306, 45.32508021217, 45.38620030854
0.2, -0.1950391943712, 0, 6, 1.976434921137, -0.1785990459436, -0.1787053587774, 0.7889235813758, 1.599877070217, -1.207079155139, -1.540956545548, 2.977277577532, 2.975832735524, 2.965435661818, 2.965286364034, -12.95217004645, 99.92345068195, 100, 99.95807564532, 91.84846112024, 108.0907226413, 91.86872233141, 92.23264015385, 90.22263881987, 91.48477826046, 89.4730732698, 91.86872233141, -30.31070089406, -30.84876515773, -30.58776685356, -31.17384778464, -30.08445278483, -52.01241670342, -61.50526931706, -51.97661560642, -51.3787306529, -50.20079919704, -52.65595821023, -51.48273565569, -51.97661560642, 45.39300231205, 44.97804817255, 45.30679993652, 45.36780000452, 45.30680370609, 45.36809538806
0.225, -0.2071747642939, 0, 6, 1.98067622517, -0.2033009238055, -0.2034224609962, 0.7606829906209, 1.595848850512, -1.227091715333, -1.543855469787, 3.348960918584, 3.347267076359, 3.334929017802, 3.334623511751, -12.33399287123, 99.91382513462, 100, 99.94869927237, 92.44703701011, 108.66343844, 92.47249933082, 92.83300463708, 90.8262462096, 92.08170846079, 90.07318991765, 92.47249933082, -30.4669781798, -30.96618169514, -30.74414108085, -31.29045121732, -30.24360172216, -52.36331617066, -61.9003401264, -52.31832760332, -51.73055222668, -50.54716663358, -53.00577384136, -51.82705717667, -52.31832760332, 45.37476681633, 44.95972798698, 45.28817929381, 45.34935713586, 45.28849550407, 45.35000071532
0.25, -0.2174622654951, 0, 6, 1.985871292845, -0.230320092652, -0.2304585061806, 0.7315802877447, 1.587079928176, -1.249384357939, -1.551325320383, 3.720599825098, 3.718665957089, 3.704392794933, 3.703937528116, -11.70876989494, 99.9042971575, 100, 99.93942700334, 93.04491997248, 109.2356302769, 93.07618811166, 93.43266661897, 91.42913127557, 92.67798073334, 90.67262726239, 93.07618811166, -30.62156035734, -31.08130204025, -30.89885856734, -31.40530510648, -30.40120106118, -52.71525012531, -62.29589983437, -52.66000497416, -52.08339606036, -50.89462302909, -53.35662227905, -52.1724800867, -52.66000497416, 45.35646916249, 44.94132661096, 45.26950716007, 45.33085604775, 45.27014221746, 45.33186265782
0.275, -0.2253357203552, 0, 6, 1.991212297247, -0.2568690897608, -0.2570242903045, 0.704726680357, 1.575765484591, -1.271966154489, -1.560758373184, 4.092178834302, 4.090017534382, 4.073846253522, 4.073249987498, -11.08415926398, 99.89506739734, 100, 99.93043094598, 93.64211603029, 109.8076903636, 93.6797979364, 94.03159534945, 92.03121412049, 93.27361593867, 91.2713559146, 93.6797979364, -30.7721056905, -31.19197118135, -31.04952788252, -31.51562962286, -30.55480685382, -53.06821895097, -62.69129782036, -53.00164147281, -52.43725821624, -51.24324530506, -53.70853005876, -52.51911165178, -53.00164147281, 45.33810308891, 44.92285395588, 45.25082422903, 45.31231681792, 45.25174673793, 45.31364155622
0.3, -0.2308177026787, 0, 6, 1.995862051093, -0.2803807913654, -0.2805509904182, 0.682575514903, 1.564054423172, -1.292694916515, -1.569895248741, 4.463688103136, 4.461310056357, 4.443304022858, 4.442577425355, -10.46554047497, 99.88626855057, 100, 99.92182322313, 94.2386317871, 110.3799027809, 94.2833390915, 94.62976879049, 92.63243591615, 93.86862731291, 91.86935352731, 94.2833390915, -30.91695664678, -31.29748465112, -31.19466114233, -31.62069777746, -30.70246862633, -53.42222469509, -63.08608125088, -53.34323144157, -52.79213881676, -51.59309007358, -54.06151951943, -52.86703125728, -53.34323144157, 45.31967029749, 44.9043284584, 45.23216052983, 45.29374773032, 45.2333225213, 45.29531716917
0.325, -0.2339395860333, 0, 6, 1.999097893947, -0.2993894696957, -0.2995717978282, 0.6662500578939, 1.553363362097, -1.310280733621, -1.578011118196, 4.835121460044, 4.832537709057, 4.812777479882, 4.811932324816, -9.856701643231, 99.87797422116, 100, 99.91365324587, 94.83447237881, 110.9524742516, 94.88682148802, 95.22717188669, 93.23275498717, 94.46302470076, 92.46660466155, 94.88682148802, -31.05494875313, -31.397019794, -31.3330203097, -31.71991302027, -30.84274205444, -53.77727129853, -63.47993635976, -53.68476901829, -53.14803736179, -51.94419650171, -54.41560707966, -53.21629516776, -53.68476901829, 45.3011793366, 44.88577311085, 45.21353478685, 45.27515236911, 45.21488995951, 45.27689640494
0.35, -0.2346436821773, 0, 6, 2.000519503298, -0.3136221215807, -0.3138133894439, 0.6557151422515, 1.544083581161, -1.324362824827, -1.58558113166, 5.206475076683, 5.203698164653, 5.182275867175, 5.181324052577, -9.260481472416, 99.87024695822, 100, 99.90596613408, 95.42964150914, 111.5255651114, 95.4902532002, 95.82379644029, 93.83214306765, 95.05681805064, 93.06310041137, 95.4902532002, -31.18522785436, -31.49015945676, -31.46377737212, -31.81253302659, -30.97462079864, -54.13336118904, -63.87263221255, -54.02624730839, -53.50494912663, -52.29658894233, -54.77080118922, -53.5669408812, -54.02624730839, 45.28264624271, 44.86721195218, 45.19495857389, 45.25654087127, 45.19647240309, 45.25840938412
0.375, -0.2329103611353, 0, 6, 2.000073620871, -0.3235277800117, -0.3237250011495, 0.6503206352392, 1.53595436736, -1.335144436913, -1.593367850852, 5.577746539233, 5.574790153069, 5.551806333353, 5.55075944155, -8.679063514849, 99.86312735571, 100, 99.89879493003, 96.0241437859, 112.0993031827, 96.09364074333, 96.41964122478, 94.43058390906, 95.65001911081, 93.65883833633, 96.09364074333, -31.30716856527, -31.57633673284, -31.58625601565, -31.89821171382, -31.09724838571, -54.4904909165, -64.26399474859, -54.36766064024, -53.86286273843, -52.65027718896, -55.12710055698, -53.91898815944, -54.36766064024, 45.26409350292, 44.84866853187, 45.17644230731, 45.2379300328, 45.17809181891, 45.23989247391
