Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
            0, 6.1609966906e-06, 0.201123133302, 0.148491621017, 7.53505128159e-06, -12.7403087616, 5092.70410156, -4.36387681961, -0.505279839039
        0.001, -0.000179042093805, 0.200810268521, 0.147788733244, -0.776182830334, -15.7272634506,  5092.6953125, -4.32037782669, -0.37640863657
        0.002, -0.000355078140274, 0.200610339642, 0.147615820169, -3.77760386467, -18.9756317139,  5092.6953125, -4.2908449173, -0.242370262742
        0.003, -0.000512437021825, 0.20046313107, 0.147431969643, -8.33736419678, -22.4210796356, 5092.69335938, -4.25951147079, -0.101592540741
        0.004, -0.000644448911771, 0.200318679214, 0.147240355611, -14.1123390198, -25.9365615845, 5092.68896484, -4.22742795944, 0.0410255640745
        0.005, -0.000746529491153, 0.200242593884, 0.147050172091, -20.6764030457, -29.4344444275, 5092.68261719, -4.19552707672, 0.182280316949
        0.006, -0.00081669940846, 0.200112208724, 0.146858587861, -27.522644043, -32.8668327332, 5092.67431641, -4.16408205032, 0.320697903633
        0.007, -0.000855754944496, 0.199984714389, 0.146670624614, -34.1465911865, -36.2074050903, 5092.66503906, -4.13343858719, 0.455580621958
        0.008, -0.000866953399964, 0.199856624007, 0.146487057209, -40.1261177063, -39.4400367737, 5092.65380859, -4.10373735428, 0.586588442326
        0.009, -0.000855365302414, 0.199725866318, 0.146308362484, -45.1645202637, -42.553237915, 5092.64160156, -4.07507705688, 0.71346706152
         0.01, -0.000827112118714, 0.199591830373, 0.146134912968, -49.1015586853, -45.5382957458, 5092.62890625, -4.04753065109, 0.835966944695
        0.011, -0.000788628123701, 0.199455052614, 0.145967066288, -51.9041862488, -48.3892478943, 5092.61474609, -4.02115106583, 0.953850567341
        0.012, -0.000746028788853, 0.199316874146, 0.145805075765, -53.6454124451, -51.1038093567, 5092.60058594, -3.99596190453, 1.06694805622
        0.013, -0.000704628182575, 0.199179068208, 0.145649075508, -54.4767494202, -53.6846351624,  5092.5859375, -3.97194576263, 1.17523121834
        0.014, -0.000668624939863, 0.199043571949, 0.145498916507, -54.5983772278, -56.1403045654, 5092.57080078, -3.94903421402, 1.27887988091
        0.015, -0.000640954356641, 0.19891217351, 0.145354166627, -54.2293777466, -58.4853553772, 5092.55566406, -3.92710614204, 1.37830781937
        0.016, -0.000623310683295, 0.198786407709, 0.145214095712, -53.5787353516, -60.738697052, 5092.54052734, -3.90599989891,  1.4741216898
        0.017, -0.000616245844867, 0.19866733253, 0.145077750087, -52.8463363647, -62.9234809875, 5092.52539062, -3.88551521301, 1.56711518764
        0.018, -0.000619307567831, 0.198555439711, 0.144944012165, -52.1943130493, -65.0626525879, 5092.51025391, -3.86544919014, 1.65810799599
        0.019, -0.000631298113149, 0.198450624943, 0.144811838865, -51.7426109314, -67.1762924194, 5092.49511719, -3.8456223011,   1.747838974
         0.02, -0.000650520902127, 0.198352247477, 0.144680351019, -51.5684242249, -69.2796478271, 5092.48095703, -3.82589530945, 1.83688318729
        0.021, -0.000675025105011, 0.198259323835, 0.144548937678, -51.7032089233, -71.3815231323, 5092.46728516, -3.80618572235, 1.92558670044
        0.022, -0.000702822580934, 0.198170810938, 0.144417271018, -52.1533851624, -73.4864044189, 5092.45410156, -3.78645014763,  2.0141351223
        0.023, -0.000732001208235, 0.198085576296, 0.144285202026, -52.8987846375, -75.5942306519, 5092.44238281, -3.76668548584, 2.10254764557
        0.024, -0.000760858645663, 0.19800260663, 0.144152790308, -53.8992958069, -77.7015304565, 5092.43164062, -3.74691987038, 2.19071578979
        0.025, -0.000787985743955, 0.197921007872, 0.14402025938, -55.1012077332, -79.8024291992, 5092.42285156, -3.72720313072, 2.27844190598
        0.026, -0.000812316662632, 0.197840094566, 0.143887922168, -56.4432640076, -81.8897094727, 5092.41503906, -3.70759797096, 2.36547732353
        0.027, -0.00083314650692, 0.197759389877, 0.143756121397, -57.8622016907, -83.9556732178, 5092.40917969, -3.68817234039, 2.45155453682
        0.028, -0.000850121548865, 0.197678610682, 0.143625229597, -59.2975540161, -85.9928894043, 5092.40576172, -3.6689915657, 2.53641366959
        0.029, -0.000863205874339, 0.197597637773, 0.143495619297, -60.6955413818, -87.9947357178, 5092.40380859, -3.65011525154, 2.61982321739
         0.03, -0.000872631324455, 0.197516530752, 0.143367558718, -62.0119285583, -89.9558181763, 5092.40478516, -3.63159227371,  2.7015941143
        0.031, -0.000878836493939, 0.197435483336, 0.14324131608, -63.2137489319, -91.8722076416, 5092.40771484, -3.61345815659, 2.78158855438
        0.032, -0.000882400432602, 0.197354778647, 0.143117070198, -64.2799453735, -93.7415084839, 5092.41308594, -3.59573578835, 2.85972380638
        0.033, -0.000883977569174, 0.197274759412, 0.142994895577, -65.2010421753, -95.5628356934, 5092.42089844, -3.57843446732, 2.93596959114
        0.034, -0.000884237932041, 0.197195783257, 0.142874836922, -65.9779510498, -97.3366775513, 5092.43115234, -3.56155109406, 3.01034522057
        0.035, -0.000883816974238, 0.197118207812, 0.142756864429, -66.6202316284, -99.0646743774, 5092.44384766, -3.54507279396, 3.08291006088
        0.036, -0.000883276225068, 0.197042360902, 0.142640888691, -67.1440048218, -100.749351501, 5092.45898438, -3.52897810936, 3.15375590324
        0.037, -0.000883077154867, 0.196968480945,  0.1425267905, -67.5696563721, -102.393844604,  5092.4765625, -3.51324033737, 3.22299671173
        0.038, -0.000883566506673, 0.196896791458, 0.142414420843, -67.9197616577, -104.001609802, 5092.49658203, -3.49782943726, 3.29075789452
        0.039, -0.000884973502252, 0.196827366948, 0.142303645611, -68.217086792, -105.576156616, 5092.51855469, -3.48271489143, 3.35716700554
         0.04, -0.000887415488251, 0.196760267019, 0.142194285989, -68.4830780029, -107.12084198, 5092.54296875, -3.46786737442, 3.42234730721
        0.041, -0.000890911731403, 0.196695432067, 0.142086192966, -68.736618042, -108.638687134, 5092.56982422, -3.45326018333, 3.48640966415
        0.042, -0.000895402336027, 0.196605026722, 0.141977772117, -68.9932250977, -110.132774353, 5092.59912109, -3.43882226944, 3.54948115349
        0.043, -0.00090075971093, 0.19659934938, 0.141874760389, -69.2649154663, -111.604309082, 5092.62939453, -3.42471718788,  3.6115591526
        0.044, -0.000906833505724, 0.196513205767, 0.141768321395, -69.5597763062, -113.055046082, 5092.66259766, -3.41066670418, 3.67277598381
        0.045, -0.000913439434953, 0.196430459619, 0.141662880778, -69.8823776245, -114.486694336, 5092.69775391, -3.39679098129, 3.73316597939
        0.046, -0.000920393154956, 0.196425527334, 0.141562327743,    -70.234375, -115.899055481, 5092.73388672, -3.38320827484, 3.79269099236
        0.047, -0.000927536864765, 0.196345850825, 0.141458556056, -70.6147766113, -117.292579651, 5092.77246094, -3.36967206001, 3.85143113136
        0.048, -0.00093472271692, 0.196268558502, 0.14135569334, -71.0207061768, -118.667861938, 5092.81298828, -3.35630130768, 3.90938305855
        0.049, -0.000941835169215, 0.196264073253, 0.141257479787, -71.4482574463, -120.023979187, 5092.85400391, -3.34321475029, 3.96648311615
         0.05, -0.000948805711232, 0.196188941598, 0.141156300902, -71.8927688599, -121.360816956, 5092.89746094, -3.33018541336, 4.02278804779
        0.051, -0.000955587544013, 0.196115538478, 0.141056060791, -72.3495407104, -122.678657532, 5092.94189453, -3.31732749939, 4.07828426361
        0.052, -0.00096216739621, 0.196111500263, 0.140960350633, -72.8143920898,  -123.9765625, 5092.98730469, -3.30475592613, 4.13290882111
        0.053, -0.000968572101556, 0.196039870381, 0.140861898661, -73.2837600708, -125.254516602, 5093.03466797, -3.29225277901, 4.18671941757
        0.054, -0.000974838447291, 0.195969775319, 0.140764430165, -73.754989624, -126.513061523, 5093.08300781, -3.27992510796, 4.23971223831
        0.055, -0.000981020159088, 0.195966362953, 0.140671387315, -74.2266159058, -127.751617432, 5093.13183594, -3.26788067818,  4.2918381691
        0.056, -0.00098719203379, 0.195898085833, 0.140575766563, -74.6980895996, -128.970581055, 5093.18261719, -3.2559068203, 4.34316778183
        0.057, -0.000993420137092, 0.195831432939, 0.140481129289, -75.1698150635, -130.170852661, 5093.23388672, -3.24410295486, 4.39371109009
        0.058, -0.000999769428745, 0.195828795433, 0.140390768647, -75.6431503296, -131.352279663, 5093.28564453, -3.23256874084, 4.44343471527
        0.059, -0.00100630940869, 0.195764139295, 0.140297934413, -76.119972229, -132.515548706, 5093.33935547, -3.22109770775, 4.49241828918
         0.06, -0.00101308827288, 0.195701256394, 0.140206053853, -76.6025924683, -133.661804199, 5093.39306641, -3.20978283882, 4.54068088531
        0.061, -0.00102014327422, 0.19569940865, 0.140118211508, -77.0936660767, -134.791061401, 5093.44775391, -3.19871759415, 4.58819770813
        0.062, -0.00102750945371, 0.19563858211, 0.140028014779, -77.5957870483, -135.904129028, 5093.50341797, -3.18770337105, 4.63504838943
        0.063, -0.00103519810364, 0.195579573512, 0.139938682318, -78.1114120483, -137.002090454, 5093.55957031, -3.17682957649, 4.68125247955
        0.064, -0.00104320968967, 0.195578426123, 0.139853149652, -78.642829895, -138.084960938, 5093.61621094, -3.16618394852, 4.72678518295
        0.065, -0.00105154502671, 0.195502981544, 0.139764383435, -79.1918334961, -139.153930664, 5093.67382812, -3.15554618835, 4.77174901962
        0.066, -0.00106018024962, 0.195502236485, 0.139680296183, -79.7599639893, -140.208557129, 5093.73144531, -3.14515733719, 4.81606435776
        0.067, -0.0010691024363, 0.195429742336, 0.139593064785, -80.3480834961, -141.250213623, 5093.79101562, -3.13477277756, 4.85984706879
        0.068, -0.00107827770989, 0.195429340005, 0.139510378242, -80.9568634033, -142.278305054, 5093.85009766, -3.12462663651, 4.90301322937
        0.069, -0.00108768686187, 0.195359557867, 0.13942463696, -81.5862808228, -143.294052124, 5093.91064453, -3.11448335648, 4.94567060471
         0.07, -0.00109729415271, 0.19535946846, 0.139343291521, -82.2362136841, -144.296737671, 5093.97119141, -3.10457038879, 4.98773479462
        0.071, -0.00110708095599, 0.195292115211, 0.139259010553, -82.9059829712, -145.287460327, 5094.03271484, -3.09466075897, 5.02930688858
        0.072, -0.00111701560672, 0.195292323828, 0.139179006219, -83.5949249268, -146.265472412, 5094.09472656, -3.08497524261, 5.07030153275
