Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,           -10,             0, -3498.41210938, 616.864440918,          4000, 10.3537416458, 38.3223876953, -0.279902338982
        0.025, -0.990000009537,           -10,             0, -3498.12573242, 623.044372559,          4000, 10.3620758057, 38.3188362122, -0.31166908145
         0.05, -0.980000019073,           -10,             0, -3497.82275391, 629.347473145,          4000,  10.368689537,   38.31508255, -0.344655811787
        0.075, -0.97000002861,           -10,             0, -3497.50219727,  635.77734375,          4000, 10.3734893799, 38.3111114502, -0.378911286592
          0.1, -0.959999978542,           -10,             0, -3497.16333008, 642.337768555,          4000, 10.3763818741, 38.3069114685, -0.414486318827
        0.125, -0.949999988079,           -10,             0, -3496.80493164, 649.032714844,          4000, 10.3772659302, 38.3024711609, -0.4514336586
         0.15, -0.939999997616,           -10,             0, -3496.42602539, 655.866210938,          4000, 10.3760404587, 38.2977752686, -0.489808231592
        0.175, -0.930000007153,           -10,             0, -3496.02514648, 662.842529297,          4000, 10.3725967407, 38.2928085327, -0.529667198658
          0.2, -0.920000016689,           -10,             0, -3495.60131836, 669.966125488,          4000, 10.3668231964, 38.2875556946, -0.571069836617
        0.225, -0.910000026226,           -10,             0, -3495.15307617, 677.241516113,          4000, 10.3586034775, 38.2820014954, -0.614077866077
         0.25, -0.899999976158,           -10,             0, -3494.67895508, 684.673522949,          4000, 10.3478164673, 38.2761268616, -0.658755362034
        0.275, -0.889999985695,           -10,             0, -3494.17749023, 692.267150879,          4000, 10.3343372345, 38.2699127197, -0.705168783665
          0.3, -0.879999995232,           -10,             0, -3493.64697266, 700.027526855,          4000, 10.3180351257, 38.2633399963, -0.753387272358
        0.325, -0.870000004768,           -10,             0, -3493.08618164, 707.960144043,          4000, 10.2987747192, 38.2563896179, -0.803482472897
         0.35, -0.860000014305,           -10,             0, -3492.49267578, 716.070556641,          4000, 10.2764177322, 38.2490386963, -0.855528712273
        0.375, -0.850000023842,           -10,             0, -3491.86499023, 724.364746094,          4000, 10.2508182526, 38.2412605286, -0.909602999687
          0.4, -0.839999973774,           -10,             0, -3491.20117188, 732.848754883,          4000, 10.2218265533, 38.2330322266, -0.965785264969
        0.425, -0.829999983311,           -10,             0, -3490.49853516, 741.528991699,          4000,  10.189289093, 38.2243270874, -1.02415812016
         0.45, -0.819999992847,           -10,             0, -3489.75512695,  750.41217041,          4000, 10.1530447006, 38.2151145935, -1.08480727673
        0.475, -0.810000002384,           -10,             0,   -3488.96875, 759.505310059,          4000, 10.1129302979,  38.205368042, -1.14782130718
          0.5, -0.800000011921,           -10,             0, -3488.13623047, 768.815673828,          4000,  10.068775177, 38.1950569153, -1.21329164505
        0.525, -0.790000021458,           -10,             0, -3487.25537109, 778.350891113,          4000, 10.0204048157, 38.1841392517, -1.28131318092
         0.55, -0.77999997139,           -10,             0, -3486.32299805,  788.11895752,          4000, 9.96763896942, 38.1725845337,  -1.351983428
        0.575, -0.769999980927,           -10,             0, -3485.33569336, 798.128234863,          4000, 9.91029453278, 38.1603546143, -1.42540347576
          0.6, -0.759999990463,           -10,             0, -3484.29077148, 808.387451172,          4000, 9.84818172455,  38.147403717, -1.50167715549
        0.625,         -0.75,           -10,             0, -3483.18408203, 818.905822754,          4000, 9.78110694885, 38.1336936951, -1.58091175556
         0.65, -0.740000009537,           -10,             0, -3482.01245117, 829.692871094,          4000, 9.70887088776, 38.1191711426, -1.66321790218
        0.675, -0.730000019073,           -10,             0, -3480.77124023, 840.758728027,          4000,  9.6312713623, 38.1037940979, -1.74870896339
          0.7, -0.72000002861,           -10,             0, -3479.45654297, 852.113952637,          4000, 9.54810142517, 38.0875015259, -1.83750212193
        0.725, -0.709999978542,           -10,             0, -3478.0637207, 863.769714355,          4000, 9.45915031433, 38.0702438354, -1.92971730232
         0.75, -0.699999988079,           -10,             0, -3476.58789062, 875.737487793,          4000, 9.36420345306, 38.0519561768, -2.0254778862
        0.775, -0.689999997616,           -10,             0, -3475.02392578, 888.029663086,          4000,  9.2630405426,    38.0325737, -2.12491059303
          0.8, -0.680000007153,           -10,             0, -3473.36621094, 900.659057617,          4000, 9.15544223785, 38.0120353699, -2.22814488411
        0.825, -0.670000016689,           -10,             0, -3471.60864258, 913.639221191,          4000, 9.04118156433, 37.9902572632, -2.33531403542
