Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -10,             0, 6.63424968719, 3478.92333984,          4000, -30.9093532562, -10.4806928635, 10.8837308884
        0.025,             0, -9.98999977112,             0, 6.64156532288, 3479.05029297,          4000, -30.9100933075, -10.4807682037, 10.8317308426
         0.05,             0, -9.97999954224,             0,    6.64889431, 3479.17651367,          4000, -30.9108276367, -10.480843544, 10.7796096802
        0.075,             0, -9.97000026703,             0, 6.65623569489, 3479.30200195,          4000, -30.9115600586, -10.4809188843, 10.7273693085
          0.1,             0, -9.96000003815,             0, 6.66358995438, 3479.42700195,          4000, -30.9122867584, -10.4809932709, 10.6750078201
        0.125,             0, -9.94999980927,             0, 6.67095708847, 3479.55102539,          4000, -30.9130096436, -10.4810686111, 10.6225261688
         0.15,             0, -9.93999958038,             0, 6.67833709717, 3479.67456055,          4000, -30.913728714, -10.4811439514, 10.5699224472
        0.175,             0, -9.93000030518,             0, 6.68572950363, 3479.79736328,          4000, -30.9144439697, -10.481218338, 10.5171976089
          0.2,             0, -9.92000007629,             0, 6.69313526154, 3479.91943359,          4000, -30.9151554108, -10.4812927246, 10.4643516541
        0.225,             0, -9.90999984741,             0, 6.70055437088, 3480.04077148,          4000, -30.9158630371, -10.4813671112, 10.4113826752
         0.25,             0, -9.89999961853,             0, 6.70798587799, 3480.16137695,          4000, -30.9165649414, -10.4814414978,  10.358291626
        0.275,             0, -9.89000034332,             0,  6.7154302597,    3480.28125,          4000, -30.917263031, -10.4815158844, 10.3050785065
          0.3,             0, -9.88000011444,             0, 6.72288799286, 3480.40039062,          4000, -30.9179573059, -10.481590271, 10.2517414093
        0.325,             0, -9.86999988556,             0, 6.73035907745, 3480.51879883,          4000, -30.9186477661, -10.4816646576, 10.1982812881
         0.35,             0, -9.85999965668,             0, 6.73784255981, 3480.63623047,          4000, -30.9193344116, -10.4817390442,  10.144698143
        0.375,             0, -9.85000038147,             0, 6.74533987045, 3480.75317383,          4000, -30.9200153351, -10.4818124771, 10.0909910202
          0.4,             0, -9.84000015259,             0, 6.75285005569, 3480.86938477,          4000, -30.9206924438, -10.4818868637, 10.0371589661
        0.425,             0, -9.82999992371,             0, 6.76037311554, 3480.98486328,          4000, -30.9213638306, -10.4819602966, 9.98320293427
         0.45,             0, -9.81999969482,             0, 6.76790952682, 3481.09960938,          4000, -30.9220314026, -10.4820337296, 9.92912197113
        0.475,             0, -9.81000041962,             0, 6.77545928955, 3481.21337891,          4000, -30.9226951599, -10.4821081161, 9.87491607666
          0.5,             0, -9.80000019073,             0, 6.78302240372, 3481.32641602,          4000, -30.9233551025, -10.4821815491, 9.82058525085
        0.525,             0, -9.78999996185,             0, 6.79059886932,  3481.4387207,          4000, -30.9240093231, -10.482254982, 9.76612758636
         0.55,             0, -9.77999973297,             0, 6.79818868637, 3481.55029297,          4000, -30.924659729, -10.4823274612, 9.71154403687
        0.575,             0, -9.77000045776,             0, 6.80579137802, 3481.66113281,          4000, -30.9253044128, -10.4824008942, 9.65683460236
          0.6,             0, -9.76000022888,             0, 6.81340789795, 3481.77099609,          4000, -30.925945282, -10.4824743271, 9.60199832916
        0.625,             0,         -9.75,             0, 6.82103776932, 3481.88012695,          4000, -30.9265823364,  -10.48254776, 9.54703521729
         0.65,             0, -9.73999977112,             0, 6.82868099213, 3481.98852539,          4000, -30.9272136688, -10.4826202393, 9.49194431305
        0.675,             0, -9.72999954224,             0, 6.83633756638, 3482.09619141,          4000, -30.9278392792, -10.4826927185, 9.43672561646
          0.7,             0, -9.72000026703,             0,  6.8440079689, 3482.20288086,          4000, -30.9284610748, -10.4827661514, 9.38138008118
        0.725,             0, -9.71000003815,             0, 6.85169172287, 3482.30883789,          4000, -30.9290790558, -10.4828386307, 9.32590484619
         0.75,             0, -9.69999980927,             0, 6.85938930511, 3482.41381836,          4000, -30.9296913147, -10.4829111099, 9.27030181885
        0.775,             0, -9.68999958038,             0,  6.8671002388, 3482.51806641,          4000, -30.9302978516, -10.4829835892, 9.21457004547
          0.8,             0, -9.68000030518,             0, 6.87482452393, 3482.62133789,          4000, -30.9309005737, -10.4830560684, 9.15870857239
        0.825,             0, -9.67000007629,             0, 6.88256311417, 3482.72387695,          4000, -30.9314975739, -10.4831285477, 9.10271835327
         0.85,             0, -9.65999984741,             0, 6.89031505585, 3482.82568359,          4000, -30.9320907593, -10.4832000732, 9.04659748077
        0.875,             0, -9.64999961853,             0, 6.89808034897, 3482.92651367,          4000, -30.9326782227, -10.4832725525, 8.99034690857
          0.9,             0, -9.64000034332,             0,  6.9058599472, 3483.02636719,          4000, -30.933259964, -10.4833450317, 8.93396568298
        0.925,             0, -9.63000011444,             0, 6.91365337372, 3483.12548828,          4000, -30.9338378906, -10.4834165573, 8.87745285034
         0.95,             0, -9.61999988556,             0, 6.92146015167, 3483.22387695,          4000, -30.9344100952, -10.4834880829, 8.82081031799
        0.975,             0, -9.60999965668,             0, 6.92928123474, 3483.32104492,          4000, -30.9349765778, -10.4835605621, 8.76403522491
            1,             0, -9.60000038147,             0, 6.93711566925, 3483.41748047,          4000, -30.9355392456, -10.4836320877, 8.70712852478
        1.025,             0, -9.59000015259,             0, 6.94496440887, 3483.51318359,          4000, -30.9360961914, -10.4837036133, 8.65009021759
         1.05,             0, -9.57999992371,             0, 6.95282697678, 3483.60766602,          4000, -30.9366474152, -10.4837751389, 8.59291934967
        1.075,             0, -9.56999969482,             0, 6.96070384979, 3483.70141602,          4000, -30.9371929169, -10.4838457108, 8.53561592102
          1.1,             0, -9.56000041962,             0, 6.96859407425, 3483.79443359,          4000, -30.9377346039, -10.4839172363, 8.47817897797
        1.125,             0, -9.55000019073,             0, 6.97649908066, 3483.88623047,          4000, -30.9382705688, -10.4839887619, 8.42060852051
         1.15,             0, -9.53999996185,             0, 6.98441743851, 3483.97729492,          4000, -30.9387989044, -10.4840593338, 8.36290454865
        1.175,             0, -9.52999973297,             0, 6.99235010147, 3484.06738281,          4000, -30.9393253326, -10.4841308594,  8.3050661087
          1.2,             0, -9.52000045776,             0, 7.00029706955, 3484.15649414,          4000, -30.9398441315, -10.4842014313, 8.24709415436
        1.225,             0, -9.51000022888,             0, 7.00825834274, 3484.24462891,          4000, -30.9403572083, -10.4842720032, 8.18898677826
         1.25,             0,          -9.5,             0, 7.01623344421, 3484.33178711,          4000, -30.940864563, -10.4843435287, 8.13074493408
        1.275,             0, -9.48999977112,             0,  7.0242228508, 3484.41796875,          4000, -30.941368103, -10.4844141006, 8.07236766815
          1.3,             0, -9.47999954224,             0,  7.0322265625, 3484.50341797,          4000, -30.9418640137, -10.4844846725, 8.01385402679
        1.325,             0, -9.47000026703,             0, 7.04024457932, 3484.58764648,          4000, -30.9423561096, -10.4845552444, 7.95520496368
         1.35,             0, -9.46000003815,             0, 7.04827690125, 3484.67089844,          4000, -30.9428424835, -10.4846248627, 7.89641952515
        1.375,             0, -9.44999980927,             0, 7.05632400513, 3484.75317383,          4000, -30.943321228, -10.4846954346, 7.83749723434
          1.4,             0, -9.43999958038,             0, 7.06438493729,  3484.8347168,          4000, -30.9437961578, -10.4847660065, 7.77843809128
        1.425,             0, -9.43000030518,             0, 7.07246017456, 3484.91503906,          4000, -30.9442634583, -10.4848356247, 7.71924114227
         1.45,             0, -9.42000007629,             0, 7.08055019379, 3484.99438477,          4000, -30.9447250366, -10.4849052429,   7.659907341
        1.475,             0, -9.40999984741,             0, 7.08865451813, 3485.07275391,          4000, -30.9451828003, -10.4849758148, 7.60043478012
          1.5,             0, -9.39999961853,             0, 7.09677362442, 3485.14990234,          4000, -30.9456329346, -10.485045433,  7.5408244133
        1.525,             0, -9.39000034332,             0, 7.10490703583, 3485.22631836,          4000, -30.9460773468, -10.4851150513, 7.48107481003
         1.55,             0, -9.38000011444,             0, 7.11305522919, 3485.30151367,          4000, -30.946516037, -10.4851846695, 7.42118692398
        1.575,             0, -9.36999988556,             0, 7.12121772766, 3485.37573242,          4000, -30.9469490051, -10.4852542877, 7.36115932465
          1.6,             0, -9.35999965668,             0, 7.12939500809, 3485.44897461,          4000, -30.9473743439, -10.4853239059, 7.30099201202
        1.625,             0, -9.35000038147,             0, 7.13758707047, 3485.52099609,          4000, -30.9477939606, -10.4853925705, 7.24068450928
         1.65,             0, -9.34000015259,             0, 7.14579391479, 3485.59204102,          4000, -30.9482078552, -10.4854621887, 7.18023681641
        1.675,             0, -9.32999992371,             0, 7.15401506424, 3485.66210938,          4000, -30.9486160278, -10.4855318069, 7.11964893341
          1.7,             0, -9.31999969482,             0, 7.16225147247, 3485.73095703,          4000, -30.9490184784, -10.4856004715, 7.05891942978
        1.725,             0, -9.31000041962,             0, 7.17050218582, 3485.79882812,          4000, -30.9494132996, -10.485669136, 6.99804878235
         1.75,             0, -9.30000019073,             0, 7.17876815796, 3485.86572266,          4000, -30.9498023987, -10.4857387543, 6.93703651428
        1.775,             0, -9.28999996185,             0, 7.18704891205, 3485.93115234,          4000, -30.9501838684, -10.4858074188, 6.87588214874
          1.8,             0, -9.27999973297,             0, 7.19534444809, 3485.99584961,          4000, -30.9505596161, -10.4858760834, 6.81458520889
        1.825,             0, -9.27000045776,             0, 7.20365524292, 3486.05908203,          4000, -30.9509296417, -10.4859447479, 6.75314617157
         1.85,             0, -9.26000022888,             0,  7.2119808197, 3486.12158203,          4000, -30.951292038, -10.4860134125, 6.69156360626
        1.875,             0,         -9.25,             0, 7.22032117844, 3486.18261719,          4000, -30.9516487122, -10.4860811234, 6.62983751297
          1.9,             0, -9.23999977112,             0, 7.22867679596, 3486.24267578,          4000, -30.9519996643, -10.4861497879, 6.56796789169
        1.925,             0, -9.22999954224,             0, 7.23704767227, 3486.30151367,          4000, -30.9523429871, -10.4862184525, 6.50595426559
         1.95,             0, -9.22000026703,             0, 7.24543333054,   3486.359375,          4000, -30.9526786804, -10.4862861633, 6.44379615784
        1.975,             0, -9.21000003815,             0, 7.25383424759, 3486.41601562,          4000, -30.9530086517, -10.4863548279, 6.38149356842
            2,             0, -9.19999980927,             0, 7.26225042343, 3486.47143555,          4000, -30.9533309937, -10.4864225388, 6.31904554367
        2.025,             0, -9.18999958038,             0, 7.27068138123, 3486.52563477,          4000, -30.9536476135, -10.4864902496, 6.25645256042
         2.05,             0, -9.18000030518,             0, 7.27912807465, 3486.57861328,          4000, -30.953956604, -10.4865579605, 6.19371318817
        2.075,             0, -9.17000007629,             0, 7.28759002686, 3486.63061523,          4000, -30.9542579651, -10.4866256714, 6.13082838058
          2.1,             0, -9.15999984741,             0, 7.29606676102, 3486.68139648,          4000, -30.9545536041, -10.4866933823, 6.06779670715
        2.125,             0, -9.14999961853,             0,  7.3045592308, 3486.73071289,          4000, -30.9548416138, -10.4867610931, 6.00461816788
         2.15,             0, -9.14000034332,             0, 7.31306695938, 3486.77905273,          4000, -30.9551239014, -10.486828804, 5.94129276276
        2.175,             0, -9.13000011444,             0, 7.32159042358, 3486.82617188,          4000, -30.9553966522, -10.4868955612, 5.87781953812
          2.2,             0, -9.11999988556,             0, 7.33012914658, 3486.87182617,          4000, -30.955663681, -10.4869632721, 5.81419849396
        2.225,             0, -9.10999965668,             0, 7.33868312836, 3486.91650391,          4000, -30.9559230804, -10.4870300293, 5.75042963028
         2.25,             0, -9.10000038147,             0, 7.34725284576,  3486.9597168,          4000, -30.9561767578, -10.4870977402, 5.68651199341
        2.275,             0, -9.09000015259,             0,  7.3558382988, 3487.00195312,          4000, -30.9564208984, -10.4871644974, 5.62244558334
          2.3,             0, -9.07999992371,             0, 7.36443901062, 3487.04272461,          4000, -30.956659317, -10.4872312546, 5.55822992325
        2.325,             0, -9.06999969482,             0, 7.37305545807, 3487.08227539,          4000, -30.9568901062, -10.4872980118, 5.49386501312
         2.35,             0, -9.06000041962,             0, 7.38168764114, 3487.12060547,          4000, -30.957113266, -10.487364769, 5.42934989929
        2.375,             0, -9.05000019073,             0, 7.39033508301,  3487.1574707,          4000, -30.9573287964, -10.4874315262, 5.36468458176
          2.4,             0, -9.03999996185,             0, 7.39899873734, 3487.19335938,          4000, -30.9575366974, -10.4874982834, 5.29986858368
        2.425,             0, -9.02999973297,             0, 7.40767812729, 3487.22753906,          4000, -30.957736969, -10.4875640869, 5.23490142822
         2.45,             0, -9.02000045776,             0, 7.41637325287, 3487.26074219,          4000, -30.9579296112, -10.4876308441, 5.16978359222
        2.475,             0, -9.01000022888,             0, 7.42508411407, 3487.29248047,          4000, -30.958114624, -10.4876966476, 5.10451364517
          2.5,             0,            -9,             0, 7.43381071091, 3487.32299805,          4000, -30.9582920074, -10.4877634048,  5.0390920639
        2.525,             0, -8.98999977112,             0,  7.4425535202, 3487.35205078,          4000, -30.9584598541, -10.4878292084, 4.97351789474
         2.55,             0, -8.97999954224,             0, 7.45131206512, 3487.37963867,          4000, -30.9586219788, -10.4878950119,  4.9077911377
        2.575,             0, -8.97000026703,             0, 7.46008634567, 3487.40600586,          4000, -30.958776474, -10.4879608154, 4.84191131592
          2.6,             0, -8.96000003815,             0, 7.46887683868, 3487.43115234,          4000, -30.9589214325, -10.488026619, 4.77587795258
        2.625,             0, -8.94999980927,             0, 7.47768354416, 3487.45483398,          4000, -30.9590587616, -10.4880924225, 4.70969104767
         2.65,             0, -8.93999958038,             0, 7.48650598526, 3487.47705078,          4000, -30.9591884613, -10.488158226, 4.64335012436
        2.675,             0, -8.93000030518,             0, 7.49534463882, 3487.49804688,          4000, -30.9593105316, -10.4882240295, 4.57685470581
          2.7,             0, -8.92000007629,             0, 7.50419998169, 3487.51733398,          4000, -30.9594230652, -10.4882898331, 4.51020431519
        2.725,             0, -8.90999984741,             0, 7.51307058334, 3487.53540039,          4000, -30.9595298767, -10.4883546829, 4.44339942932
         2.75,             0, -8.89999961853,             0,  7.5219578743, 3487.55224609,          4000, -30.9596252441, -10.4884204865, 4.37643861771
        2.775,             0, -8.89000034332,             0, 7.53086185455, 3487.56738281,          4000, -30.9597148895, -10.4884853363, 4.30932188034
          2.8,             0, -8.88000011444,             0, 7.53978157043, 3487.58105469,          4000, -30.9597949982, -10.4885501862, 4.24204921722
        2.825,             0, -8.86999988556,             0, 7.54871749878, 3487.59350586,          4000, -30.9598674774, -10.4886159897, 4.17461967468
         2.85,             0, -8.85999965668,             0, 7.55767011642, 3487.60449219,          4000, -30.9599304199, -10.4886808395, 4.10703372955
        2.875,             0, -8.85000038147,             0, 7.56663894653, 3487.61376953,          4000, -30.9599838257, -10.4887456894, 4.03929042816
          2.9,             0, -8.84000015259,             0, 7.57562446594, 3487.62182617,          4000, -30.9600315094, -10.4888105392, 3.97138929367
        2.925,             0, -8.82999992371,             0, 7.58462619781, 3487.62817383,          4000, -30.960067749, -10.4888744354, 3.90333032608
         2.95,             0, -8.81999969482,             0, 7.59364461899, 3487.63305664,          4000, -30.9600963593, -10.4889392853, 3.83511304855
        2.975,             0, -8.81000041962,             0, 7.60267925262, 3487.63671875,          4000, -30.9601173401, -10.4890041351, 3.76673722267
            3,             0, -8.80000019073,             0, 7.61173057556, 3487.63867188,          4000, -30.9601287842, -10.4890680313, 3.69820261002
        3.025,             0, -8.78999996185,             0,  7.6207985878, 3487.63891602,          4000, -30.9601306915, -10.4891328812, 3.62950849533
         3.05,             0, -8.77999973297,             0, 7.62988328934, 3487.63793945,          4000, -30.9601249695, -10.4891967773,  3.5606546402
        3.075,             0, -8.77000045776,             0, 7.63898468018, 3487.63525391,          4000, -30.9601097107, -10.4892606735,  3.4916408062
          3.1,             0, -8.76000022888,             0, 7.64810276031, 3487.63110352,          4000, -30.9600849152, -10.4893255234, 3.42246651649
        3.125,             0,         -8.75,             0, 7.65723752975, 3487.62524414,          4000, -30.9600505829, -10.4893894196, 3.35313153267
         3.15,             0, -8.73999977112,             0, 7.66638898849, 3487.61791992,          4000, -30.9600086212, -10.4894533157,  3.2836356163
        3.175,             0, -8.72999954224,             0, 7.67555761337, 3487.60913086,          4000, -30.9599552155, -10.4895172119, 3.21397805214
          3.2,             0, -8.72000026703,             0, 7.68474292755, 3487.59863281,          4000, -30.9598941803, -10.4895801544, 3.14415884018
        3.225,             0, -8.71000003815,             0, 7.69394540787, 3487.58642578,          4000, -30.9598236084, -10.4896440506, 3.07417726517
         3.25,             0, -8.69999980927,             0, 7.70316457748, 3487.57275391,          4000, -30.9597434998, -10.4897079468,  3.0040333271
        3.275,             0, -8.68999958038,             0,  7.7124004364, 3487.55737305,          4000, -30.9596538544, -10.4897708893, 2.93372678757
          3.3,             0, -8.68000030518,             0, 7.72165346146,  3487.5402832,          4000, -30.9595546722, -10.4898347855, 2.86325669289
        3.325,             0, -8.67000007629,             0, 7.73092365265, 3487.52172852,          4000, -30.9594459534, -10.489897728, 2.79262328148
         3.35,             0, -8.65999984741,             0, 7.74021100998, 3487.50146484,          4000, -30.9593276978, -10.4899606705, 2.72182583809
        3.375,             0, -8.64999961853,             0, 7.74951553345, 3487.47949219,          4000, -30.9591999054, -10.490023613,  2.6508641243
          3.4,             0, -8.64000034332,             0, 7.75883722305, 3487.45605469,          4000, -30.9590625763, -10.4900865555, 2.57973790169
        3.425,             0, -8.63000011444,             0,  7.7681760788, 3487.43066406,          4000, -30.9589138031, -10.490149498, 2.50844669342
         3.45,             0, -8.61999988556,             0, 7.77753210068, 3487.40356445,          4000, -30.9587574005, -10.4902124405, 2.43699026108
        3.475,             0, -8.60999965668,             0,  7.7869052887,      3487.375,          4000, -30.9585895538, -10.490275383, 2.36536812782
          3.5,             0, -8.60000038147,             0, 7.79629564285, 3487.34448242,          4000, -30.9584121704, -10.4903383255, 2.29357981682
        3.525,             0, -8.59000015259,             0, 7.80570363998, 3487.31225586,          4000, -30.9582252502, -10.4904003143, 2.22162532806
         3.55,             0, -8.57999992371,             0, 7.81512928009, 3487.27856445,          4000, -30.958026886, -10.4904632568, 2.14950418472
        3.575,             0, -8.56999969482,             0, 7.82457208633, 3487.24291992,          4000, -30.957818985, -10.4905252457, 2.07721590996
          3.6,             0, -8.56000041962,             0, 7.83403205872, 3487.20532227,          4000, -30.9576015472, -10.4905881882, 2.00476026535
        3.625,             0, -8.55000019073,             0, 7.84350967407, 3487.16625977,          4000, -30.9573726654, -10.490650177, 1.93213677406
         3.65,             0, -8.53999996185,             0,  7.8530049324, 3487.12524414,          4000, -30.9571342468, -10.4907121658, 1.85934519768
        3.675,             0, -8.52999973297,             0, 7.86251783371, 3487.08251953,          4000, -30.9568843842, -10.4907741547, 1.78638529778
          3.7,             0, -8.52000045776,             0, 7.87204837799,  3487.0378418,          4000, -30.9566249847, -10.4908361435, 1.71325647831
        3.725,             0, -8.51000022888,             0, 7.88159656525, 3486.99145508,          4000, -30.9563541412, -10.4908981323, 1.63995850086
         3.75,             0,          -8.5,             0, 7.89116239548, 3486.94335938,          4000, -30.956073761, -10.4909601212, 1.56649112701
        3.775,             0, -8.48999977112,             0, 7.90074586868, 3486.89331055,          4000, -30.9557800293, -10.4910211563, 1.49285376072
          3.8,             0, -8.47999954224,             0, 7.91034698486, 3486.84130859,          4000, -30.9554786682, -10.4910831451, 1.41904640198
        3.825,             0, -8.47000026703,             0, 7.91996622086, 3486.78759766,          4000, -30.9551639557, -10.491145134, 1.34506833553
         3.85,             0, -8.46000003815,             0, 7.92960309982, 3486.73193359,          4000, -30.9548397064, -10.4912061691, 1.27091944218
        3.875,             0, -8.44999980927,             0,  7.9392580986, 3486.67431641,          4000, -30.9545040131, -10.4912672043, 1.19659936428
          3.9,             0, -8.43999958038,             0, 7.94893074036, 3486.61474609,          4000, -30.954158783, -10.4913291931, 1.12210762501
        3.925,             0, -8.43000030518,             0, 7.95862150192,  3486.5534668,          4000, -30.9538002014, -10.4913902283, 1.04744398594
         3.95,             0, -8.42000007629,             0, 7.96832990646, 3486.49023438,          4000, -30.9534320831, -10.4914512634, 0.972608029842
        3.975,             0, -8.40999984741,             0, 7.97805690765, 3486.42504883,          4000, -30.9530506134, -10.4915122986, 0.897599518299
            4,             0, -8.39999961853,             0, 7.98780155182, 3486.35791016,          4000, -30.9526596069, -10.4915733337, 0.822418034077
        4.025,             0, -8.39000034332,             0, 7.99756479263, 3486.28857422,          4000, -30.9522571564, -10.4916334152, 0.747063279152
         4.05,             0, -8.38000011444,             0, 8.00734519958,  3486.2175293,          4000, -30.9518413544, -10.4916944504, 0.671534836292
        4.075,             0, -8.36999988556,             0, 8.01714515686, 3486.14453125,          4000, -30.9514160156, -10.4917554855, 0.595832407475
          4.1,             0, -8.35999965668,             0, 8.02696228027, 3486.06933594,          4000, -30.9509792328, -10.491815567, 0.519955635071
        4.125,             0, -8.35000038147,             0, 8.03679847717,  3485.9921875,          4000, -30.9505290985, -10.4918766022, 0.443904161453
         4.15,             0, -8.34000015259,             0, 8.04665184021, 3485.91308594,          4000, -30.9500675201, -10.4919366837, 0.367677718401
        4.175,             0, -8.32999992371,             0, 8.05652427673, 3485.83203125,          4000, -30.9495944977, -10.4919967651, 0.291275888681
          4.2,             0, -8.31999969482,             0, 8.06641483307,  3485.7487793,          4000, -30.9491100311, -10.4920568466, 0.21469835937
        4.225,             0, -8.31000041962,             0, 8.07632446289, 3485.66357422,          4000, -30.9486122131, -10.4921178818, 0.137944802642
         4.25,             0, -8.30000019073,             0, 8.08625221252, 3485.57617188,          4000, -30.948102951, -10.4921779633, 0.0610148534179
        4.275,             0, -8.28999996185,             0, 8.09619808197, 3485.48681641,          4000, -30.9475822449, -10.4922370911, -0.0160918086767
          4.3,             0, -8.27999973297,             0,  8.1061630249, 3485.39526367,          4000, -30.9470481873, -10.4922971725, -0.0933755263686
        4.325,             0, -8.27000045776,             0, 8.11614608765, 3485.30151367,          4000, -30.9465026855, -10.492357254, -0.170836642385
         4.35,             0, -8.26000022888,             0, 8.12614822388, 3485.20581055,          4000, -30.9459438324, -10.4924173355, -0.248475477099
        4.375,             0,         -8.25,             0, 8.13616847992, 3485.10791016,          4000, -30.9453735352, -10.4924764633, -0.326292395592
          4.4,             0, -8.23999977112,             0, 8.14620780945,  3485.0078125,          4000, -30.9447898865, -10.4925355911, -0.404287695885
        4.425,             0, -8.22999954224,             0, 8.15626525879, 3484.90551758,          4000, -30.9441947937, -10.4925956726, -0.482461750507
         4.45,             0, -8.22000026703,             0, 8.16634273529, 3484.80126953,          4000, -30.9435863495, -10.4926548004, -0.560814857483
        4.475,             0, -8.21000003815,             0,  8.1764383316, 3484.69458008,          4000, -30.9429645538, -10.4927139282, -0.639347374439
