Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
            0, 6.16183751845e-06, 0.20113684237, 0.148473039269, -305.503967285, -247.190505981, 5829.84765625, -7.44620513916, 7.46284723282
       0.0005, 0.000614513992332, 0.203337192535, 0.14851526916, -308.532073975, -247.116775513, 5827.16699219, -7.49845790863, 7.50380420685
        0.001, 0.00120850675739,  0.2052821666, 0.148648113012, -308.079986572, -246.974197388,  5819.5078125, -7.57571315765, 7.49461269379
       0.0015, 0.00178183324169, 0.207052230835, 0.148829862475, -307.73928833, -246.835800171, 5810.18261719, -7.70279121399, 7.46892356873
        0.002, 0.00233282754198, 0.208664402366, 0.149057328701, -307.371917725, -246.665252686, 5799.92089844, -7.87025308609,  7.4598031044
       0.0025, 0.00285851513036, 0.210070490837, 0.149323135614, -306.801361084, -246.538345337, 5788.49414062, -8.01875019073, 7.39985370636
        0.003, 0.0033581473399, 0.211398661137, 0.149630099535, -305.816070557, -246.377609253, 5777.28417969, -8.21352577209, 7.39180517197
       0.0035, 0.00382993230596, 0.212559491396, 0.149968579412, -304.146789551, -246.246139526, 5766.52441406, -8.36954593658,  7.3533411026
        0.004, 0.00427401438355, 0.213665187359, 0.150341868401, -301.399963379, -246.116012573, 5757.88964844, -8.53118801117,  7.3410410881
       0.0045, 0.00468998635188, 0.214614823461, 0.150740325451, -297.051879883, -246.010757446, 5750.18603516, -8.68022727966, 7.30716753006
        0.005, 0.00507826590911, 0.215553805232, 0.151170104742, -291.261749268, -245.970932007, 5744.49169922, -8.79194831848, 7.30511283875
       0.0055, 0.00544004188851, 0.216340750456, 0.151620075107, -283.507232666, -245.938751221, 5741.33837891, -8.90531349182, 7.26311397552
        0.006, 0.00577605608851, 0.217164978385, 0.152099207044, -273.874664307, -245.979110718, 5739.29785156, -8.97448921204, 7.27943706512
       0.0065, 0.00608824379742, 0.217840075493, 0.152595072985, -262.344116211, -246.061965942, 5739.43017578, -9.01276683807, 7.23086977005
        0.007, 0.00637785717845, 0.218523263931, 0.153115570545, -249.122833252, -246.18913269, 5740.43408203, -9.04046726227, 7.22388553619
