Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,           -10,             0, -2914.39746094, 466.413543701,          4000, -13.3694343567,             0, 0.227178171277
        0.025, -0.990000009537,           -10,             0, -2916.56323242, 473.189971924,          4000, -13.408873558, -0.151573315263, 0.268648117781
         0.05, -0.980000019073,           -10,             0, -2918.74414062, 480.089782715,          4000, -13.4490299225, -0.303115546703, 0.31070420146
        0.075, -0.97000002861,           -10,             0, -2920.93969727, 487.116333008,          4000, -13.4899244308, -0.454595595598, 0.353358119726
          0.1, -0.959999978542,           -10,             0, -2923.14941406, 494.273101807,          4000, -13.5315761566, -0.605982363224, 0.396621704102
        0.125, -0.949999988079,           -10,             0, -2925.37280273, 501.563690186,          4000, -13.5740070343, -0.757244884968, 0.440507203341
         0.15, -0.939999997616,           -10,             0,  -2927.609375, 508.991851807,          4000, -13.6172380447, -0.908351957798, 0.485027015209
        0.175, -0.930000007153,           -10,             0, -2929.28271484, 516.451171875,          4000, -13.6577386856, -1.05907022953, 0.529246866703
          0.2, -0.920000016689,           -10,             0, -2931.76977539, 524.208679199,          4000, -13.7040252686, -1.20983588696, 0.575433909893
        0.225, -0.910000026226,           -10,             0, -2934.26855469,   532.1171875,          4000, -13.7511997223, -1.3603760004, 0.622311353683
         0.25, -0.899999976158,           -10,             0, -2936.77783203, 540.181030273,          4000, -13.7992868423, -1.51065969467, 0.669893324375
        0.275, -0.889999985695,           -10,             0,  -2939.296875, 548.404846191,          4000, -13.8483142853, -1.66065621376, 0.718194305897
          0.3, -0.879999995232,           -10,             0, -2941.82495117, 556.793334961,          4000, -13.8983097076, -1.81033480167, 0.767229199409
        0.325, -0.870000004768,           -10,             0, -2943.57080078, 565.186645508,          4000, -13.9442815781, -1.95915305614, 0.815541386604
         0.35, -0.860000014305,           -10,             0, -2945.88330078, 573.868408203,          4000, -13.9948072433, -2.10790514946, 0.865623116493
        0.375, -0.850000023842,           -10,             0, -2948.20043945,  582.72857666,          4000,  -14.04637146, -2.25622487068, 0.916465997696
