Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,             0,             0, -3003.05029297, -1.86974775791,          4000, -10.6441268921,             0, -3.28834652901
        0.025, -0.990000009537,             0,             0, -3007.14355469, -1.8056460619,          4000, -10.6445007324, -0.153992563486, -3.29164910316
         0.05, -0.980000019073,             0,             0,    -3011.3125, -1.74032306671,          4000, -10.6448812485, -0.307952553034, -3.29501128197
        0.075, -0.97000002861,             0,             0, -3015.55883789, -1.67374396324,          4000, -10.6452684402, -0.461847424507, -3.29843449593
          0.1, -0.959999978542,             0,             0, -3019.88476562, -1.60587215424,          4000, -10.6456642151, -0.615644574165, -3.30192065239
        0.125, -0.949999988079,             0,             0, -3024.29272461, -1.53666996956,          4000, -10.6460666656, -0.769311547279, -3.30547118187
         0.15, -0.939999997616,             0,             0, -3028.78491211, -1.46609818935,          4000, -10.6464776993, -0.922815740108, -3.30908823013
        0.175, -0.930000007153,             0,             0, -3032.79248047, -1.39273881912,          4000, -10.6447277069, -1.07592773438, -3.3121201992
          0.2, -0.920000016689,             0,             0, -3037.69824219, -1.31987166405,          4000, -10.6460590363, -1.22907495499, -3.31614732742
        0.225, -0.910000026226,             0,             0, -3042.69677734, -1.24551737309,          4000, -10.6473999023, -1.38198554516, -3.32024765015
         0.25, -0.899999976158,             0,             0, -3047.79052734, -1.16963028908,          4000, -10.6487503052, -1.53462731838, -3.32442307472
        0.275, -0.889999985695,             0,             0, -3052.98266602, -1.09216284752,          4000, -10.6501121521, -1.68696784973, -3.32867598534
          0.3, -0.879999995232,             0,             0, -3058.27587891, -1.01306581497,          4000, -10.6514835358, -1.8389749527, -3.33300876617
        0.325, -0.870000004768,             0,             0, -3062.80322266, -0.930102586746,          4000, -10.6495914459, -1.99006664753, -3.33642911911
         0.35, -0.860000014305,             0,             0, -3068.06396484, -0.846957147121,          4000, -10.6500740051, -2.14110422134, -3.34064984322
        0.375, -0.850000023842,             0,             0, -3073.43457031, -0.762008786201,          4000, -10.6505670547, -2.29168868065, -3.34495639801
          0.4, -0.839999973774,             0,             0, -3078.91772461, -0.675198674202,          4000, -10.6510705948, -2.44178843498, -3.34935164452
        0.425, -0.829999983311,             0,             0, -3084.51757812, -0.586465358734,          4000, -10.6515846252, -2.59137153625, -3.3538377285
         0.45, -0.819999992847,             0,             0, -3090.23754883, -0.495744735003,          4000, -10.6521110535, -2.74040651321, -3.35841822624
        0.475, -0.810000002384,             0,             0, -3096.08154297, -0.402969896793,          4000, -10.6526489258, -2.88886165619, -3.36309528351
