Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -10,             0, -64.7353897095, 5148.08398438,          6000, -60.8781051636,  -15.09333992, 5.88783740997
        0.025,             0, -9.98999977112,             0, -64.813293457, 5147.99560547,          6000, -60.8773345947, -15.0934505463, 5.76022815704
         0.05,             0, -9.97999954224,             0, -64.8913421631, 5147.90478516,          6000, -60.8765411377, -15.0935611725, 5.63236522675
        0.075,             0, -9.97000026703,             0, -64.9695358276, 5147.81201172,          6000, -60.8757286072, -15.0936717987, 5.50424861908
          0.1,             0, -9.96000003815,             0, -65.0478744507, 5147.71679688,          6000, -60.8748970032, -15.0937824249, 5.37587785721
        0.125,             0, -9.94999980927,             0, -65.1263580322, 5147.61914062,          6000, -60.874042511, -15.0938920975, 5.24725246429
         0.15,             0, -9.93999958038,             0, -65.2049942017, 5147.51904297,          6000, -60.8731689453, -15.0940027237,  5.1183719635
        0.175,             0, -9.93000030518,             0, -65.2837677002, 5147.41650391,          6000, -60.8722724915, -15.0941123962, 4.98923635483
          0.2,             0, -9.92000007629,             0, -65.3626861572, 5147.31201172,          6000, -60.8713569641, -15.0942220688, 4.85984420776
        0.225,             0, -9.90999984741,             0, -65.4417572021, 5147.20507812,          6000, -60.8704223633, -15.0943317413, 4.73019599915
         0.25,             0, -9.89999961853,             0, -65.5209732056, 5147.09570312,          6000, -60.8694648743, -15.0944404602,  4.6002907753
        0.275,             0, -9.89000034332,             0, -65.6003417969, 5146.98339844,          6000, -60.8684883118, -15.0945501328, 4.47012853622
          0.3,             0, -9.88000011444,             0, -65.6798477173, 5146.86914062,          6000, -60.8674888611, -15.0946588516, 4.33970832825
        0.325,             0, -9.86999988556,             0, -65.759513855, 5146.75244141,          6000, -60.8664665222, -15.0947685242, 4.20903015137
         0.35,             0, -9.85999965668,             0, -65.8393173218, 5146.63330078,          6000, -60.8654251099, -15.094877243, 4.07809352875
        0.375,             0, -9.85000038147,             0, -65.9192733765, 5146.51171875,          6000, -60.8643608093, -15.0949859619, 3.94689798355
          0.4,             0, -9.84000015259,             0, -65.999382019, 5146.38769531,          6000, -60.8632774353, -15.0950946808, 3.81544280052
        0.425,             0, -9.82999992371,             0, -66.0796356201, 5146.26074219,          6000, -60.8621711731, -15.0952033997, 3.68372774124
         0.45,             0, -9.81999969482,             0, -66.1600494385, 5146.13183594,          6000, -60.8610420227, -15.0953111649, 3.55175256729
        0.475,             0, -9.81000041962,             0, -66.2406005859,          5146,          6000, -60.8598899841, -15.0954198837,   3.419516325
          0.5,             0, -9.80000019073,             0, -66.3213119507, 5145.86621094,          6000, -60.8587188721, -15.0955276489, 3.28701925278
        0.525,             0, -9.78999996185,             0, -66.4021682739, 5145.72949219,          6000, -60.8575210571, -15.0956354141, 3.15426039696
         0.55,             0, -9.77999973297,             0, -66.4831771851, 5145.58984375,          6000, -60.8563041687, -15.0957431793, 3.02123951912
        0.575,             0, -9.77000045776,             0, -66.5643386841, 5145.44824219,          6000, -60.8550643921, -15.0958509445, 2.88795638084
          0.6,             0, -9.76000022888,             0, -66.645652771, 5145.30371094,          6000, -60.8538017273, -15.0959587097, 2.75441002846
        0.625,             0,         -9.75,             0, -66.7271194458, 5145.15673828,          6000, -60.8525161743, -15.0960655212, 2.62060070038
         0.65,             0, -9.73999977112,             0, -66.8087387085, 5145.00732422,          6000, -60.8512077332, -15.0961732864, 2.48652744293
        0.675,             0, -9.72999954224,             0, -66.8905105591, 5144.85498047,          6000, -60.8498802185, -15.096280098,  2.3521900177
          0.7,             0, -9.72000026703,             0, -66.972442627, 5144.69970703,          6000, -60.848526001, -15.0963869095, 2.21758794785
        0.725,             0, -9.71000003815,             0, -67.0545196533, 5144.54248047,          6000, -60.8471450806, -15.096493721, 2.08272099495
         0.75,             0, -9.69999980927,             0, -67.136756897, 5144.38232422,          6000, -60.8457450867, -15.0966005325, 1.94758844376
        0.775,             0, -9.68999958038,             0, -67.2191467285, 5144.21923828,          6000, -60.8443222046, -15.0967073441, 1.81219005585
          0.8,             0, -9.68000030518,             0, -67.3016891479, 5144.05371094,          6000, -60.8428764343, -15.0968132019, 1.67652535439
        0.825,             0, -9.67000007629,             0, -67.3843917847, 5143.88525391,          6000, -60.8414039612, -15.0969200134, 1.54059398174
         0.85,             0, -9.65999984741,             0, -67.4672470093, 5143.71435547,          6000, -60.8399085999, -15.0970258713, 1.40439546108
        0.875,             0, -9.64999961853,             0, -67.5502624512, 5143.54052734,          6000, -60.8383903503, -15.0971317291, 1.26792931557
          0.9,             0, -9.64000034332,             0, -67.633430481, 5143.36376953,          6000, -60.8368453979, -15.097237587, 1.13119530678
        0.925,             0, -9.63000011444,             0, -67.716758728, 5143.18457031,          6000, -60.8352775574, -15.0973434448, 0.994192779064
         0.95,             0, -9.61999988556,             0, -67.800239563, 5143.00244141,          6000, -60.8336868286, -15.0974493027, 0.856921434402
        0.975,             0, -9.60999965668,             0, -67.8838806152, 5142.81738281,          6000, -60.832069397, -15.0975551605, 0.71938085556
            1,             0, -9.60000038147,             0, -67.9676818848, 5142.62988281,          6000, -60.8304290771, -15.0976600647, 0.581570625305
        1.025,             0, -9.59000015259,             0, -68.0516433716, 5142.43945312,          6000, -60.8287658691, -15.0977649689, 0.443490356207
         1.05,             0, -9.57999992371,             0, -68.1357574463, 5142.24609375,          6000, -60.8270721436, -15.0978708267, 0.305139541626
        1.075,             0, -9.56999969482,             0, -68.2200317383, 5142.04980469,          6000, -60.8253593445, -15.0979757309, 0.166517838836
          1.1,             0, -9.56000041962,             0, -68.304473877, 5141.85058594,          6000, -60.8236198425, -15.0980796814, 0.0276248119771
        1.125,             0, -9.55000019073,             0, -68.3890686035,  5141.6484375,          6000, -60.8218536377, -15.0981845856, -0.111539945006
         1.15,             0, -9.53999996185,             0, -68.4738235474, 5141.44384766,          6000,  -60.82006073, -15.0982894897, -0.250976860523
        1.175,             0, -9.52999973297,             0, -68.5587387085, 5141.23583984,          6000, -60.8182449341, -15.0983934402, -0.390686303377
          1.2,             0, -9.52000045776,             0, -68.6438217163, 5141.02490234,          6000, -60.8164024353, -15.0984983444, -0.530668735504
        1.225,             0, -9.51000022888,             0, -68.7290649414, 5140.81152344,          6000, -60.8145332336, -15.0986022949, -0.67092448473
         1.25,             0,          -9.5,             0, -68.8144607544, 5140.59472656,          6000, -60.8126411438, -15.0987062454, -0.811454057693
        1.275,             0, -9.48999977112,             0, -68.9000320435,      5140.375,          6000, -60.8107185364, -15.0988101959, -0.952257812023
          1.3,             0, -9.47999954224,             0, -68.9857559204, 5140.15234375,          6000, -60.8087730408, -15.0989131927, -1.09333610535
        1.325,             0, -9.47000026703,             0, -69.071647644, 5139.92675781,          6000, -60.8068008423, -15.0990171432, -1.23468947411
         1.35,             0, -9.46000003815,             0, -69.157699585, 5139.69775391,          6000, -60.8048019409, -15.0991201401, -1.37631809711
        1.375,             0, -9.44999980927,             0, -69.2439193726, 5139.46630859,          6000, -60.8027763367, -15.0992240906, -1.51822257042
          1.4,             0, -9.43999958038,             0, -69.3303070068, 5139.23144531,          6000, -60.8007240295, -15.0993270874, -1.66040325165
        1.425,             0, -9.43000030518,             0, -69.4168548584, 5138.99365234,          6000, -60.7986450195, -15.0994300842, -1.80286049843
