Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
            0, -0.0011014736956, 0.201118409634, 0.148498013616, 61.9425926208, -12.7095565796, 5092.75683594, -4.36895799637, -0.514416337013
        0.001, -0.00154620152898, 0.200610250235, 0.147747009993, 56.4884376526, -16.7905845642, 5092.67919922, -4.31612443924, -0.336932688951
        0.002, -0.00194768432993, 0.200436741114, 0.147526666522, 49.2055740356, -20.8184165955,    5092.59375, -4.27962684631, -0.165269747376
        0.003, -0.00230298237875, 0.200269147754, 0.147309973836,  40.576965332, -24.762878418, 5092.51464844, -4.24386310577, 0.00304589304142
        0.004, -0.00260713277385, 0.200107142329, 0.147096842527, 30.8602714539, -28.6258831024, 5092.44287109, -4.20881605148, 0.168109238148
        0.005, -0.00285668112338, 0.199950292706, 0.146887078881, 20.3219509125, -32.4092140198, 5092.37939453, -4.17446804047, 0.329997271299
        0.006, -0.00304965092801, 0.199798211455, 0.146680548787, 9.23023414612, -36.1145324707, 5092.32421875, -4.14080142975, 0.488770723343
        0.007, -0.00318549270742, 0.199650451541, 0.146477073431, -2.15117812157, -39.7434082031, 5092.27783203, -4.10780000687, 0.644476413727
        0.008, -0.00326499762014, 0.199563622475, 0.146279573441, -13.5689353943, -43.2975730896, 5092.23974609, -4.07553815842, 0.797139286995
        0.009, -0.00329020898789, 0.199421957135, 0.146081730723, -24.7851238251, -46.7784843445, 5092.21044922, -4.04381513596, 0.946832299232
         0.01, -0.00326426839456, 0.199283674359, 0.14588662982, -35.5819129944, -50.1871490479, 5092.18896484, -4.01271629333, 1.09354007244
        0.011, -0.00319128762931, 0.199148446321, 0.145694166422, -45.7651481628, -53.5248451233, 5092.17529297, -3.98222756386,  1.2372803688
        0.012, -0.00307618710212, 0.199015915394, 0.145504251122, -55.1673278809, -56.7928237915, 5092.16845703, -3.9523370266, 1.37806987762
        0.013, -0.00292452867143, 0.198885783553, 0.145316854119, -63.6496658325, -59.9923057556, 5092.16796875, -3.92303347588, 1.51592600346
        0.014, -0.00274234591052, 0.198757782578, 0.145131900907, -71.1034088135, -63.1244850159, 5092.17285156, -3.89430546761,   1.650867939
