Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,             0,             0, -4361.98144531, -4.49146270752,          6000, -15.9433870316,             0, -4.85175275803
        0.025, -0.990000009537,             0,             0, -4368.02392578, -4.43556118011,          6000, -15.9438734055, -0.221315920353, -4.85708713531
         0.05, -0.980000019073,             0,             0, -4374.17431641, -4.37860250473,          6000, -15.9443683624, -0.442585259676, -4.8625164032
        0.075, -0.97000002861,             0,             0, -4379.84521484, -4.31991386414,          6000, -15.9425525665, -0.663674890995, -4.86736488342
          0.1, -0.959999978542,             0,             0, -4386.56298828, -4.26112794876,          6000, -15.9444169998, -0.884749591351, -4.87338542938
        0.125, -0.949999988079,             0,             0, -4393.39941406, -4.20118045807,          6000, -15.9462928772, -1.10567176342, -4.87950992584
         0.15, -0.939999997616,             0,             0, -4400.35693359, -4.14003801346,          6000, -15.9481801987, -1.32639467716, -4.88574123383
        0.175, -0.930000007153,             0,             0, -4406.6484375, -4.07686138153,          6000, -15.9469890594, -1.54660379887, -4.89117479324
          0.2, -0.920000016689,             0,             0, -4413.51025391, -4.01288795471,          6000, -15.9475450516, -1.76661646366, -4.89722824097
        0.225, -0.910000026226,             0,             0, -4420.50244141, -3.94762134552,          6000, -15.9481105804, -1.98625731468, -4.90339612961
         0.25, -0.899999976158,             0,             0, -4427.62841797, -3.88102221489,          6000, -15.9486885071, -2.20548009872, -4.90968132019
        0.275, -0.889999985695,             0,             0, -4434.89208984, -3.81304979324,          6000, -15.9492778778, -2.42423868179, -4.91608762741
          0.3, -0.879999995232,             0,             0, -4442.29785156, -3.74366116524,          6000, -15.9498786926, -2.6424870491, -4.92261791229
        0.325, -0.870000004768,             0,             0, -4449.84912109, -3.67281222343,          6000, -15.9504928589, -2.86017894745, -4.92927646637
         0.35, -0.860000014305,             0,             0, -4457.55078125, -3.60045695305,          6000, -15.9511194229, -3.0772690773, -4.93606615067
        0.375, -0.850000023842,             0,             0, -4465.40722656, -3.52654719353,          6000, -15.9517593384, -3.29371142387, -4.94299173355
          0.4, -0.839999973774,             0,             0, -4473.42285156, -3.45103263855,          6000, -15.952413559, -3.50946044922, -4.95005702972
        0.425, -0.829999983311,             0,             0, -4481.60205078, -3.37386083603,          6000, -15.953081131, -3.72447061539, -4.95726585388
         0.45, -0.819999992847,             0,             0, -4489.95068359, -3.29497742653,          6000, -15.9537639618, -3.93869709969, -4.96462249756
        0.475, -0.810000002384,             0,             0, -4498.47314453, -3.21432566643,          6000, -15.9544620514, -4.15209436417, -4.97213172913
          0.5, -0.800000011921,             0,             0, -4507.17529297, -3.13184547424,          6000, -15.9551753998, -4.36461782455, -4.97979879379
        0.525, -0.790000021458,             0,             0,    -4516.0625, -3.04747486115,          6000, -15.9559049606, -4.57622241974, -4.98762750626
         0.55, -0.77999997139,             0,             0, -4525.14111328, -2.96114873886,          6000, -15.9566516876, -4.78686380386, -4.99562358856
        0.575, -0.769999980927,             0,             0, -4534.41601562, -2.8727991581,          6000, -15.9574155807, -4.99649763107, -5.00379276276
          0.6, -0.759999990463,             0,             0, -4543.89453125, -2.78235507011,          6000, -15.9581975937, -5.20507955551, -5.01213932037
        0.625,         -0.75,             0,             0, -4553.58349609, -2.6897418499,          6000, -15.9589977264,  -5.412566185, -5.02066993713
         0.65, -0.740000009537,             0,             0, -4563.48876953, -2.59488129616,          6000, -15.9598178864, -5.61891317368, -5.02939033508
        0.675, -0.730000019073,             0,             0, -4573.61767578, -2.49769186974,          6000, -15.9606580734, -5.82407808304, -5.03830718994
          0.7, -0.72000002861,             0,             0, -4583.97851562, -2.39808797836,          6000, -15.9615192413, -6.02801656723, -5.04742622375
        0.725, -0.709999978542,             0,             0,  -4594.578125, -2.2959792614,          6000, -15.9624013901, -6.23068618774, -5.05675458908
         0.75, -0.699999988079,             0,             0, -4605.42529297, -2.1912715435,          6000, -15.963306427, -6.43204450607, -5.06629943848
        0.775, -0.689999997616,             0,             0, -4616.52832031, -2.08386564255,          6000, -15.9642343521, -6.63204908371, -5.0760679245
          0.8, -0.680000007153,             0,             0, -4627.89550781, -1.97365748882,          6000, -15.9651861191, -6.83065748215, -5.08606815338
        0.825, -0.670000016689,             0,             0, -4639.53662109, -1.86053740978,          6000, -15.9661636353, -7.02782821655, -5.09630823135
         0.85, -0.660000026226,             0,             0, -4651.4609375, -1.74439036846,          6000, -15.9671678543, -7.22351980209, -5.10679578781
        0.875, -0.649999976158,             0,             0, -4663.67871094, -1.6250950098,          6000, -15.9681978226, -7.41769075394, -5.1175403595
          0.9, -0.639999985695,             0,             0, -4676.20068359, -1.50252366066,          6000, -15.9692573547, -7.61030054092, -5.12855100632
        0.925, -0.629999995232,             0,             0, -4689.03759766, -1.37654161453,          6000, -15.9703454971, -7.80130815506, -5.13983726501
         0.95, -0.620000004768,             0,             0, -4702.20068359, -1.24700713158,          6000, -15.9714651108, -7.99067354202, -5.15140914917
        0.975, -0.610000014305,             0,             0, -4715.70214844, -1.11377024651,          6000, -15.9726161957, -8.17835712433, -5.1632771492
            1, -0.600000023842,             0,             0, -4729.55517578, -0.976672947407,          6000, -15.9738006592, -8.36431980133, -5.17545223236
        1.025, -0.589999973774,             0,             0, -4743.77197266, -0.835548102856,          6000, -15.9750204086, -8.54852104187, -5.18794631958
         1.05, -0.579999983311,             0,             0, -4758.36669922, -0.690218985081,          6000, -15.9762763977, -8.73092365265, -5.20077085495
        1.075, -0.569999992847,             0,             0, -4773.35351562, -0.540498733521,          6000, -15.9775695801, -8.91148853302, -5.21393871307
          1.1, -0.560000002384,             0,             0, -4788.74755859, -0.386189371347,          6000, -15.9789037704, -9.09017753601, -5.22746324539
        1.125, -0.550000011921,             0,             0, -4804.56494141, -0.227081164718,          6000, -15.9802789688, -9.26695251465, -5.24135780334
         1.15, -0.540000021458,             0,             0, -4820.82177734, -0.0629517734051,          6000, -15.9816970825, -9.44177722931, -5.25563764572
