Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
            0, 6.1609966906e-06, 0.201123133302, 0.148491621017, 7.53505128159e-06, -12.7403087616, 5092.70410156, -4.36387681961, -0.505279839039
        0.001, -0.000215803054743, 0.200813919306, 0.14778880775, -0.950665354729, -15.7434902191, 5092.69628906, -4.3202586174, -0.375886648893
        0.002, -0.000424968689913, 0.200615972281, 0.147613108158, -4.55985403061, -19.0906658173, 5092.69873047, -4.28990507126, -0.238317549229
        0.003, -0.000612286443356, 0.200470611453, 0.147423684597, -10.0712375641, -22.6502819061, 5092.70068359, -4.25755643845, -0.09371329844
        0.004, -0.000770746206399, 0.200346827507, 0.147227570415, -17.124382019, -26.2594261169,   5092.703125, -4.2246465683, 0.0516243875027
        0.005, -0.000895418517757, 0.20026062429, 0.147032171488, -25.2133522034, -29.8343162537, 5092.70605469, -4.19202756882, 0.194772273302
        0.006, -0.000984112732112, 0.200178131461, 0.146840259433, -33.7137260437, -33.3369483948, 5092.70996094, -4.1600651741, 0.334709882736
        0.007, -0.00103714235593, 0.20007519424, 0.146652042866, -42.0080108643, -36.7494888306, 5092.71533203, -4.12889766693, 0.471193552017
        0.008, -0.00105710676871, 0.199944257736, 0.146467298269, -49.5773048401, -40.0603942871, 5092.72363281, -4.09860229492, 0.604144454002
        0.009, -0.00104840344284, 0.199787810445, 0.146285995841, -56.0404548645, -43.2600135803,   5092.734375, -4.06924772263, 0.733450591564
         0.01, -0.00101663183887, 0.199613451958, 0.146108463407, -61.1609764099, -46.3390426636, 5092.74853516, -4.04091024399, 0.858900308609
        0.011, -0.000968000967987, 0.199430346489, 0.145935356617, -64.8383636475, -49.2875900269, 5092.76611328, -4.01368045807, 0.980148077011
        0.012, -0.00090879376512, 0.199246749282, 0.145767465234, -67.0904159546, -52.0983161926, 5092.78662109, -3.98763489723, 1.09685993195
        0.013, -0.000844918831717, 0.199069023132, 0.14560559392, -68.0319290161, -54.764629364, 5092.81005859, -3.96284341812, 1.20865440369
