Time,Alpha_L1,Alpha_L2,Alpha_R1,Alpha_R2,AVz,Ay,Bk_Stat,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,GearStat,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,PitchO1,Roll,RollGL1,RollGL2,RollGR1,RollGR2,RollO_1,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_R1,Steer_SW,VisO_1,Vx,VxTarget,Vxz_Fwd,Xctc_L1,Xctc_L2,Xctc_R1,Xctc_R2,Xo,X_L1,X_L2,X_Obj_1,X_R1,X_R2,Yaw,YawO_1,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1,Yctc_L2,Yctc_R1,Yctc_R2,Yo,Y_L1,Y_L2,Y_Obj_1,Y_R1,Y_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2,Zo,Z_L1,Z_L2,Z_Obj_1,Z_R1,Z_R2
0, 8.36383362954e-18, -0, -8.36383362954e-18, -0, 0, 1.932599652923e-20, 0, -2.629323907209e-11, 0, -2.629323907209e-11, 0, -3.29522231126e-19, -0, 3.29522231126e-19, -0, 4705.658697437, 2654.825674813, 4705.658697437, 2654.825674813, 6, 0, 0, 0.1506696057217, -0, -0, -0, -0, -0, 0, 0, 0, 0, 0, 0, 0, 3.180543684351e-15, 0, -3.180543684351e-15, 0, 0.0004185266825604, 0.0004185266825604, 0.0004185266825604, 0.0004185266825604, 0, 0, 0, 0, 1, 120, 120, 120, 0.0008546452433101, -2.909135293117, 0.0008546452433101, -2.909135293117, 0, 0.0008546452433101, -2.909135293117, 16.66666666667, 0.0008546452433101, -2.909135293117, 0, 0, -3.195270793007e-15, 0, 3.195270793007e-15, 0, 0.8375, 0.8375, -0.8375, -0.8375, 0, 0.8375, 0.8375, 0, -0.8375, -0.8375, -0, -0, -0, -0, -0.00855730425281, 0.3164415720245, 0.3240939340492, 0, 0.3164415720245, 0.3240939340492
0.025, -0.0004167706485, 0.0003094869414949, 0.0004167706485, -0.0003094869414949, -7.750046700906e-18, 1.590723145947e-19, 0, -29.30968198498, -14.58537203461, -29.30968198498, -14.58537203461, 0.3466087565685, -0.1922079006805, -0.3466087565685, 0.1922079006805, 4687.875353343, 2659.397599227, 4687.875353343, 2659.397599227, 6, 0, -7.757334349351e-21, 0.1479306458247, -0, -0, -0, -0, -0, -8.314565523671e-19, 0, 0, 0, 0, 0, -8.31459323656e-19, -0.0005059926133648, 0.0003667848218086, 0.0005059926133648, -0.0003667848218086, 0.4083855942329, 0.4083983880462, 0.4083855942329, 0.4083983880462, 0.8332540318204, 0.0002347778309585, -0.0002347778309585, 5.237663088463e-19, 1, 119.9694695618, 120, 119.9690474582, 0.8340905316889, -2.075898176699, 0.8340905316889, -2.075898176699, 0.8332540318204, 0.8340905316774, -2.075898176703, 17.49562173434, 0.8340905316774, -2.075898176703, -6.704736593298e-21, 0, 0.0002360850269949, -0.0001164579821991, -0.0002360850269949, 0.0001164579821991, 0.8374983512408, 0.8375019195292, -0.8374983512408, -0.8375019195292, -7.757334349351e-21, 0.8375011463973, 0.8374998449177, 0, -0.8375011463973, -0.8374998449177, -0, -5.551115123126e-17, -0, -5.551115123126e-17, -0.008449549423427, 0.3165079277737, 0.3240768746231, 0, 0.3165079277737, 0.3240768746231
0.05, -0.001359556843384, 0.0007793785946001, 0.001359556843384, -0.0007793785946001, 2.489793095365e-18, 5.270153876149e-19, 0, -38.3646205319, -14.73008184129, -38.3646205319, -14.73008184129, 1.292462757657, -0.5529824712509, -1.292462757657, 0.5529824712509, 4637.893075144, 2669.241739556, 4637.893075144, 2669.241739556, 6, 0, -7.953943971991e-20, 0.1409655670422, -0, -0, -0, -0, -0, -9.627954655196e-18, 0, 0, 0, 0, 0, -9.627983794955e-18, -0.001752877229219, 0.001114922044122, 0.001752877229219, -0.001114922044122, 0.8162146502867, 0.8162562336947, 0.8162146502867, 0.8162562336947, 1.666326007274, 0.0009489238993666, -0.0009489238993666, 3.963661873407e-18, 1, 119.9372179305, 120, 119.9365444603, 1.667121082078, -1.24286561168, 1.667121082078, -1.24286561168, 1.666326007274, 1.667121081917, -1.242865611727, 18.32417940454, 1.667121081917, -1.242865611727, 5.79231126332e-20, 0, 0.0009532394071808, -0.0004255549907217, -0.0009532394071808, 0.0004255549907217, 0.8374942547118, 0.837505833821, -0.8374942547118, -0.837505833821, -7.953943971991e-20, 0.8375039434961, 0.8374995283042, 0, -0.8375039434961, -0.8374995283042, -5.551115123126e-17, -0, -5.551115123126e-17, -0, -0.008161672811418, 0.3166944286759, 0.3240401427015, 0, 0.3166944286759, 0.3240401427015
0.075, -0.002943328700219, 0.001312504499695, 0.002943328700219, -0.001312504499695, 1.72862609798e-17, -7.852743281329e-19, 0, -47.48147761137, -14.36860059933, -47.48147761137, -14.36860059933, 3.124152479518, -1.007729274512, -3.124152479518, 1.007729274512, 4583.734052945, 2672.195435606, 4583.734052945, 2672.195435606, 6, 0, -1.810646332954e-19, 0.1321695914952, -0, -0, -0, -0, -0, -2.354763866027e-17, 0, 0, 0, 0, 0, -2.354770131244e-17, -0.004124217148213, 0.002167239805653, 0.004124217148213, -0.002167239805653, 1.223900749353, 1.224006970315, 1.223900749353, 1.224006970315, 2.499186473072, 0.002255124360535, -0.002255124360535, 5.62828825367e-18, 1, 119.9038555371, 120, 119.9031591836, 2.499928487185, -0.4100546797614, 2.499928487185, -0.4100546797614, 2.499186473072, 2.499928486284, -0.4100546799616, 19.15240302635, 2.499928486284, -0.4100546799616, 3.253062378727e-19, 0, 0.00226464409914, -0.0009359789872937, -0.00226464409914, 0.0009359789872937, 0.8374863967017, 0.8375113383925, -0.8374863967017, -0.8375113383925, -1.810646332954e-19, 0.837509207283, 0.8374990818386, 0, -0.837509207283, -0.8374990818386, -0, -0, -0, -0, -0.007766868830913, 0.3168965139069, 0.3240291212771, 0, 0.3168965139069, 0.3240291212771
0.1, -0.004987847475617, 0.001392842925812, 0.004987847475617, -0.001392842925812, -1.473701166094e-17, 7.25519337508e-19, 0, -52.86777288165, -14.05131122893, -52.86777288165, -14.05131122893, 5.79562394398, -1.253096285973, -5.79562394398, 1.253096285973, 4545.592746494, 2664.190837302, 4545.592746494, 2664.190837302, 6, 0, -2.374827287229e-19, 0.1239636816471, -0, -0, -0, -0, -0, -3.198091720933e-17, 0, 0, 0, 0, 0, -3.198099206168e-17, -0.007504756800825, 0.002946976576074, 0.007504756800825, -0.002946976576074, 1.631443787101, 1.631643658357, 1.631443787101, 1.631643658357, 3.331806960298, 0.004094125022866, -0.004094125022866, 1.069698032172e-17, 1, 119.8696608871, 120, 119.8691043594, 3.332498347184, 0.4225193831016, 3.332498347184, 0.4225193831016, 3.331806960298, 3.332498344205, 0.4225193827418, 19.98029367688, 3.332498344205, 0.4225193827418, 2.241819197113e-19, 0, 0.004110371730356, -0.001236882605638, -0.004110371730356, 0.001236882605638, 0.8374750467342, 0.8375154206835, -0.8374750467342, -0.8375154206835, -2.374827287229e-19, 0.8375165733413, 0.8374987528895, 0, -0.8375165733413, -0.8374987528895, -0, -5.551115123126e-17, -0, -5.551115123126e-17, -0.007350451355927, 0.3170388303158, 0.3240589889844, 0, 0.3170388303158, 0.3240589889844
0.125, -0.007202559484335, 0.001107615306359, 0.007202559484334, -0.001107615306359, -4.870916387353e-17, 4.389240986253e-18, 0, -53.8702964384, -13.89417709619, -53.8702964384, -13.89417709619, 8.952210666221, -1.112660838423, -8.952210666221, 1.112660838423, 4529.612737528, 2650.649727, 4529.612737528, 2650.649727, 6, 0, -5.254043770962e-19, 0.1175963802015, -0, -0, -0, -0, -0, -6.517942359188e-17, 0, 0, 0, 0, 0, -6.517956087714e-17, -0.01141225489442, 0.002911919104532, 0.01141225489442, -0.002911919104533, 2.038854778029, 2.039161176202, 2.038854778029, 2.039161176202, 4.164172280829, 0.006227333411877, -0.006227333411877, 4.29851277471e-17, 1, 119.8351285124, 120, 119.8347511542, 4.164823104269, 1.254847875901, 4.164823104269, 1.254847875901, 4.164172280829, 4.164823097378, 1.254847875528, 20.80788771892, 4.164823097378, 1.254847875528, -5.819121753529e-19, 0, 0.006250769575711, -0.001294844176614, -0.006250769575711, 0.001294844176614, 0.8374617225571, 0.8375152459244, -0.8374617225571, -0.8375152459244, -5.254043770962e-19, 0.8375248826787, 0.8374987738439, 0, -0.8375248826787, -0.8374987738439, -0, 5.551115123126e-17, -0, 5.551115123126e-17, -0.006975122445706, 0.3170984536444, 0.3241095155255, 0, 0.3170984536444, 0.3241095155255
0.15, -0.009311155957136, 0.0004154237832109, 0.009311155957135, -0.0004154237832111, -6.601507115337e-17, 2.261347461638e-17, 0, -51.18987009261, -13.91142966634, -51.18987009261, -13.91142966634, 12.1751733158, -0.6383492598938, -12.1751733158, 0.638349259894, 4531.548052299, 2640.039406992, 4531.548052299, 2640.039406992, 6, 0, -1.431836021661e-18, 0.1130207680844, -0, -0, -0, -0, -0, -1.699366523736e-16, 0, 0, 0, 0, 0, -1.699369829935e-16, -0.01531697106094, 0.002008057998631, 0.01531697106094, -0.002008057998631, 2.446148310123, 2.446558212205, 2.446148310123, 2.446558212205, 4.99628215716, 0.008367806352347, -0.008367806352347, 1.293527408758e-16, 1, 119.8007298069, 120, 119.800478426, 4.996902765358, 2.086930159717, 4.996902765358, 2.086930159717, 4.99628215716, 4.996902752933, 2.086930159546, 21.6352374941, 4.996902752933, 2.086930159546, -2.191051096162e-18, 0, 0.008398036692005, -0.0008632128072139, -0.008398036692004, 0.0008632128072139, 0.8374482004579, 0.8375105243538, -0.8374482004579, -0.8375105243538, -1.431836021661e-18, 0.8375329689567, 0.8374991638276, 0, -0.8375329689567, -0.8374991638276, -0, -0, -0, -0, -0.006668071701009, 0.3170912272802, 0.3241491064913, 0, 0.3170912272802, 0.3241491064913
0.175, -0.01115493409701, -0.0001911335291522, 0.01115493409701, 0.0001911335291519, 6.393646275463e-16, 5.873997336638e-17, 0, -46.00858713894, -14.05466244772, -46.00858713894, -14.05466244772, 15.1241491856, -0.05077022447949, -15.1241491856, 0.05077022447967, 4542.871731997, 2637.316783626, 4542.871731997, 2637.316783626, 6, 0, -2.89116162908e-18, 0.1094999572573, -0, -0, -0, -0, -0, -3.630710623837e-16, 0, 0, 0, 0, 0, -3.630717254317e-16, -0.01884898564015, 0.0006654072635201, 0.01884898564015, -0.0006654072635208, 2.853337746865, 2.853836503726, 2.853337746865, 2.853836503726, 5.82814530711, 0.01031161172765, -0.01031161172765, 1.630557035219e-16, 1, 119.7668193123, 120, 119.7666141233, 5.828742230166, 2.918771252797, 5.828742230166, 2.918771252797, 5.82814530711, 5.828742211329, 2.918771252777, 22.46239726868, 5.828742211329, 2.918771252777, 1.357220371573e-18, 0, 0.01034765355563, -0.0003076897933446, -0.01034765355563, 0.0003076897933446, 0.8374357956853, 0.8375034967342, -0.8374357956853, -0.8375034967342, -2.89116162908e-18, 0.8375400974617, 0.8374997320951, 0, -0.8375400974617, -0.8374997320951, 5.551115123126e-17, -0, 5.551115123126e-17, -0, -0.006427086797993, 0.3170489689182, 0.3241592657109, 0, 0.3170489689182, 0.3241592657109
0.2, -0.01269907667982, -0.0005459841041689, 0.01269907667982, 0.0005459841041682, 4.516848375766e-15, 2.736392546464e-16, 0, -39.58008243986, -14.25393056971, -39.58008243986, -14.25393056971, 17.61776169811, 0.3808455290215, -17.61776169811, -0.3808455290211, 4555.76052044, 2641.850251574, 4555.76052044, 2641.850251574, 6, 0, -4.029909599444e-18, 0.1062907186898, -0, -0, -0, -0, -0, -6.313952953743e-16, 0, 0, 0, 0, 0, -6.313963818434e-16, -0.02185908861042, -0.0005355882497206, 0.02185908861042, 0.0005355882497195, 3.260432738714, 3.260999262216, 3.260432738714, 3.260999262216, 6.659772481816, 0.01197385349379, -0.01197385349378, -4.275572179643e-16, 1, 119.7336098896, 120, 119.7333950141, 6.660348155622, 3.750378369633, 6.660348155622, 3.750378369633, 6.659772481816, 6.660348130262, 3.750378369623, 23.28941067822, 6.660348130262, 3.750378369623, 3.921873006804e-17, 0, 0.01201442544347, 0.0001897094933071, -0.01201442544347, -0.0001897094933071, 0.8374250926177, 0.8374972005377, -0.8374250926177, -0.8374972005377, -4.029909599444e-18, 0.8375460325955, 0.8375002305485, 0, -0.8375460325955, -0.8375002305485, -0, -5.551115123126e-17, -0, -5.551115123126e-17, -0.006234579094899, 0.3170008705104, 0.3241423497934, 0, 0.3170008705104, 0.3241423497934
0.225, -0.01396607898455, -0.0006216306912977, 0.01396607898455, 0.0006216306912969, 3.318313354429e-15, 9.281562406769e-17, 0, -31.80724614648, -14.4615222427, -31.80724614648, -14.46152224272, 19.60342695889, 0.5508127561459, -19.60342695889, -0.5508127561452, 4565.49354925, 2649.530287925, 4565.49354925, 2649.530287925, 6, 0, -3.844455564657e-18, 0.1029998021197, -0, -0, -0, -0, -0, -9.331632935206e-16, 0, 0, 0, 0, 0, -9.331648013623e-16, -0.02437459258136, -0.001205320688884, 0.02437459258136, 0.001205320688883, 3.667439526146, 3.668049880325, 3.667439526146, 3.668049880325, 7.491172389783, 0.01334168599955, -0.01334168599955, -1.997260538912e-15, 1, 119.7012101665, 120, 119.7009677515, 7.491727034178, 4.581758447991, 7.491727034178, 4.581758447991, 7.491172389783, 7.491727002676, 4.581758447933, 24.11630679972, 7.491727002676, 4.581758447933, 1.229748693121e-16, 0, 0.01338552546216, 0.0004923289149565, -0.01338552546216, -0.0004923289149563, 0.8374160511392, 0.837493684552, -0.8374160511392, -0.837493684552, -3.844455564657e-18, 0.8375508932171, 0.8375005028716, 0, -0.8375508932171, -0.8375005028716, -0, -5.551115123126e-17, -0, -5.551115123126e-17, -0.006070289677503, 0.3169645476267, 0.3241136928838, 0, 0.3169645476267, 0.3241136928838
