Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -10,             0, 2.86858539766e-06, 5058.08984375,          6000, -44.1136016846, -15.9287805557, 7.54804992676
        0.025,             0, -9.98999977112,             0, 2.87151556222e-06, 5058.08984375,          6000, -44.1136016846, -15.9288406372, 7.54804992676
         0.05,             0, -9.97999954224,             0, 2.87445254799e-06, 5058.08984375,          6000, -44.1136016846, -15.9289007187, 7.54804992676
        0.075,             0, -9.97000026703,             0, 2.87739408122e-06, 5058.08984375,          6000, -44.1136016846, -15.9289608002, 7.54804992676
          0.1,             0, -9.96000003815,             0, 2.8803422083e-06, 5058.08984375,          6000, -44.1136016846, -15.9290208817, 7.54804992676
        0.125,             0, -9.94999980927,             0, 2.88329601972e-06, 5058.08984375,          6000, -44.1136016846, -15.9290809631, 7.54804992676
         0.15,             0, -9.93999958038,             0, 2.88625665235e-06, 5058.08984375,          6000, -44.1136016846, -15.9291400909, 7.54804992676
        0.175,             0, -9.93000030518,             0, 2.88922160507e-06, 5058.08984375,          6000, -44.1136016846, -15.9292001724, 7.54804992676
          0.2,             0, -9.92000007629,             0, 2.89219337901e-06, 5058.08984375,          6000, -44.1136016846, -15.9292593002, 7.54804992676
        0.225,             0, -9.90999984741,             0, 2.89517083729e-06, 5058.08984375,          6000, -44.1136016846, -15.9293193817, 7.54804992676
         0.25,             0, -9.89999961853,             0, 2.89815488941e-06, 5058.08984375,          6000, -44.1136016846, -15.9293785095, 7.54804992676
        0.275,             0, -9.89000034332,             0, 2.90114462587e-06, 5058.08984375,          6000, -44.1136016846, -15.9294376373, 7.54804992676
          0.3,             0, -9.88000011444,             0, 2.90414004667e-06, 5058.08984375,          6000, -44.1136016846, -15.9294977188, 7.54804992676
        0.325,             0, -9.86999988556,             0, 2.90714092444e-06, 5058.08984375,          6000, -44.1136016846, -15.9295568466, 7.54804992676
         0.35,             0, -9.85999965668,             0, 2.91014885079e-06, 5058.08984375,          6000, -44.1136016846, -15.9296159744, 7.54804992676
        0.375,             0, -9.85000038147,             0, 2.91316200673e-06, 5058.08984375,          6000, -44.1136016846, -15.9296751022, 7.54804992676
          0.4,             0, -9.84000015259,             0, 2.91618221127e-06, 5058.08984375,          6000, -44.1136016846,  -15.92973423, 7.54804992676
        0.425,             0, -9.82999992371,             0, 2.91920787276e-06, 5058.08984375,          6000, -44.1136016846, -15.9297933578, 7.54804992676
         0.45,             0, -9.81999969482,             0, 2.92224035547e-06, 5058.08984375,          6000, -44.1136016846, -15.9298524857, 7.54804992676
        0.475,             0, -9.81000041962,             0, 2.92527715828e-06, 5058.08984375,          6000, -44.1136016846, -15.9299116135, 7.54804992676
          0.5,             0, -9.80000019073,             0, 2.92832191917e-06, 5058.08984375,          6000, -44.1136016846, -15.9299697876, 7.54804992676
        0.525,             0, -9.78999996185,             0, 2.9313723644e-06, 5058.08984375,          6000, -44.1136016846, -15.9300289154, 7.54804992676
         0.55,             0, -9.77999973297,             0, 2.93442849397e-06, 5058.08984375,          6000, -44.1136016846, -15.9300880432, 7.54804992676
        0.575,             0, -9.77000045776,             0, 2.93749121738e-06, 5058.08984375,          6000, -44.1136016846, -15.9301462173, 7.54804992676
          0.6,             0, -9.76000022888,             0, 2.94055962513e-06, 5058.08984375,          6000, -44.1136016846, -15.9302053452, 7.54804992676
        0.625,             0,         -9.75,             0, 2.94363462672e-06, 5058.08984375,          6000, -44.1136016846, -15.9302635193, 7.54804992676
         0.65,             0, -9.73999977112,             0, 2.94671644951e-06, 5058.08984375,          6000, -44.1136016846, -15.9303216934, 7.54804992676
        0.675,             0, -9.72999954224,             0, 2.94980395665e-06, 5058.08984375,          6000, -44.1136016846, -15.9303808212, 7.54804992676
          0.7,             0, -9.72000026703,             0, 2.95289805763e-06, 5058.08984375,          6000, -44.1136016846, -15.9304389954, 7.54804992676
        0.725,             0, -9.71000003815,             0, 2.95599784295e-06, 5058.08984375,          6000, -44.1136016846, -15.9304971695, 7.54804992676
         0.75,             0, -9.69999980927,             0, 2.95910444947e-06, 5058.08984375,          6000, -44.1136016846, -15.9305553436, 7.54804992676
        0.775,             0, -9.68999958038,             0, 2.96221787721e-06, 5058.08984375,          6000, -44.1136016846, -15.9306135178, 7.54804992676
          0.8,             0, -9.68000030518,             0, 2.96533676192e-06, 5058.08984375,          6000, -44.1136016846, -15.9306716919, 7.54804992676
        0.825,             0, -9.67000007629,             0, 2.96846224046e-06, 5058.08984375,          6000, -44.1136016846, -15.930729866, 7.54804992676
         0.85,             0, -9.65999984741,             0, 2.97159476759e-06, 5058.08984375,          6000, -44.1136016846, -15.9307880402, 7.54804992676
        0.875,             0, -9.64999961853,             0, 2.97473275168e-06, 5058.08984375,          6000, -44.1136016846, -15.9308462143, 7.54804992676
          0.9,             0, -9.64000034332,             0, 2.97787755699e-06, 5058.08984375,          6000, -44.1136016846, -15.9309043884, 7.54804992676
        0.925,             0, -9.63000011444,             0, 2.98102895613e-06, 5058.08984375,          6000, -44.1136016846, -15.9309616089, 7.54804992676
         0.95,             0, -9.61999988556,             0, 2.98418717648e-06, 5058.08984375,          6000, -44.1136016846, -15.931019783, 7.54804992676
        0.975,             0, -9.60999965668,             0, 2.98735108117e-06, 5058.08984375,          6000, -44.1136016846, -15.9310779572, 7.54804992676
            1,             0, -9.60000038147,             0, 2.99052271657e-06, 5058.08984375,          6000, -44.1136016846, -15.9311351776, 7.54804992676
        1.025,             0, -9.59000015259,             0, 2.99370003631e-06, 5058.08984375,          6000, -44.1136016846, -15.9311933517, 7.54804992676
         1.05,             0, -9.57999992371,             0, 2.99688417726e-06, 5058.08984375,          6000, -44.1136016846, -15.9312505722, 7.54804992676
        1.075,             0, -9.56999969482,             0, 3.00007491205e-06, 5058.08984375,          6000, -44.1136016846, -15.9313077927, 7.54804992676
          1.1,             0, -9.56000041962,             0, 3.00327133118e-06, 5058.08984375,          6000, -44.1136016846, -15.9313659668, 7.54804992676
        1.125,             0, -9.55000019073,             0, 3.00647548102e-06, 5058.08984375,          6000, -44.1136016846, -15.9314231873, 7.54804992676
         1.15,             0, -9.53999996185,             0, 3.00968645206e-06, 5058.08984375,          6000, -44.1136016846, -15.9314804077, 7.54804992676
        1.175,             0, -9.52999973297,             0, 3.01290310745e-06, 5058.08984375,          6000, -44.1136016846, -15.9315376282, 7.54804992676
          1.2,             0, -9.52000045776,             0, 3.01612772091e-06, 5058.08984375,          6000, -44.1136016846, -15.9315948486, 7.54804992676
        1.225,             0, -9.51000022888,             0, 3.01935779135e-06, 5058.08984375,          6000, -44.1136016846, -15.9316520691, 7.54804992676
