Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -10,            -2, 2.34507842833e-06, 4148.76513672,          4000, 30.7048606873, -5.02750301361, -6.20572948456
        0.025,             0, -9.98999977112,            -2, 2.34738035942e-06,      4148.625,          4000, 30.6944580078, -5.02751207352, -6.1996512413
         0.05,             0, -9.97999954224,            -2, 2.34968729274e-06, 4148.48486328,          4000, 30.6840572357, -5.02752113342, -6.19357252121
        0.075,             0, -9.97000026703,            -2, 2.35199854615e-06, 4148.34521484,          4000, 30.6736545563, -5.02753019333, -6.18749332428
          0.1,             0, -9.96000003815,            -2, 2.35431411966e-06, 4148.20556641,          4000, 30.6632537842, -5.0275387764, -6.18141412735
        0.125,             0, -9.94999980927,            -2, 2.35663515014e-06, 4148.06591797,          4000, 30.6528530121, -5.0275478363, -6.17533397675
         0.15,             0, -9.93999958038,            -2, 2.35896027334e-06, 4147.92626953,          4000, 30.6424503326, -5.02755689621, -6.1692533493
        0.175,             0, -9.93000030518,            -2, 2.36128971665e-06, 4147.78662109,          4000, 30.6320495605, -5.02756547928, -6.16317272186
          0.2,             0, -9.92000007629,            -2, 2.36362438955e-06, 4147.64697266,          4000, 30.6216468811, -5.02757453918, -6.15709161758
        0.225,             0, -9.90999984741,            -2, 2.36596451941e-06, 4147.50732422,          4000,  30.611246109, -5.02758359909, -6.15101003647
         0.25,             0, -9.89999961853,            -2, 2.36830783251e-06, 4147.36816406,          4000, 30.6008453369, -5.02759218216, -6.14492750168
        0.275,             0, -9.89000034332,            -2, 2.37065637521e-06, 4147.22900391,          4000, 30.5904426575, -5.02760124207, -6.13884496689
          0.3,             0, -9.88000011444,            -2, 2.37301014749e-06, 4147.08984375,          4000, 30.5800418854, -5.02761030197, -6.13276195526
        0.325,             0, -9.86999988556,            -2, 2.37536823988e-06, 4146.95068359,          4000, 30.5696392059, -5.02761888504, -6.1266784668
         0.35,             0, -9.85999965668,            -2, 2.37773156186e-06, 4146.81152344,          4000, 30.5592384338, -5.02762794495, -6.1205945015
        0.375,             0, -9.85000038147,            -2, 2.38009920395e-06, 4146.67285156,          4000, 30.5488376617, -5.02763652802, -6.11451053619
          0.4,             0, -9.84000015259,            -2, 2.38247207562e-06, 4146.53369141,          4000, 30.5384349823, -5.02764558792, -6.10842561722
