Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,             0,            -5, 99.5228500366, 199.497848511,          2000, 53.1779899597, -5.63498258591, 8.95617580414
        0.025,             0,             0, -4.98999977112, 99.5153121948, 199.237426758,          2000, 53.0605926514, -5.63498449326, 8.93979358673
         0.05,             0,             0, -4.98000001907, 99.5077819824, 198.977020264,          2000,  52.943195343, -5.63498592377, 8.92341041565
        0.075,             0,             0, -4.96999979019, 99.5002746582, 198.716598511,          2000,   52.82579422, -5.63498735428, 8.90702724457
          0.1,             0,             0, -4.96000003815, 99.4927749634, 198.456161499,          2000, 52.7083969116, -5.63498926163, 8.89064407349
        0.125,             0,             0, -4.94999980927, 99.4852905273, 198.195739746,          2000, 52.5909996033, -5.63499069214,  8.8742609024
         0.15,             0,             0, -4.94000005722, 99.4778289795, 197.935302734,          2000, 52.4736022949, -5.63499259949, 8.85787773132
        0.175,             0,             0, -4.92999982834,  99.470375061, 197.674865723,          2000, 52.3562011719,   -5.63499403, 8.84149456024
          0.2,             0,             0, -4.92000007629, 99.4629364014, 197.414413452,          2000, 52.2388038635, -5.63499546051, 8.82511043549
        0.225,             0,             0, -4.90999984741, 99.4555206299,  197.15397644,          2000, 52.1214065552, -5.63499736786, 8.80872631073
         0.25,             0,             0, -4.90000009537, 99.4481124878,  196.89352417,          2000, 52.0040054321, -5.63499879837, 8.79234218597
        0.275,             0,             0, -4.88999986649, 99.4407196045, 196.633071899,          2000, 51.8866081238, -5.63500022888, 8.77595806122
          0.3,             0,             0, -4.88000011444,   99.43334198,  196.37260437,          2000, 51.7692070007, -5.63500165939, 8.75957393646
        0.325,             0,             0, -4.86999988556, 99.4259796143, 196.112136841,          2000, 51.6518096924, -5.63500356674, 8.74318981171
         0.35,             0,             0, -4.86000013351, 99.4186401367, 195.851669312,          2000, 51.5344085693, -5.63500499725, 8.72680568695
        0.375,             0,             0, -4.84999990463, 99.4113082886, 195.591201782,          2000, 51.4170074463, -5.63500642776, 8.71042060852
          0.4,             0,             0, -4.84000015259, 99.4039916992, 195.330718994,          2000, 51.2996101379, -5.63500785828, 8.69403553009
        0.425,             0,             0, -4.82999992371, 99.3966903687, 195.070236206,          2000, 51.1822090149, -5.63500976562, 8.67765140533
         0.45,             0,             0, -4.82000017166, 99.3894042969, 194.809753418,          2000, 51.0648078918, -5.63501119614,  8.6612663269
        0.475,             0,             0, -4.80999994278, 99.3821334839,  194.54927063,          2000, 50.9474105835, -5.63501262665, 8.64488124847
          0.5,             0,             0, -4.80000019073, 99.3748779297, 194.288772583,          2000, 50.8300094604, -5.63501405716, 8.62849617004
        0.525,             0,             0, -4.78999996185, 99.3676376343, 194.028274536,          2000, 50.7126083374, -5.63501548767, 8.61211109161
         0.55,             0,             0, -4.78000020981, 99.3604125977, 193.767776489,          2000, 50.5952072144, -5.63501739502, 8.59572505951
        0.575,             0,             0, -4.76999998093, 99.3531951904, 193.507263184,          2000, 50.4778060913, -5.63501882553, 8.57933998108
          0.6,             0,             0, -4.76000022888, 99.3460006714, 193.246749878,          2000, 50.3604049683, -5.63502025604, 8.56295394897
        0.625,             0,             0,         -4.75, 99.3388214111, 192.986236572,          2000, 50.2430038452, -5.63502168655, 8.54656887054
         0.65,             0,             0, -4.73999977112, 99.3316574097, 192.725708008,          2000, 50.1256027222, -5.63502311707, 8.53018283844
        0.675,             0,             0, -4.73000001907,  99.324508667, 192.465194702,          2000, 50.0082015991, -5.63502454758, 8.51379680634
          0.7,             0,             0, -4.71999979019, 99.3173675537, 192.204666138,          2000, 49.8908004761, -5.63502597809, 8.49741077423
        0.725,             0,             0, -4.71000003815, 99.3102493286, 191.944122314,          2000,  49.773399353, -5.63502788544, 8.48102474213
         0.75,             0,             0, -4.69999980927, 99.3031463623,  191.68359375,          2000,   49.65599823, -5.63502931595, 8.46463871002
        0.775,             0,             0, -4.69000005722, 99.2960510254, 191.423049927,          2000, 49.5385971069, -5.63503074646, 8.44825267792
          0.8,             0,             0, -4.67999982834, 99.2889785767, 191.162506104,          2000, 49.4211959839, -5.63503217697, 8.43186664581
        0.825,             0,             0, -4.67000007629, 99.2819213867, 190.901947021,          2000, 49.3037948608, -5.63503360748, 8.41548061371
         0.85,             0,             0, -4.65999984741, 99.2748718262, 190.641403198,          2000, 49.1863899231, -5.63503503799,  8.3990945816
        0.875,             0,             0, -4.65000009537, 99.2678451538, 190.380828857,          2000,    49.0689888, -5.63503646851, 8.38270759583
          0.9,             0,             0, -4.63999986649, 99.2608261108, 190.120269775,          2000,  48.951587677, -5.63503789902, 8.36632156372
        0.925,             0,             0, -4.63000011444, 99.2538299561, 189.859710693,          2000, 48.8341827393, -5.63503932953, 8.34993457794
         0.95,             0,             0, -4.61999988556, 99.2468414307, 189.599136353,          2000, 48.7167816162, -5.63504076004, 8.33354854584
        0.975,             0,             0, -4.61000013351, 99.2398757935, 189.338562012,          2000, 48.5993804932, -5.63504219055, 8.31716156006
            1,             0,             0, -4.59999990463, 99.2329177856, 189.077972412,          2000, 48.4819755554, -5.63504362106, 8.30077457428
        1.025,             0,             0, -4.59000015259,  99.225982666, 188.817382812,          2000, 48.3645744324, -5.63504505157,  8.2843875885
         1.05,             0,             0, -4.57999992371, 99.2190551758, 188.556793213,          2000, 48.2471694946, -5.63504648209,  8.2680015564
        1.075,             0,             0, -4.57000017166, 99.2121429443, 188.296203613,          2000, 48.1297683716, -5.6350479126, 8.25161457062
          1.1,             0,             0, -4.55999994278, 99.2052536011, 188.035614014,          2000, 48.0123634338, -5.63504934311, 8.23522758484
        1.125,             0,             0, -4.55000019073, 99.1983718872, 187.775009155,          2000, 47.8949623108, -5.63505077362, 8.21884059906
         1.15,             0,             0, -4.53999996185, 99.1915054321, 187.514404297,          2000,  47.777557373, -5.63505172729, 8.20245361328
        1.175,             0,             0, -4.53000020981, 99.1846618652,  187.25378418,          2000,   47.66015625, -5.63505315781,  8.1860666275
          1.2,             0,             0, -4.51999998093, 99.1778259277, 186.993164062,          2000, 47.5427513123, -5.63505458832, 8.16967964172
        1.225,             0,             0, -4.51000022888,  99.171005249, 186.732543945,          2000, 47.4253463745, -5.63505601883, 8.15329265594
         1.25,             0,             0,          -4.5, 99.1641998291, 186.471923828,          2000, 47.3079452515, -5.63505744934, 8.13690567017
        1.275,             0,             0, -4.48999977112,  99.157409668, 186.211288452,          2000, 47.1905403137, -5.63505887985, 8.12051868439
          1.3,             0,             0, -4.48000001907, 99.1506347656, 185.950668335,          2000,  47.073135376, -5.63506031036, 8.10413169861
        1.325,             0,             0, -4.46999979019, 99.1438827515,   185.6900177,          2000, 46.9557304382, -5.63506126404, 8.08774471283
         1.35,             0,             0, -4.46000003815, 99.1371383667, 185.429382324,          2000, 46.8383255005, -5.63506269455, 8.07135677338
        1.375,             0,             0, -4.44999980927, 99.1304092407, 185.168731689,          2000, 46.7209243774, -5.63506412506,  8.0549697876
          1.4,             0,             0, -4.44000005722, 99.1236953735, 184.908081055,          2000, 46.6035194397, -5.63506555557, 8.03858280182
        1.425,             0,             0, -4.42999982834, 99.1169967651,  184.64743042,          2000,  46.486114502, -5.63506698608, 8.02219581604
         1.45,             0,             0, -4.42000007629, 99.1103134155, 184.386764526,          2000, 46.3687095642, -5.63506793976, 8.00580883026
        1.475,             0,             0, -4.40999984741, 99.1036453247, 184.126113892,          2000, 46.2513046265, -5.63506937027, 7.98942136765
          1.5,             0,             0, -4.40000009537, 99.0969924927, 183.865432739,          2000, 46.1338996887, -5.63507080078, 7.97303438187
