Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,            -2,             0, -3499.60229492, 122.208808899,          4000,  2.0808763504, 38.3328170776, -0.0556350722909
        0.025, -0.990000009537,            -2,             0, -3499.59204102, 123.442871094,          4000, 2.08293747902, 38.3326911926, -0.0619620829821
         0.05, -0.980000019073,            -2,             0, -3499.58081055, 124.702102661,          4000, 2.08465361595, 38.3325538635, -0.0685359314084
        0.075, -0.97000002861,            -2,             0, -3499.5690918, 125.987266541,          4000, 2.08600568771,  38.332408905, -0.0753668397665
          0.1, -0.959999978542,            -2,             0, -3499.55664062, 127.299179077,          4000, 2.08697342873, 38.3322525024, -0.0824654698372
        0.125, -0.949999988079,            -2,             0, -3499.54345703, 128.638687134,          4000, 2.08753633499, 38.3320884705, -0.089842967689
         0.15, -0.939999997616,            -2,             0, -3499.52954102, 130.006668091,          4000, 2.08767199516, 38.3319168091, -0.0975109413266
        0.175, -0.930000007153,            -2,             0, -3499.51464844, 131.404037476,          4000, 2.08735775948, 38.3317337036, -0.105481512845
          0.2, -0.920000016689,            -2,             0, -3499.49902344, 132.831741333,          4000, 2.08656978607, 38.3315391541, -0.113767333329
        0.225, -0.910000026226,            -2,             0, -3499.48242188, 134.290786743,          4000, 2.08528327942, 38.3313293457, -0.122381597757
         0.25, -0.899999976158,            -2,             0, -3499.46459961, 135.782226562,          4000, 2.08347249031,  38.331111908, -0.131338059902
        0.275, -0.889999985695,            -2,             0, -3499.44580078, 137.307128906,          4000, 2.08111000061, 38.3308792114, -0.140651077032
          0.3, -0.879999995232,            -2,             0, -3499.42602539, 138.866653442,          4000, 2.07816815376, 38.3306350708, -0.150335595012
        0.325, -0.870000004768,            -2,             0, -3499.4050293, 140.461975098,          4000, 2.07461762428, 38.3303718567, -0.16040726006
         0.35, -0.860000014305,            -2,             0, -3499.38256836, 142.094345093,          4000, 2.07042789459, 38.3300933838, -0.170882299542
        0.375, -0.850000023842,            -2,             0, -3499.35888672, 143.765060425,          4000, 2.06556749344, 38.3297996521, -0.181777700782
          0.4, -0.839999973774,            -2,             0, -3499.33374023, 145.475509644,          4000, 2.06000351906, 38.3294906616, -0.193111121655
        0.425, -0.829999983311,            -2,             0, -3499.30688477, 147.227096558,          4000, 2.05370211601,  38.329158783, -0.204900994897
         0.45, -0.819999992847,            -2,             0, -3499.27880859, 149.021347046,          4000, 2.04662799835, 38.3288078308, -0.217166483402
        0.475, -0.810000002384,            -2,             0, -3499.2487793, 150.859817505,          4000, 2.03874444962, 38.3284339905, -0.22992759943
