Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,            -8,             0, -3499.04785156, 491.759124756,          4000, 8.29817199707, 38.3286476135, -0.223013281822
        0.025, -0.990000009537,            -8,             0, -3498.87060547, 496.701202393,          4000,  8.3054227829, 38.3264503479, -0.248375236988
         0.05, -0.980000019073,            -8,             0, -3498.68310547, 501.742675781,          4000, 8.31129455566, 38.3241271973, -0.274717092514
        0.075, -0.97000002861,            -8,             0,  -3498.484375, 506.886505127,          4000, 8.31571388245, 38.3216667175, -0.302078545094
          0.1, -0.959999978542,            -8,             0, -3498.27392578, 512.135803223,          4000, 8.31860256195, 38.3190574646, -0.33050096035
        0.125, -0.949999988079,            -8,             0, -3498.05126953, 517.493774414,          4000, 8.31987953186, 38.3162994385, -0.360027432442
         0.15, -0.939999997616,            -8,             0, -3497.81567383, 522.963745117,          4000, 8.31945991516, 38.3133811951, -0.390702843666
        0.175, -0.930000007153,            -8,             0, -3497.56616211, 528.549316406,          4000, 8.31725692749, 38.3102874756, -0.42257386446
          0.2, -0.920000016689,            -8,             0, -3497.30200195, 534.254089355,          4000, 8.31317710876, 38.3070144653, -0.455689162016
        0.225, -0.910000026226,            -8,             0, -3497.02246094, 540.081848145,          4000, 8.30712604523, 38.3035507202, -0.490099310875
         0.25, -0.899999976158,            -8,             0, -3496.7265625, 546.036499023,          4000, 8.29900455475, 38.2998847961, -0.525856971741
        0.275, -0.889999985695,            -8,             0, -3496.41308594, 552.122253418,          4000, 8.28870868683, 38.2960014343, -0.563016891479
          0.3, -0.879999995232,            -8,             0, -3496.08154297, 558.343444824,          4000, 8.27613258362, 38.2918891907, -0.601635992527
        0.325, -0.870000004768,            -8,             0, -3495.73022461, 564.704406738,          4000, 8.26116371155, 38.2875366211, -0.6417735219
         0.35, -0.860000014305,            -8,             0, -3495.35839844, 571.209960938,          4000,  8.2436876297, 38.2829322815, -0.683490931988
        0.375, -0.850000023842,            -8,             0, -3494.96459961, 577.864990234,          4000, 8.22358512878, 38.2780532837, -0.726852118969
          0.4, -0.839999973774,            -8,             0, -3494.54785156, 584.674621582,          4000, 8.20073032379, 38.2728843689, -0.771923542023
        0.425, -0.829999983311,            -8,             0, -3494.10620117, 591.644104004,          4000, 8.17499637604,  38.267414093, -0.818773984909
         0.45, -0.819999992847,            -8,             0, -3493.63867188, 598.779174805,          4000, 8.14625072479, 38.2616195679, -0.867475032806
        0.475, -0.810000002384,            -8,             0, -3493.14355469, 606.085571289,          4000, 8.11435604095, 38.2554855347, -0.918100774288
          0.5, -0.800000011921,            -8,             0, -3492.61889648, 613.569458008,          4000, 8.07917022705, 38.2489852905, -0.970728158951
        0.525, -0.790000021458,            -8,             0, -3492.06298828, 621.237304688,          4000, 8.04054927826, 38.2420959473, -1.0254368782
         0.55, -0.77999997139,            -8,             0, -3491.47412109,  629.09576416,          4000, 7.99834156036, 38.2347984314, -1.08230936527
