Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,            -4,             0, -3499.54223633,  244.71182251,          4000, 4.15921735764,  38.332611084, -0.111265018582
        0.025, -0.990000009537,            -4,             0,       -3499.5, 247.180679321,          4000, 4.16323947906, 38.3320884705, -0.123922780156
         0.05, -0.980000019073,            -4,             0, -3499.45507812, 249.699737549,          4000, 4.16657114029, 38.3315353394, -0.137073427439
        0.075, -0.97000002861,            -4,             0, -3499.40771484,  252.27053833,          4000, 4.16917514801,  38.330947876, -0.150737255812
          0.1, -0.959999978542,            -4,             0, -3499.35742188, 254.894699097,          4000, 4.17101144791, 38.3303222656, -0.164935514331
        0.125, -0.949999988079,            -4,             0, -3499.30395508, 257.573852539,          4000, 4.17203807831,  38.329662323, -0.179690286517
         0.15, -0.939999997616,            -4,             0, -3499.24755859, 260.309814453,          4000, 4.17221212387, 38.3289604187, -0.195024654269
        0.175, -0.930000007153,            -4,             0,    -3499.1875,   263.1043396,          4000, 4.17148733139, 38.3282165527, -0.210962682962
          0.2, -0.920000016689,            -4,             0, -3499.12402344, 265.959320068,          4000, 4.16981744766, 38.3274307251, -0.227529466152
        0.225, -0.910000026226,            -4,             0, -3499.05664062,  268.87677002,          4000, 4.16715240479, 38.3265953064, -0.244751170278
         0.25, -0.899999976158,            -4,             0, -3498.98510742, 271.858764648,          4000, 4.16344118118, 38.3257102966, -0.262655049562
        0.275, -0.889999985695,            -4,             0, -3498.90942383, 274.907409668,          4000, 4.15863037109, 38.3247718811, -0.281269580126
          0.3, -0.879999995232,            -4,             0, -3498.8293457, 278.024963379,          4000, 4.15266370773, 38.3237800598, -0.300624370575
        0.325, -0.870000004768,            -4,             0, -3498.74414062,  281.21383667,          4000, 4.14548444748, 38.3227272034, -0.320750296116
         0.35, -0.860000014305,            -4,             0, -3498.65405273, 284.476409912,          4000, 4.13703155518, 38.3216094971, -0.341679513454
        0.375, -0.850000023842,            -4,             0, -3498.55834961, 287.815338135,          4000, 4.12724256516, 38.3204231262, -0.363445609808
          0.4, -0.839999973774,            -4,             0, -3498.45703125, 291.233276367,          4000,  4.1160531044, 38.3191680908, -0.386083424091
        0.425, -0.829999983311,            -4,             0, -3498.34960938, 294.733062744,          4000, 4.10339546204, 38.3178367615, -0.409629315138
         0.45, -0.819999992847,            -4,             0, -3498.2355957, 298.317626953,          4000, 4.08920097351, 38.3164215088, -0.434121102095
        0.475, -0.810000002384,            -4,             0, -3498.11474609, 301.990142822,          4000,  4.0733962059, 38.3149261475, -0.459598213434
          0.5, -0.800000011921,            -4,             0, -3497.98632812,  305.75378418,          4000, 4.05590724945, 38.3133354187, -0.486101597548
        0.525, -0.790000021458,            -4,             0, -3497.8503418, 309.612060547,          4000, 4.03665685654, 38.3116493225, -0.513673901558
         0.55, -0.77999997139,            -4,             0, -3497.70605469, 313.568511963,          4000, 4.01556539536, 38.3098602295, -0.542359471321
        0.575, -0.769999980927,            -4,             0, -3497.55297852, 317.626922607,          4000, 3.99255037308,  38.307964325, -0.57220441103
          0.6, -0.759999990463,            -4,             0, -3497.39038086, 321.791259766,          4000, 3.96752762794, 38.3059501648, -0.603256762028
        0.625,         -0.75,            -4,             0, -3497.21777344, 326.065734863,          4000, 3.94040966034, 38.3038101196, -0.635566294193
         0.65, -0.740000009537,            -4,             0, -3497.03466797, 330.454711914,          4000, 3.91110658646, 38.3015441895, -0.669184863567
        0.675, -0.730000019073,            -4,             0, -3496.84033203, 334.962860107,          4000, 3.87952613831, 38.2991333008, -0.704166352749
          0.7, -0.72000002861,            -4,             0, -3496.63378906, 339.595092773,          4000, 3.84557342529, 38.2965736389, -0.740566849709
        0.725, -0.709999978542,            -4,             0, -3496.41455078, 344.356506348,          4000, 3.80915164948, 38.2938575745, -0.778444468975
         0.75, -0.699999988079,            -4,             0, -3496.18164062, 349.252624512,          4000, 3.77016067505, 38.2909698486, -0.817859709263
        0.775, -0.689999997616,            -4,             0, -3495.93408203, 354.289154053,          4000, 3.72849822044,  38.287902832, -0.858875572681
          0.8, -0.680000007153,            -4,             0, -3495.67114258, 359.472259521,          4000, 3.68406033516, 38.2846450806, -0.901557385921
        0.825, -0.670000016689,            -4,             0, -3495.39135742, 364.808319092,          4000, 3.63673949242, 38.2811813354, -0.945973217487
         0.85, -0.660000026226,            -4,             0, -3495.09423828, 370.304229736,          4000, 3.58642673492, 38.2774963379, -0.992193818092
        0.875, -0.649999976158,            -4,             0, -3494.77807617, 375.967193604,          4000, 3.53301024437, 38.2735786438, -1.04029285908
          0.9, -0.639999985695,            -4,             0, -3494.44165039, 381.804931641,          4000, 3.47637605667, 38.2694091797, -1.09034705162
        0.925, -0.629999995232,            -4,             0, -3494.08374023, 387.825622559,          4000, 3.41640710831, 38.2649765015, -1.14243626595
         0.95, -0.620000004768,            -4,             0, -3493.70288086, 394.037902832,          4000, 3.35298490524, 38.2602539062, -1.19664418697
        0.975, -0.610000014305,            -4,             0, -3493.29711914, 400.451019287,          4000, 3.28598761559,   38.25522995, -1.25305759907
            1, -0.600000023842,            -4,             0, -3492.86499023, 407.074859619,          4000, 3.21529054642,  38.249874115, -1.31176769733
        1.025, -0.589999973774,            -4,             0, -3492.40454102,  413.91986084,          4000, 3.14076685905, 38.2441711426, -1.37286961079
         1.05, -0.579999983311,            -4,             0, -3491.91381836, 420.997253418,          4000,  3.0622856617, 38.2380905151, -1.43646323681
        1.075, -0.569999992847,            -4,             0,  -3491.390625, 428.318969727,          4000, 2.97971320152, 38.2316055298, -1.50265336037
          1.1, -0.560000002384,            -4,             0, -3490.83227539, 435.897796631,          4000, 2.89291191101, 38.2246856689, -1.57155001163
        1.125, -0.550000011921,            -4,             0, -3490.23632812, 443.747436523,          4000, 2.80173945427,  38.217300415, -1.64326930046
         1.15, -0.540000021458,            -4,             0, -3489.59985352, 451.882568359,          4000, 2.70604920387, 38.2094154358, -1.71793353558
