Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -40,             0, -274.763702393, 21685.4394531,         40000, -433.374053955, -203.999954224, -1.80677127838
        0.025,             0, -39.9900016785,             0, -274.786468506, 21687.6777344,         40000, -433.415710449, -203.999954224, -1.85726821423
         0.05,             0, -39.9799995422,             0, -274.809234619, 21689.9160156,         40000, -433.457397461, -203.999954224, -1.90781736374
        0.075,             0, -39.9700012207,             0, -274.83203125, 21692.1542969,         40000, -433.49911499, -203.999954224, -1.95841884613
          0.1,             0, -39.9599990845,             0, -274.854858398, 21694.3945312,         40000, -433.54083252, -203.999954224, -2.00907254219
        0.125,             0, -39.9500007629,             0, -274.877655029, 21696.6347656,         40000, -433.582550049, -203.999954224, -2.05977869034
         0.15,             0, -39.9399986267,             0, -274.900512695,     21698.875,         40000, -433.624267578, -203.999954224, -2.11053729057
        0.175,             0, -39.9300003052,             0, -274.923339844, 21701.1171875,         40000, -433.666015625, -203.999954224, -2.16134810448
          0.2,             0, -39.9199981689,             0, -274.94619751,  21703.359375,         40000, -433.707763672, -203.999954224, -2.21221160889
        0.225,             0, -39.9099998474,             0, -274.969085693, 21705.6015625,         40000, -433.749542236, -203.999954224, -2.26312756538
         0.25,             0, -39.9000015259,             0, -274.991973877, 21707.8457031,         40000, -433.791320801, -203.999954224, -2.31409621239
        0.275,             0, -39.8899993896,             0, -275.014862061, 21710.0898438,         40000, -433.833099365, -203.999954224, -2.36511731148
          0.3,             0, -39.8800010681,             0, -275.037780762, 21712.3359375,         40000, -433.874908447, -203.999954224, -2.41619133949
        0.325,             0, -39.8699989319,             0, -275.060699463, 21714.5800781,         40000, -433.916717529, -203.999954224, -2.4673178196
         0.35,             0, -39.8600006104,             0, -275.083648682, 21716.8261719,         40000, -433.958526611, -203.999954224, -2.51849722862
        0.375,             0, -39.8499984741,             0,  -275.1065979, 21719.0742188,         40000, -434.000366211, -203.999954224, -2.56972956657
          0.4,             0, -39.8400001526,             0, -275.129577637, 21721.3203125,         40000, -434.042205811, -203.999954224, -2.62101459503
        0.425,             0, -39.8300018311,             0, -275.152526855, 21723.5683594,         40000, -434.084075928, -203.999954224, -2.67235255241
         0.45,             0, -39.8199996948,             0, -275.175537109, 21725.8183594,         40000, -434.125946045, -203.999954224, -2.72374367714
        0.475,             0, -39.8100013733,             0, -275.198547363, 21728.0664062,         40000, -434.167816162, -203.999954224, -2.77518749237
          0.5,             0, -39.7999992371,             0, -275.221557617, 21730.3164062,         40000, -434.209686279, -203.999954224, -2.82668471336
        0.525,             0, -39.7900009155,             0, -275.244598389, 21732.5683594,         40000, -434.251586914, -203.999954224, -2.87823486328
         0.55,             0, -39.7799987793,             0, -275.26763916, 21734.8183594,         40000, -434.293518066, -203.999954224, -2.92983818054
        0.575,             0, -39.7700004578,             0, -275.290679932, 21737.0703125,         40000, -434.335418701, -203.999954224, -2.98149466515
          0.6,             0, -39.7599983215,             0, -275.313751221, 21739.3242188,         40000, -434.377380371, -203.999954224, -3.03320431709
        0.625,             0,        -39.75,             0, -275.33682251, 21741.5761719,         40000, -434.419311523, -203.999954224, -3.0849673748
         0.65,             0, -39.7400016785,             0, -275.359924316, 21743.8300781,         40000, -434.461273193, -203.999954224, -3.13678383827
        0.675,             0, -39.7299995422,             0, -275.383026123, 21746.0859375,         40000, -434.503234863, -203.999954224, -3.1886537075
          0.7,             0, -39.7200012207,             0, -275.406158447, 21748.3398438,         40000, -434.545196533, -203.999954224, -3.2405769825
        0.725,             0, -39.7099990845,             0, -275.429290771, 21750.5957031,         40000, -434.587188721, -203.999954224, -3.29255366325
         0.75,             0, -39.7000007629,             0, -275.452453613, 21752.8535156,         40000, -434.629211426, -203.999954224, -3.34458398819
        0.775,             0, -39.6899986267,             0, -275.475616455,  21755.109375,         40000, -434.671203613, -203.999954224, -3.39666771889
          0.8,             0, -39.6800003052,             0, -275.498779297, 21757.3671875,         40000, -434.713226318, -203.999954224, -3.44880533218
        0.825,             0, -39.6699981689,             0, -275.521972656, 21759.6269531,         40000, -434.755279541, -203.999954224, -3.50099658966
         0.85,             0, -39.6599998474,             0, -275.545166016, 21761.8847656,         40000, -434.797302246, -203.999954224, -3.55324149132
        0.875,             0, -39.6500015259,             0, -275.568389893, 21764.1445312,         40000, -434.839355469, -203.999954224, -3.60554027557
          0.9,             0, -39.6399993896,             0, -275.59161377,   21766.40625,         40000, -434.881439209, -203.999954224, -3.65789270401
        0.925,             0, -39.6300010681,             0, -275.614868164, 21768.6660156,         40000, -434.923522949, -203.999954224, -3.71029925346
         0.95,             0, -39.6199989319,             0, -275.638122559, 21770.9277344,         40000, -434.965606689, -203.999954224, -3.7627594471
        0.975,             0, -39.6100006104,             0, -275.661376953, 21773.1914062,         40000, -435.00769043, -203.999954224, -3.81527376175
            1,             0, -39.5999984741,             0, -275.684661865, 21775.4550781,         40000, -435.049804688, -203.999954224, -3.86784219742
        1.025,             0, -39.5900001526,             0, -275.707946777,   21777.71875,         40000, -435.091949463, -203.999954224, -3.92046451569
         1.05,             0, -39.5800018311,             0, -275.731262207, 21779.9824219,         40000, -435.134063721, -203.999954224, -3.97314119339
        1.075,             0, -39.5699996948,             0, -275.754577637, 21782.2480469,         40000, -435.176208496, -203.999954224, -4.02587175369
          1.1,             0, -39.5600013733,             0, -275.777923584, 21784.5136719,         40000, -435.218383789, -203.999954224, -4.07865667343
        1.125,             0, -39.5499992371,             0, -275.801269531, 21786.7792969,         40000, -435.260528564, -203.999954224, -4.13149595261
         1.15,             0, -39.5400009155,             0, -275.824645996,  21789.046875,         40000, -435.302703857, -203.999954224, -4.18438959122
        1.175,             0, -39.5299987793,             0, -275.848022461, 21791.3144531,         40000, -435.344909668, -203.999954224, -4.23733758926
          1.2,             0, -39.5200004578,             0, -275.871398926, 21793.5820312,         40000, -435.387115479, -203.999954224, -4.29033946991
        1.225,             0, -39.5099983215,             0, -275.894805908, 21795.8515625,         40000, -435.429321289, -203.999954224, -4.34339666367
         1.25,             0,         -39.5,             0, -275.918212891, 21798.1210938,         40000, -435.471557617, -203.999954224, -4.39650774002
        1.275,             0, -39.4900016785,             0, -275.941650391,  21800.390625,         40000, -435.513793945, -203.999954224, -4.44967365265
          1.3,             0, -39.4799995422,             0, -275.965087891, 21802.6621094,         40000, -435.556030273, -203.999954224, -4.50289392471
