Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -40,             0, 571.845825195,      5661.375,          8000, -473.530548096, -40.7999763489, -4.03944253922
        0.025,             0, -39.9900016785,             0, 571.854309082, 5661.79882812,          8000, -473.565979004, -40.7999763489, -4.04391002655
         0.05,             0, -39.9799995422,             0, 571.862792969, 5662.22314453,          8000, -473.601409912, -40.7999763489, -4.04838180542
        0.075,             0, -39.9700012207,             0, 571.871276855, 5662.64697266,          8000, -473.63684082, -40.7999763489, -4.05285692215
          0.1,             0, -39.9599990845,             0, 571.879821777, 5663.07128906,          8000, -473.672302246, -40.7999763489, -4.05733537674
        0.125,             0, -39.9500007629,             0, 571.888305664, 5663.49511719,          8000, -473.707733154, -40.7999763489, -4.06181812286
         0.15,             0, -39.9399986267,             0, 571.896850586, 5663.91943359,          8000, -473.74319458, -40.7999763489, -4.06630468369
        0.175,             0, -39.9300003052,             0, 571.905334473,    5664.34375,          8000, -473.778656006, -40.7999763489, -4.07079458237
          0.2,             0, -39.9199981689,             0, 571.913879395, 5664.76806641,          8000, -473.814117432, -40.7999763489, -4.07528829575
        0.225,             0, -39.9099998474,             0, 571.922424316, 5665.19287109,          8000, -473.849609375, -40.7999763489, -4.07978582382
         0.25,             0, -39.9000015259,             0, 571.930908203,  5665.6171875,          8000, -473.885070801, -40.7999763489, -4.0842871666
        0.275,             0, -39.8899993896,             0, 571.939453125, 5666.04150391,          8000, -473.920562744, -40.7999763489, -4.08879232407
          0.3,             0, -39.8800010681,             0, 571.947998047, 5666.46630859,          8000, -473.956054688, -40.7999763489, -4.09330129623
        0.325,             0, -39.8699989319,             0, 571.956542969, 5666.89111328,          8000, -473.991546631, -40.7999763489, -4.0978140831
         0.35,             0, -39.8600006104,             0, 571.965087891, 5667.31591797,          8000, -474.027038574, -40.7999763489, -4.10233020782
        0.375,             0, -39.8499984741,             0, 571.973693848, 5667.74072266,          8000, -474.062530518, -40.7999763489, -4.10685062408
          0.4,             0, -39.8400001526,             0,  571.98223877, 5668.16552734,          8000, -474.098052979, -40.7999763489, -4.1113743782
        0.425,             0, -39.8300018311,             0, 571.990783691, 5668.59033203,          8000, -474.133575439, -40.7999763489, -4.11590242386
         0.45,             0, -39.8199996948,             0, 571.999389648,   5669.015625,          8000,  -474.1690979, -40.7999763489, -4.12043380737
        0.475,             0, -39.8100013733,             0,  572.00793457, 5669.44042969,          8000, -474.204620361, -40.7999763489, -4.12496900558
          0.5,             0, -39.7999992371,             0, 572.016540527, 5669.86572266,          8000, -474.240142822, -40.7999763489, -4.12950801849
        0.525,             0, -39.7900009155,             0, 572.025085449, 5670.29101562,          8000, -474.275665283, -40.7999763489, -4.1340508461
         0.55,             0, -39.7799987793,             0, 572.033691406, 5670.71630859,          8000, -474.311218262, -40.7999763489, -4.1385974884
        0.575,             0, -39.7700004578,             0, 572.042297363, 5671.14160156,          8000, -474.34677124, -40.7999763489, -4.14314842224
          0.6,             0, -39.7599983215,             0, 572.050842285, 5671.56689453,          8000, -474.382324219, -40.7999763489, -4.14770269394
        0.625,             0,        -39.75,             0, 572.059448242,  5671.9921875,          8000, -474.417877197, -40.7999763489, -4.1522603035
         0.65,             0, -39.7400016785,             0, 572.068054199, 5672.41796875,          8000, -474.453430176, -40.7999763489, -4.15682220459
        0.675,             0, -39.7299995422,             0, 572.076660156, 5672.84326172,          8000, -474.489013672, -40.7999763489, -4.16138792038
          0.7,             0, -39.7200012207,             0, 572.085266113, 5673.26904297,          8000, -474.52456665, -40.7999763489, -4.16595745087
        0.725,             0, -39.7099990845,             0, 572.093933105, 5673.69482422,          8000, -474.560150146, -40.7999763489, -4.17053079605
         0.75,             0, -39.7000007629,             0, 572.102539062, 5674.12060547,          8000, -474.595733643, -40.7999763489, -4.17510795593
        0.775,             0, -39.6899986267,             0,  572.11114502, 5674.54638672,          8000, -474.631347656, -40.7999763489, -4.17968893051
          0.8,             0, -39.6800003052,             0, 572.119812012, 5674.97265625,          8000, -474.666931152, -40.7999763489, -4.18427371979
        0.825,             0, -39.6699981689,             0, 572.128417969,  5675.3984375,          8000, -474.702545166, -40.7999763489, -4.18886232376
         0.85,             0, -39.6599998474,             0, 572.137084961, 5675.82421875,          8000, -474.738128662, -40.7999763489, -4.19345474243
        0.875,             0, -39.6500015259,             0, 572.145690918, 5676.25048828,          8000, -474.773742676, -40.7999763489, -4.1980509758
          0.9,             0, -39.6399993896,             0,  572.15435791, 5676.67675781,          8000, -474.809356689, -40.7999763489, -4.20265102386
        0.925,             0, -39.6300010681,             0, 572.163024902, 5677.10302734,          8000, -474.845001221, -40.7999763489, -4.20725488663
         0.95,             0, -39.6199989319,             0, 572.171691895, 5677.52929688,          8000, -474.880615234, -40.7999763489, -4.21186256409
        0.975,             0, -39.6100006104,             0, 572.180358887, 5677.95556641,          8000, -474.916259766, -40.7999763489, -4.21647453308
            1,             0, -39.5999984741,             0, 572.189025879, 5678.38183594,          8000, -474.951873779, -40.7999763489, -4.22108983994
        1.025,             0, -39.5900001526,             0, 572.197692871, 5678.80859375,          8000, -474.987518311, -40.7999763489, -4.22570896149
         1.05,             0, -39.5800018311,             0, 572.206359863, 5679.23486328,          8000, -475.023162842, -40.7999763489, -4.23033237457
        1.075,             0, -39.5699996948,             0, 572.215026855, 5679.66162109,          8000, -475.058837891, -40.7999763489, -4.23495912552
          1.1,             0, -39.5600013733,             0, 572.223693848, 5680.08837891,          8000, -475.094482422, -40.7999763489,  -4.239590168
        1.125,             0, -39.5499992371,             0, 572.232421875, 5680.51513672,          8000, -475.130157471, -40.7999763489, -4.24422502518
         1.15,             0, -39.5400009155,             0, 572.241088867, 5680.94189453,          8000, -475.16583252, -40.7999763489, -4.24886369705
        1.175,             0, -39.5299987793,             0, 572.249816895, 5681.36865234,          8000, -475.201507568, -40.7999763489, -4.25350618362
          1.2,             0, -39.5200004578,             0, 572.258483887, 5681.79589844,          8000, -475.237182617, -40.7999763489, -4.25815248489
        1.225,             0, -39.5099983215,             0, 572.267211914, 5682.22265625,          8000, -475.272857666, -40.7999763489, -4.26280260086
         1.25,             0,         -39.5,             0, 572.275939941, 5682.64990234,          8000, -475.308563232, -40.7999763489, -4.26745653152
        1.275,             0, -39.4900016785,             0, 572.284606934, 5683.07714844,          8000, -475.344268799, -40.7999763489, -4.27211475372
          1.3,             0, -39.4799995422,             0, 572.293334961, 5683.50390625,          8000, -475.379943848, -40.7999763489, -4.27677631378
        1.325,             0, -39.4700012207,             0, 572.302062988, 5683.93164062,          8000, -475.415649414, -40.7999763489, -4.28144216537
         1.35,             0, -39.4599990845,             0, 572.310791016, 5684.35888672,          8000, -475.451385498, -40.7999763489, -4.28611183167
        1.375,             0, -39.4500007629,             0, 572.319519043, 5684.78613281,          8000, -475.487091064, -40.7999763489, -4.29078531265
          1.4,             0, -39.4399986267,             0, 572.328308105, 5685.21337891,          8000, -475.522827148, -40.7999763489, -4.29546260834
        1.425,             0, -39.4300003052,             0, 572.337036133, 5685.64111328,          8000, -475.558532715, -40.7999763489, -4.30014371872
         1.45,             0, -39.4199981689,             0,  572.34576416, 5686.06884766,          8000, -475.594268799, -40.7999763489, -4.30482912064
        1.475,             0, -39.4099998474,             0, 572.354553223, 5686.49609375,          8000, -475.630004883, -40.7999763489, -4.30951833725
          1.5,             0, -39.4000015259,             0,  572.36328125, 5686.92382812,          8000, -475.665771484, -40.7999763489, -4.31421136856
        1.525,             0, -39.3899993896,             0, 572.372070312,  5687.3515625,          8000, -475.701507568, -40.7999763489, -4.31890821457
         1.55,             0, -39.3800010681,             0,  572.38079834, 5687.77978516,          8000, -475.73727417, -40.7999763489, -4.32360887527
        1.575,             0, -39.3699989319,             0, 572.389587402, 5688.20751953,          8000, -475.773040771, -40.7999763489, -4.32831382751
          1.6,             0, -39.3600006104,             0, 572.398376465, 5688.63525391,          8000, -475.808807373, -40.7999763489, -4.33302259445
        1.625,             0, -39.3499984741,             0, 572.407165527, 5689.06347656,          8000, -475.844573975, -40.7999763489, -4.33773517609
         1.65,             0, -39.3400001526,             0,  572.41595459, 5689.49169922,          8000, -475.880340576, -40.7999763489, -4.34245157242
        1.675,             0, -39.3300018311,             0, 572.424743652, 5689.91992188,          8000, -475.916137695, -40.7999763489, -4.34717178345
          1.7,             0, -39.3199996948,             0, 572.433532715, 5690.34814453,          8000, -475.951904297, -40.7999763489, -4.35189628601
        1.725,             0, -39.3100013733,             0, 572.442321777, 5690.77636719,          8000, -475.987701416, -40.7999763489, -4.35662460327
         1.75,             0, -39.2999992371,             0,  572.45111084, 5691.20458984,          8000, -476.023498535, -40.7999763489, -4.36135673523
        1.775,             0, -39.2900009155,             0, 572.459899902,  5691.6328125,          8000, -476.059295654, -40.7999763489, -4.36609315872
          1.8,             0, -39.2799987793,             0,     572.46875, 5692.06152344,          8000, -476.095123291, -40.7999763489, -4.37083292007
        1.825,             0, -39.2700004578,             0, 572.477539062, 5692.48974609,          8000, -476.13092041, -40.7999763489, -4.3755774498
         1.85,             0, -39.2599983215,             0,  572.48638916, 5692.91845703,          8000, -476.166748047, -40.7999763489, -4.38032531738
        1.875,             0,        -39.25,             0, 572.495178223, 5693.34716797,          8000, -476.202575684, -40.7999763489, -4.38507699966
          1.9,             0, -39.2400016785,             0,  572.50402832, 5693.77587891,          8000, -476.23840332, -40.7999763489, -4.38983297348
        1.925,             0, -39.2299995422,             0, 572.512878418, 5694.20458984,          8000, -476.274230957, -40.7999763489, -4.39459323883
         1.95,             0, -39.2200012207,             0, 572.521728516, 5694.63330078,          8000, -476.310058594, -40.7999763489, -4.39935684204
