 keyword	Units	Component	Description	Internal
IMP_AV_D3_R	rpm	Powertrain	2nd drive axle diff input shaft speed	0
IMP_AV_ENG	rpm	Powertrain	Engine speed (external engine only)	0
IMP_AV_TC	rpm	Powertrain	Torque converter speed (external transmission only)	0
IMP_AX_FIELD	m/s2	Environment	Field acceleration in global X direction	0
IMP_AX_SC	g	Speed controller	Acceleration command for speed controller	VARIABLE
IMP_AY_FIELD	m/s2	Environment	Field acceleration in global Y direction	0
IMP_AZ_FIELD	m/s2	Environment	Field acceleration in global Z direction	0
IMP_BK_STAT	-	Brakes	Brake apply status: 0 or 1 (based on control pressure)	VARIABLE
IMP_CLT_D2_2	-	Powertrain	2nd Clutch control for 2nd drive axle diff	0
IMP_CLUTCH	-	Powertrain	Clutch control for transmission	VARIABLE
IMP_CLUTCH_D2	-	Powertrain	Clutch control for 2nd drive axle diff	0
IMP_CLUTCH_L2	-	Powertrain	Twin clutch control in left side of 2nd drive axle diff	0
IMP_CLUTCH_R2	-	Powertrain	Twin clutch control in right side of 2nd drive axle diff	0
IMP_CMP_EXT_L1	mm	Suspensions	Compression for spring L1	VARIABLE
IMP_CMP_EXT_L2	mm	Suspensions	Compression for spring L2	VARIABLE
IMP_CMP_EXT_L3	mm	Suspensions	Compression for spring L3	VARIABLE
IMP_CMP_EXT_L4	mm	Suspensions	Compression for spring L4	VARIABLE
IMP_CMP_EXT_L5	mm	Suspensions	Compression for spring L5	VARIABLE
IMP_CMP_EXT_L6	mm	Suspensions	Compression for spring L6	VARIABLE
IMP_CMP_EXT_R1	mm	Suspensions	Compression for spring R1	VARIABLE
IMP_CMP_EXT_R2	mm	Suspensions	Compression for spring R2	VARIABLE
IMP_CMP_EXT_R3	mm	Suspensions	Compression for spring R3	VARIABLE
IMP_CMP_EXT_R4	mm	Suspensions	Compression for spring R4	VARIABLE
IMP_CMP_EXT_R5	mm	Suspensions	Compression for spring R5	VARIABLE
IMP_CMP_EXT_R6	mm	Suspensions	Compression for spring R6	VARIABLE
IMP_DSTEER_CON_L1	deg/s	Steering	Steering gear angular rate for wheel L1 from external model	VARIABLE
IMP_DSTEER_CON_L2	deg/s	Steering	Steering gear angular rate for wheel L2 from external model	VARIABLE
IMP_DSTEER_CON_L3	deg/s	Steering	Steering gear angular rate for wheel L3 from external model	VARIABLE
IMP_DSTEER_CON_L4	deg/s	Steering	Steering gear angular rate for wheel L4 from external model	VARIABLE
IMP_DSTEER_CON_L5	deg/s	Steering	Steering gear angular rate for wheel L5 from external model	VARIABLE
IMP_DSTEER_CON_L6	deg/s	Steering	Steering gear angular rate for wheel L6 from external model	VARIABLE
IMP_DSTEER_CON_R1	deg/s	Steering	Steering gear angular rate for wheel R1 from external model	VARIABLE
IMP_DSTEER_CON_R2	deg/s	Steering	Steering gear angular rate for wheel R2 from external model	VARIABLE
IMP_DSTEER_CON_R3	deg/s	Steering	Steering gear angular rate for wheel R3 from external model	VARIABLE
IMP_DSTEER_CON_R4	deg/s	Steering	Steering gear angular rate for wheel R4 from external model	VARIABLE
IMP_DSTEER_CON_R5	deg/s	Steering	Steering gear angular rate for wheel R5 from external model	VARIABLE
IMP_DSTEER_CON_R6	deg/s	Steering	Steering gear angular rate for wheel R6 from external model	VARIABLE
IMP_DSTEER_L1	deg/s	Steering	Road wheel L1 steer angular rate due to the steering system (NOT ride/roll steer), from external model	VARIABLE
IMP_DSTEER_L2	deg/s	Steering	Road wheel L2 steer angular rate due to the steering system (NOT ride/roll steer), from external model	VARIABLE
IMP_DSTEER_L3	deg/s	Steering	Road wheel L3 steer angular rate due to the steering system (NOT ride/roll steer), from external model	VARIABLE
IMP_DSTEER_L4	deg/s	Steering	Road wheel L4 steer angular rate due to the steering system (NOT ride/roll steer), from external model	VARIABLE
IMP_DSTEER_L5	deg/s	Steering	Road wheel L5 steer angular rate due to the steering system (NOT ride/roll steer), from external model	VARIABLE
IMP_DSTEER_L6	deg/s	Steering	Road wheel L6 steer angular rate due to the steering system (NOT ride/roll steer), from external model	VARIABLE
IMP_DSTEER_R1	deg/s	Steering	Road wheel R1 steer angular rate due to the steering system (NOT ride/roll steer), from external model	VARIABLE
IMP_DSTEER_R2	deg/s	Steering	Road wheel R2 steer angular rate due to the steering system (NOT ride/roll steer), from external model	VARIABLE
IMP_DSTEER_R3	deg/s	Steering	Road wheel R3 steer angular rate due to the steering system (NOT ride/roll steer), from external model	VARIABLE
IMP_DSTEER_R4	deg/s	Steering	Road wheel R4 steer angular rate due to the steering system (NOT ride/roll steer), from external model	VARIABLE
IMP_DSTEER_R5	deg/s	Steering	Road wheel R5 steer angular rate due to the steering system (NOT ride/roll steer), from external model	VARIABLE
IMP_DSTEER_R6	deg/s	Steering	Road wheel R6 steer angular rate due to the steering system (NOT ride/roll steer), from external model	VARIABLE
IMP_DSTEER_RACK_CON_L1	mm/s	Steering	Steering rack speed for wheel L1 from external model	VARIABLE
IMP_DSTEER_RACK_CON_L2	mm/s	Steering	Steering rack speed for wheel L2 from external model	VARIABLE
IMP_DSTEER_RACK_CON_L3	mm/s	Steering	Steering rack speed for wheel L3 from external model	VARIABLE
IMP_DSTEER_RACK_CON_L4	mm/s	Steering	Steering rack speed for wheel L4 from external model	VARIABLE
IMP_DSTEER_RACK_CON_L5	mm/s	Steering	Steering rack speed for wheel L5 from external model	VARIABLE
IMP_DSTEER_RACK_CON_L6	mm/s	Steering	Steering rack speed for wheel L6 from external model	VARIABLE
IMP_DSTEER_RACK_CON_R1	mm/s	Steering	Steering rack speed for wheel R1 from external model	VARIABLE
IMP_DSTEER_RACK_CON_R2	mm/s	Steering	Steering rack speed for wheel R2 from external model	VARIABLE
IMP_DSTEER_RACK_CON_R3	mm/s	Steering	Steering rack speed for wheel R3 from external model	VARIABLE
IMP_DSTEER_RACK_CON_R4	mm/s	Steering	Steering rack speed for wheel R4 from external model	VARIABLE
IMP_DSTEER_RACK_CON_R5	mm/s	Steering	Steering rack speed for wheel R5 from external model	VARIABLE
IMP_DSTEER_RACK_CON_R6	mm/s	Steering	Steering rack speed for wheel R6 from external model	VARIABLE
IMP_DSTEER_SW	deg/s	Steering	Steering wheel angular rate	VARIABLE
IMP_DVBK_L1	mm3/s	Brakes	L1 caliper flow rate	VARIABLE
