Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,             0,             0, -4180.83447266, 4.94238090515,          8000, -0.413560688496,             0, 0.0103356074542
        0.025, -0.990000009537,             0,             0, -4191.16357422, 4.99457406998,          8000, -0.417928040028, -1.81781983376, 0.0103619424626
         0.05, -0.980000019073,             0,             0, -4201.73339844, 5.04786396027,          8000, -0.422387123108, -3.63202929497, 0.010386778973
        0.075, -0.97000002861,             0,             0, -4212.55175781, 5.10228395462,          8000, -0.426940798759, -5.43902540207, 0.0104099977762
          0.1, -0.959999978542,             0,             0, -4223.62695312, 5.15787029266,          8000, -0.431592077017, -7.23521900177, 0.0104314722121
        0.125, -0.949999988079,             0,             0, -4234.96777344, 5.21465969086,          8000, -0.436343997717, -9.01704311371, 0.0104510663077
         0.15, -0.939999997616,             0,             0, -4246.58398438, 5.27269029617,          8000, -0.441199809313, -10.7809581757, 0.0104686338454
        0.175, -0.930000007153,             0,             0, -4258.48486328, 5.33200311661,          8000, -0.446162849665, -12.5234613419, 0.0104840202257
          0.2, -0.920000016689,             0,             0, -4270.68115234, 5.39263868332,          8000, -0.451236635447, -14.2410917282, 0.0104970578104
        0.225, -0.910000026226,             0,             0, -4283.18261719, 5.45464134216,          8000, -0.456424832344, -15.9304389954, 0.0105075705796
         0.25, -0.899999976158,             0,             0, -4296.00097656, 5.51805686951,          8000, -0.461731165648, -17.5881462097, 0.0105153657496
        0.275, -0.889999985695,             0,             0, -4309.14746094, 5.58293199539,          8000, -0.467159688473, -19.2109222412, 0.0105202393606
          0.3, -0.879999995232,             0,             0, -4322.63427734, 5.64931631088,          8000, -0.472714483738, -20.7955436707, 0.0105219716206
        0.325, -0.870000004768,             0,             0, -4336.47460938, 5.71726179123,          8000, -0.478399932384, -22.3388633728, 0.0105203278363
         0.35, -0.860000014305,             0,             0, -4350.68115234, 5.78682231903,          8000, -0.484220504761, -23.8378162384, 0.0105150565505
        0.375, -0.850000023842,             0,             0, -4365.26806641, 5.85805416107,          8000, -0.490180969238, -25.2894248962, 0.0105058858171
          0.4, -0.839999973774,             0,             0, -4380.25048828,   5.931016922,          8000, -0.496286213398, -26.6908073425, 0.0104925250635
        0.425, -0.829999983311,             0,             0, -4395.64306641,  6.0057721138,          8000, -0.502541422844, -28.0391788483, 0.0104746632278
         0.45, -0.819999992847,             0,             0, -4411.46240234, 6.08238363266,          8000, -0.508952021599, -29.3318634033, 0.0104519631714
        0.475, -0.810000002384,             0,             0, -4427.72509766, 6.16092014313,          8000, -0.515523672104, -30.5662918091, 0.010424063541
          0.5, -0.800000011921,             0,             0, -4444.44873047, 6.24145174026,          8000, -0.522262275219, -31.7400131226, 0.0103905778378
        0.525, -0.790000021458,             0,             0, -4461.65234375, 6.32405281067,          8000, -0.529174029827, -32.8506965637, 0.0103510860354
         0.55, -0.77999997139,             0,             0, -4479.35595703,  6.4088010788,          8000, -0.536265492439, -33.8961334229, 0.0103051383048
        0.575, -0.769999980927,             0,             0, -4497.57910156,  6.4957780838,          8000, -0.54354339838, -34.8742523193, 0.0102522494271
          0.6, -0.759999990463,             0,             0, -4516.34423828, 6.58506965637,          8000, -0.551015019417, -35.7831077576, 0.0101918950677
        0.625,         -0.75,             0,             0, -4535.67333984, 6.67676544189,          8000, -0.558687746525, -36.620891571, 0.010123510845
