 Keyword	Units	Type	Component	Legend Label
AAx	rad/s2	Angular acceleration	Chassis motion	Roll acc. (body-fixed), unit 1	Unit 1 roll (body-fixed)
AAx_2	rad/s2	Angular acceleration	Chassis motion	Roll acc. (body-fixed), unit 2	Unit 2 roll (body-fixed)
AAy	rad/s2	Angular acceleration	Chassis motion	Pitch acc. (body-fixed), unit 1	Unit 1 pitch (body-fixed)
AAy_2	rad/s2	Angular acceleration	Chassis motion	Pitch acc. (body-fixed), unit 2	Unit 2 pitch (body-fixed)
AAy_L1	rad/s2	Angular acceleration	Wheels	Wheel L1 spin acceleration	Wheel L1 spin
AAy_L2	rad/s2	Angular acceleration	Wheels	Wheel L2 spin acceleration	Wheel L2 spin
AAy_L3	rad/s2	Angular acceleration	Wheels	Wheel L3 spin acceleration	Wheel L3 spin
AAy_L4	rad/s2	Angular acceleration	Wheels	Wheel L4 spin acceleration	Wheel L4 spin
AAy_R1	rad/s2	Angular acceleration	Wheels	Wheel R1 spin acceleration	Wheel R1 spin
AAy_R2	rad/s2	Angular acceleration	Wheels	Wheel R2 spin acceleration	Wheel R2 spin
AAy_R3	rad/s2	Angular acceleration	Wheels	Wheel R3 spin acceleration	Wheel R3 spin
AAy_R4	rad/s2	Angular acceleration	Wheels	Wheel R4 spin acceleration	Wheel R4 spin
AAz	rad/s2	Angular acceleration	Chassis motion	Yaw acc. (body-fixed), unit 1	Unit 1 yaw (body-fixed)
AAz_2	rad/s2	Angular acceleration	Chassis motion	Yaw acc. (body-fixed), unit 2	Unit 2 yaw (body-fixed)
AA_Eng	rad/s2	Angular acceleration	Powertrain	Engine crankshaft angular accel.	Engine crankshaft
AA_P	rad/s2	Angular acceleration	Chassis motion	Pitch accel. (Euler), unit 1	Unit 1 pitch (Euler)
AA_P_2	rad/s2	Angular acceleration	Chassis motion	Pitch accel. (Euler), unit 2	Unit 2 pitch (Euler)
AA_R	rad/s2	Angular acceleration	Chassis motion	Roll accel. (Euler), unit 1	Unit 1 roll (Euler)
AA_R_2	rad/s2	Angular acceleration	Chassis motion	Roll accel. (Euler), unit 2	Unit 2 roll (Euler)
AA_Y	rad/s2	Angular acceleration	Chassis motion	Yaw accel. (Euler), unit 1	Unit 1 yaw (Euler)
AA_Y_2	rad/s2	Angular acceleration	Chassis motion	Yaw accel. (Euler), unit 2	Unit 2 yaw (Euler)
ABS_L1	-	ABS apply command	Brakes	ABS apply command, L1	ABS apply command, L1
ABS_L2	-	ABS apply command	Brakes	ABS apply command, L2	ABS apply command, L2
ABS_L3	-	ABS apply command	Brakes	ABS apply command, L3	ABS apply command, L3
ABS_L4	-	ABS apply command	Brakes	ABS apply command, L4	ABS apply command, L4
ABS_R1	-	ABS apply command	Brakes	ABS apply command, R1	ABS apply command, R1
ABS_R2	-	ABS apply command	Brakes	ABS apply command, R2	ABS apply command, R2
ABS_R3	-	ABS apply command	Brakes	ABS apply command, R3	ABS apply command, R3
ABS_R4	-	ABS apply command	Brakes	ABS apply command, R4	ABS apply command, R4
AlphaL1i	deg	Angle	Tires	Lateral slip angle, tire L1i	Tire L1i lateral slip
AlphaL1o	deg	Angle	Tires	Lateral slip angle, tire L1o	Tire L1o lateral slip
AlphaL2i	deg	Angle	Tires	Lateral slip angle, tire L2i	Tire L2i lateral slip
AlphaL2o	deg	Angle	Tires	Lateral slip angle, tire L2o	Tire L2o lateral slip
AlphaL3i	deg	Angle	Tires	Lateral slip angle, tire L3i	Tire L3i lateral slip
AlphaL3o	deg	Angle	Tires	Lateral slip angle, tire L3o	Tire L3o lateral slip
AlphaL4i	deg	Angle	Tires	Lateral slip angle, tire L4i	Tire L4i lateral slip
AlphaL4o	deg	Angle	Tires	Lateral slip angle, tire L4o	Tire L4o lateral slip
AlphaR1i	deg	Angle	Tires	Lateral slip angle, tire R1i	Tire R1i lateral slip
AlphaR1o	deg	Angle	Tires	Lateral slip angle, tire R1o	Tire R1o lateral slip
AlphaR2i	deg	Angle	Tires	Lateral slip angle, tire R2i	Tire R2i lateral slip
AlphaR2o	deg	Angle	Tires	Lateral slip angle, tire R2o	Tire R2o lateral slip
AlphaR3i	deg	Angle	Tires	Lateral slip angle, tire R3i	Tire R3i lateral slip
AlphaR3o	deg	Angle	Tires	Lateral slip angle, tire R3o	Tire R3o lateral slip
AlphaR4i	deg	Angle	Tires	Lateral slip angle, tire R4i	Tire R4i lateral slip
AlphaR4o	deg	Angle	Tires	Lateral slip angle, tire R4o	Tire R4o lateral slip
AlphLL1i	deg	Angle	Tires	Lateral slip (lagged), tire L1i	Tire L1i slip (lagged)
AlphLL1o	deg	Angle	Tires	Lateral slip (lagged), tire L1o	Tire L1o slip (lagged)
AlphLL2i	deg	Angle	Tires	Lateral slip (lagged), tire L2i	Tire L2i slip (lagged)
AlphLL2o	deg	Angle	Tires	Lateral slip (lagged), tire L2o	Tire L2o slip (lagged)
AlphLL3i	deg	Angle	Tires	Lateral slip (lagged), tire L3i	Tire L3i slip (lagged)
AlphLL3o	deg	Angle	Tires	Lateral slip (lagged), tire L3o	Tire L3o slip (lagged)
AlphLL4i	deg	Angle	Tires	Lateral slip (lagged), tire L4i	Tire L4i slip (lagged)
AlphLL4o	deg	Angle	Tires	Lateral slip (lagged), tire L4o	Tire L4o slip (lagged)
AlphLR1i	deg	Angle	Tires	Lateral slip (lagged), tire R1i	Tire R1i slip (lagged)
AlphLR1o	deg	Angle	Tires	Lateral slip (lagged), tire R1o	Tire R1o slip (lagged)
AlphLR2i	deg	Angle	Tires	Lateral slip (lagged), tire R2i	Tire R2i slip (lagged)
AlphLR2o	deg	Angle	Tires	Lateral slip (lagged), tire R2o	Tire R2o slip (lagged)
AlphLR3i	deg	Angle	Tires	Lateral slip (lagged), tire R3i	Tire R3i slip (lagged)
AlphLR3o	deg	Angle	Tires	Lateral slip (lagged), tire R3o	Tire R3o slip (lagged)
AlphLR4i	deg	Angle	Tires	Lateral slip (lagged), tire R4i	Tire R4i slip (lagged)
AlphLR4o	deg	Angle	Tires	Lateral slip (lagged), tire R4o	Tire R4o slip (lagged)
ArtR_H	deg/s	Angular rate	Hitch	Articulation rate, hitch	Articulation rate, hitch
Art_H	deg	Angle	Hitch	Articulation, hitch	Articulation, hitch
AVx	deg/s	Angular rate	Chassis motion	Roll rate (body-fixed), unit 1	Unit 1 roll (body-fixed)
AVx_2	deg/s	Angular rate	Chassis motion	Roll rate (body-fixed), unit 2	Unit 2 roll (body-fixed)
AVx_L1	deg/s	Angular rate	Wheels	Roll rate, wheel L1	Roll rate, wheel L1
AVx_L2	deg/s	Angular rate	Wheels	Roll rate, wheel L2	Roll rate, wheel L2
AVx_L3	deg/s	Angular rate	Wheels	Roll rate, wheel L3	Roll rate, wheel L3
AVx_L4	deg/s	Angular rate	Wheels	Roll rate, wheel L4	Roll rate, wheel L4
AVx_R1	deg/s	Angular rate	Wheels	Roll rate, wheel R1	Roll rate, wheel R1
AVx_R2	deg/s	Angular rate	Wheels	Roll rate, wheel R2	Roll rate, wheel R2
AVx_R3	deg/s	Angular rate	Wheels	Roll rate, wheel R3	Roll rate, wheel R3
AVx_R4	deg/s	Angular rate	Wheels	Roll rate, wheel R4	Roll rate, wheel R4
AVy	deg/s	Angular rate	Chassis motion	Pitch rate (body-fixed), unit 1	Unit 1 pitch (body-fixed)
