Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -40,             0, 7.6430758611e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
        0.025,             0, -39.9900016785,             0, 7.64578160783e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
         0.05,             0, -39.9799995422,             0, 7.64848735457e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
        0.075,             0, -39.9700012207,             0, 7.65120731216e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
          0.1,             0, -39.9599990845,             0, 7.65391234836e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
        0.125,             0, -39.9500007629,             0, 7.65663230595e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
         0.15,             0, -39.9399986267,             0, 7.65935226354e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
        0.175,             0, -39.9300003052,             0, 7.66205801028e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
          0.2,             0, -39.9199981689,             0, 7.66477796788e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
        0.225,             0, -39.9099998474,             0, 7.66749792547e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
         0.25,             0, -39.9000015259,             0, 7.67021788306e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
        0.275,             0, -39.8899993896,             0, 7.67293784065e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
          0.3,             0, -39.8800010681,             0, 7.67565779825e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
        0.325,             0, -39.8699989319,             0, 7.67839196669e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
         0.35,             0, -39.8600006104,             0, 7.68111192428e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
        0.375,             0, -39.8499984741,             0, 7.68383188188e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
          0.4,             0, -39.8400001526,             0, 7.68656605032e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
        0.425,             0, -39.8300018311,             0, 7.68928600792e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
         0.45,             0, -39.8199996948,             0, 7.69202017636e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
        0.475,             0, -39.8100013733,             0, 7.69475434481e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
          0.5,             0, -39.7999992371,             0, 7.69748851326e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
        0.525,             0, -39.7900009155,             0, 7.70020847085e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
         0.55,             0, -39.7799987793,             0, 7.7029426393e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
        0.575,             0, -39.7700004578,             0, 7.70567680775e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
          0.6,             0, -39.7599983215,             0, 7.70842518705e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
        0.625,             0,        -39.75,             0, 7.71115935549e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
         0.65,             0, -39.7400016785,             0, 7.71389352394e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
        0.675,             0, -39.7299995422,             0, 7.71662769239e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
          0.7,             0, -39.7200012207,             0, 7.71937607169e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
        0.725,             0, -39.7099990845,             0, 7.72211024014e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
         0.75,             0, -39.7000007629,             0, 7.72485861944e-08,  641.33001709,          1000, -22.3424491882, -6.63000011444, -0.0991904959083
