Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,             0,             0, -19379.0683594, -8.31935882568,         40000, 0.171952992678,             0, -0.102469414473
        0.025, -0.990000009537,             0,             0, -19425.0722656, -8.41731548309,         40000, 0.173977658153, -8.86786460876, -0.103372626007
         0.05, -0.980000019073,             0,             0, -19472.1015625, -8.51756954193,         40000, 0.176049813628, -17.718963623, -0.104288987815
        0.075, -0.97000002861,             0,             0, -19520.1894531, -8.62020015717,         40000, 0.178171098232, -26.5365657806, -0.10521864146
          0.1, -0.959999978542,             0,             0, -19569.3730469, -8.72529220581,         40000, 0.180343225598, -35.3039970398, -0.106161728501
        0.125, -0.949999988079,             0,             0, -19619.6855469, -8.83293151855,         40000, 0.182568028569, -44.0046882629, -0.107118397951
         0.15, -0.939999997616,             0,             0, -19671.1660156, -8.94320964813,         40000, 0.18484736979, -52.6221847534, -0.108088769019
        0.175, -0.930000007153,             0,             0, -19723.8554688, -9.05622196198,         40000, 0.187183231115, -61.1402015686, -0.109072953463
          0.2, -0.920000016689,             0,             0, -19777.7949219, -9.17206954956,         40000, 0.189577698708, -69.5426254272, -0.110071048141
        0.225, -0.910000026226,             0,             0, -19833.0253906, -9.29085731506,         40000, 0.192032903433, -77.813583374, -0.111083142459
         0.25, -0.899999976158,             0,             0,  -19889.59375, -9.41269397736,         40000, 0.194551169872, -85.9374313354, -0.112109288573
        0.275, -0.889999985695,             0,             0, -19947.546875, -9.53769683838,         40000, 0.197134837508, -93.8988037109, -0.113149538636
          0.3, -0.879999995232,             0,             0, -20006.9355469, -9.66598510742,         40000, 0.199786439538, -101.682662964, -0.114203900099
        0.325, -0.870000004768,             0,             0, -20067.8066406, -9.79768753052,         40000, 0.202508598566, -109.274291992, -0.115272372961
         0.35, -0.860000014305,             0,             0,  -20130.21875, -9.93293762207,         40000, 0.205304086208, -116.659332275, -0.116354905069
        0.375, -0.850000023842,             0,             0, -20194.2265625, -10.0718755722,         40000, 0.208175808191, -123.823822021, -0.117451421916
          0.4, -0.839999973774,             0,             0, -20259.8867188, -10.2146501541,         40000, 0.211126804352, -130.754226685, -0.118561804295
        0.425, -0.829999983311,             0,             0, -20327.2636719, -10.361415863,         40000, 0.214160308242, -137.437423706, -0.11968588084
         0.45, -0.819999992847,             0,             0, -20396.421875, -10.5123376846,         40000, 0.217279702425, -143.860809326, -0.120823442936
        0.475, -0.810000002384,             0,             0, -20467.4296875, -10.6675872803,         40000, 0.22048856318, -150.012207031, -0.121974214911
          0.5, -0.800000011921,             0,             0, -20540.3554688, -10.8273477554,         40000, 0.223790660501, -155.880004883, -0.123137846589
        0.525, -0.790000021458,             0,             0, -20615.2753906, -10.991809845,         40000, 0.227189943194, -161.453109741, -0.124313935637
         0.55, -0.77999997139,             0,             0, -20692.2675781, -11.1611776352,         40000, 0.230690598488, -166.720977783, -0.125501975417
        0.575, -0.769999980927,             0,             0, -20771.4140625, -11.3356647491,         40000, 0.234297081828, -171.673660278, -0.126701384783
          0.6, -0.759999990463,             0,             0, -20852.7988281, -11.5154972076,         40000, 0.238014042377, -176.30178833, -0.12791146338
        0.625,         -0.75,             0,             0, -20936.515625, -11.7009143829,         40000, 0.241846427321, -180.596618652, -0.129131391644
         0.65, -0.740000009537,             0,             0,  -21022.65625, -11.8921689987,         40000, 0.245799466968, -184.550018311, -0.130360215902
        0.675, -0.730000019073,             0,             0, -21111.3222656, -12.0895290375,         40000, 0.249878719449, -188.154525757, -0.131596848369
          0.7, -0.72000002861,             0,             0, -21202.6171875, -12.2932796478,         40000, 0.254090040922, -191.403320312, -0.132840007544
        0.725, -0.709999978542,             0,             0, -21296.6523438, -12.5037193298,         40000, 0.25843963027, -194.290252686, -0.134088262916
         0.75, -0.699999988079,             0,             0, -21393.5410156, -12.7211704254,         40000, 0.262934118509, -196.809890747, -0.135339900851
        0.775, -0.689999997616,             0,             0,  -21493.40625, -12.9459686279,         40000, 0.267580479383, -198.957443237, -0.136593043804
          0.8, -0.680000007153,             0,             0,    -21596.375, -13.1784763336,         40000, 0.272386193275, -200.728851318, -0.137845471501
        0.825, -0.670000016689,             0,             0, -21702.5820312, -13.4190750122,         40000, 0.277359127998, -202.120788574, -0.139094695449
         0.85, -0.660000026226,             0,             0, -21812.1699219, -13.6681718826,         40000, 0.282507717609, -203.130615234, -0.140337869525
        0.875, -0.649999976158,             0,             0, -21925.2871094, -13.9262008667,         40000, 0.287840902805, -203.756408691, -0.141571760178
          0.9, -0.639999985695,             0,             0, -22042.0878906, -14.1936216354,         40000, 0.293368250132, -203.996994019, -0.142792671919
        0.925, -0.629999995232,             0,             0, -22162.7382812, -14.4709281921,         40000, 0.299099892378, -203.999954224, -0.143996417522
         0.95, -0.620000004768,             0,             0, -22287.4101562, -14.758644104,         40000, 0.305046707392, -203.999954224, -0.145178228617
        0.975, -0.610000014305,             0,             0, -22416.2851562, -15.0573301315,         40000, 0.311220228672, -203.999954224, -0.146332681179
            1, -0.600000023842,             0,             0, -22549.5566406, -15.3675832748,         40000, 0.317632883787, -203.999954224, -0.147453635931
        1.025, -0.589999973774,             0,             0, -22687.421875, -15.6900434494,         40000, 0.324297815561, -203.999954224, -0.148534104228
         1.05, -0.579999983311,             0,             0, -22830.0917969, -16.025396347,         40000,  0.3312292099, -203.999954224, -0.149566113949
        1.075, -0.569999992847,             0,             0, -22977.7871094, -16.374370575,         40000, 0.338442206383, -203.999954224, -0.150540664792
          1.1, -0.560000002384,             0,             0, -23130.7402344, -16.7377529144,         40000, 0.345952957869, -203.999954224, -0.151447460055
        1.125, -0.550000011921,             0,             0, -23289.1914062, -17.1163845062,         40000, 0.353778868914, -203.999954224, -0.152274802327
         1.15, -0.540000021458,             0,             0, -23453.3925781, -17.5111618042,         40000, 0.361938565969, -203.999954224, -0.153009369969
        1.175, -0.52999997139,             0,             0, -23623.6074219, -17.9230575562,         40000, 0.370452016592, -203.999954224, -0.153635978699
          1.2, -0.519999980927,             0,             0, -23800.1074219, -18.3531036377,         40000, 0.379340678453, -203.999954224, -0.154137313366
        1.225, -0.509999990463,             0,             0, -23983.1777344, -18.8024196625,         40000, 0.388627558947, -203.999954224, -0.154493615031
         1.25,          -0.5,             0,             0, -24173.1113281, -19.2721996307,         40000, 0.398337483406, -203.999954224, -0.154682248831
        1.275, -0.490000009537,             0,             0, -24370.2070312, -19.7637348175,         40000, 0.408497005701, -203.999954224, -0.154677391052
          1.3, -0.479999989271,             0,             0, -24574.7753906, -20.2784061432,         40000, 0.419134765863, -203.999954224, -0.154449433088
        1.325, -0.469999998808,             0,             0,    -24787.125, -20.8177051544,         40000, 0.43028151989, -203.999954224, -0.15396438539
         1.35, -0.460000008345,             0,             0, -25007.5761719, -21.383228302,         40000, 0.44197037816, -203.999954224, -0.153183296323
        1.375, -0.449999988079,             0,             0,   -25236.4375, -21.9767017365,         40000, 0.454236894846, -203.999954224, -0.15206129849
          1.4, -0.439999997616,             0,             0, -25474.0175781, -22.5999755859,         40000, 0.467119336128, -203.999954224, -0.15054680407
        1.425, -0.430000007153,             0,             0, -25720.6132812, -23.2550354004,         40000, 0.48065879941, -203.999954224, -0.148580297828
         1.45, -0.419999986887,             0,             0, -25976.4980469, -23.944021225,         40000, 0.49489942193, -203.999954224, -0.146093055606
        1.475, -0.409999996424,             0,             0, -26241.9199219, -24.6692180634,         40000, 0.509888529778, -203.999954224, -0.143005654216
          1.5, -0.40000000596,             0,             0, -26517.0839844, -25.4330844879,         40000, 0.525676906109, -203.999954224, -0.139226078987
        1.525, -0.389999985695,             0,             0, -26802.1386719, -26.238243103,         40000, 0.542318701744, -203.999954224, -0.134647667408
         1.55, -0.379999995232,             0,             0, -27097.1582031, -27.0874900818,         40000, 0.559871852398, -203.999954224, -0.129146546125
        1.575, -0.370000004768,             0,             0, -27402.1152344, -27.9838066101,         40000, 0.578397810459, -203.999954224, -0.122578620911
          1.6, -0.360000014305,             0,             0, -27716.8554688, -28.9303436279,         40000, 0.597961783409, -203.999954224, -0.114776194096
        1.625, -0.34999999404,             0,             0, -28041.0585938, -29.9304256439,         40000, 0.618632555008, -203.999954224, -0.105543740094
         1.65, -0.340000003576,             0,             0, -28374.2011719, -30.9875392914,         40000, 0.640482068062, -203.999954224, -0.0946531370282
        1.675, -0.330000013113,             0,             0, -28715.4863281, -32.1053085327,         40000, 0.663585186005, -203.999954224, -0.0818380042911
          1.7, -0.319999992847,             0,             0, -29063.7949219, -33.2874603271,         40000, 0.688019096851, -203.999954224, -0.0667871534824
        1.725, -0.310000002384,             0,             0, -29417.5957031, -34.537776947,         40000, 0.713861942291, -203.999954224, -0.0491369701922
         1.75, -0.300000011921,             0,             0, -29774.8535156, -35.8600463867,         40000, 0.741191923618, -203.999954224, -0.0284627843648
        1.775, -0.289999991655,             0,             0, -30132.9140625, -37.2579421997,         40000, 0.770085036755, -203.999954224, -0.00426902249455
