Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,            -2,             0, -10151.5595703, 608.639770508,         20000, -25.5108528137,             0, 3.44128084183
        0.025, -0.990000009537,            -2,             0, -10175.8496094,  615.37713623,         20000, -25.7932376862, -4.47315311432, 3.45941376686
         0.05, -0.980000019073,            -2,             0, -10200.6884766, 622.262817383,         20000, -26.0818443298, -8.93769931793, 3.47744369507
        0.075, -0.97000002861,            -2,             0, -10226.0966797, 629.301757812,         20000, -26.376871109, -13.3850469589, 3.49534916878
          0.1, -0.959999978542,            -2,             0, -10252.0908203, 636.498962402,         20000, -26.6785316467, -17.806640625, 3.51310706139
        0.125, -0.949999988079,            -2,             0, -10278.6933594, 643.859680176,         20000, -26.9870471954, -22.1939735413, 3.53069257736
         0.15, -0.939999997616,            -2,             0, -10305.921875, 651.389404297,         20000, -27.302646637, -26.5385990143, 3.54807853699
        0.175, -0.930000007153,            -2,             0, -10333.7998047, 659.093933105,         20000, -27.6255683899, -30.8321628571, 3.56523537636
          0.2, -0.920000016689,            -2,             0, -10362.3496094, 666.979125977,         20000, -27.9560661316, -35.0664024353, 3.58213162422
        0.225, -0.910000026226,            -2,             0, -10391.5947266, 675.051330566,         20000, -28.2944011688, -39.233165741, 3.59873247147
         0.25, -0.899999976158,            -2,             0, -10421.5585938, 683.317138672,         20000, -28.6408481598, -43.3244400024, 3.61500120163
        0.275, -0.889999985695,            -2,             0, -10452.2685547,  691.78326416,         20000, -28.9956932068, -47.3323554993, 3.63089728355
          0.3, -0.879999995232,            -2,             0,     -10483.75,  700.45690918,         20000, -29.3592357635, -51.2491912842, 3.64637732506
        0.325, -0.870000004768,            -2,             0,  -10516.03125,  709.34564209,         20000,  -29.73179245, -55.0674209595, 3.66139364243
         0.35, -0.860000014305,            -2,             0, -10549.1416016,  718.45715332,         20000, -30.1136875153, -58.7796897888, 3.67589521408
        0.375, -0.850000023842,            -2,             0, -10583.1132812, 727.799804688,         20000, -30.5052680969, -62.3788604736, 3.68982672691
          0.4, -0.839999973774,            -2,             0, -10617.9765625, 737.382141113,         20000, -30.9068946838, -65.8580093384, 3.70312809944
        0.425, -0.829999983311,            -2,             0, -10653.765625, 747.213195801,         20000, -31.3189468384,  -69.21043396, 3.71573376656
         0.45, -0.819999992847,            -2,             0, -10690.5166016, 757.302490234,         20000, -31.7418193817,   -72.4296875, 3.72757339478
        0.475, -0.810000002384,            -2,             0, -10728.265625, 767.659912109,         20000, -32.1759300232, -75.5095748901, 3.73857021332
          0.5, -0.800000011921,            -2,             0, -10767.0517578, 778.295898438,         20000, -32.6217193604, -78.4441757202,  3.7486410141
        0.525, -0.790000021458,            -2,             0, -10806.9150391, 789.221496582,         20000, -33.0796432495, -81.2278366089, 3.75769495964
         0.55, -0.77999997139,            -2,             0, -10847.8994141, 800.448120117,         20000, -33.5501823425, -83.8552017212, 3.76563429832
        0.575, -0.769999980927,            -2,             0, -10890.0488281, 811.988037109,         20000, -34.0338554382, -86.3212203979, 3.77235221863
          0.6, -0.759999990463,            -2,             0, -10933.4111328, 823.853881836,         20000, -34.5311851501, -88.6211471558,  3.7777326107
        0.625,         -0.75,            -2,             0, -10978.0341797, 836.059143066,         20000, -35.0427436829, -90.7505493164,  3.7816491127
         0.65, -0.740000009537,            -2,             0, -11023.9716797, 848.617980957,         20000, -35.5691184998, -92.7053375244,  3.7839641571
        0.675, -0.730000019073,            -2,             0, -11071.2763672, 861.545288086,         20000, -36.1109352112, -94.4817504883, 3.78452825546
          0.7, -0.72000002861,            -2,             0, -11120.0068359, 874.856750488,         20000, -36.6688537598, -96.0763626099, 3.78317785263
        0.725, -0.709999978542,            -2,             0, -11170.2226562, 888.569030762,         20000, -37.2435684204, -97.486114502, 3.77973532677
         0.75, -0.699999988079,            -2,             0, -11221.9873047, 902.699523926,         20000, -37.835811615, -98.7082824707, 3.77400636673
        0.775, -0.689999997616,            -2,             0, -11275.3662109, 917.266784668,         20000, -38.4463577271, -99.7405319214, 3.76577877998
          0.8, -0.680000007153,            -2,             0, -11330.4306641, 932.290283203,         20000, -39.0760269165, -100.580856323, 3.75482058525
        0.825, -0.670000016689,            -2,             0, -11387.2529297, 947.790710449,         20000, -39.7256851196, -101.227653503,   3.740878582
         0.85, -0.660000026226,            -2,             0, -11445.9111328, 963.789855957,         20000, -40.3962402344, -101.679679871, 3.72367525101
        0.875, -0.649999976158,            -2,             0, -11506.4863281, 980.310791016,         20000, -41.0886688232, -101.936058044, 3.70290637016
