Time,Alpha_L1i,Alpha_L1o,Alpha_L2i,Alpha_L2o,Alpha_R1i,Alpha_R1o,Alpha_R2i,Alpha_R2o,AVz,Ay,Bk_Stat,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L1i,Fz_L2,Fz_L2i,Fz_L2o,Fz_R1,Fz_R1i,Fz_R2,Fz_R2i,Fz_R2o,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,Pitch_A1,Pitch_A2,Roll,RollGL1,RollGL2,RollGR1,RollGR2,Roll_A1,Roll_A2,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_L2,Steer_R1,Steer_R2,Steer_SW,Vx,VxTarget,Vxz_Fwd,Xctc_L1o,Xctc_L2o,Xctc_R1o,Xctc_R2o,Xo,X_A1,X_A2,X_L1,X_L2,X_R1,X_R2,Yaw,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1o,Yctc_L2o,Yctc_R1o,Yctc_R2o,Yo,Y_A1,Y_A2,Y_L1,Y_L2,Y_R1,Y_R2,Zgnd_L1o,Zgnd_L2o,Zgnd_R1o,Zgnd_R2o,Zo,Z_A1,Z_A2,Z_L1,Z_L2,Z_R1,Z_R2
0, -0, 0, 0, 0, -0, 0, 0, 0, 0, -5.112463983084e-33, 0, 3.786857173214e-11, 0, 3.786857173214e-11, 0, 0, -0, 0, -0, 19050.99150209, 19050.99150209, 10575.96181522, 5287.98090761, 5287.98090761, 19050.99150209, 19050.99150209, 10575.96181522, 5287.98090761, 5287.98090761, 0, 0, -0.06825186537218, -0, -0, -0, -0, -0.06825186537218, -0.06825186537218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0, -0, -0.0001895885149227, -0.0001895885149227, -0.0001895885149227, -0.0001895885149227, 0, 0, 0, -0, 0, 0, 70, 70, 70, -0.0006075219397205, -5.000627798819, -0.0006075219397205, -5.000627798819, 0, -0.0006075219397205, -5.000627798819, -0.0006075219397205, -5.000627798819, -0.0006075219397205, -5.000627798819, 0, 1.602653226532e-15, 0, -1.602653226532e-15, 0, 1.015, 1.0865, -1.015, -1.0865, 0, 4.2323e-22, 5.317e-21, 1.015, 0.9315, -1.015, -0.9315, -0, -0, -0, -0, -0.009439425400917, 0.500560212753, 0.5146041011147, 0.500560212753, 0.5146041011147, 0.500560212753, 0.5146041011147
0.025, 0.004362203593296, 0, 0.001236556817385, 0.001236557982846, -0.07946225078819, 0, 0.001236550978834, 0.001236549813386, 0.003368055657996, 0.002014394218608, 0, -102.6448809333, -51.16510232001, -102.6817395932, -51.67008655303, -6.539924286345, -1.055429284969, 128.2560264276, -1.056105500091, 19031.70826313, 19031.70826313, 10599.66683332, 5300.188704066, 5299.478129257, 19069.85350021, 19069.85350021, 10608.20748409, 5303.748454639, 5304.459029448, 0, 8.410062513955e-06, -0.06849467610351, -0, -0, -0, -0, -0.07030430605411, -0.06849467610351, 0.0002646723442913, 0, 0, 0, 0, 0.001463028139717, 0.0001340123984607, 0.0002646725334156, 0.00162730334494, 0.0001340123027009, -0.006097545985573, 0.0001340123027009, 0.1514276341864, 0.1514594875818, 0.1514264278873, 0.1514595810146, 0.4860508662531, -0.001781113034543, 0, 0.08205247144636, 0, -0.001713732393087, 69.98078865007, 70, 69.98062275873, 0.4854437106881, -4.514579761204, 0.4855850316845, -4.514578579152, 0.4860508662531, 0.4854411822436, -4.514579170178, 0.4854437102544, -4.514579676888, 0.4855849553771, -4.514578663467, 3.100711422043e-05, -0.001748161820142, 3.116732032493e-05, 0.08207624779751, 3.116732032493e-05, 1.01501916228, 1.086504014427, -1.01504821988, -1.086495985578, 8.410062513955e-06, 4.945295240937e-06, 2.81082152132e-06, 1.01500494491, 0.9315028108188, -1.014994951237, -0.9314971891758, -0, -0, -0, -0, -0.009446595886912, 0.5005536849508, 0.5145898279788, 0.5005798893255, 0.5145920067163, 0.5005409629816, 0.5145876492414
0.05, 0.008676141190134, 0, 0.002488150552865, 0.002488157963898, -0.07183188881931, 0, 0.002488113426641, 0.002488106015872, 0.01066845108686, 0.002640644305838, 0, -101.9972080037, -94.08712324255, -102.9134976979, -95.40249018281, -14.27867147868, -3.607381701257, 178.4025790461, -3.619791380931, 19031.09352612, 19031.09352612, 10668.01266462, 5335.776684915, 5332.235979708, 19095.92803807, 19095.92803807, 10710.56965688, 5353.514475837, 5357.055181044, 0, 4.82103566682e-05, -0.06891050871007, -0, -0, -0, -0, -0.07075274607845, -0.06891050871007, 0.001397323669087, 0, 0, 0, 0, 0.002208691926194, 0.0006677669899804, 0.001397324679719, 0.002453812255881, 0.00066776650701, -0.004966479339805, 0.00066776650701, 0.302992524779, 0.3030110570394, 0.3029893491398, 0.3030120425248, 0.9719630534264, -0.002657459078367, 0, 0.07785924717891, 0, -0.01067930825133, 69.95961393726, 70, 69.9594466456, 0.9713506877652, -4.028674630759, 0.9714892063672, -4.028666969202, 0.9719630534264, 0.9713496607325, -4.02867079996, 0.9713506868472, -4.02867408424, 0.971489147263, -4.02866751568, 0.0002012101519995, -0.002453299611507, 0.0002020132853591, 0.07805454020097, 0.0002020132853591, 1.015056457105, 1.08652123726, -1.015008271837, -1.086478762874, 4.82103566682e-05, 3.501956088572e-05, 1.524029758135e-05, 1.015035018692, 0.9315152402285, -1.014964886584, -0.9314847596334, 1.110223024625e-16, -0, -0, -0, -0.009465406444931, 0.5005409613818, 0.5145462799851, 0.500580516351, 0.5145571363607, 0.5005143572645, 0.5145354236095
0.075, 0.01199616125127, 0, 0.002831019396746, 0.002831034969157, -0.06752155642092, 0, 0.002830941386568, 0.002830925815187, 0.01971725861011, 0.002702923562691, 0, -100.9863611909, -126.4972967477, -102.2608955751, -128.5098624285, -24.21329038146, -5.27686235711, 195.5803522133, -5.316379668216, 19033.37616454, 19033.37616454, 10703.47013979, 5355.313860211, 5348.156279575, 19122.0317005, 19122.0317005, 10789.49964124, 5391.171030301, 5398.328610937, 0, 0.0001216430473201, -0.06913728404965, -0, -0, -0, -0, -0.0711504206479, -0.06913728404965, 0.003159205309393, 0, 0, 0, 0, 0.002883335191458, 0.001349899474866, 0.003159207609391, 0.003198800312536, 0.001349898492099, -0.004130964245032, 0.001349898492099, 0.4545088989844, 0.4544704470319, 0.4545054696722, 0.4544741249482, 1.457720803591, -0.003419872224566, 0, 0.07610621985612, 0, -0.02896371587457, 69.93731767481, 70, 69.93731557765, 1.457101033342, -3.542926149837, 1.457248562145, -3.542904132121, 1.457720803591, 1.457105380986, -3.542915140856, 1.457101031958, -3.542924579192, 1.457248513852, -3.542905702521, 0.0005789151746664, -0.002837099636371, 0.0005805440618479, 0.07668020530481, 0.0005805440618479, 1.015121716122, 1.08654785675, -1.014942223047, -1.086452143741, 0.0001216430473201, 9.377052755102e-05, 3.573439259481e-05, 1.015093769043, 0.9315357340862, -1.014906138451, -0.9314642653011, -0, -0, -0, -0, -0.009489381755957, 0.5005265577042, 0.5145170994029, 0.5005781868071, 0.5145390457042, 0.5004877214538, 0.5144951531015
0.1, 0.01435314226378, 0, 0.001946834406831, 0.001946850261272, -0.06507328192843, 0, 0.001946754985079, 0.001946739132189, 0.02920677862029, 0.002618699228917, 0, -100.6096021674, -141.8222097913, -102.0309777244, -144.1639878973, -33.73791704628, -4.86089570554, 199.4568895132, -4.918703109641, 19037.110296, 19037.110296, 10674.83845901, 5342.526254137, 5332.312204874, 19142.66428668, 19142.66428668, 10797.60474145, 5393.695346093, 5403.909395357, 0, 0.0002174244326709, -0.068871340188, -0, -0, -0, -0, -0.07095568553093, -0.068871340188, 0.004838857814342, 0, 0, 0, 0, 0.003361089025592, 0.001926340806806, 0.004838861310129, 0.00376274572848, 0.001926339415141, -0.003558466849314, 0.001926339415141, 0.605974156295, 0.6058504956495, 0.6059730049963, 0.6058593957863, 1.943312371348, -0.004354458157631, 0, 0.07508005987872, 0, -0.05587491896769, 69.9143189147, 70, 69.91454698387, 1.942685745361, -3.057343763044, 1.942851532592, -3.057298525326, 1.943312371348, 1.942699305339, -3.057321143825, 1.942685743548, -3.05734053588, 1.942851491218, -3.057301751771, 0.001190473386772, -0.00315946498367, 0.001192788908827, 0.07626630946657, 0.001192788908827, 1.015208577341, 1.086576147124, -1.01485528627, -1.086423853634, 0.0002174244326709, 0.000175705609929, 5.884800735373e-05, 1.015175703469, 0.931558847279, -1.014824203833, -0.9314411512643, -0, -0, -0, -0, -0.009511190789733, 0.5005141331865, 0.5145223356274, 0.5005743761695, 0.5145536535566, 0.50046666813, 0.5144910176983
0.125, 0.01600269299793, 0, 0.0002941805299473, 0.0002941836723598, -0.06352167227243, 0, 0.0002941647884844, 0.0002941616464752, 0.03832105138873, 0.002550938709454, 0, -100.9225525529, -137.7410731442, -102.3312229849, -139.9694591035, -41.50040769237, -2.532645205302, 198.6550387502, -2.57579776248, 19042.6758444, 19042.6758444, 10598.47211668, 5305.020474436, 5293.451642241, 19153.75892501, 19153.75892501, 10737.5220159, 5362.976591852, 5374.545424047, 0, 0.0003232835476467, -0.0681631814266, -0, -0, -0, -0, -0.07019891801389, -0.0681631814266, 0.005772876963747, 0, 0, 0, 0, 0.003509730955651, 0.00218184900403, 0.005772881048981, 0.004022948750804, 0.002181847460024, -0.003306393313202, 0.002181847460024, 0.7573870354241, 0.7571708699528, 0.7573908745308, 0.7571877172156, 2.428735607816, -0.005564790376046, 0, 0.07396739396031, 0, -0.0899155953236, 69.89116120176, 70, 69.89151641818, 2.428102405368, -2.57193007628, 2.428294102707, -2.571852754731, 2.428735607816, 2.428128836459, -2.571891414808, 2.428102403206, -2.57192456024, 2.428294064399, -2.571858269377, 0.002036151872905, -0.00352385646067, 0.002038747556842, 0.07599966386091, 0.002038747556842, 1.015309111993, 1.086599544256, -1.014754821595, -1.086400455944, 0.0003232835476467, 0.0002739679449464, 7.994960290173e-05, 1.015273965212, 0.9315799483378, -1.014725941619, -0.931420049132, -0, -0, -0, -0, -0.009528107081761, 0.5005056259857, 0.5145571439809, 0.5005686968841, 0.5145926158939, 0.5004553472024, 0.5145216720678
0.15, 0.0175150127459, 0, -0.001486425742002, -0.001486445017877, -0.06212591922668, 0, -0.001486329183611, -0.00148630991074, 0.04652687780249, 0.002515458172841, 0, -101.717921843, -115.9118498837, -103.0023327774, -117.723171383, -47.68602358384, 0.7422284068477, 196.2440261095, 0.7370985645884, 19052.54195257, 19052.54195257, 10526.66942714, 5268.703048215, 5257.966378927, 19156.94921117, 19156.94921117, 10655.7172651, 5322.490297906, 5333.226967194, 0, 0.0004331091395058, -0.06737778381994, -0, -0, -0, -0, -0.06928128900866, -0.06737778381994, 0.005671307251599, 0, 0, 0, 0, 0.003304729281212, 0.002024905402644, 0.005671311173003, 0.00395204869077, 0.002024904002532, -0.003386943106748, 0.002024904002532, 0.9087483718797, 0.9084542512103, 0.9087597726134, 0.9084814368371, 2.913997732328, -0.007020180095154, 0, 0.07262833078997, 0, -0.1298999139707, 69.86839572552, 70, 69.86868485546, 2.913355230007, -2.08668089523, 2.913579699957, -2.086563270172, 2.913997732328, 2.913397945318, -2.086622081716, 2.913355227647, -2.086672504055, 2.913579660859, -2.086571659378, 0.003099054310729, -0.003916483182166, 0.003101435526383, 0.07572345162681, 0.003101435526383, 1.015419305488, 1.086615945515, -1.01464471082, -1.086384052658, 0.0004331091395058, 0.0003847821606494, 9.775995519203e-05, 1.015384778825, 0.9315977580088, -1.014615127466, -0.9314022380984, -0, -1.110223024625e-16, -0, 1.110223024625e-16, -0.009541537613265, 0.5004989561401, 0.5145963296041, 0.5005586294699, 0.5146292499709, 0.5004520917673, 0.5145634092373
0.175, 0.01944447789034, 0, -0.002829079887109, -0.002829122128651, -0.06036666364937, 0, -0.002828868289599, -0.002828826055637, 0.05356486912149, 0.002461081626277, 0, -102.6927186509, -80.09671901891, -103.7901305689, -81.45634435143, -53.37730459342, 3.763603791503, 192.7101809761, 3.787448956543, 19066.84500555, 19066.84500555, 10511.68509141, 5259.976330845, 5251.708760566, 19155.42447377, 19155.42447377, 10611.05595225, 5301.394190987, 5309.661761267, 0, 0.0005487414023924, -0.06694944849202, -0, -0, -0, -0, -0.06869169885498, -0.06694944849202, 0.004698584265008, 0, 0, 0, 0, 0.002834607016868, 0.001559240313073, 0.004698587472651, 0.003634434828099, 0.001559239248607, -0.003719620716307, 0.001559239248607, 1.060060491043, 1.059722445381, 1.060081739728, 1.059761780856, 3.399110756659, -0.008675267064994, 0, 0.07114326544447, 0, -0.1753804900664, 69.84649184215, 70, 69.8465545558, 3.398452749419, -1.601587697376, 3.398716144026, -1.601422543094, 3.399110756659, 3.398514776784, -1.601505119171, 3.398452747026, -1.601575915864, 3.398716101219, -1.601434322478, 0.004352822942443, -0.004318203264343, 0.004354644896105, 0.0754917900137, 0.004354644896105, 1.015540341807, 1.086628692956, -1.014523803341, -1.086371301572, 0.0005487414023924, 0.0005085951196816, 0.0001146911259938, 1.01550859087, 0.9316146880907, -1.014491314104, -0.9313853058387, -0, 1.110223024625e-16, -0, -1.110223024625e-16, -0.009553460607015, 0.5004924234474, 0.5146115454616, 0.5005440347016, 0.514636895171, 0.5004536474416, 0.5145861957522
0.2, 0.02208874547377, 0, -0.003518629061016, -0.003518687311369, -0.05794087261229, 0, -0.003518337274567, -0.003518279035803, 0.05937158165481, 0.002338630502992, 0, -103.5868876252, -35.88331720575, -104.4868276587, -36.92866885973, -59.7587088545, 5.820036123505, 187.7595003138, 5.84872094361, 19081.52277267, 19081.52277267, 10568.95635106, 5287.087055097, 5281.869295967, 19150.88760188, 19150.88760188, 10631.67044951, 5313.22634519, 5318.444104319, 0, 0.000677522475575, -0.06711125590834, -0, -0, -0, -0, -0.06870665534529, -0.06711125590834, 0.00334040979022, 0, 0, 0, 0, 0.002265169198834, 0.000984054581005, 0.003340412081697, 0.003238175897435, 0.0009840539059571, -0.004136249576756, 0.0009840539059571, 1.211326293297, 1.210992560546, 1.211359360328, 1.211045396786, 3.884086014228, -0.01055384013786, 0, 0.06948302680419, 0, -0.2264928359362, 69.82578951711, 70, 69.8255952539, 3.883404799008, -1.116640718103, 3.883712105304, -1.116421953439, 3.884086014228, 3.883488589419, -1.116531334881, 3.883404796646, -1.116625112738, 3.883712057857, -1.116437557024, 0.005767044300513, -0.004783010176653, 0.005768196935564, 0.07524527352532, 0.005768196935564, 1.015677003854, 1.086644103884, -1.01438731539, -1.086355885425, 0.000677522475575, 0.0006487213998375, 0.0001352711274181, 1.015648715537, 0.9316352662695, -1.01435118675, -0.9313647240147, -0, -0, -0, -0, -0.0095623857485, 0.5004872317243, 0.5145916767607, 0.5005290575958, 0.5146076752552, 0.5004582766532, 0.5145756782662
0.225, 0.02534211872212, 0, -0.003721097802854, -0.003721164266117, -0.05500223165871, 0, -0.003720764879083, -0.003720698430086, 0.0640298522703, 0.002125085792383, 0, -104.2743739895, 9.894684392193, -105.00621387, 9.032991993829, -67.5162870537, 6.68938793703, 181.1621847829, 6.688753647191, 19089.46373214, 19089.46373214, 10666.64717891, 5334.65327403, 5331.993904883, 19142.20735811, 19142.20735811, 10698.61108034, 5347.975855595, 5350.635224742, 0, 0.0008277182960666, -0.06776675617917, -0, -0, -0, -0, -0.06924590805047, -0.06776675617917, 0.002155782335706, 0, 0, 0, 0, 0.001768798079881, 0.0005015494893255, 0.002155783843574, 0.002936263977924, 0.0005015491385156, -0.004468146138259, 0.0005015491385156, 1.362548510882, 1.362272698733, 1.362595078029, 1.362340199839, 4.368930780919, -0.01266209095461, 0, 0.06768940773721, 0, -0.2835067525163, 69.80643332115, 70, 69.80608795653, 4.368220055036, -0.6318312312739, 4.368575263029, -0.6315539052565, 4.368930780919, 4.368327519995, -0.6316925676904, 4.368220052643, -0.6318114490457, 4.368575211943, -0.631573686335, 0.007311698732806, -0.005346928217046, 0.00731229194184, 0.07499586886043, 0.00731229194184, 1.015834450696, 1.086668496136, -1.014230125749, -1.08633148625, 0.0008277182960666, 0.0008088087184621, 0.000164000737698, 1.015808800261, 0.931663993116, -1.014191097423, -0.9313359916406, -0, -1.110223024625e-16, -1.110223024625e-16, -0, -0.009562310862223, 0.5004875827058, 0.5145496789958, 0.5005209547181, 0.5145578330523, 0.5004671338271, 0.5145415249393
