Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,             0,            -5, -2559.65429688, -814.825561523,         60000, 10.7494287491, -305.995544434, 151.016357422
        0.025,             0,             0, -4.98999977112, -2559.65478516, -813.772216797,         60000,  10.735534668, -305.995574951, 150.753128052
         0.05,             0,             0, -4.98000001907, -2559.6550293, -812.71887207,         60000, 10.7216396332, -305.995605469, 150.489883423
        0.075,             0,             0, -4.96999979019, -2559.65551758, -811.665527344,         60000, 10.7077455521, -305.995635986, 150.226654053
          0.1,             0,             0, -4.96000003815, -2559.65576172, -810.612182617,         60000, 10.6938505173, -305.995666504, 149.963409424
        0.125,             0,             0, -4.94999980927,   -2559.65625, -809.558837891,         60000, 10.6799564362, -305.995697021, 149.700180054
         0.15,             0,             0, -4.94000005722, -2559.65649414, -808.505493164,         60000, 10.6660614014, -305.995758057, 149.436935425
        0.175,             0,             0, -4.92999982834, -2559.65698242, -807.452148438,         60000, 10.6521663666, -305.995788574, 149.173690796
          0.2,             0,             0, -4.92000007629, -2559.65722656, -806.398803711,         60000, 10.6382722855, -305.995819092, 148.910446167
        0.225,             0,             0, -4.90999984741, -2559.65771484, -805.345458984,         60000, 10.6243772507, -305.995849609, 148.647201538
         0.25,             0,             0, -4.90000009537, -2559.65795898, -804.292114258,         60000, 10.6104822159, -305.995880127, 148.383956909
        0.275,             0,             0, -4.88999986649, -2559.65820312, -803.238769531,         60000, 10.5965881348, -305.995910645,  148.12071228
          0.3,             0,             0, -4.88000011444, -2559.65869141, -802.185424805,         60000,    10.5826931, -305.995941162, 147.857467651
        0.325,             0,             0, -4.86999988556, -2559.65893555, -801.132080078,         60000, 10.5687980652, -305.99597168, 147.594223022
         0.35,             0,             0, -4.86000013351, -2559.65942383, -800.078674316,         60000, 10.5549030304, -305.996002197, 147.330978394
        0.375,             0,             0, -4.84999990463, -2559.65966797, -799.02532959,         60000, 10.5410079956, -305.996032715, 147.067718506
          0.4,             0,             0, -4.84000015259, -2559.66015625, -797.971984863,         60000, 10.5271139145, -305.99609375, 146.804473877
        0.425,             0,             0, -4.82999992371, -2559.66040039, -796.918640137,         60000, 10.5132188797, -305.996124268, 146.541213989
         0.45,             0,             0, -4.82000017166, -2559.66064453, -795.865234375,         60000, 10.4993238449, -305.996154785,  146.27796936
        0.475,             0,             0, -4.80999994278, -2559.66113281, -794.811889648,         60000, 10.4854288101, -305.996185303, 146.014709473
          0.5,             0,             0, -4.80000019073, -2559.66137695, -793.758483887,         60000, 10.4715337753, -305.99621582, 145.751449585
        0.525,             0,             0, -4.78999996185, -2559.66162109, -792.70513916,         60000, 10.4576387405, -305.996246338, 145.488189697
         0.55,             0,             0, -4.78000020981, -2559.66210938, -791.651733398,         60000, 10.4437437057, -305.996276855,  145.22492981
        0.575,             0,             0, -4.76999998093, -2559.66235352, -790.598388672,         60000,  10.429848671, -305.996307373, 144.961669922
          0.6,             0,             0, -4.76000022888, -2559.66259766, -789.54498291,         60000, 10.4159536362, -305.996337891, 144.698410034
        0.625,             0,             0,         -4.75, -2559.66308594, -788.491638184,         60000, 10.4020586014, -305.996368408, 144.435150146
         0.65,             0,             0, -4.73999977112, -2559.66333008, -787.438232422,         60000, 10.3881635666, -305.996398926, 144.171890259
        0.675,             0,             0, -4.73000001907, -2559.66357422, -786.384887695,         60000, 10.3742675781, -305.996429443, 143.908615112
          0.7,             0,             0, -4.71999979019, -2559.6640625, -785.331481934,         60000, 10.3603725433, -305.996459961, 143.645355225
        0.725,             0,             0, -4.71000003815, -2559.66430664, -784.278076172,         60000, 10.3464775085, -305.996490479, 143.382080078
         0.75,             0,             0, -4.69999980927, -2559.66455078, -783.22467041,         60000, 10.3325824738, -305.996520996,  143.11882019
        0.775,             0,             0, -4.69000005722, -2559.66479492, -782.171325684,         60000,  10.318687439, -305.996551514, 142.855545044
          0.8,             0,             0, -4.67999982834, -2559.6652832, -781.117919922,         60000, 10.3047914505, -305.996582031, 142.592269897
        0.825,             0,             0, -4.67000007629, -2559.66552734, -780.06451416,         60000, 10.2908964157, -305.996612549,  142.32901001
         0.85,             0,             0, -4.65999984741, -2559.66577148, -779.011108398,         60000, 10.2770013809, -305.996643066, 142.065734863
        0.875,             0,             0, -4.65000009537, -2559.66601562, -777.957702637,         60000, 10.2631053925, -305.996673584, 141.802459717
          0.9,             0,             0, -4.63999986649, -2559.66650391, -776.904296875,         60000, 10.2492103577, -305.996704102,  141.53918457
        0.925,             0,             0, -4.63000011444, -2559.66674805, -775.850891113,         60000, 10.2353153229, -305.996734619, 141.275909424
         0.95,             0,             0, -4.61999988556, -2559.66699219, -774.797485352,         60000, 10.2214193344, -305.996734619, 141.012619019
        0.975,             0,             0, -4.61000013351, -2559.66723633, -773.74407959,         60000, 10.2075242996, -305.996765137, 140.749343872
            1,             0,             0, -4.59999990463, -2559.66748047, -772.690673828,         60000, 10.1936283112, -305.996795654, 140.486068726
        1.025,             0,             0, -4.59000015259, -2559.66796875, -771.637268066,         60000, 10.1797332764, -305.996826172,  140.22277832
         1.05,             0,             0, -4.57999992371, -2559.66821289, -770.583862305,         60000, 10.1658372879, -305.996856689, 139.959503174
        1.075,             0,             0, -4.57000017166, -2559.66845703, -769.530456543,         60000, 10.1519422531, -305.996887207, 139.696212769
          1.1,             0,             0, -4.55999994278, -2559.66870117, -768.477050781,         60000, 10.1380462646, -305.996917725, 139.432937622
        1.125,             0,             0, -4.55000019073, -2559.66894531, -767.42364502,         60000, 10.1241502762, -305.996948242, 139.169647217
         1.15,             0,             0, -4.53999996185, -2559.66918945, -766.370178223,         60000, 10.1102552414, -305.99697876, 138.906356812
        1.175,             0,             0, -4.53000020981, -2559.66967773, -765.316772461,         60000, 10.0963592529, -305.997009277, 138.643066406
          1.2,             0,             0, -4.51999998093, -2559.66992188, -764.263366699,         60000, 10.0824632645, -305.997009277, 138.379776001
        1.225,             0,             0, -4.51000022888, -2559.67016602, -763.209960938,         60000, 10.0685682297, -305.997039795, 138.116485596
         1.25,             0,             0,          -4.5, -2559.67041016, -762.156494141,         60000, 10.0546722412, -305.997070312,  137.85319519
        1.275,             0,             0, -4.48999977112, -2559.6706543, -761.103088379,         60000, 10.0407762527, -305.99710083, 137.589904785
          1.3,             0,             0, -4.48000001907, -2559.67089844, -760.049682617,         60000, 10.0268802643, -305.997131348,  137.32661438
        1.325,             0,             0, -4.46999979019, -2559.67114258, -758.99621582,         60000, 10.0129852295, -305.997161865, 137.063308716
         1.35,             0,             0, -4.46000003815, -2559.67138672, -757.942810059,         60000, 9.99908924103, -305.997161865, 136.800018311
        1.375,             0,             0, -4.44999980927, -2559.67163086, -756.889343262,         60000, 9.98519325256, -305.997192383, 136.536727905
          1.4,             0,             0, -4.44000005722,  -2559.671875,  -755.8359375,         60000,  9.9712972641,  -305.9972229, 136.273422241
        1.425,             0,             0, -4.42999982834, -2559.67236328, -754.782470703,         60000, 9.95740127563, -305.997253418, 136.010116577
         1.45,             0,             0, -4.42000007629, -2559.67260742, -753.729064941,         60000, 9.94350528717, -305.997283936, 135.746826172
        1.475,             0,             0, -4.40999984741, -2559.67285156, -752.675598145,         60000, 9.92960929871, -305.997314453, 135.483520508
          1.5,             0,             0, -4.40000009537, -2559.6730957, -751.622131348,         60000, 9.91571331024, -305.997314453, 135.220214844
        1.525,             0,             0, -4.38999986649, -2559.67333984, -750.568725586,         60000, 9.90181732178, -305.997344971,  134.95690918
         1.55,             0,             0, -4.38000011444, -2559.67358398, -749.515258789,         60000, 9.88792133331, -305.997375488, 134.693603516
        1.575,             0,             0, -4.36999988556, -2559.67382812, -748.461791992,         60000, 9.87402534485, -305.997406006, 134.430297852
          1.6,             0,             0, -4.36000013351, -2559.67407227, -747.40838623,         60000, 9.86012935638, -305.997436523, 134.166992188
        1.625,             0,             0, -4.34999990463, -2559.67431641, -746.354919434,         60000, 9.84623336792, -305.997436523, 133.903686523
         1.65,             0,             0, -4.34000015259, -2559.67456055, -745.301452637,         60000, 9.83233737946, -305.997467041, 133.640380859
        1.675,             0,             0, -4.32999992371, -2559.67480469, -744.24798584,         60000, 9.81844139099, -305.997497559, 133.377059937
          1.7,             0,             0, -4.32000017166, -2559.67504883, -743.194519043,         60000, 9.80454444885, -305.997528076, 133.113754272
        1.725,             0,             0, -4.30999994278, -2559.67529297, -742.141052246,         60000, 9.79064846039, -305.997528076, 132.850448608
         1.75,             0,             0, -4.30000019073, -2559.67553711, -741.087646484,         60000, 9.77675247192, -305.997558594, 132.587127686
        1.775,             0,             0, -4.28999996185, -2559.67578125, -740.034179688,         60000, 9.76285648346, -305.997589111, 132.323806763
          1.8,             0,             0, -4.28000020981, -2559.67602539, -738.980712891,         60000, 9.74895954132, -305.997619629, 132.060501099
        1.825,             0,             0, -4.26999998093, -2559.67626953, -737.927246094,         60000, 9.73506355286, -305.997619629, 131.797180176
         1.85,             0,             0, -4.26000022888, -2559.67651367, -736.873779297,         60000, 9.72116756439, -305.997650146, 131.533859253
        1.875,             0,             0,         -4.25, -2559.67675781,  -735.8203125,         60000, 9.70727062225, -305.997680664,  131.27053833
          1.9,             0,             0, -4.23999977112, -2559.67675781, -734.766845703,         60000, 9.69337463379, -305.997680664, 131.007217407
        1.925,             0,             0, -4.23000001907, -2559.67700195, -733.713317871,         60000, 9.67947864532, -305.997711182, 130.743896484
         1.95,             0,             0, -4.21999979019, -2559.67724609, -732.659851074,         60000, 9.66558170319, -305.997741699, 130.480575562
        1.975,             0,             0, -4.21000003815, -2559.67749023, -731.606384277,         60000, 9.65168571472, -305.997772217, 130.217254639
            2,             0,             0, -4.19999980927, -2559.67773438, -730.55291748,         60000, 9.63778877258, -305.997772217, 129.953933716
        2.025,             0,             0, -4.19000005722, -2559.67797852, -729.499450684,         60000, 9.62389278412, -305.997802734, 129.690597534
         2.05,             0,             0, -4.17999982834, -2559.67822266, -728.445983887,         60000, 9.60999584198, -305.997833252, 129.427276611
        2.075,             0,             0, -4.17000007629, -2559.6784668, -727.392456055,         60000, 9.59609985352, -305.997833252, 129.163955688
          2.1,             0,             0, -4.15999984741, -2559.67871094, -726.338989258,         60000, 9.58220291138, -305.99786377, 128.900619507
        2.125,             0,             0, -4.15000009537, -2559.67895508, -725.285522461,         60000, 9.56830596924, -305.997894287, 128.637298584
         2.15,             0,             0, -4.13999986649, -2559.67895508, -724.232055664,         60000, 9.55440998077, -305.997894287, 128.373962402
        2.175,             0,             0, -4.13000011444, -2559.67919922, -723.178527832,         60000, 9.54051303864, -305.997924805, 128.110626221
          2.2,             0,             0, -4.11999988556, -2559.67944336, -722.125061035,         60000,  9.5266160965, -305.997955322, 127.847297668
        2.225,             0,             0, -4.11000013351, -2559.6796875, -721.071533203,         60000, 9.51272010803, -305.997955322, 127.583961487
         2.25,             0,             0, -4.09999990463, -2559.67993164, -720.018066406,         60000, 9.49882316589, -305.99798584, 127.320625305
        2.275,             0,             0, -4.09000015259, -2559.68017578, -718.964599609,         60000, 9.48492622375, -305.998016357, 127.057289124
          2.3,             0,             0, -4.07999992371, -2559.68041992, -717.911071777,         60000, 9.47103023529, -305.998016357, 126.793952942
        2.325,             0,             0, -4.07000017166, -2559.68041992, -716.85760498,         60000, 9.45713329315, -305.998046875,  126.53061676
         2.35,             0,             0, -4.05999994278, -2559.68066406, -715.804077148,         60000, 9.44323635101, -305.998077393, 126.267272949
        2.375,             0,             0, -4.05000019073, -2559.6809082, -714.750549316,         60000, 9.42933940887, -305.998077393, 126.003936768
          2.4,             0,             0, -4.03999996185, -2559.68115234, -713.69708252,         60000, 9.41544246674, -305.99810791, 125.740592957
        2.425,             0,             0, -4.03000020981, -2559.68139648, -712.643554688,         60000,  9.4015455246, -305.99810791, 125.477249146
         2.45,             0,             0, -4.01999998093, -2559.68139648, -711.590087891,         60000, 9.38764858246, -305.998138428, 125.213905334
        2.475,             0,             0, -4.01000022888, -2559.68164062, -710.536560059,         60000, 9.37375164032, -305.998168945, 124.950561523
          2.5,             0,             0,            -4, -2559.68188477, -709.483032227,         60000, 9.35985565186, -305.998168945, 124.687217712
        2.525,             0,             0, -3.99000000954, -2559.68212891, -708.42956543,         60000, 9.34595870972, -305.998199463, 124.423873901
         2.55,             0,             0, -3.98000001907, -2559.68237305, -707.376037598,         60000, 9.33206176758, -305.998199463, 124.160522461
        2.575,             0,             0, -3.97000002861, -2559.68237305, -706.322509766,         60000, 9.31816482544, -305.99822998,  123.89717865
          2.6,             0,             0, -3.96000003815, -2559.68261719, -705.268981934,         60000, 9.30426692963, -305.998260498, 123.633827209
        2.625,             0,             0, -3.95000004768, -2559.68286133, -704.215515137,         60000, 9.29036998749, -305.998260498, 123.370475769
         2.65,             0,             0, -3.94000005722, -2559.68310547, -703.161987305,         60000, 9.27647304535, -305.998291016, 123.107124329
        2.675,             0,             0, -3.93000006676, -2559.68310547, -702.108459473,         60000, 9.26257610321, -305.998291016, 122.843772888
          2.7,             0,             0, -3.92000007629, -2559.68334961, -701.054931641,         60000, 9.24867916107, -305.998321533, 122.580421448
        2.725,             0,             0, -3.91000008583, -2559.68359375, -700.001403809,         60000, 9.23478221893, -305.998321533, 122.317062378
         2.75,             0,             0, -3.90000009537, -2559.68383789, -698.947875977,         60000, 9.22088527679, -305.998352051, 122.053710938
        2.775,             0,             0, -3.8900001049, -2559.68383789, -697.894348145,         60000, 9.20698738098, -305.998382568, 121.790351868
          2.8,             0,             0, -3.88000011444, -2559.68408203, -696.840820312,         60000, 9.19309043884, -305.998382568, 121.526992798
