Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,            -4,             0, -10112.3310547, 1128.14135742,         20000, -47.2844619751,             0,  6.3618927002
        0.025, -0.990000009537,            -4,             0, -10135.7617188, 1140.63574219,         20000, -47.8081092834, -4.46498155594,  6.3951792717
         0.05, -0.980000019073,            -4,             0, -10159.7158203, 1153.40527344,         20000, -48.3432922363, -8.92140388489, 6.42826461792
        0.075, -0.97000002861,            -4,             0, -10184.2080078, 1166.45898438,         20000, -48.8903846741, -13.3607215881, 6.46110773087
          0.1, -0.959999978542,            -4,             0, -10209.2568359, 1179.80615234,         20000, -49.4497718811, -17.7744274139, 6.49366569519
        0.125, -0.949999988079,            -4,             0, -10234.8798828, 1193.45666504,         20000, -50.0218696594, -22.1540546417, 6.52589178085
         0.15, -0.939999997616,            -4,             0, -10261.0986328, 1207.42053223,         20000, -50.6071014404, -26.4912128448, 6.55773496628
        0.175, -0.930000007153,            -4,             0, -10287.9306641, 1221.70849609,         20000, -51.2059135437, -30.7775821686, 6.58914041519
          0.2, -0.920000016689,            -4,             0, -10315.3984375, 1236.33154297,         20000, -51.8187713623, -35.0049476624, 6.62004947662
        0.225, -0.910000026226,            -4,             0, -10343.5224609,  1251.3013916,         20000, -52.4461555481, -39.1652069092, 6.65039682388
         0.25, -0.899999976158,            -4,             0, -10372.3261719, 1266.63000488,         20000, -53.0885810852, -43.2503814697, 6.68011379242
        0.275, -0.889999985695,            -4,             0, -10401.8339844, 1282.33032227,         20000, -53.7465782166, -47.2526397705, 6.70912456512
          0.3, -0.879999995232,            -4,             0, -10432.0703125,  1298.4152832,         20000, -54.4206962585, -51.1643066406, 6.73734855652
        0.325, -0.870000004768,            -4,             0, -10463.0605469, 1314.89904785,         20000, -55.1115226746, -54.9778900146, 6.76469659805
         0.35, -0.860000014305,            -4,             0, -10494.8320312, 1331.79589844,         20000, -55.8196640015, -58.6860733032,  6.7910733223
        0.375, -0.850000023842,            -4,             0, -10527.4130859, 1349.12133789,         20000, -56.5457572937, -62.2817459106, 6.81637620926
          0.4, -0.839999973774,            -4,             0, -10560.8339844, 1366.89099121,         20000, -57.2904701233, -65.7580184937, 6.84049272537
        0.425, -0.829999983311,            -4,             0, -10595.1259766, 1385.12194824,         20000, -58.0545082092, -69.1082305908, 6.86330127716
         0.45, -0.819999992847,            -4,             0, -10630.3203125,  1403.8314209,         20000, -58.8386039734, -72.3259506226, 6.88467025757
        0.475, -0.810000002384,            -4,             0, -10666.4521484, 1423.03808594,         20000, -59.6435279846, -75.4050140381, 6.90445709229
          0.5, -0.800000011921,            -4,             0, -10703.5556641,  1442.7611084,         20000, -60.4700927734, -78.339515686, 6.92250728607
        0.525, -0.790000021458,            -4,             0, -10741.6699219, 1463.02099609,         20000, -61.3191490173, -81.1238327026, 6.93865203857
         0.55, -0.77999997139,            -4,             0, -10780.8330078, 1483.83886719,         20000, -62.1915893555, -83.7526245117,   6.952709198
        0.575, -0.769999980927,            -4,             0, -10821.0859375, 1505.23730469,         20000, -63.0883522034, -86.2208557129, 6.96447992325
          0.6, -0.759999990463,            -4,             0, -10862.4726562, 1527.23986816,         20000, -64.0104370117, -88.5237960815,  6.9737496376
        0.625,         -0.75,            -4,             0, -10905.0371094, 1549.87158203,         20000, -64.9588699341, -90.6570205688, 6.98028278351
         0.65, -0.740000009537,            -4,             0, -10948.8261719, 1573.15844727,         20000, -65.9347610474, -92.6164474487, 6.98382520676
        0.675, -0.730000019073,            -4,             0, -10993.8896484, 1597.12805176,         20000, -66.9392623901, -94.3983154297, 6.98409891129
          0.7, -0.72000002861,            -4,             0, -11040.2802734, 1621.80969238,         20000, -67.9735870361, -95.9992141724, 6.98080158234
