Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,           -10,             0, -9851.19824219, 2010.55004883,         20000, -84.2635955811,             0,  11.161190033
        0.025, -0.990000009537,           -10,             0,  -9869.171875, 2032.88977051,         20000, -85.1996841431, -4.40792179108, 11.2178936005
         0.05, -0.980000019073,           -10,             0, -9887.49902344, 2055.72143555,         20000, -86.1563720703, -8.80760765076,  11.274184227
        0.075, -0.97000002861,           -10,             0, -9906.19042969, 2079.06103516,         20000, -87.1343383789, -13.1908378601,  11.329990387
          0.1, -0.959999978542,           -10,             0, -9925.25585938, 2102.92529297,         20000, -88.1342773438, -17.5494213104, 11.3852348328
        0.125, -0.949999988079,           -10,             0, -9944.70703125, 2127.33129883,         20000, -89.1569137573, -21.8752155304, 11.4398355484
         0.15, -0.939999997616,           -10,             0, -9964.5546875, 2152.29736328,         20000, -90.2030029297, -26.1601390839, 11.4937038422
        0.175, -0.930000007153,           -10,             0, -9984.81152344, 2177.84228516,         20000, -91.2733459473, -30.3961849213, 11.5467433929
          0.2, -0.920000016689,           -10,             0, -10005.4882812, 2203.98583984,         20000, -92.3687591553, -34.5754356384, 11.5988483429
        0.225, -0.910000026226,           -10,             0, -10026.5986328, 2230.74853516,         20000, -93.4901123047, -38.6900901794, 11.6499090195
         0.25, -0.899999976158,           -10,             0,  -10048.15625, 2258.15234375,         20000, -94.6383056641, -42.7324523926, 11.6998033524
        0.275, -0.889999985695,           -10,             0, -10070.1738281, 2286.21923828,         20000, -95.8142776489, -46.6949729919, 11.7483997345
          0.3, -0.879999995232,           -10,             0, -10092.6650391, 2314.97314453,         20000, -97.0190200806, -50.5702514648, 11.7955598831
        0.325, -0.870000004768,           -10,             0, -10115.6464844,  2344.4387207,         20000, -98.2535629272, -54.3510437012,  11.841129303
         0.35, -0.860000014305,           -10,             0, -10139.1318359, 2374.64135742,         20000, -99.518989563, -58.0302848816, 11.8849458694
        0.375, -0.850000023842,           -10,             0, -10163.1376953, 2405.60839844,         20000, -100.816421509, -61.6011009216, 11.9268312454
          0.4, -0.839999973774,           -10,             0, -10187.6806641, 2437.36816406,         20000, -102.147041321, -65.0568237305, 11.9665937424
        0.425, -0.829999983311,           -10,             0, -10212.7783203, 2469.95019531,         20000, -103.512107849, -68.3909912109,  12.004026413
         0.45, -0.819999992847,           -10,             0, -10238.4472656, 2503.38549805,         20000, -104.912895203, -71.5973815918, 12.0389070511
        0.475, -0.810000002384,           -10,             0, -10264.7070312, 2537.70678711,         20000, -106.350791931, -74.6699905396, 12.0709924698
          0.5, -0.800000011921,           -10,             0, -10291.5771484, 2572.94824219,         20000, -107.827217102, -77.6030960083, 12.1000232697
        0.525, -0.790000021458,           -10,             0, -10319.0771484, 2609.14575195,         20000, -109.343673706, -80.3911972046, 12.1257152557
         0.55, -0.77999997139,           -10,             0, -10347.2275391,  2646.3371582,         20000, -110.901748657, -83.0291061401, 12.1477642059
        0.575, -0.769999980927,           -10,             0, -10376.0507812, 2684.56176758,         20000, -112.503089905, -85.5118789673, 12.1658382416
          0.6, -0.759999990463,           -10,             0, -10405.5693359, 2723.86181641,         20000, -114.14944458, -87.8348770142, 12.1795797348
        0.625,         -0.75,           -10,             0, -10435.8056641, 2764.28051758,         20000, -115.842651367, -89.9937667847, 12.1885995865
         0.65, -0.740000009537,           -10,             0, -10466.7851562, 2805.86450195,         20000, -117.584632874, -91.9845123291, 12.1924781799
        0.675, -0.730000019073,           -10,             0, -10498.5332031, 2848.66210938,         20000, -119.377418518, -93.8033905029, 12.1907606125
          0.7, -0.72000002861,           -10,             0, -10531.0751953, 2892.72436523,         20000, -121.22315979, -95.447013855, 12.1829500198
        0.725, -0.709999978542,           -10,             0, -10564.4394531, 2938.10522461,         20000, -123.124092102, -96.9123001099,  12.168510437
         0.75, -0.699999988079,           -10,             0, -10598.6523438, 2984.86157227,         20000, -125.082603455, -98.1965103149, 12.1468601227
        0.775, -0.689999997616,           -10,             0, -10633.7451172,  3033.0534668,         20000, -127.101196289, -99.2972564697, 12.1173658371
          0.8, -0.680000007153,           -10,             0, -10669.7470703, 3082.74365234,         20000, -129.182510376, -100.212471008, 12.0793380737
        0.825, -0.670000016689,           -10,             0, -10706.6904297, 3133.99926758,         20000, -131.329345703, -100.940444946, 12.0320310593
         0.85, -0.660000026226,           -10,             0, -10744.6074219,   3186.890625,         20000, -133.544631958, -101.479827881, 11.9746284485
        0.875, -0.649999976158,           -10,             0, -10783.5302734, 3241.49243164,         20000, -135.831497192, -101.829605103, 11.9062452316
          0.9, -0.639999985695,           -10,             0, -10823.4951172,  3297.8828125,         20000, -138.193237305, -101.989120483, 11.8259162903
        0.925, -0.629999995232,           -10,             0, -10864.5371094, 3356.14575195,         20000, -140.633300781, -101.999954224,  11.732588768
         0.95, -0.620000004768,           -10,             0, -10906.6923828, 3416.36865234,         20000, -143.155395508, -101.999954224, 11.6251153946
        0.975, -0.610000014305,           -10,             0,        -10950, 3478.64526367,         20000, -145.763397217, -101.999954224, 11.5022420883
            1, -0.600000023842,           -10,             0, -10994.4960938, 3543.07373047,         20000, -148.46144104, -101.999954224, 11.3626031876
        1.025, -0.589999973774,           -10,             0, -11040.2197266, 3609.75878906,         20000, -151.253890991, -101.999954224, 11.2047014236
         1.05, -0.579999983311,           -10,             0, -11087.2119141,  3678.8112793,         20000, -154.145355225, -101.999954224, 11.0269041061
        1.075, -0.569999992847,           -10,             0, -11135.5107422, 3750.34814453,         20000, -157.14074707, -101.999954224, 10.8274211884
          1.1, -0.560000002384,           -10,             0, -11185.1572266, 3824.49389648,         20000, -160.245239258, -101.999954224, 10.6042947769
        1.125, -0.550000011921,           -10,             0, -11236.1894531, 3901.38037109,         20000, -163.464355469, -101.999954224, 10.3553771973
         1.15, -0.540000021458,           -10,             0, -11288.6474609,  3981.1472168,         20000, -166.803924561, -101.999954224, 10.0783157349
        1.175, -0.52999997139,           -10,             0, -11342.5673828, 4063.94262695,         20000, -170.270111084, -101.999954224, 9.77052688599
          1.2, -0.519999980927,           -10,             0, -11397.984375, 4149.92382812,         20000, -173.869491577, -101.999954224, 9.42917251587
        1.225, -0.509999990463,           -10,             0, -11454.9326172, 4239.25732422,         20000, -177.60899353, -101.999954224, 9.05113697052
         1.25,          -0.5,           -10,             0, -11513.4394531, 4332.11962891,         20000, -181.496002197, -101.999954224,  8.6329908371
        1.275, -0.490000009537,           -10,             0, -11573.5302734, 4428.69824219,         20000, -185.538299561, -101.999954224, 8.17095947266
