Time,Station,VxTarget
            0,          -160,            80
          0.2,  -155.5572052, 77.5318527222
          0.4, -151.134750366, 75.8573379517
          0.6, -146.77961731,  74.754524231
          0.8, -142.506088257, 73.6566085815
            1, -138.313659668, 72.5636062622
          1.2, -134.200500488, 71.4750289917
          1.4, -130.164215088,  70.390411377
          1.6, -126.202224731, 69.3092269897
          1.8, -122.312232971,  68.231010437
            2, -118.492347717, 67.1553955078
          2.2, -114.740966797, 66.0821075439
          2.4, -111.056655884,  65.010925293
          2.6, -107.438156128, 63.9416885376
          2.8, -103.884407043, 62.8743171692
            3, -100.394515991, 61.8063774109
          3.2, -96.9677200317, 60.7389373779
          3.4, -93.6033706665, 59.6727676392
          3.6, -90.3009185791, 58.6080284119
          3.8, -87.0599060059, 57.5449943542
            4, -83.8799133301, 56.4840698242
          4.2, -80.7606124878, 55.4192352295
          4.4, -77.701713562, 54.3551063538
          4.6, -74.7029800415, 53.2933120728
          4.8, -71.764213562, 52.2347412109
            5, -68.8852233887, 51.1708221436
          5.2, -66.0658874512, 50.1075363159
          5.4, -63.3060646057, 49.0486946106
          5.6, -60.605632782, 47.9881248474
          5.8, -57.9644927979, 46.9236297607
            6, -55.3825645447, 45.8659324646
          6.2, -52.8597793579, 44.8039932251
          6.4,  -50.39610672, 43.7403297424
          6.6, -47.9915313721, 42.6880989075
          6.8, -45.6460380554, 41.6179733276
            7, -43.3596687317, 40.5611534119
          7.2, -41.1323623657, 39.4973945618
          7.4, -38.9640884399, 38.4362792969
          7.6, -36.8547821045, 37.3768539429
          7.8, -34.8044319153, 36.3124504089
            8, -32.8130073547, 35.2546195984
          8.2, -30.8805236816,  34.189365387
          8.4, -29.0069656372, 33.1293258667
          8.6, -27.1923923492, 32.0684242249
          8.8, -25.4369487762, 31.0007972717
            9, -23.7410926819, 29.9555263519
          9.2, -22.1043262482, 28.8722820282
          9.4, -20.5265979767, 27.8281135559
          9.6, -19.0079936981, 26.7526760101
          9.8, -17.549747467,   25.68409729
           10, -16.1484127045, 24.6572227478
         10.2, -14.7714347839, 23.5249710083
         10.4, -13.4173583984, 22.3969135284
         10.6, -12.1021671295, 21.3012504578
         10.8, -10.837053299, 20.0635166168
           11, -9.6312828064, 18.8684520721
         11.2, -8.49185657501, 17.7391433716
         11.4, -7.42247676849, 16.5000953674
         11.6, -6.42746591568, 15.2052373886
         11.8, -5.51010465622, 14.0114297867
           12, -4.67072725296, 12.9191055298
         12.2, -3.90792703629, 11.9842433929
         12.4, -3.19769978523,  11.505903244
         12.6, -2.51444983482, 11.0457315445
         12.8, -1.85374844074, 10.6007471085
           13, -1.19486999512, 10.1569900513
         13.2, -0.537518560886, 9.71426105499
         13.4, 0.116824038327, 9.41074562073
         13.6, 0.766254544258,  9.7359752655
         13.8, 1.44128119946, 10.0740232468
           14, 2.20467352867, 10.4563245773
         14.2, 3.05728888512,  10.883307457
         14.4, 3.89336872101, 11.3020095825
         14.6, 4.70467233658, 12.1457185745
         14.8, 5.52032756805, 13.0604982376
           15, 6.35658168793,  13.998380661
         15.2, 7.22529649734, 14.9726676941
         15.4, 8.13229942322, 15.9563112259
         15.6, 9.07532024384, 16.7745418549
         15.8, 10.0520620346, 17.6220321655
           16, 11.0640649796, 18.5001163483
         16.2, 12.1194286346, 19.3998508453
         16.4, 13.2249221802,   20.21118927
         16.6, 14.3772544861, 21.0569057465
         16.8, 15.5697774887, 21.9321174622
           17, 16.8067893982, 22.7704792023
         17.2, 18.0943470001, 23.6045188904
         17.4, 19.4273338318, 24.4679870605
         17.6,  20.805147171, 25.3110027313
         17.8, 22.2354125977, 26.1495685577
           18, 23.7101612091, 27.0142173767
         18.2,  25.229642868, 27.8476486206
         18.4, 26.8009872437, 28.6955280304
         18.6, 28.4171352386, 29.5521202087
         18.8, 30.0787906647, 30.3871498108
           19, 31.7907600403,  31.247461319
         19.2, 33.5472755432, 32.0832252502
         19.4, 35.3501091003, 32.9345092773
         19.6, 37.2039718628, 33.7792816162
         19.8, 39.1029472351, 34.6276817322
           20, 41.0466270447, 35.4733314514
         20.2, 43.0410804749, 36.3210868835
         20.4, 45.0822372437, 37.1683197021
         20.6,   47.16746521, 38.0154037476
         20.8, 49.3010520935, 38.8606300354
           21, 51.4849510193, 39.7117118835
         21.2, 53.7135848999,  40.555103302
         21.4, 55.9870147705,  41.407749176
         21.6, 58.3082504272, 42.2480430603
         21.8, 60.6783027649, 43.0978050232
           22, 63.0954856873, 43.9440574646
         22.2, 65.5590209961, 44.7897911072
         22.4, 68.0698776245, 45.6411819458
