Time,Alpha_L1i,Alpha_L1o,Alpha_L2i,Alpha_L2o,Alpha_R1i,Alpha_R1o,Alpha_R2i,Alpha_R2o,AVz,Ay,Bk_Stat,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L1i,Fz_L2,Fz_L2i,Fz_L2o,Fz_R1,Fz_R1i,Fz_R2,Fz_R2i,Fz_R2o,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,Pitch_A1,Pitch_A2,Roll,RollGL1,RollGL2,RollGR1,RollGR2,Roll_A1,Roll_A2,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_L2,Steer_R1,Steer_R2,Steer_SW,Vx,VxTarget,Vxz_Fwd,Xctc_L1o,Xctc_L2o,Xctc_R1o,Xctc_R2o,Xo,X_A1,X_A2,X_L1,X_L2,X_R1,X_R2,Yaw,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1o,Yctc_L2o,Yctc_R1o,Yctc_R2o,Yo,Y_A1,Y_A2,Y_L1,Y_L2,Y_R1,Y_R2,Zgnd_L1o,Zgnd_L2o,Zgnd_R1o,Zgnd_R2o,Zo,Z_A1,Z_A2,Z_L1,Z_L2,Z_R1,Z_R2
            0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -5.11246407136e-33,             0, 3.78685728608e-11,             0, 3.78685728608e-11,             0,             0,             0,             0,             0, 19050.9921875, 19050.9921875, 10575.9619141, 5287.98095703, 5287.98095703, 19050.9921875, 19050.9921875, 10575.9619141, 5287.98095703, 5287.98095703,             0,             0, -0.068251863122,             0,             0,             0,             0, -0.068251863122, -0.068251863122,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -0.000189588521607, -0.000189588521607, -0.000189588521607, -0.000189588521607,             0,             0,             0,             0,             0,             0,            70,            70,            70, -0.00060752191348, -5.00062799454, -0.00060752191348, -5.00062799454,             0, -0.00060752191348, -5.00062799454, -0.00060752191348, -5.00062799454, -0.00060752191348, -5.00062799454,             0, 1.60265325181e-15,             0, -1.60265325181e-15,             0, 1.01499998569, 1.08650004864, -1.01499998569, -1.08650004864,             0, 4.23230009833e-22, 5.31699984742e-21, 1.01499998569, 0.931500017643, -1.01499998569, -0.931500017643,             0,             0,             0,             0, -0.00943942554295, 0.500560224056, 0.514604091644, 0.500560224056, 0.514604091644, 0.500560224056, 0.514604091644
        0.025, 0.00436220364645,             0, 0.00123655679636, 0.00123655796051, -0.0794622525573,             0, 0.00123655097559, 0.00123654981144, 0.00336805568077, 0.00201439415105,             0, -102.644882202, -51.1651039124, -102.681739807, -51.670085907, -6.53992414474, -1.05542933941, 128.256027222, -1.0561054945, 19031.7089844, 19031.7089844, 10599.6669922, 5300.18847656, 5299.47802734, 19069.8535156, 19069.8535156, 10608.2070312, 5303.74853516, 5304.45898438,             0, 8.4100629465e-06, -0.0684946775436,             0,             0,             0,             0, -0.0703043043613, -0.0684946775436, 0.000264672358753,             0,             0,             0,             0, 0.00146302813664, 0.00013401239994, 0.000264672533376, 0.00162730331067, 0.000134012298076, -0.0060975458473, 0.000134012298076, 0.151427641511, 0.151459485292, 0.151426434517, 0.151459574699, 0.486050873995, -0.0017811129801,             0, 0.0820524692535,             0, -0.0017137323739, 69.9807891846,            70, 69.9806213379, 0.485443711281, -4.51457977295, 0.485585033894, -4.51457834244, 0.486050873995, 0.485441178083, -4.51457929611, 0.485443711281, -4.51457977295, 0.485584944487, -4.51457881927, 3.10071154672e-05, -0.00174816185609, 3.11673211399e-05, 0.0820762515068, 3.11673211399e-05, 1.01501917839, 1.08650398254, -1.01504826546, -1.08649599552, 8.4100629465e-06, 4.94529513162e-06, 2.81082157016e-06, 1.01500499249, 0.931502819061, -1.0149949789, -0.931497216225,             0,             0,             0,             0, -0.00944659579545, 0.500553667545, 0.514589846134, 0.500579893589, 0.514591991901, 0.500540971756, 0.514587640762
         0.05, 0.00867614150047,             0, 0.00248815049417, 0.00248815794475, -0.0718318894506,             0, 0.0024881134741, 0.00248810602352, 0.0106684509665, 0.00264064432122,             0, -101.997207642, -94.0871200562, -102.913497925, -95.4024887085, -14.2786712646, -3.60738158226, 178.402572632, -3.6197912693,   19031.09375,   19031.09375, 10668.0126953, 5335.77685547, 5332.23583984, 19095.9277344, 19095.9277344, 10710.5693359, 5353.51464844, 5357.05517578,             0, 4.82103569084e-05, -0.0689105093479,             0,             0,             0,             0, -0.0707527473569, -0.0689105093479, 0.00139732367825,             0,             0,             0,             0, 0.00220869202167, 0.000667767017148, 0.00139732472599, 0.00245381216519, 0.000667766493279, -0.00496647926047, 0.000667766493279, 0.302992522717, 0.303011059761, 0.30298936367, 0.303012043238, 0.971963047981, -0.00265745911747,             0, 0.0778592452407,             0, -0.0106793083251, 69.9596176147,            70, 69.9594497681, 0.971350669861, -4.02867460251, 0.971489191055, -4.02866697311, 0.971963047981, 0.971349656582, -4.02867078781, 0.971350669861, -4.02867412567, 0.971489131451, -4.02866744995, 0.00020121014677, -0.00245329970494, 0.000202013281523, 0.0780545398593, 0.000202013281523,  1.0150564909, 1.08652126789, -1.01500833035, -1.08647871017, 4.82103569084e-05, 3.50195623469e-05, 1.52402972162e-05, 1.01503503323, 0.931515216827, -1.01496493816, -0.931484758854, 1.11022302463e-16,             0,             0,             0, -0.00946540664881, 0.500540971756, 0.514546275139, 0.500580489635, 0.514557123184, 0.50051432848, 0.514535427094
        0.075, 0.0119961611927,             0, 0.00283101946115, 0.00283103506081, -0.0675215572119,             0, 0.00283094146289, 0.00283092586324, 0.0197172593325, 0.0027029234916,             0, -100.986358643, -126.497299194, -102.260894775, -128.509857178, -24.2132911682, -5.27686214447, 195.580352783, -5.31637954712, 19033.3769531, 19033.3769531, 10703.4697266, 5355.31396484,    5348.15625,   19122.03125,   19122.03125,       10789.5, 5391.17089844, 5398.32861328,             0, 0.000121643046441, -0.0691372826695,             0,             0,             0,             0, -0.0711504220963, -0.0691372826695, 0.00315920519643,             0,             0,             0,             0, 0.0028833351098, 0.00134989945218, 0.00315920752473, 0.00319880037569, 0.00134989852086, -0.00413096416742, 0.00134989852086, 0.454508900642, 0.454470455647, 0.454505473375, 0.454474121332, 1.45772075653, -0.00341987214051,             0, 0.0761062204838,             0, -0.0289637167007, 69.9373168945,            70, 69.9373168945, 1.45710098743, -3.54292607307, 1.45724856853, -3.54290413857, 1.45772075653, 1.45710539818, -3.54291510582, 1.45710098743, -3.54292464256, 1.45724856853, -3.5429058075, 0.000578915176447, -0.00283709960058, 0.00058054405963, 0.0766802057624, 0.00058054405963, 1.01512169838, 1.08654785156, -1.01494216919, -1.0864521265, 0.000121643046441, 9.37705262913e-05, 3.57343924406e-05, 1.01509380341, 0.931535720825, -1.01490616798, -0.931464254856,             0,             0,             0,             0, -0.00948938168585, 0.500526547432, 0.514517128468, 0.500578165054, 0.514539062977, 0.500487744808, 0.514495134354
          0.1, 0.0143531421199,             0, 0.00194683438167, 0.00194685021415, -0.0650732815266,             0, 0.00194675498642, 0.00194673915394, 0.0292067788541, 0.00261869933456,             0, -100.609603882, -141.82220459, -102.030975342, -144.163986206, -33.7379188538, -4.8608956337, 199.456893921, -4.91870307922,  19037.109375,  19037.109375, 10674.8388672, 5342.52636719, 5332.31201172, 19142.6640625, 19142.6640625, 10797.6044922,  5393.6953125, 5403.90917969,             0, 0.000217424429138, -0.0688713416457,             0,             0,             0,             0, -0.0709556862712, -0.0688713416457, 0.00483885779977,             0,             0,             0,             0, 0.00336108892225, 0.00192634086125, 0.00483886152506, 0.00376274576411, 0.00192633946426, -0.00355846690945, 0.00192633946426, 0.605974137783, 0.60585051775, 0.605973005295, 0.605859398842, 1.94331240654, -0.00435445830226,             0, 0.0750800594687,             0, -0.0558749176562, 69.9143218994,            70, 69.9145507812,  1.9426857233, -3.05734372139, 1.94285154343, -3.05729842186, 1.94331240654, 1.94269931316, -3.05732107162,  1.9426857233, -3.05734062195, 1.94285154343, -3.05730175972, 0.00119047344197, -0.00315946503542, 0.00119278894272, 0.0762663111091, 0.00119278894272, 1.01520860195, 1.08657610416, -1.01485526562, -1.0864238739, 0.000217424429138, 0.00017570561613, 5.88480070292e-05, 1.01517570019, 0.931558847427, -1.01482415199, -0.931441128254,             0,             0,             0,             0, -0.00951119046658, 0.500514149666, 0.514522314072, 0.500574350357, 0.514553666115, 0.500466644764, 0.514491021633
        0.125, 0.0160026922822,             0, 0.000294180528726, 0.00029418367194, -0.0635216757655,             0, 0.000294164783554, 0.00029416164034, 0.0383210517466, 0.00255093863234,             0, -100.922554016, -137.741073608, -102.331222534, -139.969451904, -41.5004081726, -2.53264522552, 198.655044556, -2.57579779625, 19042.6757812, 19042.6757812, 10598.4716797, 5305.02050781, 5293.45166016, 19153.7597656, 19153.7597656, 10737.5224609,  5362.9765625, 5374.54541016,             0, 0.000323283544276, -0.0681631788611,             0,             0,             0,             0, -0.0701989158988, -0.0681631788611, 0.0057728770189,             0,             0,             0,             0, 0.00350973103195, 0.00218184897676, 0.00577288120985, 0.00402294890955, 0.00218184734695, -0.00330639327876, 0.00218184734695, 0.757387042046, 0.757170855999, 0.757390856743, 0.757187724113, 2.42873549461, -0.00556479021907,             0, 0.073967397213,             0, -0.0899155959487, 69.8911590576,            70, 69.8915176392, 2.42810249329, -2.57193017006, 2.42829418182, -2.57185268402, 2.42873549461, 2.42812871933, -2.57189130783, 2.42810249329, -2.57192444801, 2.42829418182, -2.57185816765, 0.00203615194187, -0.00352385640144, 0.00203874753788, 0.0759996622801, 0.00203874753788, 1.01530909538, 1.08659958839, -1.01475477219, -1.08640050888, 0.000323283544276, 0.000273967947578, 7.99496046966e-05, 1.01527392864, 0.931579947472, -1.01472592354, -0.93142002821,             0,             0,             0,             0, -0.00952810700983, 0.500505626202, 0.514557123184, 0.500568687916, 0.514592587948, 0.500455319881, 0.514521658421
         0.15, 0.0175150129944,             0, -0.00148642575368, -0.00148644496221, -0.0621259175241,             0, -0.00148632912897, -0.00148630992044, 0.0465268790722, 0.00251545826904,             0, -101.717918396, -115.911849976, -103.002334595, -117.723175049, -47.6860237122, 0.742228388786, 196.244018555, 0.737098574638, 19052.5410156, 19052.5410156, 10526.6689453,   5268.703125, 5257.96630859, 19156.9492188, 19156.9492188, 10655.7167969, 5322.49023438, 5333.22705078,             0, 0.000433109147707, -0.0673777833581,             0,             0,             0,             0, -0.0692812874913, -0.0673777833581, 0.00567130744457,             0,             0,             0,             0, 0.00330472923815, 0.00202490529045, 0.00567131116986, 0.00395204871893, 0.00202490389347, -0.00338694313541, 0.00202490389347, 0.90874838829, 0.908454239368, 0.908759772778, 0.908481419086, 2.91399765015, -0.00702018011361,             0, 0.0726283341646,             0, -0.129899919033, 69.8683929443,            70, 69.8686828613, 2.91335511208, -2.08668088913, 2.91357970238, -2.08656334877, 2.91399765015, 2.91339802742, -2.08662199974, 2.91335511208, -2.08667254448, 2.91357970238, -2.08657169342, 0.00309905433096, -0.00391648337245, 0.00310143548995, 0.0757234543562, 0.00310143548995, 1.01541936398, 1.08661592007, -1.01464474201,  -1.086384058, 0.000433109147707, 0.000384782149922, 9.77599556791e-05, 1.01538479328, 0.93159776926, -1.01461517811, -0.931402266026,             0, -1.11022302463e-16,             0, 1.11022302463e-16, -0.00954153761268, 0.500498950481, 0.51459634304, 0.500558614731, 0.514629244804, 0.500452101231, 0.514563381672
        0.175, 0.0194444786757,             0, -0.00282907998189, -0.00282912212424, -0.0603666640818,             0, -0.00282886833884, -0.00282882596366, 0.0535648688674, 0.00246108160354,             0, -102.692718506, -80.0967178345, -103.790130615, -81.4563446045, -53.3773040771, 3.76360368729, 192.710174561, 3.78744888306, 19066.8457031, 19066.8457031, 10511.6855469,  5259.9765625, 5251.70898438, 19155.4238281, 19155.4238281, 10611.0556641, 5301.39404297, 5309.66162109,             0, 0.000548741430975, -0.0669494494796,             0,             0,             0,             0, -0.0686917006969, -0.0669494494796, 0.00469858432189,             0,             0,             0,             0, 0.00283460691571, 0.00155924027786, 0.00469858758152, 0.00363443489186, 0.00155923923012, -0.00371962063946, 0.00155923923012,  1.0600605011, 1.05972242355, 1.06008172035, 1.05976176262, 3.39911079407, -0.00867526698858,             0, 0.0711432620883,             0, -0.17538048327, 69.8464889526,            70, 69.8465576172, 3.39845275879, -1.60158765316, 3.39871621132, -1.60142254829, 3.39911079407, 3.39851474762, -1.60150516033, 3.39845275879, -1.60157597065, 3.39871621132, -1.60143435001, 0.00435282289982, -0.00431820331141, 0.00435464503244, 0.0754917934537, 0.00435464503244,  1.0155403614, 1.08662867546, -1.01452374458, -1.0863713026, 0.000548741430975, 0.000508595141582, 0.000114691123599, 1.01550853252, 0.93161469698, -1.01449131966, -0.931385278702,             0, 1.11022302463e-16,             0, -1.11022302463e-16, -0.00955346040428, 0.50049239397, 0.514611542225, 0.500544011593, 0.514636874199, 0.500453650951, 0.514586210251
          0.2, 0.0220887456089,             0, -0.00351862912066, -0.00351868732832, -0.0579408742487,             0, -0.00351833738387, -0.00351827894337, 0.0593715831637, 0.00233863061294,             0, -103.586891174,  -35.88331604, -104.486824036, -36.9286689758, -59.7587089539, 5.82003593445, 187.759506226, 5.84872102737, 19081.5234375, 19081.5234375, 10568.9560547, 5287.08691406, 5281.86914062, 19150.8867188, 19150.8867188, 10631.6708984,  5313.2265625, 5318.44433594,             0, 0.000677522446495, -0.0671112537384,             0,             0,             0,             0, -0.0687066540122, -0.0671112537384, 0.0033404098358,             0,             0,             0,             0, 0.00226516928524, 0.000984054524451, 0.00334041216411, 0.00323817599565, 0.000984053942375, -0.00413624942303, 0.000984053942375, 1.21132624149, 1.21099257469, 1.21135938168, 1.21104538441, 3.88408613205, -0.0105538405478,             0, 0.0694830268621,             0, -0.226492837071, 69.8257904053,            70,  69.825592041, 3.88340473175, -1.11664068699,  3.8837120533, -1.11642193794, 3.88408613205, 3.88348865509, -1.11653137207, 3.88340473175, -1.11662507057,  3.8837120533, -1.11643755436, 0.00576704414561, -0.00478301011026, 0.00576819712296, 0.0752452760935, 0.00576819712296, 1.01567697525, 1.08664405346, -1.01438736916, -1.08635592461, 0.000677522446495, 0.00064872141229, 0.000135271126055, 1.01564872265, 0.931635260582, -1.01435112953, -0.931364715099,             0,             0,             0,             0, -0.00956238619983, 0.500487208366, 0.514591693878, 0.500529050827, 0.514607667923, 0.500458300114, 0.514575660229
        0.225, 0.025342117995,             0, -0.00372109771706, -0.00372116430663, -0.0550022311509,             0, -0.00372076476924, -0.00372069841251, 0.0640298500657, 0.00212508579716,             0, -104.274375916, 9.89468479156, -105.006210327, 9.03299236298, -67.5162887573, 6.68938779831, 181.162185669, 6.68875360489, 19089.4628906, 19089.4628906, 10666.6474609, 5334.65332031, 5331.99414062, 19142.2070312, 19142.2070312, 10698.6113281, 5347.97607422, 5350.63525391,             0, 0.000827718293294, -0.0677667558193,             0,             0,             0,             0, -0.0692459046841, -0.0677667558193, 0.00215578242205,             0,             0,             0,             0, 0.00176879810169, 0.000501549511682, 0.00215578381903, 0.00293626403436, 0.000501549162436, -0.00446814624593, 0.000501549162436,  1.3625484705, 1.36227273941, 1.36259508133, 1.36234021187, 4.36893081665, -0.0126620912924,             0, 0.0676894113421,             0, -0.28350675106, 69.8064346313,            70, 69.8060913086, 4.36821985245, -0.631831228733, 4.36857509613, -0.631553888321, 4.36893081665, 4.36832761765, -0.631692588329, 4.36821985245, -0.631811439991, 4.36857509613, -0.631573677063, 0.00731169851497, -0.0053469282575, 0.00731229176745, 0.074995867908, 0.00731229176745, 1.01583445072, 1.08666849136, -1.0142301321, -1.0863314867, 0.000827718293294, 0.000808808719739, 0.00016400073946, 1.01580882072, 0.931663990021, -1.01419115067, -0.931335985661,             0, -1.11022302463e-16, -1.11022302463e-16,             0, -0.0095623107627, 0.500487565994, 0.514549672604, 0.500520944595, 0.51455783844, 0.500467121601, 0.514541506767
