Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,            -6,             0, -3499.38549805, 367.800231934,          4000, 6.23249101639, 38.3315696716, -0.16697229445
        0.025, -0.990000009537,            -6,             0, -3499.28833008, 371.505096436,          4000, 6.23827457428,  38.330368042, -0.185971066356
         0.05, -0.980000019073,            -6,             0, -3499.18554688, 375.284942627,          4000, 6.24302387238, 38.3290977478, -0.205707266927
        0.075, -0.97000002861,            -6,             0, -3499.0769043, 379.142059326,          4000, 6.24668169022,  38.327747345, -0.226211056113
          0.1, -0.959999978542,            -6,             0, -3498.96142578, 383.078826904,          4000, 6.24918889999, 38.3263168335, -0.247513920069
        0.125, -0.949999988079,            -6,             0, -3498.83911133, 387.097717285,          4000, 6.25048446655, 38.3248023987, -0.269648700953
         0.15, -0.939999997616,            -6,             0, -3498.7097168, 391.201293945,          4000, 6.25050354004, 38.3231964111, -0.292649567127
        0.175, -0.930000007153,            -6,             0, -3498.57250977, 395.392242432,          4000, 6.24917888641, 38.3214988708, -0.316552191973
          0.2, -0.920000016689,            -6,             0, -3498.42724609, 399.673370361,          4000, 6.24644041061, 38.3196983337, -0.34139367938
        0.225, -0.910000026226,            -6,             0, -3498.27319336, 404.047607422,          4000, 6.24221563339, 38.3177909851, -0.367212802172
         0.25, -0.899999976158,            -6,             0, -3498.11010742, 408.517974854,          4000, 6.23642778397, 38.3157691956, -0.394049793482
        0.275, -0.889999985695,            -6,             0, -3497.93725586, 413.087677002,          4000, 6.22899866104, 38.3136253357, -0.421946704388
          0.3, -0.879999995232,            -6,             0, -3497.75415039, 417.759979248,          4000, 6.21984529495, 38.3113594055, -0.450947225094
        0.325, -0.870000004768,            -6,             0, -3497.56030273, 422.538391113,          4000, 6.20888328552, 38.3089561462, -0.481096833944
         0.35, -0.860000014305,            -6,             0, -3497.35473633, 427.426483154,          4000, 6.19602298737, 38.3064079285, -0.512442946434
        0.375, -0.850000023842,            -6,             0, -3497.13671875, 432.428100586,          4000, 6.18117284775, 38.3037071228, -0.545034825802
