Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,             0,             0, -10164.7490234, 4.03365278244,         20000, -0.169070214033,             0, 0.0228327922523
        0.025, -0.990000009537,             0,             0, -10189.3291016, 4.07829523087,         20000, -0.170941412449, -4.47587776184, 0.0229536443949
         0.05, -0.980000019073,             0,             0, -10214.4697266, 4.12392091751,         20000, -0.172853812575, -8.94313240051, 0.0230738446116
        0.075, -0.97000002861,             0,             0,   -10240.1875,  4.1705622673,         20000, -0.174808770418, -13.3931589127, 0.0231932494789
          0.1, -0.959999978542,             0,             0, -10266.5029297, 4.21825218201,         20000, -0.176807686687, -17.8173828125, 0.0233117118478
        0.125, -0.949999988079,             0,             0, -10293.4365234, 4.26702547073,         20000, -0.178852021694,  -22.20728302, 0.0234290659428
         0.15, -0.939999997616,             0,             0, -10321.0087891, 4.31691884995,         20000, -0.18094329536, -26.5544013977, 0.0235451329499
        0.175, -0.930000007153,             0,             0, -10349.2421875, 4.36796998978,         20000, -0.183083102107, -30.8503608704, 0.0236597228795
          0.2, -0.920000016689,             0,             0, -10378.1591797, 4.42021894455,         20000, -0.185273110867, -35.0868911743, 0.0237726252526
        0.225, -0.910000026226,             0,             0, -10407.7851562,  4.4737071991,         20000, -0.187515065074, -39.2558250427, 0.0238836146891
         0.25, -0.899999976158,             0,             0, -10438.1435547, 4.52847766876,         20000, -0.189810752869, -43.3491325378, 0.0239924490452
        0.275, -0.889999985695,             0,             0, -10469.2617188, 4.58457565308,         20000, -0.192162111402, -47.3589286804, 0.0240988619626
          0.3, -0.879999995232,             0,             0, -10501.1669922, 4.64204931259,         20000, -0.194571107626, -51.2774887085, 0.0242025684565
        0.325, -0.870000004768,             0,             0, -10533.8876953,  4.7009472847,         20000, -0.197039827704, -55.0972633362, 0.0243032574654
         0.35, -0.860000014305,             0,             0, -10567.4541016, 4.76132249832,         20000, -0.199570447206, -58.8108940125, 0.0244005937129
        0.375, -0.850000023842,             0,             0, -10601.8994141,  4.8232293129,         20000, -0.20216524601, -62.4112243652, 0.0244942139834
          0.4, -0.839999973774,             0,             0, -10637.2539062, 4.88672399521,         20000, -0.204826638103, -65.8913269043, 0.0245837233961
        0.425, -0.829999983311,             0,             0, -10673.5537109, 4.95186710358,         20000, -0.207557111979, -69.2444839478, 0.0246686935425
         0.45, -0.819999992847,             0,             0, -10710.8359375, 5.01872158051,         20000, -0.210359305143, -72.4642486572, 0.024748660624
        0.475, -0.810000002384,             0,             0, -10749.1367188, 5.08735275269,         20000, -0.213235974312, -75.5444030762, 0.0248231198639
          0.5, -0.800000011921,             0,             0, -10788.4970703, 5.15783023834,         20000, -0.216190040112, -78.4790267944, 0.024891525507
        0.525, -0.790000021458,             0,             0, -10828.9589844, 5.23022699356,         20000, -0.219224527478, -81.2624664307, 0.0249532852322
         0.55, -0.77999997139,             0,             0, -10870.5654297, 5.30461883545,         20000, -0.222342655063, -83.8893508911, 0.0250077527016
        0.575, -0.769999980927,             0,             0, -10913.3642578, 5.38108682632,         20000, -0.225547805429, -86.3546218872, 0.0250542275608
          0.6, -0.759999990463,             0,             0, -10957.4023438, 5.45971488953,         20000, -0.22884349525, -88.6535339355, 0.0250919479877
        0.625,         -0.75,             0,             0, -11002.7314453,  5.5405921936,         20000, -0.232233464718, -90.7816543579, 0.02512008138
         0.65, -0.740000009537,             0,             0, -11049.4042969, 5.62381315231,         20000, -0.235721662641, -92.7348937988, 0.0251377280802
        0.675, -0.730000019073,             0,             0, -11097.4785156, 5.70947647095,         20000, -0.239312231541, -94.5094680786, 0.0251439027488
          0.7, -0.72000002861,             0,             0, -11147.0117188, 5.79768562317,         20000, -0.243009522557, -96.1019821167, 0.0251375343651
        0.725, -0.709999978542,             0,             0, -11198.0673828,  5.8885512352,         20000, -0.246818140149, -97.5093536377, 0.0251174531877
         0.75, -0.699999988079,             0,             0, -11250.7089844, 5.98218917847,         20000, -0.250742971897, -98.7288742065, 0.0250823833048
        0.775, -0.689999997616,             0,             0, -11305.0078125, 6.07872247696,         20000, -0.254789143801, -99.7581939697, 0.0250309295952
          0.8, -0.680000007153,             0,             0, -11361.0341797, 6.17827939987,         20000, -0.258962064981, -100.595329285, 0.0249615684152
        0.825, -0.670000016689,             0,             0, -11418.8652344, 6.28099822998,         20000, -0.26326751709, -101.238670349, 0.0248726364225
         0.85, -0.660000026226,             0,             0, -11478.5810547, 6.38702249527,         20000, -0.267711520195, -101.686981201, 0.024762308225
        0.875, -0.649999976158,             0,             0, -11540.265625, 6.49650621414,         20000, -0.272300511599, -101.93939209, 0.0246285852045
          0.9, -0.639999985695,             0,             0, -11604.0068359, 6.60961151123,         20000, -0.277041316032, -101.999954224, 0.0244692806154
        0.925, -0.629999995232,             0,             0, -11669.8994141, 6.72651004791,         20000, -0.281941115856, -101.999954224, 0.0242819879204
         0.95, -0.620000004768,             0,             0, -11738.0400391, 6.84738397598,         20000, -0.287007540464, -101.999954224, 0.0240640696138
        0.975, -0.610000014305,             0,             0, -11808.5322266, 6.97242689133,         20000, -0.292248696089, -101.999954224, 0.0238126236945
            1, -0.600000023842,             0,             0, -11881.484375, 7.10184288025,         20000, -0.297673165798, -101.999954224, 0.0235244575888
        1.025, -0.589999973774,             0,             0, -11957.0087891, 7.23585033417,         20000, -0.303290069103, -101.999954224, 0.0231960546225
         1.05, -0.579999983311,             0,             0, -12035.2255859, 7.37468004227,         20000, -0.309109121561, -101.999954224, 0.0228235404938
        1.075, -0.569999992847,             0,             0, -12116.2597656, 7.51857757568,         20000, -0.315140545368, -101.999954224, 0.0224026348442
          1.1, -0.560000002384,             0,             0, -12200.2402344, 7.66780376434,         20000, -0.321395367384, -101.999954224, 0.0219286140054
        1.125, -0.550000011921,             0,             0, -12287.3037109, 7.82263612747,         20000, -0.327885121107, -101.999954224, 0.0213962458074
         1.15, -0.540000021458,             0,             0, -12377.5917969, 7.98336935043,         20000, -0.334622263908, -101.999954224, 0.0207997448742
