Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -40,             0, -498.595489502, 28104.9121094,         60000, -326.346374512,          -306, 17.2248134613
        0.025,             0, -39.9900016785,             0, -498.626190186, 28108.0898438,         60000, -326.373352051,          -306, 17.1558189392
         0.05,             0, -39.9799995422,             0, -498.656951904, 28111.2675781,         60000, -326.400299072,          -306, 17.0867462158
        0.075,             0, -39.9700012207,             0, -498.687683105, 28114.4453125,         60000, -326.427246094,          -306, 17.0175952911
          0.1,             0, -39.9599990845,             0, -498.718444824,     28117.625,         60000, -326.454223633,          -306, 16.9483661652
        0.125,             0, -39.9500007629,             0, -498.749237061, 28120.8066406,         60000, -326.481201172,          -306, 16.8790607452
         0.15,             0, -39.9399986267,             0, -498.780059814, 28123.9882812,         60000, -326.508178711,          -306, 16.8096752167
        0.175,             0, -39.9300003052,             0, -498.810882568, 28127.1699219,         60000, -326.53515625,          -306, 16.7402133942
          0.2,             0, -39.9199981689,             0, -498.841705322, 28130.3554688,         60000, -326.562133789,          -306,  16.670671463
        0.225,             0, -39.9099998474,             0, -498.872558594, 28133.5390625,         60000, -326.589141846,          -306, 16.6010532379
         0.25,             0, -39.9000015259,             0, -498.903442383, 28136.7265625,         60000, -326.616149902,          -306, 16.5313568115
        0.275,             0, -39.8899993896,             0, -498.934326172, 28139.9121094,         60000, -326.643157959,          -306, 16.4615802765
          0.3,             0, -39.8800010681,             0, -498.965240479, 28143.1015625,         60000, -326.670166016,          -306, 16.3917255402
        0.325,             0, -39.8699989319,             0, -498.996185303, 28146.2910156,         60000, -326.697174072,          -306, 16.3217926025
         0.35,             0, -39.8600006104,             0, -499.027130127, 28149.4804688,         60000, -326.724212646,          -306, 16.2517814636
        0.375,             0, -39.8499984741,             0, -499.058105469,  28152.671875,         60000, -326.751220703,          -306, 16.1816921234
          0.4,             0, -39.8400001526,             0, -499.089080811, 28155.8652344,         60000, -326.778259277,          -306, 16.1115226746
        0.425,             0, -39.8300018311,             0, -499.12008667, 28159.0585938,         60000, -326.805297852,          -306, 16.0412750244
         0.45,             0, -39.8199996948,             0, -499.151123047, 28162.2519531,         60000, -326.832366943,          -306, 15.9709482193
        0.475,             0, -39.8100013733,             0, -499.182159424, 28165.4492188,         60000, -326.859405518,          -306, 15.9005432129
          0.5,             0, -39.7999992371,             0, -499.213226318, 28168.6445312,         60000, -326.886474609,          -306, 15.8300580978
        0.525,             0, -39.7900009155,             0, -499.244293213,   28171.84375,         60000, -326.913513184,          -306, 15.7594938278
         0.55,             0, -39.7799987793,             0, -499.275390625, 28175.0410156,         60000, -326.940582275,          -306, 15.6888513565
        0.575,             0, -39.7700004578,             0, -499.306518555, 28178.2421875,         60000, -326.967681885,          -306, 15.6181287766
          0.6,             0, -39.7599983215,             0, -499.337646484, 28181.4433594,         60000, -326.994750977,          -306, 15.5473270416
        0.625,             0,        -39.75,             0, -499.368804932, 28184.6445312,         60000, -327.021850586,          -306, 15.4764451981
         0.65,             0, -39.7400016785,             0, -499.399963379, 28187.8476562,         60000, -327.048919678,          -306, 15.4054841995
        0.675,             0, -39.7299995422,             0, -499.431152344, 28191.0527344,         60000, -327.076019287,          -306,  15.334444046
          0.7,             0, -39.7200012207,             0, -499.462371826, 28194.2578125,         60000, -327.103118896,          -306, 15.2633237839
        0.725,             0, -39.7099990845,             0, -499.493591309, 28197.4628906,         60000, -327.130249023,          -306, 15.1921243668
         0.75,             0, -39.7000007629,             0, -499.524841309,  28200.671875,         60000, -327.157348633,          -306,  15.120844841
        0.775,             0, -39.6899986267,             0, -499.556121826, 28203.8789062,         60000, -327.18447876,          -306, 15.0494852066
          0.8,             0, -39.6800003052,             0, -499.587402344, 28207.0898438,         60000, -327.211608887,          -306, 14.9780454636
