Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -40,             0, 2.9552083447e-07, 2479.71337891,          4000, -165.689926147, -26.5200004578, -0.951740682125
        0.025,             0, -39.9900016785,             0, 2.95625426361e-07, 2479.71337891,          4000, -165.689926147, -26.5200004578, -0.951740682125
         0.05,             0, -39.9799995422,             0, 2.95730046673e-07, 2479.71337891,          4000, -165.689926147, -26.5200004578, -0.951740682125
        0.075,             0, -39.9700012207,             0, 2.95835206998e-07, 2479.71337891,          4000, -165.689926147, -26.5200004578, -0.951740682125
          0.1,             0, -39.9599990845,             0, 2.95939827311e-07, 2479.71337891,          4000, -165.689926147, -26.5200004578, -0.951740682125
        0.125,             0, -39.9500007629,             0, 2.96044987635e-07, 2479.71337891,          4000, -165.689926147, -26.5200004578, -0.951740682125
         0.15,             0, -39.9399986267,             0, 2.96150176382e-07, 2479.71337891,          4000, -165.689926147, -26.5200004578, -0.951740682125
        0.175,             0, -39.9300003052,             0, 2.96254768273e-07, 2479.71337891,          4000, -165.689926147, -26.5200004578, -0.951740682125
          0.2,             0, -39.9199981689,             0, 2.96359957019e-07, 2479.71337891,          4000, -165.689926147, -26.5200004578, -0.951740682125
        0.225,             0, -39.9099998474,             0, 2.96465117344e-07, 2479.71337891,          4000, -165.689926147, -26.5200004578, -0.951740682125
         0.25,             0, -39.9000015259,             0, 2.96570277669e-07, 2479.71337891,          4000, -165.689926147, -26.5200004578, -0.951740682125
        0.275,             0, -39.8899993896,             0, 2.96675437994e-07, 2479.71337891,          4000, -165.689926147, -26.5200004578, -0.951740682125
          0.3,             0, -39.8800010681,             0, 2.96780598319e-07, 2479.71337891,          4000, -165.689926147, -26.5200004578, -0.951740682125
        0.325,             0, -39.8699989319,             0, 2.96886327078e-07, 2479.71337891,          4000, -165.689926147, -26.5200004578, -0.951740682125
         0.35,             0, -39.8600006104,             0, 2.96991487403e-07, 2479.71337891,          4000, -165.689926147, -26.5200004578, -0.951740682125
        0.375,             0, -39.8499984741,             0, 2.97096647728e-07, 2479.71337891,          4000, -165.689926147, -26.5200004578, -0.951740682125
