Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -40,             0, 3.82153793055e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.025,             0, -39.9900016785,             0, 3.82289080392e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
         0.05,             0, -39.9799995422,             0, 3.82424367729e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.075,             0, -39.9700012207,             0, 3.82560365608e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
          0.1,             0, -39.9599990845,             0, 3.82695617418e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.125,             0, -39.9500007629,             0, 3.82831615298e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
         0.15,             0, -39.9399986267,             0, 3.82967613177e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.175,             0, -39.9300003052,             0, 3.83102900514e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
          0.2,             0, -39.9199981689,             0, 3.83238898394e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.225,             0, -39.9099998474,             0, 3.83374896273e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
         0.25,             0, -39.9000015259,             0, 3.83510894153e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.275,             0, -39.8899993896,             0, 3.83646892033e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
          0.3,             0, -39.8800010681,             0, 3.83782889912e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.325,             0, -39.8699989319,             0, 3.83919598335e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
         0.35,             0, -39.8600006104,             0, 3.84055596214e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.375,             0, -39.8499984741,             0, 3.84191594094e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
          0.4,             0, -39.8400001526,             0, 3.84328302516e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.425,             0, -39.8300018311,             0, 3.84464300396e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
         0.45,             0, -39.8199996948,             0, 3.84601008818e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.475,             0, -39.8100013733,             0, 3.84737717241e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
          0.5,             0, -39.7999992371,             0, 3.84874425663e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.525,             0, -39.7900009155,             0, 3.85010423543e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
         0.55,             0, -39.7799987793,             0, 3.85147131965e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.575,             0, -39.7700004578,             0, 3.85283840387e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
          0.6,             0, -39.7599983215,             0, 3.85421259352e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.625,             0,        -39.75,             0, 3.85557967775e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
         0.65,             0, -39.7400016785,             0, 3.85694676197e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.675,             0, -39.7299995422,             0, 3.85831384619e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
          0.7,             0, -39.7200012207,             0, 3.85968803585e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.725,             0, -39.7099990845,             0, 3.86105512007e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
         0.75,             0, -39.7000007629,             0, 3.86242930972e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.775,             0, -39.6899986267,             0, 3.86380349937e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
          0.8,             0, -39.6800003052,             0, 3.86517058359e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.825,             0, -39.6699981689,             0, 3.86654477325e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
         0.85,             0, -39.6599998474,             0, 3.8679189629e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.875,             0, -39.6500015259,             0, 3.86929315255e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
          0.9,             0, -39.6399993896,             0, 3.8706673422e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
        0.925,             0, -39.6300010681,             0, 3.87204153185e-08, 320.665008545,           500, -11.1712245941, -3.31500005722, -0.0495952479541
