Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -40,             0, 5.80839412123e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.025,             0, -39.9900016785,             0, 5.81045071613e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
         0.05,             0, -39.9799995422,             0, 5.81250674259e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.075,             0, -39.9700012207,             0, 5.8145735693e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
          0.1,             0, -39.9599990845,             0, 5.81663016419e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.125,             0, -39.9500007629,             0, 5.8186969909e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
         0.15,             0, -39.9399986267,             0, 5.82076381761e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.175,             0, -39.9300003052,             0, 5.8228204125e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
          0.2,             0, -39.9199981689,             0, 5.82488723921e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.225,             0, -39.9099998474,             0, 5.82695406592e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
         0.25,             0, -39.9000015259,             0, 5.82902146107e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.275,             0, -39.8899993896,             0, 5.83108828778e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
          0.3,             0, -39.8800010681,             0, 5.83315511449e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.325,             0, -39.8699989319,             0, 5.83523330988e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
         0.35,             0, -39.8600006104,             0, 5.83730013659e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.375,             0, -39.8499984741,             0, 5.8393669633e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
          0.4,             0, -39.8400001526,             0, 5.84144515869e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.425,             0, -39.8300018311,             0, 5.8435119854e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
         0.45,             0, -39.8199996948,             0, 5.84558961236e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.475,             0, -39.8100013733,             0, 5.84766780776e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
          0.5,             0, -39.7999992371,             0, 5.84974543472e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.525,             0, -39.7900009155,             0, 5.85181226143e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
         0.55,             0, -39.7799987793,             0, 5.85389045682e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.575,             0, -39.7700004578,             0, 5.85596808378e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
          0.6,             0, -39.7599983215,             0, 5.85805651099e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.625,             0,        -39.75,             0, 5.86013470638e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
         0.65,             0, -39.7400016785,             0, 5.86221233334e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.675,             0, -39.7299995422,             0, 5.86429052873e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
          0.7,             0, -39.7200012207,             0, 5.86637895594e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.725,             0, -39.7099990845,             0, 5.8684565829e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
         0.75,             0, -39.7000007629,             0, 5.87054557855e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.775,             0, -39.6899986267,             0, 5.87263400575e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
          0.8,             0, -39.6800003052,             0, 5.87471163271e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.825,             0, -39.6699981689,             0, 5.87680062836e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
         0.85,             0, -39.6599998474,             0, 5.87888905557e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.875,             0, -39.6500015259,             0, 5.88097805121e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
          0.9,             0, -39.6399993896,             0, 5.88306647842e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.925,             0, -39.6300010681,             0, 5.88515547406e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
         0.95,             0, -39.6199989319,             0, 5.88725470152e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        0.975,             0, -39.6100006104,             0, 5.88934312873e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
            1,             0, -39.5999984741,             0, 5.89143212437e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        1.025,             0, -39.5900001526,             0, 5.89353135183e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
         1.05,             0, -39.5800018311,             0, 5.89562034747e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        1.075,             0, -39.5699996948,             0, 5.89771957493e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
          1.1,             0, -39.5600013733,             0, 5.89981880239e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        1.125,             0, -39.5499992371,             0, 5.90191859828e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
         1.15,             0, -39.5400009155,             0, 5.90401782574e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
        1.175,             0, -39.5299987793,             0, 5.90611762163e-07, 4873.81982422,          8000, -407.700012207, -53.0400009155, -2.45845985413
