 2016                   2.10240000000000      30-MAR-16 09:50:31
           2           1           8          21           0
VehKinemAnalysis part VKA
 Upshifting speed vs. accelerator pedal position
                         01-02     02-03     03-04     04-05     05-06     06-07     07-08
 Acc.Pedal         1         2         3         4         5         6         7         8
     0.000    -1.000    13.089    19.478    24.610    31.859    41.098    48.926    61.340
     5.000    -1.000    13.089    19.478    24.610    31.859    41.098    48.926    61.340
    10.000    -1.000    13.089    19.478    24.610    31.859    41.098    48.926    61.340
    15.000    -1.000    13.089    19.478    24.610    31.859    41.098    48.926    61.340
    20.000    -1.000    15.632    21.730    25.730    32.263    41.098    48.926    69.410
    25.000    -1.000    18.591    26.011    32.373    42.271    56.103    60.103    69.410
    30.000    -1.000    21.253    29.649    38.157    50.198    67.104    82.443   123.488
    35.000    -1.000    23.821    33.279    43.053    56.590    76.108    93.396   137.607
    40.000    -1.000    26.353    36.727    47.810    62.950    84.617   104.256   150.973
    45.000    -1.000    28.932    40.190    52.332    68.924    92.745   113.752   163.010
    50.000    -1.000    36.034    43.692    56.786    74.889   100.721   123.237   174.528
    55.000    -1.000    36.034    47.206    61.265    80.854   108.648   132.090   184.935
    60.000    -1.000    36.034    50.715    65.773    86.827   116.370   140.970   195.340
    65.000    -1.000    36.034    54.062    70.234    92.584   123.767   149.309   204.070
    70.000    -1.000    36.034    57.351    74.533    98.162   130.821   157.206   212.707
    75.000    -1.000    36.034    65.786    79.218   104.092   138.201   165.779   221.277
    80.000    -1.000    36.034    71.987    83.639   115.209   146.363   173.423   227.393
    85.000    -1.000    36.034    71.987    93.993   125.001   161.997   178.326   231.964
    90.000    -1.000    36.034    71.987   102.579   135.353   175.224   185.947   248.085
    95.000    -1.000    36.034    71.987   107.128   135.353   175.224   226.039   248.085
   100.000    -1.000    36.034    71.987   107.128   135.353   175.224   226.039   248.085
 
VehKinemAnalysis part VKA
 Downshifting speed vs. accelerator pedal position
                         02-01     03-02     04-03     05-04     06-05     07-06     08-07
 Acc.Pedal         1         2         3         4         5         6         7         8
     0.000    -1.000    11.089    17.478    22.610    29.859    39.098    46.926    59.340
     5.000    -1.000    11.089    17.478    22.610    29.859    39.098    46.926    59.340
    10.000    -1.000    11.089    17.478    22.610    29.859    39.098    46.926    59.340
    15.000    -1.000    11.089    17.478    22.610    29.859    39.098    46.926    59.340
    20.000    -1.000    13.632    19.730    23.730    30.263    39.098    46.926    67.410
    25.000    -1.000    16.591    24.011    30.373    40.271    54.103    58.103    67.410
    30.000    -1.000    19.253    27.649    36.157    48.198    65.104    80.443   121.488
    35.000    -1.000    21.821    31.279    41.053    54.590    74.108    91.396   135.607
    40.000    -1.000    24.353    34.727    45.810    60.950    82.617   102.256   148.973
    45.000    -1.000    26.932    38.190    50.332    66.924    90.745   111.752   161.010
    50.000    -1.000    34.034    41.692    54.786    72.889    98.721   121.237   172.528
    55.000    -1.000    33.534    44.706    58.765    78.354   106.148   129.590   182.435
    60.000    -1.000    33.034    47.715    62.773    83.827   113.370   137.970   192.340
    65.000    -1.000    33.034    51.062    67.234    89.584   120.767   146.309   201.070
    70.000    -1.000    33.034    54.351    71.533    95.162   127.821   154.206   209.707
    75.000    -1.000    32.534    62.286    75.718   100.592   134.701   162.279   217.777
    80.000    -1.000    32.034    67.987    79.639   111.209   142.363   169.423   223.393
    85.000    -1.000    32.034    67.987    89.993   121.001   157.997   174.326   227.964
    90.000    -1.000    32.034    67.987    98.579   131.353   171.224   181.947   244.085
    95.000    -1.000    31.534    67.487   102.628   130.853   170.724   221.539   243.585
   100.000    -1.000    31.034    66.987   102.128   130.353   170.224   221.039   243.085
 
