Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -10,             0, 34.8026351929, 1760.41992188,          2000, -10.5053167343, -5.61698246002, 4.92329597473
        0.025,             0, -9.98999977112,             0, 34.8383522034, 1760.50598145,          2000, -10.5055704117, -5.61702203751, 4.91194963455
         0.05,             0, -9.97999954224,             0, 34.8741264343, 1760.59191895,          2000, -10.5058231354, -5.61706113815, 4.90057420731
        0.075,             0, -9.97000026703,             0, 34.9099617004,  1760.6776123,          2000, -10.5060749054, -5.6171002388, 4.88916969299
          0.1,             0, -9.96000003815,             0, 34.9458503723, 1760.76318359,          2000, -10.5063266754, -5.61713933945, 4.87773656845
        0.125,             0, -9.94999980927,             0, 34.9818000793, 1760.84851074,          2000, -10.5065774918, -5.61717844009, 4.86627483368
         0.15,             0, -9.93999958038,             0, 35.0178031921, 1760.93359375,          2000, -10.5068283081, -5.61721754074,   4.854783535
        0.175,             0, -9.93000030518,             0, 35.0538673401, 1761.01855469,          2000, -10.5070781708, -5.61725664139, 4.84326314926
          0.2,             0, -9.92000007629,             0, 35.0899887085, 1761.10339355,          2000, -10.5073270798, -5.61729574203, 4.83171319962
        0.225,             0, -9.90999984741,             0, 35.1261711121, 1761.18798828,          2000, -10.5075759888, -5.61733436584, 4.82013463974
         0.25,             0, -9.89999961853,             0, 35.1624069214, 1761.27233887,          2000, -10.5078239441, -5.61737346649, 4.80852603912
        0.275,             0, -9.89000034332,             0, 35.1987037659, 1761.35644531,          2000, -10.5080718994, -5.6174120903, 4.79688835144
          0.3,             0, -9.88000011444,             0, 35.2350578308, 1761.44042969,          2000, -10.5083189011, -5.61745071411, 4.78522062302
        0.325,             0, -9.86999988556,             0, 35.2714729309, 1761.52416992,          2000, -10.508564949, -5.61748933792, 4.77352380753
         0.35,             0, -9.85999965668,             0, 35.3079452515, 1761.60778809,          2000, -10.508810997, -5.61752796173, 4.76179695129
        0.375,             0, -9.85000038147,             0, 35.3444747925, 1761.69116211,          2000, -10.5090560913, -5.61756658554, 4.75004005432
          0.4,             0, -9.84000015259,             0, 35.3810653687, 1761.77429199,          2000, -10.5093002319, -5.61760520935, 4.73825359344
        0.425,             0, -9.82999992371,             0, 35.4177131653, 1761.85717773,          2000, -10.5095443726, -5.61764383316, 4.72643661499
         0.45,             0, -9.81999969482,             0, 35.4544219971, 1761.93994141,          2000, -10.5097875595, -5.61768245697, 4.71459007263
        0.475,             0, -9.81000041962,             0,  35.491191864, 1762.02246094,          2000, -10.5100307465, -5.61772060394,  4.7027130127
          0.5,             0, -9.80000019073,             0, 35.5280189514, 1762.10473633,          2000, -10.5102729797, -5.61775875092, 4.69080591202
        0.525,             0, -9.78999996185,             0, 35.5649032593, 1762.18676758,          2000, -10.5105142593, -5.61779737473, 4.67886829376
         0.55,             0, -9.77999973297,             0, 35.6018486023, 1762.26867676,          2000, -10.5107545853, -5.6178355217, 4.66690015793
        0.575,             0, -9.77000045776,             0, 35.6388549805,  1762.3503418,          2000, -10.5109949112, -5.61787366867, 4.65490150452
          0.6,             0, -9.76000022888,             0, 35.6759223938,  1762.4317627,          2000, -10.5112342834, -5.61791181564, 4.64287233353
        0.625,             0,         -9.75,             0, 35.7130470276, 1762.51293945,          2000, -10.5114736557, -5.61794996262, 4.63081216812
         0.65,             0, -9.73999977112,             0, 35.7502365112, 1762.59387207,          2000, -10.5117111206, -5.61798810959, 4.61872148514
        0.675,             0, -9.72999954224,             0, 35.7874832153, 1762.67468262,          2000, -10.5119485855, -5.61802577972, 4.60659980774
          0.7,             0, -9.72000026703,             0, 35.8247871399, 1762.75512695,          2000, -10.5121860504, -5.6180639267, 4.59444713593
        0.725,             0, -9.71000003815,             0, 35.8621559143, 1762.83544922,          2000, -10.512421608, -5.61810207367,  4.5822634697
         0.75,             0, -9.69999980927,             0, 35.8995857239, 1762.91552734,          2000, -10.5126571655, -5.6181397438, 4.57004880905
        0.775,             0, -9.68999958038,             0, 35.9370727539, 1762.99523926,          2000, -10.5128917694, -5.61817741394, 4.55780267715
          0.8,             0, -9.68000030518,             0, 35.9746246338,  1763.0748291,          2000, -10.5131263733, -5.61821508408, 4.54552507401
        0.825,             0, -9.67000007629,             0, 36.0122337341,  1763.1541748,          2000, -10.5133590698, -5.61825275421,  4.5332159996
         0.85,             0, -9.65999984741,             0, 36.0499076843, 1763.23327637,          2000, -10.5135917664, -5.61829042435, 4.52087593079
        0.875,             0, -9.64999961853,             0, 36.0876426697, 1763.31213379,          2000, -10.5138244629, -5.61832809448, 4.50850391388
          0.9,             0, -9.64000034332,             0, 36.1254386902, 1763.39074707,          2000, -10.5140552521, -5.61836576462, 4.49609994888
        0.925,             0, -9.63000011444,             0, 36.1632919312, 1763.46911621,          2000, -10.5142860413, -5.61840343475, 4.48366451263
