Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,             0,            -5, -206.941452026,  593.83807373,          6000, 155.794158936, -15.1442871094, 21.0829715729
        0.025,             0,             0, -4.98999977112, -206.982177734, 592.783081055,          6000, 155.449508667, -15.1442918777, 21.0384578705
         0.05,             0,             0, -4.98000001907, -207.022827148, 591.728149414,          6000, 155.104873657, -15.1442956924, 20.9939365387
        0.075,             0,             0, -4.96999979019, -207.063400269, 590.673156738,          6000, 154.760223389, -15.1443004608, 20.9494094849
          0.1,             0,             0, -4.96000003815, -207.103881836, 589.618225098,          6000, 154.415588379, -15.1443052292, 20.9048748016
        0.125,             0,             0, -4.94999980927, -207.144271851, 588.563293457,          6000,  154.07093811, -15.1443090439,  20.860332489
         0.15,             0,             0, -4.94000005722, -207.18460083, 587.508300781,          6000, 153.726287842, -15.1443138123,  20.815782547
        0.175,             0,             0, -4.92999982834, -207.224838257, 586.453369141,          6000, 153.381652832, -15.1443185806, 20.7712268829
          0.2,             0,             0, -4.92000007629, -207.264984131,   585.3984375,          6000, 153.037002563, -15.1443223953, 20.7266635895
        0.225,             0,             0, -4.90999984741, -207.30506897, 584.343505859,          6000, 152.692352295, -15.1443271637, 20.6820926666
         0.25,             0,             0, -4.90000009537, -207.345062256, 583.288513184,          6000, 152.347702026, -15.1443309784, 20.6375160217
        0.275,             0,             0, -4.88999986649, -207.384963989, 582.233581543,          6000, 152.003051758, -15.1443357468, 20.5929298401
          0.3,             0,             0, -4.88000011444, -207.424789429, 581.178649902,          6000, 151.658401489, -15.1443395615, 20.5483398438
        0.325,             0,             0, -4.86999988556, -207.464538574, 580.123718262,          6000, 151.313766479, -15.1443443298, 20.5037403107
         0.35,             0,             0, -4.86000013351, -207.504211426, 579.068786621,          6000, 150.969116211, -15.1443490982, 20.4591350555
        0.375,             0,             0, -4.84999990463, -207.543792725,  578.01385498,          6000, 150.624465942, -15.1443529129,  20.414522171
          0.4,             0,             0, -4.84000015259, -207.583297729,  576.95892334,          6000, 150.279815674, -15.1443567276, 20.3699016571
        0.425,             0,             0, -4.82999992371, -207.622711182, 575.903991699,          6000, 149.935165405, -15.144361496, 20.3252754211
         0.45,             0,             0, -4.82000017166, -207.66204834, 574.849060059,          6000, 149.590515137, -15.1443653107, 20.2806415558
        0.475,             0,             0, -4.80999994278, -207.701309204, 573.794128418,          6000, 149.245864868, -15.144370079,  20.236000061
          0.5,             0,             0, -4.80000019073, -207.740478516, 572.739196777,          6000, 148.901199341, -15.1443738937, 20.1913528442
        0.525,             0,             0, -4.78999996185, -207.779571533, 571.684265137,          6000, 148.556549072, -15.1443786621,  20.146697998
         0.55,             0,             0, -4.78000020981, -207.818588257, 570.629394531,          6000, 148.211898804, -15.1443824768, 20.1020374298
        0.575,             0,             0, -4.76999998093, -207.857513428, 569.574462891,          6000, 147.867248535, -15.1443862915, 20.0573692322
          0.6,             0,             0, -4.76000022888, -207.896362305,  568.51953125,          6000, 147.522598267, -15.1443910599, 20.0126934052
        0.625,             0,             0,         -4.75, -207.935134888, 567.464599609,          6000, 147.177932739, -15.1443948746, 19.9680118561
         0.65,             0,             0, -4.73999977112, -207.973815918, 566.409729004,          6000, 146.833282471, -15.1443986893, 19.9233226776
        0.675,             0,             0, -4.73000001907, -208.012420654, 565.354797363,          6000, 146.488632202, -15.1444034576, 19.8786258698
          0.7,             0,             0, -4.71999979019, -208.050933838, 564.299865723,          6000, 146.143966675, -15.1444072723, 19.8339233398
        0.725,             0,             0, -4.71000003815, -208.089370728, 563.244995117,          6000, 145.799316406, -15.144411087, 19.7892150879
