Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,             0,            -5, 25.7552089691, 376.266693115,          4000, 105.234970093, -10.5152959824, 16.0794868469
        0.025,             0,             0, -4.98999977112, 25.7330913544, 375.652496338,          4000, 105.002433777, -10.5152988434, 16.0479621887
         0.05,             0,             0, -4.98000001907, 25.7110176086, 375.038299561,          4000, 104.769889832, -10.5153017044, 16.0164356232
        0.075,             0,             0, -4.96999979019, 25.6889896393, 374.424102783,          4000, 104.537345886, -10.5153055191, 15.9849052429
          0.1,             0,             0, -4.96000003815, 25.6670036316, 373.809906006,          4000, 104.304801941, -10.5153083801,  15.953373909
        0.125,             0,             0, -4.94999980927, 25.6450634003, 373.195739746,          4000, 104.072257996, -10.5153112411, 15.9218416214
         0.15,             0,             0, -4.94000005722,  25.623167038, 372.581542969,          4000,  103.83971405, -10.5153141022, 15.8903064728
        0.175,             0,             0, -4.92999982834, 25.6013145447, 371.967346191,          4000, 103.607170105, -10.5153169632, 15.8587694168
          0.2,             0,             0, -4.92000007629, 25.5795078278, 371.353149414,          4000,  103.37462616, -10.5153198242, 15.8272304535
        0.225,             0,             0, -4.90999984741, 25.5577430725, 370.738952637,          4000, 103.142082214, -10.5153236389, 15.7956895828
         0.25,             0,             0, -4.90000009537, 25.5360240936, 370.124786377,          4000, 102.909538269, -10.5153264999, 15.7641468048
        0.275,             0,             0, -4.88999986649, 25.5143489838,   369.5105896,          4000, 102.676986694, -10.515329361, 15.7326021194
          0.3,             0,             0, -4.88000011444, 25.4927196503, 368.896392822,          4000, 102.444442749, -10.515332222, 15.7010564804
        0.325,             0,             0, -4.86999988556, 25.4711322784, 368.282196045,          4000, 102.211898804, -10.515335083, 15.6695079803
         0.35,             0,             0, -4.86000013351,  25.449590683, 367.668029785,          4000, 101.979354858, -10.515337944, 15.6379575729
        0.375,             0,             0, -4.84999990463, 25.4280929565, 367.053833008,          4000, 101.746803284, -10.5153408051, 15.6064052582
          0.4,             0,             0, -4.84000015259, 25.4066390991,  366.43963623,          4000, 101.514259338, -10.5153436661, 15.5748519897
        0.425,             0,             0, -4.82999992371, 25.3852310181, 365.825439453,          4000, 101.281707764, -10.5153465271, 15.5432958603
         0.45,             0,             0, -4.82000017166, 25.3638648987, 365.211242676,          4000, 101.049163818, -10.5153493881, 15.5117387772
        0.475,             0,             0, -4.80999994278, 25.3425445557, 364.597076416,          4000, 100.816612244, -10.5153522491,  15.480178833
          0.5,             0,             0, -4.80000019073, 25.3212680817, 363.982879639,          4000, 100.584068298, -10.5153551102, 15.4486179352
        0.525,             0,             0, -4.78999996185,  25.300037384, 363.368682861,          4000, 100.351516724, -10.5153579712,   15.41705513
         0.55,             0,             0, -4.78000020981, 25.2788486481, 362.754486084,          4000, 100.118972778, -10.5153608322, 15.3854894638
        0.575,             0,             0, -4.76999998093, 25.2577056885, 362.140319824,          4000, 99.8864212036, -10.5153636932, 15.3539228439
          0.6,             0,             0, -4.76000022888, 25.2366065979, 361.526123047,          4000, 99.6538696289, -10.5153665543, 15.3223543167
        0.625,             0,             0,         -4.75, 25.2155513763,  360.91192627,          4000, 99.4213256836, -10.5153694153, 15.2907838821
         0.65,             0,             0, -4.73999977112, 25.1945400238, 360.297729492,          4000, 99.1887741089, -10.5153722763, 15.2592124939
        0.675,             0,             0, -4.73000001907, 25.1735744476, 359.683532715,          4000, 98.9562225342, -10.5153751373, 15.2276382446
          0.7,             0,             0, -4.71999979019, 25.1526527405, 359.069366455,          4000, 98.7236709595, -10.5153779984,  15.196062088
        0.725,             0,             0, -4.71000003815, 25.1317749023, 358.455169678,          4000, 98.4911193848, -10.5153799057, 15.1644849777
         0.75,             0,             0, -4.69999980927, 25.1109409332,   357.8409729,          4000, 98.2585754395, -10.5153827667, 15.1329059601
        0.775,             0,             0, -4.69000005722, 25.0901527405, 357.226776123,          4000, 98.0260238647, -10.5153856277, 15.1013250351
          0.8,             0,             0, -4.67999982834, 25.0694084167, 356.612579346,          4000,   97.79347229, -10.5153884888, 15.0697422028
        0.825,             0,             0, -4.67000007629,  25.048707962, 355.998413086,          4000, 97.5609207153, -10.5153913498, 15.0381574631
         0.85,             0,             0, -4.65999984741, 25.0280513763, 355.384216309,          4000, 97.3283691406, -10.5153942108,  15.006570816
        0.875,             0,             0, -4.65000009537, 25.0074386597, 354.770019531,          4000, 97.0958175659, -10.5153970718, 14.9749822617
          0.9,             0,             0, -4.63999986649, 24.9868717194, 354.155822754,          4000, 96.8632583618, -10.5153989792, 14.9433927536
        0.925,             0,             0, -4.63000011444, 24.9663486481, 353.541625977,          4000, 96.6307067871, -10.5154018402, 14.9118013382
         0.95,             0,             0, -4.61999988556, 24.9458694458, 352.927459717,          4000, 96.3981552124, -10.5154047012, 14.8802080154
        0.975,             0,             0, -4.61000013351, 24.9254341125, 352.313262939,          4000, 96.1656036377, -10.5154075623, 14.8486127853
            1,             0,             0, -4.59999990463, 24.9050445557, 351.699066162,          4000,  95.933052063, -10.5154104233, 14.8170156479
        1.025,             0,             0, -4.59000015259, 24.8846969604, 351.084869385,          4000, 95.7004928589, -10.5154123306, 14.7854175568
         1.05,             0,             0, -4.57999992371, 24.8643951416, 350.470672607,          4000, 95.4679412842, -10.5154151917, 14.7538175583
        1.075,             0,             0, -4.57000017166, 24.8441371918,  349.85647583,          4000, 95.2353897095, -10.5154180527, 14.7222156525
          1.1,             0,             0, -4.55999994278, 24.8239250183, 349.242279053,          4000, 95.0028305054, -10.5154209137, 14.6906118393
        1.125,             0,             0, -4.55000019073, 24.8037567139, 348.628112793,          4000, 94.7702789307, -10.515422821, 14.6590061188
         1.15,             0,             0, -4.53999996185, 24.7836303711, 348.013916016,          4000, 94.5377197266, -10.5154256821, 14.6273994446
        1.175,             0,             0, -4.53000020981, 24.7635498047, 347.399719238,          4000, 94.3051681519, -10.5154285431,  14.595790863
          1.2,             0,             0, -4.51999998093, 24.7435150146, 346.785522461,          4000, 94.0726089478, -10.5154314041, 14.5641803741
        1.225,             0,             0, -4.51000022888, 24.7235221863, 346.171325684,          4000,  93.840057373, -10.5154333115, 14.5325679779
         1.25,             0,             0,          -4.5, 24.7035751343, 345.557128906,          4000, 93.6074981689, -10.5154361725,  14.500954628
        1.275,             0,             0, -4.48999977112, 24.6836719513, 344.942932129,          4000, 93.3749465942, -10.5154390335, 14.4693393707
          1.3,             0,             0, -4.48000001907, 24.6638126373, 344.328735352,          4000, 93.1423873901, -10.5154409409, 14.4377222061
        1.325,             0,             0, -4.46999979019, 24.6439971924, 343.714538574,          4000,  92.909828186, -10.5154438019, 14.4061031342
         1.35,             0,             0, -4.46000003815, 24.6242275238, 343.100341797,          4000, 92.6772766113, -10.5154466629, 14.3744831085
        1.375,             0,             0, -4.44999980927, 24.6045017242,  342.48614502,          4000, 92.4447174072, -10.5154485703, 14.3428611755
          1.4,             0,             0, -4.44000005722, 24.5848197937, 341.871948242,          4000, 92.2121582031, -10.5154514313, 14.3112373352
        1.425,             0,             0, -4.42999982834, 24.5651817322, 341.257751465,          4000,  91.979598999, -10.5154542923, 14.2796115875
         1.45,             0,             0, -4.42000007629,  24.545589447, 340.643554688,          4000, 91.7470474243, -10.5154561996, 14.2479848862
        1.475,             0,             0, -4.40999984741, 24.5260391235,  340.02935791,          4000, 91.5144882202, -10.5154590607, 14.2163562775
          1.5,             0,             0, -4.40000009537, 24.5065345764, 339.415161133,          4000, 91.2819290161, -10.515460968, 14.1847267151
        1.525,             0,             0, -4.38999986649, 24.4870738983, 338.800964355,          4000,  91.049369812, -10.515463829, 14.1530942917
         1.55,             0,             0, -4.38000011444, 24.4676589966, 338.186767578,          4000, 90.8168106079, -10.5154657364, 14.1214609146
        1.575,             0,             0, -4.36999988556, 24.4482860565, 337.572570801,          4000, 90.5842514038, -10.5154685974, 14.0898265839
          1.6,             0,             0, -4.36000013351, 24.4289588928, 336.958374023,          4000, 90.3516921997, -10.5154714584, 14.0581893921
        1.625,             0,             0, -4.34999990463, 24.4096755981, 336.344177246,          4000, 90.1191329956, -10.5154733658, 14.0265512466
         1.65,             0,             0, -4.34000015259, 24.3904361725, 335.729980469,          4000, 89.8865737915, -10.5154762268, 13.9949121475
        1.675,             0,             0, -4.32999992371, 24.3712425232, 335.115783691,          4000, 89.6540145874, -10.5154781342, 13.9632701874
          1.7,             0,             0, -4.32000017166, 24.3520908356, 334.501586914,          4000, 89.4214553833, -10.5154809952, 13.9316272736
        1.725,             0,             0, -4.30999994278, 24.3329849243, 333.887359619,          4000, 89.1888885498, -10.5154829025, 13.8999834061
         1.75,             0,             0, -4.30000019073, 24.3139247894, 333.273162842,          4000, 88.9563293457, -10.5154857635, 13.8683366776
        1.775,             0,             0, -4.28999996185, 24.2949066162, 332.658966064,          4000, 88.7237701416, -10.5154876709, 13.8366889954
          1.8,             0,             0, -4.28000020981,  24.275932312, 332.044769287,          4000, 88.4912109375, -10.5154905319, 13.8050403595
        1.825,             0,             0, -4.26999998093, 24.2570037842,  331.43057251,          4000,  88.258644104, -10.5154924393, 13.7733898163
         1.85,             0,             0, -4.26000022888, 24.2381191254, 330.816345215,          4000, 88.0260848999, -10.5154953003, 13.7417373657
