Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -10,             0, 1.0309369145e-06, 1817.81994629,          2000, -5.34733009338, -5.30959367752, 4.86737012863
        0.025,             0, -9.98999977112,             0, 1.03198999568e-06, 1817.81994629,          2000, -5.34733009338, -5.30961370468, 4.86737012863
         0.05,             0, -9.97999954224,             0, 1.03304557797e-06, 1817.81994629,          2000, -5.34733009338, -5.30963373184, 4.86737012863
        0.075,             0, -9.97000026703,             0, 1.03410263819e-06, 1817.81994629,          2000, -5.34733009338,  -5.309653759, 4.86737012863
          0.1,             0, -9.96000003815,             0, 1.03516219951e-06, 1817.81994629,          2000, -5.34733009338, -5.30967378616, 4.86737012863
        0.125,             0, -9.94999980927,             0, 1.0362238072e-06, 1817.81994629,          2000, -5.34733009338, -5.30969333649, 4.86737012863
         0.15,             0, -9.93999958038,             0, 1.03728780232e-06, 1817.81994629,          2000, -5.34733009338, -5.30971336365, 4.86737012863
        0.175,             0, -9.93000030518,             0, 1.03835338905e-06, 1817.81994629,          2000, -5.34733009338, -5.30973339081, 4.86737012863
          0.2,             0, -9.92000007629,             0, 1.0394213632e-06, 1817.81994629,          2000, -5.34733009338, -5.30975294113, 4.86737012863
        0.225,             0, -9.90999984741,             0, 1.04049149741e-06, 1817.81994629,          2000, -5.34733009338, -5.30977296829, 4.86737012863
         0.25,             0, -9.89999961853,             0, 1.04156390535e-06, 1817.81994629,          2000, -5.34733009338, -5.30979299545, 4.86737012863
        0.275,             0, -9.89000034332,             0, 1.04263835965e-06, 1817.81994629,          2000, -5.34733009338, -5.30981254578, 4.86737012863
          0.3,             0, -9.88000011444,             0, 1.04371486032e-06, 1817.81994629,          2000, -5.34733009338, -5.30983257294, 4.86737012863
        0.325,             0, -9.86999988556,             0, 1.04479340735e-06, 1817.81994629,          2000, -5.34733009338, -5.30985212326, 4.86737012863
         0.35,             0, -9.85999965668,             0, 1.0458743418e-06, 1817.81994629,          2000, -5.34733009338, -5.30987215042, 4.86737012863
        0.375,             0, -9.85000038147,             0, 1.04695732261e-06, 1817.81994629,          2000, -5.34733009338, -5.30989170074, 4.86737012863
          0.4,             0, -9.84000015259,             0, 1.04804269085e-06, 1817.81994629,          2000, -5.34733009338, -5.30991125107, 4.86737012863
        0.425,             0, -9.82999992371,             0, 1.04913010546e-06, 1817.81994629,          2000, -5.34733009338, -5.30993127823, 4.86737012863
         0.45,             0, -9.81999969482,             0, 1.05021990748e-06, 1817.81994629,          2000, -5.34733009338, -5.30995082855, 4.86737012863
        0.475,             0, -9.81000041962,             0, 1.05131130113e-06, 1817.81994629,          2000, -5.34733009338, -5.30997037888, 4.86737012863
          0.5,             0, -9.80000019073,             0, 1.05240565063e-06, 1817.81994629,          2000, -5.34733009338, -5.3099899292, 4.86737012863
        0.525,             0, -9.78999996185,             0, 1.0535019328e-06, 1817.81994629,          2000, -5.34733009338, -5.31000947952, 4.86737012863
         0.55,             0, -9.77999973297,             0, 1.05460014765e-06, 1817.81994629,          2000, -5.34733009338, -5.31002902985, 4.86737012863
        0.575,             0, -9.77000045776,             0, 1.05570086362e-06, 1817.81994629,          2000, -5.34733009338, -5.31004858017, 4.86737012863
          0.6,             0, -9.76000022888,             0, 1.05680362594e-06, 1817.81994629,          2000, -5.34733009338, -5.31006813049, 4.86737012863
        0.625,             0,         -9.75,             0, 1.05790877569e-06, 1817.81994629,          2000, -5.34733009338, -5.31008768082, 4.86737012863
         0.65,             0, -9.73999977112,             0, 1.05901642655e-06, 1817.81994629,          2000, -5.34733009338, -5.31010723114, 4.86737012863
        0.675,             0, -9.72999954224,             0, 1.06012601009e-06, 1817.81994629,          2000, -5.34733009338, -5.31012678146, 4.86737012863
