Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,            -4,             0, -2989.32006836, 177.077545166,          4000, -11.6855535507,             0, -1.94173467159
        0.025, -0.990000009537,            -4,             0, -2993.10742188, 180.994308472,          4000, -11.7083482742, -0.153604492545, -1.91893517971
         0.05, -0.980000019073,            -4,             0, -2996.96020508, 184.986129761,          4000, -11.7315807343, -0.30717664957, -1.89584040642
        0.075, -0.97000002861,            -4,             0, -3000.88012695, 189.055145264,          4000, -11.7552614212, -0.46068418026, -1.87244653702
          0.1, -0.959999978542,            -4,             0, -3004.86889648, 193.203643799,          4000, -11.7794046402, -0.614094734192, -1.84874939919
        0.125, -0.949999988079,            -4,             0, -3008.9284668, 197.433929443,          4000, -11.8040246964, -0.76737600565, -1.82474517822
         0.15, -0.939999997616,            -4,             0, -3013.06054688, 201.748443604,          4000, -11.8291339874, -0.92049574852, -1.80043005943
        0.175, -0.930000007153,            -4,             0, -3016.69482422, 206.115875244,          4000, -11.8521118164, -1.07322382927, -1.77571678162
          0.2, -0.920000016689,            -4,             0, -3021.21362305, 210.620101929,          4000, -11.8793296814, -1.22598898411, -1.7508084774
        0.225, -0.910000026226,            -4,             0, -3025.81152344, 215.217056274,          4000, -11.9070920944, -1.37851953506, -1.72556972504
         0.25, -0.899999976158,            -4,             0, -3030.49072266, 219.909622192,          4000, -11.9354162216, -1.53078317642, -1.69999682903
        0.275, -0.889999985695,            -4,             0, -3035.25341797, 224.700790405,          4000, -11.9643201828, -1.68274784088, -1.6740860939
          0.3, -0.879999995232,            -4,             0, -3040.10205078, 229.593643188,          4000, -11.9938220978, -1.83438169956, -1.6478344202
        0.325, -0.870000004768,            -4,             0, -3044.18115234, 234.534301758,          4000, -12.0199337006, -1.98510885239, -1.62120842934
         0.35, -0.860000014305,            -4,             0, -3048.96630859,  239.62286377,          4000, -12.0495462418, -2.13578009605, -1.59427773952
        0.375, -0.850000023842,            -4,             0, -3053.84350586, 244.822540283,          4000, -12.0798053741, -2.28600144386, -1.56700670719
          0.4, -0.839999973774,            -4,             0, -3058.81494141, 250.136962891,          4000, -12.1107330322, -2.4357419014, -1.53939318657
        0.425, -0.829999983311,            -4,             0, -3063.88330078, 255.569961548,          4000, -12.1423492432, -2.58496928215, -1.51143503189
         0.45, -0.819999992847,            -4,             0, -3069.05126953, 261.125518799,          4000, -12.1746797562, -2.73365259171, -1.48313105106
        0.475, -0.810000002384,            -4,             0, -3074.32177734, 266.807830811,          4000, -12.2077465057, -2.88176035881, -1.4544801712
          0.5, -0.800000011921,            -4,             0, -3079.69775391, 272.621185303,          4000, -12.2415761948, -3.02926135063, -1.42548167706
        0.525, -0.790000021458,            -4,             0, -3085.18188477,  278.57019043,          4000, -12.2761955261, -3.17612481117, -1.39613556862
         0.55, -0.77999997139,            -4,             0, -3090.77758789, 284.659606934,          4000, -12.3116312027, -3.3223195076, -1.36644268036
        0.575, -0.769999980927,            -4,             0, -3096.48754883,  290.89440918,          4000, -12.3479137421, -3.46781468391, -1.33640396595
          0.6, -0.759999990463,            -4,             0, -3102.31567383, 297.279846191,          4000, -12.3850717545, -3.61257982254, -1.30602169037
        0.625,         -0.75,            -4,             0, -3108.26489258, 303.821380615,          4000, -12.4231386185, -3.7565844059, -1.27529871464
         0.65, -0.740000009537,            -4,             0, -3114.33886719, 310.524780273,          4000, -12.4621477127, -3.89979815483, -1.24423897266
        0.675, -0.730000019073,            -4,             0, -3120.54125977, 317.396057129,          4000, -12.5021324158, -4.04219055176, -1.21284723282
          0.7, -0.72000002861,            -4,             0, -3126.87573242, 324.441558838,          4000, -12.5431318283, -4.18373250961, -1.1811299324
        0.725, -0.709999978542,            -4,             0, -3133.34619141, 331.667938232,          4000, -12.5851831436, -4.3243932724, -1.14909434319
         0.75, -0.699999988079,            -4,             0, -3139.95678711,  339.08215332,          4000, -12.6283283234, -4.46414375305, -1.11674952507
        0.775, -0.689999997616,            -4,             0, -3146.71142578, 346.691589355,          4000, -12.6726083755, -4.60295438766, -1.0841063261
          0.8, -0.680000007153,            -4,             0, -3153.61425781, 354.503997803,          4000, -12.7180700302, -4.74079561234, -1.05117714405
        0.825, -0.670000016689,            -4,             0, -3160.66992188, 362.527526855,          4000, -12.7647600174, -4.87763929367, -1.01797664165
         0.85, -0.660000026226,            -4,             0, -3167.88256836, 370.770721436,          4000, -12.8127288818, -5.01345586777, -0.984521925449
        0.875, -0.649999976158,            -4,             0, -3175.25732422, 379.242675781,          4000, -12.8620281219, -5.1482167244, -0.950832486153
          0.9, -0.639999985695,            -4,             0, -3182.79833984, 387.952911377,          4000, -12.9127140045,  -5.281894207, -0.916930854321
        0.925, -0.629999995232,            -4,             0, -3190.51123047, 396.911560059,          4000, -12.9648456573, -5.41445922852, -0.88284277916
         0.95, -0.620000004768,            -4,             0, -3198.40039062, 406.129272461,          4000, -13.0184850693, -5.54588460922, -0.848597705364
        0.975, -0.610000014305,            -4,             0, -3206.47119141, 415.617279053,          4000, -13.0736970901, -5.67614221573, -0.814229011536
            1, -0.600000023842,            -4,             0, -3214.72875977, 425.387542725,          4000, -13.1305513382, -5.80520486832, -0.779774785042
        1.025, -0.589999973774,            -4,             0, -3223.17871094, 435.452697754,          4000, -13.1891212463, -5.93304491043, -0.745278060436
