Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -10,             0, 5.15468457252e-07, 908.909973145,          1000, -2.67366504669, -2.65479683876, 2.43368506432
        0.025,             0, -9.98999977112,             0, 5.15994997841e-07, 908.909973145,          1000, -2.67366504669, -2.65480685234, 2.43368506432
         0.05,             0, -9.97999954224,             0, 5.16522788985e-07, 908.909973145,          1000, -2.67366504669, -2.65481686592, 2.43368506432
        0.075,             0, -9.97000026703,             0, 5.17051319093e-07, 908.909973145,          1000, -2.67366504669, -2.6548268795, 2.43368506432
          0.1,             0, -9.96000003815,             0, 5.17581099757e-07, 908.909973145,          1000, -2.67366504669, -2.65483689308, 2.43368506432
        0.125,             0, -9.94999980927,             0, 5.18111903602e-07, 908.909973145,          1000, -2.67366504669, -2.65484666824, 2.43368506432
         0.15,             0, -9.93999958038,             0, 5.1864390116e-07, 908.909973145,          1000, -2.67366504669, -2.65485668182, 2.43368506432
        0.175,             0, -9.93000030518,             0, 5.19176694525e-07, 908.909973145,          1000, -2.67366504669, -2.6548666954, 2.43368506432
          0.2,             0, -9.92000007629,             0, 5.19710681601e-07, 908.909973145,          1000, -2.67366504669, -2.65487647057, 2.43368506432
        0.225,             0, -9.90999984741,             0, 5.20245748703e-07, 908.909973145,          1000, -2.67366504669, -2.65488648415, 2.43368506432
         0.25,             0, -9.89999961853,             0, 5.20781952673e-07, 908.909973145,          1000, -2.67366504669, -2.65489649773, 2.43368506432
        0.275,             0, -9.89000034332,             0, 5.21319179825e-07, 908.909973145,          1000, -2.67366504669, -2.65490627289, 2.43368506432
          0.3,             0, -9.88000011444,             0, 5.21857430158e-07, 908.909973145,          1000, -2.67366504669, -2.65491628647, 2.43368506432
        0.325,             0, -9.86999988556,             0, 5.22396703673e-07, 908.909973145,          1000, -2.67366504669, -2.65492606163, 2.43368506432
         0.35,             0, -9.85999965668,             0, 5.22937170899e-07, 908.909973145,          1000, -2.67366504669, -2.65493607521, 2.43368506432
        0.375,             0, -9.85000038147,             0, 5.23478661307e-07, 908.909973145,          1000, -2.67366504669, -2.65494585037, 2.43368506432
          0.4,             0, -9.84000015259,             0, 5.24021345427e-07, 908.909973145,          1000, -2.67366504669, -2.65495562553, 2.43368506432
        0.425,             0, -9.82999992371,             0, 5.24565052729e-07, 908.909973145,          1000, -2.67366504669, -2.65496563911, 2.43368506432
         0.45,             0, -9.81999969482,             0, 5.25109953742e-07, 908.909973145,          1000, -2.67366504669, -2.65497541428, 2.43368506432
        0.475,             0, -9.81000041962,             0, 5.25655650563e-07, 908.909973145,          1000, -2.67366504669, -2.65498518944, 2.43368506432
          0.5,             0, -9.80000019073,             0, 5.26202825313e-07, 908.909973145,          1000, -2.67366504669, -2.6549949646, 2.43368506432
        0.525,             0, -9.78999996185,             0, 5.26750966401e-07, 908.909973145,          1000, -2.67366504669, -2.65500473976, 2.43368506432
         0.55,             0, -9.77999973297,             0, 5.27300073827e-07, 908.909973145,          1000, -2.67366504669, -2.65501451492, 2.43368506432
        0.575,             0, -9.77000045776,             0, 5.27850431808e-07, 908.909973145,          1000, -2.67366504669, -2.65502429008, 2.43368506432
          0.6,             0, -9.76000022888,             0, 5.28401812971e-07, 908.909973145,          1000, -2.67366504669, -2.65503406525, 2.43368506432
        0.625,             0,         -9.75,             0, 5.28954387846e-07, 908.909973145,          1000, -2.67366504669, -2.65504384041, 2.43368506432
         0.65,             0, -9.73999977112,             0, 5.29508213276e-07, 908.909973145,          1000, -2.67366504669, -2.65505361557, 2.43368506432
        0.675,             0, -9.72999954224,             0, 5.30063005044e-07, 908.909973145,          1000, -2.67366504669, -2.65506339073, 2.43368506432
          0.7,             0, -9.72000026703,             0, 5.30618990524e-07, 908.909973145,          1000, -2.67366504669, -2.65507316589, 2.43368506432
        0.725,             0, -9.71000003815,             0, 5.31175999186e-07, 908.909973145,          1000, -2.67366504669, -2.65508294106, 2.43368506432
         0.75,             0, -9.69999980927,             0, 5.31734258402e-07, 908.909973145,          1000, -2.67366504669, -2.65509271622, 2.43368506432
        0.775,             0, -9.68999958038,             0, 5.32293711331e-07, 908.909973145,          1000, -2.67366504669, -2.65510225296, 2.43368506432
          0.8,             0, -9.68000030518,             0, 5.32854130597e-07, 908.909973145,          1000, -2.67366504669, -2.65511202812, 2.43368506432
