Time,Ay,AVz
            0, -4.65965562866e-18,             0
        0.025, -7.89118889283e-18, -9.67938641904e-16
         0.05, -1.23885946987e-17, 8.60396480184e-16
        0.075, 6.57836227084e-17, 4.04305342867e-15
          0.1, 3.6670627164e-17, 6.01323469981e-15
        0.125, 2.71773680956e-17, 5.97906115555e-15
         0.15, 3.24138928661e-17, 6.95744689007e-15
        0.175, 1.28293305911e-17, 4.67355764955e-15
          0.2, 8.59633472243e-18, 2.32301686872e-15
        0.225, 3.8738535682e-17, -7.9330564741e-17
         0.25, 3.22061381834e-17, -1.20805067135e-15
        0.275, 3.55183447184e-17, -8.95050715639e-16
          0.3, 2.52349164068e-17, 8.10777078376e-16
        0.325, 1.28249324718e-16, 2.37454400049e-15
         0.35, 1.07537357455e-16, 1.86713674849e-15
        0.375, 1.03192197549e-16, 6.42815103616e-16
          0.4, 7.92260355813e-17, 1.73697224257e-15
        0.425, 2.68825758146e-18, 2.40356461981e-15
         0.45, 8.2998164463e-17, -2.38985846205e-16
        0.475, -4.30652395336e-17, -6.95047707946e-15
          0.5, -4.31104763869e-17, -1.2828797642e-14
        0.525, -1.0124257255e-17, -1.07207071251e-14
         0.55, -1.55099580932e-16, -1.38187081068e-14
        0.575, -1.30046741867e-16, -9.95254056848e-15
          0.6, -2.5068424471e-16, -1.14513899326e-14
        0.625, -2.45851683517e-16, -1.31090342574e-14
         0.65, -2.16111072955e-16, -1.37842313247e-14
        0.675, -2.16661856129e-16, -1.16300774621e-14
          0.7, -1.4332220984e-16, -6.0542014483e-15
        0.725, -2.09936388058e-16, -3.84832267168e-15
         0.75, -1.6730136847e-16, -2.78820122237e-15
        0.775, -1.13057563816e-16, 2.15138017387e-16
          0.8, -1.56462324595e-16, -1.56883620254e-15
        0.825, -4.52121338739e-17, 6.76054105835e-16
         0.85, -5.6594658572e-17, 1.44605454167e-15
        0.875, 6.14037145998e-17, 6.02091982974e-15
          0.9, -1.50192732303e-16, 1.07045846999e-14
        0.925, -1.00684530039e-16, 1.31392013358e-14
         0.95, -2.47081677927e-17, 5.76171588942e-15
        0.975, 4.01817110792e-17, 3.62760409683e-15
            1, 1.02518257108e-16, 9.67119137527e-16
        1.025, 2.06209218097e-16, 5.60566362141e-15
         1.05, -2.05146396062e-18, 6.0919880116e-15
        1.075, 4.97985989076e-17, 8.61663069726e-15
          1.1, 1.4013352784e-16, 9.07106048533e-15
        1.125, 1.07242219412e-16, 5.65858666347e-15
         1.15, 3.05350017355e-17, 1.3630936996e-15
        1.175, 6.57219679743e-17, -5.21686162846e-16
          1.2, 1.14925059707e-16, -1.62217609069e-15
        1.225, 1.25743443918e-16, 1.35094100027e-15
         1.25, 1.97074338338e-16, 2.21629961122e-15
        1.275, 5.81261338453e-17, 8.93215234947e-17
          1.3, 4.42263033286e-17, -9.37739376235e-16
        1.325, 2.08514596934e-17, 1.4134584904e-15
         1.35, -3.49418999203e-18, -8.41816865426e-16
        1.375, 2.56511073689e-17, 1.0374596122e-15
          1.4, 3.61672579827e-17, -5.07411434223e-16
        1.425, 2.16032858065e-17, -6.21136407062e-16
         1.45, 1.82816179797e-17, -1.58822595138e-15
        1.475, 5.3649492134e-19, 1.00027486582e-15
          1.5, 5.19144475051e-17, 2.76082977619e-16
        1.525, -4.03726342908e-17, 3.58026342541e-15
         1.55, 3.38018556118e-17, 6.73087743514e-15
        1.575, 6.92629892103e-17, 5.25538034586e-15
          1.6, 1.08751969614e-16, 6.30144231879e-15
        1.625, 0.000189477010281, 0.000393685128074
         1.65, 0.00188063911628, 0.00833717826754
        1.675, 0.00636243075132, 0.0434486232698
          1.7, 0.0155836669728, 0.137652546167
        1.725, 0.0316818580031, 0.342108428478
         1.75, 0.0549432300031, 0.711511194706
        1.775, 0.0867215916514, 1.29941833019
          1.8, 0.126283451915,  2.1521525383
        1.825, 0.17291662097,  3.2987177372
         1.85, 0.224573463202, 4.73593997955
        1.875, 0.27888160944, 6.42897462845
          1.9, 0.337092220783, 8.33859062195
        1.925, 0.389818489552, 10.3663673401
         1.95, 0.439921677113, 12.3791589737
        1.975, 0.488030344248, 14.2804746628
            2, 0.534767448902, 15.9996147156
        2.025, 0.579855680466, 17.4816875458
         2.05, 0.618203938007, 18.7224903107
        2.075, 0.653103590012, 19.7234592438
          2.1, 0.682982265949, 20.4947624207
        2.125, 0.710192799568, 21.0402870178
         2.15, 0.730510115623,  21.374704361
        2.175, 0.745822429657, 21.5333175659
          2.2, 0.754865109921,  21.529302597
        2.225, 0.758174955845, 21.3578567505
         2.25, 0.753895223141, 21.0083122253
        2.275, 0.734013795853, 20.4125938416
          2.3, 0.703056573868, 19.4946060181
        2.325, 0.674861609936, 18.2362556458
         2.35, 0.651201844215, 16.7081661224
        2.375, 0.623553156853, 14.9384269714
          2.4, 0.589256227016, 12.8797082901
        2.425, 0.545827209949, 10.4914283752
         2.45,  0.4951428473, 7.69794225693
        2.475, 0.445780605078, 4.51122236252
          2.5, 0.393717378378,  0.9599827528
        2.525, 0.337923496962, -2.8709461689
         2.55, 0.277399897575, -6.86487722397
        2.575, 0.211246177554, -10.8767375946
          2.6, 0.138740465045, -14.7385835648
        2.625, 0.0637920871377, -18.316570282
         2.65, -0.0228909458965, -21.4340324402
        2.675, -0.115334831178, -23.8924331665
          2.7, -0.210524007678, -25.5980300903
        2.725, -0.308410346508, -26.4755649567
         2.75, -0.396211236715, -26.5305747986
        2.775, -0.465013980865, -25.9241256714
          2.8, -0.516423463821, -24.8794879913
        2.825, -0.553808689117, -23.5450630188
         2.85, -0.583854019642, -22.0441532135
        2.875, -0.607551932335, -20.4521064758
          2.9, -0.626165211201, -18.8236179352
        2.925, -0.641462206841, -17.2006645203
         2.95, -0.652994334698, -15.5979881287
        2.975, -0.660091042519, -14.0279588699
            3, -0.661356627941, -12.4960927963
        3.025, -0.655173897743, -10.9994773865
         3.05, -0.642428159714, -9.51968669891
        3.075, -0.627084374428, -8.03145980835
          3.1, -0.612024664879, -6.53139734268
        3.125, -0.59835922718, -5.03408765793
         3.15, -0.585268676281, -3.5723567009
        3.175, -0.573873221874, -2.1927754879
          3.2, -0.562905788422, -0.957649111748
        3.225, -0.552936553955, 0.0681769698858
         3.25, -0.54567527771, 0.813066601753
        3.275, -0.542180359364, 1.21739220619
          3.3, -0.538686513901, 1.20778870583
        3.325, -0.536222279072, 0.74995559454
         3.35, -0.535904586315, -0.140942275524
        3.375, -0.537192761898, -1.43086910248
          3.4, -0.541205108166, -3.05315256119
        3.425, -0.548190414906, -4.92497730255
         3.45, -0.558093070984, -6.95866203308
        3.475, -0.571342885494, -9.06011962891
          3.5, -0.587116956711, -11.1424560547
        3.525, -0.605192482471, -13.1349382401
         3.55, -0.625558555126, -14.9764442444
        3.575, -0.646165847778, -16.6235313416
          3.6, -0.66752165556, -18.0589256287
        3.625, -0.687486469746, -19.2700862885
         3.65, -0.707076907158, -20.2652206421
        3.675, -0.725673794746, -21.0430011749
          3.7, -0.733837425709, -21.5923671722
        3.725, -0.733281314373, -21.8731880188
         3.75, -0.734745442867, -21.892206192
        3.775, -0.741724193096, -21.7417964935
          3.8, -0.751967251301, -21.5036487579
        3.825, -0.762041151524, -21.2200374603
         3.85, -0.765124320984, -20.8715114594
        3.875, -0.756687283516, -20.3716411591
          3.9, -0.733763456345, -19.5951709747
        3.925, -0.699497997761, -18.4292182922
         3.95, -0.659708023071, -16.827753067
        3.975, -0.612956047058, -14.7571706772
            4, -0.565913915634, -12.2425937653
