Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,            -6,             0, -2971.23583984, 274.629882812,          4000, -12.253285408,             0, -1.21244692802
        0.025, -0.990000009537,            -6,             0, -2974.62475586, 279.756225586,          4000, -12.2831201553, -0.153119936585, -1.18197703362
         0.05, -0.980000019073,            -6,             0, -2978.06640625, 284.979492188,          4000, -12.3135194778, -0.306207835674, -1.1511054039
        0.075, -0.97000002861,            -6,             0, -2981.56201172, 290.302459717,          4000, -12.3444976807, -0.459231674671,   -1.11982584
          0.1, -0.959999978542,            -6,             0, -2985.11254883, 295.727935791,          4000, -12.3760738373, -0.612159490585, -1.08813238144
        0.125, -0.949999988079,            -6,             0, -2988.71948242,  301.25894165,          4000, -12.4082632065, -0.764959156513, -1.05601882935
         0.15, -0.939999997616,            -6,             0, -2992.3840332, 306.898529053,          4000, -12.4410839081, -0.91759878397, -1.02347910404
        0.175, -0.930000007153,            -6,             0, -2995.53393555, 312.589569092,          4000, -12.471616745, -1.06984746456, -0.990776240826
          0.2, -0.920000016689,            -6,             0, -2999.55053711, 318.480102539,          4000, -12.5069503784, -1.22213578224, -0.957264602184
        0.225, -0.910000026226,            -6,             0, -3003.62915039, 324.490142822,          4000, -12.5429859161, -1.3741915226, -0.923296689987
         0.25, -0.899999976158,            -6,             0, -3007.77124023, 330.623382568,          4000, -12.5797462463, -1.52598297596, -0.888866245747
        0.275, -0.889999985695,            -6,             0, -3011.9777832, 336.883605957,          4000, -12.6172523499, -1.67747831345, -0.85396707058
          0.3, -0.879999995232,            -6,             0, -3016.25048828, 343.274719238,          4000, -12.6555271149, -1.82864582539, -0.818593144417
        0.325, -0.870000004768,            -6,             0, -3019.74975586, 349.702606201,          4000, -12.6901893616, -1.97891783714, -0.783262073994
         0.35, -0.860000014305,            -6,             0, -3023.91992188, 356.337921143,          4000, -12.7288045883, -2.12913155556, -0.747098267078
        0.375, -0.850000023842,            -6,             0, -3028.15966797, 363.115844727,          4000, -12.768248558, -2.27889966965, -0.710456132889
          0.4, -0.839999973774,            -6,             0, -3032.47021484,  370.04095459,          4000, -12.808549881, -2.42819094658, -0.673330545425
        0.425, -0.829999983311,            -6,             0, -3036.8527832, 377.118103027,          4000,  -12.84973526, -2.57697415352, -0.635716676712
         0.45, -0.819999992847,            -6,             0, -3041.30932617, 384.352294922,          4000, -12.891834259, -2.72521805763, -0.597609996796
        0.475, -0.810000002384,            -6,             0, -3045.84106445, 391.748718262,          4000, -12.9348783493, -2.87289166451, -0.559006392956
          0.5, -0.800000011921,            -6,             0, -3050.44970703, 399.312927246,          4000, -12.9788980484, -3.01996421814, -0.519902050495
        0.525, -0.790000021458,            -6,             0, -3055.13647461, 407.050567627,          4000, -13.0239267349, -3.16640496254, -0.480293542147
         0.55, -0.77999997139,            -6,             0, -3059.90332031, 414.967651367,          4000, -13.0699996948, -3.31218314171, -0.440178126097
        0.575, -0.769999980927,            -6,             0, -3064.75146484,  423.07043457,          4000, -13.1171531677, -3.45726799965, -0.399553537369
          0.6, -0.759999990463,            -6,             0, -3069.68237305, 431.365447998,          4000, -13.1654253006, -3.60162973404, -0.358418107033
        0.625,         -0.75,            -6,             0, -3074.69799805, 439.859558105,          4000, -13.2148561478, -3.74523758888, -0.316771030426
         0.65, -0.740000009537,            -6,             0, -3079.79956055, 448.559936523,          4000, -13.2654876709, -3.88806200027, -0.274612277746
        0.675, -0.730000019073,            -6,             0, -3084.98852539, 457.474121094,          4000, -13.3173627853, -4.03007268906, -0.231942698359
          0.7, -0.72000002861,            -6,             0, -3090.2668457, 466.609985352,          4000, -13.3705272675, -4.17124032974, -0.188764303923
        0.725, -0.709999978542,            -6,             0, -3095.63525391, 475.975799561,          4000, -13.4250307083, -4.31153488159, -0.14508022368
         0.75, -0.699999988079,            -6,             0, -3101.09594727, 485.580291748,          4000, -13.480922699, -4.45092725754, -0.100894890726
        0.775, -0.689999997616,            -6,             0, -3106.6496582, 495.432556152,          4000, -13.5382566452, -4.58938837051, -0.0562142878771
          0.8, -0.680000007153,            -6,             0, -3112.2980957, 505.542236328,          4000, -13.5970888138, -4.72688913345, -0.0110460082069
        0.825, -0.670000016689,            -6,             0, -3118.04223633, 515.919372559,          4000, -13.6574764252, -4.86340045929, 0.0346004739404
         0.85, -0.660000026226,            -6,             0, -3123.88330078, 526.574645996,          4000, -13.7194833755, -4.99889469147, 0.0807136073709
        0.875, -0.649999976158,            -6,             0, -3129.82250977, 537.519165039,          4000, -13.7831735611, -5.13334226608, 0.127279520035
          0.9, -0.639999985695,            -6,             0, -3135.8605957, 548.764770508,          4000, -13.8486156464, -5.26671600342, 0.174281716347
        0.925, -0.629999995232,            -6,             0, -3141.99804688, 560.323852539,          4000, -13.9158821106, -5.39898777008, 0.221700832248
         0.95, -0.620000004768,            -6,             0, -3148.23583984, 572.209533691,          4000, -13.9850492477, -5.53012990952, 0.269514232874
        0.975, -0.610000014305,            -6,             0, -3154.57397461, 584.435668945,          4000, -14.0561981201, -5.66011476517, 0.317695617676
            1, -0.600000023842,            -6,             0, -3161.01269531, 597.016845703,          4000, -14.1294126511, -5.78891515732, 0.366214692593
        1.025, -0.589999973774,            -6,             0, -3167.55151367, 609.968566895,          4000, -14.204782486, -5.91650390625, 0.415036559105
         1.05, -0.579999983311,            -6,             0, -3174.19018555, 623.307067871,          4000, -14.2824048996, -6.04285526276, 0.464121222496
        1.075, -0.569999992847,            -6,             0, -3180.92749023, 637.049743652,          4000, -14.3623790741, -6.16794157028, 0.513423025608
