Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -10,            -1, 2.33554942497e-06, 4125.22705078,          4000, 3.71444320679, -5.02750301361, -6.24003982544
        0.025,             0, -9.98999977112,            -1, 2.3378320293e-06, 4125.05859375,          4000, 3.70404171944, -5.02751207352, -6.23403120041
         0.05,             0, -9.97999954224,            -1, 2.34012009059e-06, 4124.89013672,          4000, 3.69364023209, -5.02752113342, -6.22802209854
        0.075,             0, -9.97000026703,            -1, 2.34241224462e-06, 4124.72167969,          4000, 3.68323850632, -5.02753019333, -6.22201347351
          0.1,             0, -9.96000003815,            -1, 2.34470894611e-06, 4124.55322266,          4000, 3.67283701897, -5.0275387764, -6.21600389481
        0.125,             0, -9.94999980927,            -1, 2.34701064983e-06, 4124.38476562,          4000, 3.66243553162, -5.0275478363, -6.20999479294
         0.15,             0, -9.93999958038,            -1, 2.34931599152e-06, 4124.21679688,          4000, 3.65203404427, -5.02755689621, -6.2039847374
        0.175,             0, -9.93000030518,            -1, 2.35162633544e-06, 4124.04833984,          4000,  3.6416323185, -5.02756547928, -6.19797515869
          0.2,             0, -9.92000007629,            -1, 2.35394213632e-06, 4123.87988281,          4000, 3.63123083115, -5.02757453918, -6.19196510315
        0.225,             0, -9.90999984741,            -1, 2.35626202993e-06, 4123.71191406,          4000,  3.6208293438, -5.02758359909, -6.18595457077
         0.25,             0, -9.89999961853,            -1, 2.35858624364e-06, 4123.54345703,          4000, 3.61042785645, -5.02759218216, -6.17994403839
        0.275,             0, -9.89000034332,            -1, 2.36091500483e-06, 4123.37548828,          4000, 3.60002613068, -5.02760124207, -6.17393302917
          0.3,             0, -9.88000011444,            -1, 2.36324876823e-06, 4123.20751953,          4000, 3.58962464333, -5.02761030197, -6.16792201996
        0.325,             0, -9.86999988556,            -1, 2.36558798861e-06, 4123.03955078,          4000, 3.57922315598, -5.02761888504, -6.16191101074
         0.35,             0, -9.85999965668,            -1, 2.36793130171e-06, 4122.87109375,          4000, 3.56882166862, -5.02762794495, -6.15589952469
        0.375,             0, -9.85000038147,            -1, 2.3702789349e-06,   4122.703125,          4000, 3.55841994286, -5.02763652802, -6.1498875618
          0.4,             0, -9.84000015259,            -1, 2.3726317977e-06, 4122.53515625,          4000, 3.54801845551, -5.02764558792, -6.14387559891
        0.425,             0, -9.82999992371,            -1, 2.37498920796e-06, 4122.36767578,          4000, 3.53761696815, -5.02765417099, -6.13786363602
         0.45,             0, -9.81999969482,            -1, 2.37735162045e-06, 4122.19970703,          4000,  3.5272154808, -5.0276632309, -6.13185119629
        0.475,             0, -9.81000041962,            -1, 2.37971835304e-06, 4122.03173828,          4000, 3.51681375504, -5.02767181396, -6.12583827972
          0.5,             0, -9.80000019073,            -1, 2.38209031522e-06, 4121.86376953,          4000, 3.50641226768, -5.02768087387, -6.11982536316
        0.525,             0, -9.78999996185,            -1, 2.3844665975e-06, 4121.69628906,          4000, 3.49601078033, -5.02768945694, -6.11381244659
         0.55,             0, -9.77999973297,            -1, 2.38684810938e-06, 4121.52832031,          4000, 3.48560929298, -5.02769851685, -6.10779905319
        0.575,             0, -9.77000045776,            -1, 2.38923485085e-06, 4121.36083984,          4000, 3.47520756721, -5.02770709991, -6.10178565979
          0.6,             0, -9.76000022888,            -1, 2.39162568505e-06, 4121.19335938,          4000, 3.46480607986, -5.02771568298, -6.09577178955
        0.625,             0,         -9.75,            -1, 2.39402197622e-06, 4121.02539062,          4000, 3.45440459251, -5.02772474289, -6.08975744247
         0.65,             0, -9.73999977112,            -1, 2.39642258748e-06, 4120.85791016,          4000, 3.44400310516, -5.02773332596, -6.0837430954
        0.675,             0, -9.72999954224,            -1, 2.39882842834e-06, 4120.69042969,          4000, 3.43360137939, -5.02774190903, -6.07772874832
          0.7,             0, -9.72000026703,            -1, 2.40123927142e-06, 4120.52294922,          4000, 3.42319989204, -5.02775096893, -6.07171392441
        0.725,             0, -9.71000003815,            -1, 2.4036544346e-06, 4120.35546875,          4000, 3.41279840469,  -5.027759552, -6.06569910049
         0.75,             0, -9.69999980927,            -1, 2.40607505475e-06, 4120.18847656,          4000, 3.40239691734, -5.02776813507, -6.05968379974
        0.775,             0, -9.68999958038,            -1, 2.40850067712e-06, 4120.02099609,          4000, 3.39199519157, -5.02777719498, -6.05366802216
          0.8,             0, -9.68000030518,            -1, 2.41093152908e-06, 4119.85351562,          4000, 3.38159370422, -5.02778577805, -6.04765224457
        0.825,             0, -9.67000007629,            -1, 2.41336670115e-06, 4119.68652344,          4000, 3.37119221687, -5.02779436111, -6.04163646698
         0.85,             0, -9.65999984741,            -1, 2.41580710281e-06, 4119.51904297,          4000, 3.36079072952, -5.02780294418, -6.03562021255
        0.875,             0, -9.64999961853,            -1, 2.41825273406e-06, 4119.35205078,          4000, 3.35038900375, -5.02781152725, -6.02960348129
          0.9,             0, -9.64000034332,            -1, 2.42070359491e-06, 4119.18457031,          4000,  3.3399875164, -5.02782011032, -6.02358675003
        0.925,             0, -9.63000011444,            -1, 2.42315968535e-06, 4119.01757812,          4000, 3.32958602905, -5.02782917023, -6.01757001877
         0.95,             0, -9.61999988556,            -1, 2.42561986852e-06, 4118.85058594,          4000,  3.3191845417, -5.0278377533, -6.01155281067
        0.975,             0, -9.60999965668,            -1, 2.42808550865e-06, 4118.68359375,          4000, 3.30878281593, -5.02784633636, -6.00553512573
            1,             0, -9.60000038147,            -1, 2.43055706051e-06, 4118.51660156,          4000, 3.29838132858, -5.02785491943, -5.9995174408
        1.025,             0, -9.59000015259,            -1, 2.43303293246e-06, 4118.34960938,          4000, 3.28797984123, -5.0278635025, -5.99349927902
         1.05,             0, -9.57999992371,            -1, 2.435514034e-06, 4118.18261719,          4000, 3.27757835388, -5.02787208557, -5.98748111725
        1.075,             0, -9.56999969482,            -1, 2.43800036515e-06,   4118.015625,          4000, 3.26717662811, -5.02788066864, -5.98146247864
          1.1,             0, -9.56000041962,            -1, 2.44049192588e-06, 4117.84912109,          4000, 3.25677514076, -5.02788925171, -5.97544384003
        1.125,             0, -9.55000019073,            -1, 2.44298871621e-06, 4117.68212891,          4000, 3.24637365341, -5.02789783478, -5.96942472458
         1.15,             0, -9.53999996185,            -1, 2.44548618866e-06,   4117.515625,          4000, 3.23597216606, -5.02790641785, -5.96340513229
        1.175,             0, -9.52999973297,            -1, 2.44797593041e-06, 4117.34863281,          4000, 3.22557067871, -5.02791500092, -5.95738554001
          1.2,             0, -9.52000045776,            -1, 2.45047090175e-06, 4117.18212891,          4000, 3.21516895294, -5.02792358398, -5.95136594772
        1.225,             0, -9.51000022888,            -1, 2.45297110268e-06,   4117.015625,          4000, 3.20476746559, -5.02793216705, -5.9453458786
         1.25,             0,          -9.5,            -1, 2.45547630584e-06, 4116.84863281,          4000, 3.19436597824, -5.02794075012, -5.93932533264
        1.275,             0, -9.48999977112,            -1, 2.45798764809e-06, 4116.65332031,          4000,  3.1840698719, -5.02794885635, -5.95158958435
          1.3,             0, -9.47999954224,            -1, 2.46050308306e-06, 4116.45800781,          4000, 3.17377400398, -5.02795743942, -5.96385383606
        1.325,             0, -9.47000026703,            -1, 2.46302488449e-06, 4116.26220703,          4000, 3.16347789764, -5.02796602249, -5.97611761093
         1.35,             0, -9.46000003815,            -1, 2.46555077865e-06, 4116.06689453,          4000, 3.15318202972, -5.02797460556, -5.98838090897
        1.375,             0, -9.44999980927,            -1, 2.46808258453e-06, 4115.87158203,          4000, 3.14288592339, -5.02798318863,  -6.000644207
          1.4,             0, -9.43999958038,            -1, 2.47061962e-06, 4115.67626953,          4000, 3.13259005547, -5.0279917717, -6.0129070282
        1.425,             0, -9.43000030518,            -1, 2.47316279456e-06, 4115.48095703,          4000, 3.12229394913, -5.02799987793, -6.0251698494
         1.45,             0, -9.42000007629,            -1, 2.47571028922e-06, 4115.28564453,          4000, 3.11199784279,  -5.028008461, -6.03743219376
        1.475,             0, -9.40999984741,            -1, 2.47826369559e-06, 4115.09033203,          4000, 3.10170197487, -5.02801704407, -6.04969406128
          1.5,             0, -9.39999961853,            -1, 2.48082210419e-06, 4114.89550781,          4000, 3.09140586853, -5.02802562714, -6.0619559288
        1.525,             0, -9.39000034332,            -1, 2.48338596975e-06, 4114.70019531,          4000, 3.08111000061, -5.02803373337, -6.07421731949
         1.55,             0, -9.38000011444,            -1, 2.48595574703e-06, 4114.50537109,          4000, 3.07081389427, -5.02804231644, -6.08647871017
        1.575,             0, -9.36999988556,            -1, 2.48853075391e-06, 4114.31005859,          4000, 3.06051802635, -5.02805089951, -6.09873962402
