Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -10,             0, 1.99251417143e-06, 3513.34008789,          4000, -20.4570007324, -10.619187355, 11.7187004089
        0.025,             0, -9.98999977112,             0, 1.9945493932e-06, 3513.34008789,          4000, -20.4570007324, -10.6192274094, 11.7187004089
         0.05,             0, -9.97999954224,             0, 1.99658938982e-06, 3513.34008789,          4000, -20.4570007324, -10.6192674637, 11.7187004089
        0.075,             0, -9.97000026703,             0, 1.99863256967e-06, 3513.34008789,          4000, -20.4570007324, -10.619307518, 11.7187004089
          0.1,             0, -9.96000003815,             0, 2.00068029699e-06, 3513.34008789,          4000, -20.4570007324, -10.6193475723, 11.7187004089
        0.125,             0, -9.94999980927,             0, 2.00273211703e-06, 3513.34008789,          4000, -20.4570007324, -10.619386673, 11.7187004089
         0.15,             0, -9.93999958038,             0, 2.00478848456e-06, 3513.34008789,          4000, -20.4570007324, -10.6194267273, 11.7187004089
        0.175,             0, -9.93000030518,             0, 2.00684803531e-06, 3513.34008789,          4000, -20.4570007324, -10.6194667816, 11.7187004089
          0.2,             0, -9.92000007629,             0, 2.00891213353e-06, 3513.34008789,          4000, -20.4570007324, -10.6195058823, 11.7187004089
        0.225,             0, -9.90999984741,             0, 2.01098032448e-06, 3513.34008789,          4000, -20.4570007324, -10.6195459366, 11.7187004089
         0.25,             0, -9.89999961853,             0, 2.01305306291e-06, 3513.34008789,          4000, -20.4570007324, -10.6195859909, 11.7187004089
        0.275,             0, -9.89000034332,             0, 2.01512966669e-06, 3513.34008789,          4000, -20.4570007324, -10.6196250916, 11.7187004089
          0.3,             0, -9.88000011444,             0, 2.01721036319e-06, 3513.34008789,          4000, -20.4570007324, -10.6196651459, 11.7187004089
        0.325,             0, -9.86999988556,             0, 2.01929469767e-06, 3513.34008789,          4000, -20.4570007324, -10.6197042465, 11.7187004089
         0.35,             0, -9.85999965668,             0, 2.02138403438e-06, 3513.34008789,          4000, -20.4570007324, -10.6197443008, 11.7187004089
        0.375,             0, -9.85000038147,             0, 2.02347700906e-06, 3513.34008789,          4000, -20.4570007324, -10.6197834015, 11.7187004089
          0.4,             0, -9.84000015259,             0, 2.02557475859e-06, 3513.34008789,          4000, -20.4570007324, -10.6198225021, 11.7187004089
        0.425,             0, -9.82999992371,             0, 2.02767637347e-06, 3513.34008789,          4000, -20.4570007324, -10.6198625565, 11.7187004089
         0.45,             0, -9.81999969482,             0, 2.0297827632e-06, 3513.34008789,          4000, -20.4570007324, -10.6199016571, 11.7187004089
        0.475,             0, -9.81000041962,             0, 2.03189210879e-06, 3513.34008789,          4000, -20.4570007324, -10.6199407578, 11.7187004089
          0.5,             0, -9.80000019073,             0, 2.03400713872e-06, 3513.34008789,          4000, -20.4570007324, -10.6199798584, 11.7187004089
        0.525,             0, -9.78999996185,             0, 2.03612580663e-06, 3513.34008789,          4000, -20.4570007324, -10.620018959, 11.7187004089
         0.55,             0, -9.77999973297,             0, 2.03824856726e-06, 3513.34008789,          4000, -20.4570007324, -10.6200580597, 11.7187004089
        0.575,             0, -9.77000045776,             0, 2.04037587537e-06, 3513.34008789,          4000, -20.4570007324, -10.6200971603, 11.7187004089
          0.6,             0, -9.76000022888,             0, 2.0425072762e-06, 3513.34008789,          4000, -20.4570007324, -10.620136261, 11.7187004089
        0.625,             0,         -9.75,             0, 2.04464322451e-06, 3513.34008789,          4000, -20.4570007324, -10.6201753616, 11.7187004089
         0.65,             0, -9.73999977112,             0, 2.04678394766e-06, 3513.34008789,          4000, -20.4570007324, -10.6202144623, 11.7187004089
        0.675,             0, -9.72999954224,             0, 2.0489283088e-06, 3513.34008789,          4000, -20.4570007324, -10.6202535629, 11.7187004089
          0.7,             0, -9.72000026703,             0, 2.05107767215e-06, 3513.34008789,          4000, -20.4570007324, -10.6202926636, 11.7187004089
        0.725,             0, -9.71000003815,             0, 2.05323067348e-06, 3513.34008789,          4000, -20.4570007324, -10.6203317642, 11.7187004089
         0.75,             0, -9.69999980927,             0, 2.05538844966e-06, 3513.34008789,          4000, -20.4570007324, -10.6203708649, 11.7187004089
        0.775,             0, -9.68999958038,             0, 2.05755100069e-06, 3513.34008789,          4000, -20.4570007324, -10.6204090118, 11.7187004089
          0.8,             0, -9.68000030518,             0, 2.05971741707e-06, 3513.34008789,          4000, -20.4570007324, -10.6204481125, 11.7187004089
        0.825,             0, -9.67000007629,             0, 2.06188838092e-06, 3513.34008789,          4000, -20.4570007324, -10.6204872131, 11.7187004089
         0.85,             0, -9.65999984741,             0, 2.06406411962e-06, 3513.34008789,          4000, -20.4570007324, -10.6205253601, 11.7187004089
        0.875,             0, -9.64999961853,             0, 2.06624395105e-06, 3513.34008789,          4000, -20.4570007324, -10.6205644608, 11.7187004089
          0.9,             0, -9.64000034332,             0, 2.06842810258e-06, 3513.34008789,          4000, -20.4570007324, -10.6206026077, 11.7187004089
        0.925,             0, -9.63000011444,             0, 2.07061725632e-06, 3513.34008789,          4000, -20.4570007324, -10.6206417084, 11.7187004089
         0.95,             0, -9.61999988556,             0, 2.07281095754e-06, 3513.34008789,          4000, -20.4570007324, -10.6206798553, 11.7187004089
        0.975,             0, -9.60999965668,             0, 2.07500852412e-06, 3513.34008789,          4000, -20.4570007324, -10.6207180023, 11.7187004089
            1,             0, -9.60000038147,             0, 2.07721154766e-06, 3513.34008789,          4000, -20.4570007324, -10.620757103, 11.7187004089
        1.025,             0, -9.59000015259,             0, 2.07941843655e-06, 3513.34008789,          4000, -20.4570007324, -10.6207952499, 11.7187004089
         1.05,             0, -9.57999992371,             0, 2.08163010029e-06, 3513.34008789,          4000, -20.4570007324, -10.6208333969, 11.7187004089
        1.075,             0, -9.56999969482,             0, 2.08384653888e-06, 3513.34008789,          4000, -20.4570007324, -10.6208724976, 11.7187004089
          1.1,             0, -9.56000041962,             0, 2.08606661545e-06, 3513.34008789,          4000, -20.4570007324, -10.6209106445, 11.7187004089
        1.125,             0, -9.55000019073,             0, 2.08829237636e-06, 3513.34008789,          4000, -20.4570007324, -10.6209487915, 11.7187004089
         1.15,             0, -9.53999996185,             0, 2.09052268474e-06, 3513.34008789,          4000, -20.4570007324, -10.6209869385, 11.7187004089
        1.175,             0, -9.52999973297,             0, 2.09275708585e-06, 3513.34008789,          4000, -20.4570007324, -10.6210250854, 11.7187004089
          1.2,             0, -9.52000045776,             0, 2.09499671655e-06, 3513.34008789,          4000, -20.4570007324, -10.6210632324, 11.7187004089
        1.225,             0, -9.51000022888,             0, 2.09724021261e-06, 3513.34008789,          4000, -20.4570007324, -10.6211013794, 11.7187004089
         1.25,             0,          -9.5,             0, 2.099489393e-06, 3513.34008789,          4000, -20.4570007324, -10.6211395264, 11.7187004089
        1.275,             0, -9.48999977112,             0, 2.10174698623e-06, 3513.34790039,          4000, -20.4570446014, -10.6211776733, 11.6582813263
          1.3,             0, -9.47999954224,             0, 2.10401026379e-06, 3513.35571289,          4000, -20.4570884705, -10.6212158203, 11.5978622437
        1.325,             0, -9.47000026703,             0, 2.10627717934e-06, 3513.36328125,          4000, -20.4571323395, -10.6212530136,  11.537443161
         1.35,             0, -9.46000003815,             0, 2.10854977922e-06, 3513.37109375,          4000, -20.4571762085, -10.6212911606,  11.477025032
        1.375,             0, -9.44999980927,             0, 2.11082692658e-06, 3513.37890625,          4000, -20.4572200775, -10.6213293076, 11.4166059494
          1.4,             0, -9.43999958038,             0, 2.11310884879e-06, 3513.38671875,          4000, -20.4572639465, -10.6213665009, 11.3561868668
        1.425,             0, -9.43000030518,             0, 2.11539531847e-06, 3513.39453125,          4000, -20.4573078156, -10.6214046478, 11.2957687378
         1.45,             0, -9.42000007629,             0, 2.117686563e-06, 3513.40234375,          4000, -20.4573516846, -10.6214427948, 11.2353496552
        1.475,             0, -9.40999984741,             0, 2.11998258237e-06, 3513.41015625,          4000, -20.4573955536, -10.6214799881, 11.1749305725
          1.5,             0, -9.39999961853,             0, 2.12228405871e-06, 3513.41796875,          4000, -20.4574394226, -10.6215181351, 11.1145124435
        1.525,             0, -9.39000034332,             0, 2.12458940041e-06, 3513.42578125,          4000, -20.4574832916, -10.6215553284, 11.0540933609
         1.55,             0, -9.38000011444,             0, 2.12690019907e-06, 3513.43359375,          4000, -20.4575271606, -10.6215934753, 10.9936742783
        1.575,             0, -9.36999988556,             0, 2.1292164547e-06, 3513.44140625,          4000, -20.457572937, -10.6216306686, 10.9332551956
          1.6,             0, -9.35999965668,             0, 2.13153657569e-06, 3513.44921875,          4000, -20.457616806, -10.6216678619, 10.8728370667
        1.625,             0, -9.35000038147,             0, 2.13386215364e-06, 3513.45703125,          4000, -20.457660675, -10.6217060089,  10.812417984
         1.65,             0, -9.34000015259,             0, 2.13619250644e-06, 3513.46484375,          4000, -20.4577045441, -10.6217432022, 10.7519989014
        1.675,             0, -9.32999992371,             0, 2.13852854358e-06, 3513.47265625,          4000, -20.4577484131, -10.6217803955, 10.6915807724
          1.7,             0, -9.31999969482,             0, 2.1408682187e-06, 3513.48046875,          4000, -20.4577922821, -10.6218175888, 10.6311616898
        1.725,             0, -9.31000041962,             0, 2.14321426029e-06, 3513.48828125,          4000, -20.4578361511, -10.6218547821, 10.5707426071
         1.75,             0, -9.30000019073,             0, 2.14556393985e-06, 3513.49609375,          4000, -20.4578800201, -10.6218919754, 10.5103244781
        1.775,             0, -9.28999996185,             0, 2.14791953113e-06, 3513.50390625,          4000, -20.4579238892, -10.6219291687, 10.4499053955
          1.8,             0, -9.27999973297,             0, 2.150280352e-06, 3513.51171875,          4000, -20.4579677582, -10.621966362, 10.3894863129
        1.825,             0, -9.27000045776,             0, 2.15264503822e-06, 3513.51928711,          4000, -20.4580116272, -10.6220035553, 10.3290672302
         1.85,             0, -9.26000022888,             0, 2.15501609091e-06, 3513.52709961,          4000, -20.4580554962, -10.6220407486, 10.2686491013
        1.875,             0,         -9.25,             0, 2.15739169107e-06, 3513.53491211,          4000, -20.4580993652, -10.6220779419, 10.2082300186
          1.9,             0, -9.23999977112,             0, 2.15977206608e-06, 3513.54272461,          4000, -20.4581432343, -10.6221151352,  10.147810936
        1.925,             0, -9.22999954224,             0, 2.16215789806e-06, 3513.55053711,          4000, -20.4581871033, -10.6221523285,  10.087392807
         1.95,             0, -9.22000026703,             0, 2.16454850488e-06, 3513.55834961,          4000, -20.4582328796, -10.6221895218, 10.0269737244
        1.975,             0, -9.21000003815,             0, 2.16694456867e-06, 3513.56616211,          4000, -20.4582767487, -10.6222257614, 9.96655464172
            2,             0, -9.19999980927,             0, 2.16934608943e-06, 3513.57397461,          4000, -20.4583206177, -10.6222629547, 9.90613555908
        2.025,             0, -9.18999958038,             0, 2.17175215766e-06, 3513.58178711,          4000, -20.4583644867, -10.622300148, 9.84571743011
