Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,            -2,             0, -2999.86669922, 82.6405487061,          4000, -11.1359539032,             0, -2.64595890045
        0.025, -0.990000009537,            -2,             0, -3003.88842773, 84.7918395996,          4000, -11.1484746933, -0.153895512223, -2.63482713699
         0.05, -0.980000019073,            -2,             0, -3007.98339844, 86.9846572876,          4000, -11.161236763, -0.307758510113, -2.62355732918
        0.075, -0.97000002861,            -2,             0, -3012.15356445,  89.220199585,          4000, -11.1742477417, -0.461556494236, -2.61214780807
          0.1, -0.959999978542,            -2,             0, -3016.40087891, 91.4997406006,          4000, -11.1875143051, -0.61525696516, -2.60059762001
        0.125, -0.949999988079,            -2,             0, -3020.72753906, 93.8245697021,          4000, -11.2010440826, -0.768827497959, -2.58890485764
         0.15, -0.939999997616,            -2,             0, -3025.13549805, 96.1960525513,          4000, -11.2148447037, -0.922235548496, -2.57706832886
        0.175, -0.930000007153,            -2,             0, -3029.0559082, 98.6038589478,          4000, -11.2265586853, -1.07525157928, -2.56468272209
          0.2, -0.920000016689,            -2,             0, -3033.87109375, 101.077651978,          4000, -11.2419099808, -1.22830319405, -2.55272603035
        0.225, -0.910000026226,            -2,             0, -3038.77587891, 103.602752686,          4000, -11.257563591, -1.38111877441, -2.54061841965
         0.25, -0.899999976158,            -2,             0, -3043.77294922, 106.180763245,          4000, -11.2735280991, -1.53366589546, -2.52835869789
        0.275, -0.889999985695,            -2,             0, -3048.86474609, 108.813354492,          4000, -11.2898130417, -1.68591248989, -2.51594638824
          0.3, -0.879999995232,            -2,             0, -3054.05395508,  111.50226593,          4000, -11.306429863, -1.83782625198, -2.50338053703
        0.325, -0.870000004768,            -2,             0, -3058.47631836, 114.228866577,          4000, -11.3197860718, -1.98882675171, -2.49009466171
         0.35, -0.860000014305,            -2,             0, -3063.62597656, 117.029594421,          4000, -11.3360843658, -2.13977265358, -2.47707128525
        0.375, -0.850000023842,            -2,             0, -3068.88085938,  119.89200592,          4000, -11.3527412415, -2.29026651382, -2.46389722824
          0.4, -0.839999973774,            -2,             0, -3074.24438477, 122.818161011,          4000, -11.3697681427, -2.44027614594, -2.45057249069
