Time,Alpha_L1,Alpha_L2,Alpha_R1,Alpha_R2,AVz,Ay,Bk_Stat,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,GearStat,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,PitchO1,Roll,RollGL1,RollGL2,RollGR1,RollGR2,RollO_1,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_R1,Steer_SW,VisO_1,Vx,VxTarget,Vxz_Fwd,Xctc_L1,Xctc_L2,Xctc_R1,Xctc_R2,Xo,X_L1,X_L2,X_Obj_1,X_R1,X_R2,Yaw,YawO_1,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1,Yctc_L2,Yctc_R1,Yctc_R2,Yo,Y_L1,Y_L2,Y_Obj_1,Y_R1,Y_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2,Zo,Z_L1,Z_L2,Z_Obj_1,Z_R1,Z_R2
            0, 8.3638332774e-18,             0, -8.3638332774e-18,             0,             0, 1.93259958001e-20,             0, -2.62932384198e-11,             0, -2.62932384198e-11,             0, -3.29522234563e-19,             0, 3.29522234563e-19,             0, 4705.65869141, 2654.82568359, 4705.65869141, 2654.82568359,             6,             0,             0, 0.15066960454,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 3.18054370716e-15,             0, -3.18054370716e-15,             0, 0.000418526673457, 0.000418526673457, 0.000418526673457, 0.000418526673457,             0,             0,             0,             0,             1,           120,           120,           120, 0.000854645215441, -2.90913534164, 0.000854645215441, -2.90913534164,             0, 0.000854645215441, -2.90913534164, 16.6666660309, 0.000854645215441, -2.90913534164,             0,             0, -3.19527085726e-15,             0, 3.19527085726e-15,             0, 0.837499976158, 0.837499976158, -0.837499976158, -0.837499976158,             0, 0.837499976158, 0.837499976158,             0, -0.837499976158, -0.837499976158,             0,             0,             0,             0, -0.00855730380863, 0.316441565752, 0.324093937874,             0, 0.316441565752, 0.324093937874
        0.025, -0.000416770635638, 0.000309486931656, 0.000416770635638, -0.000309486931656, -7.75004706491e-18, 1.59072311866e-19,             0, -29.3096828461, -14.5853719711, -29.3096828461, -14.5853719711, 0.346608757973, -0.19220790267, -0.346608757973, 0.19220790267, 4687.87548828, 2659.39770508, 4687.87548828, 2659.39770508,             6,             0, -7.75733451965e-21, 0.147930651903,             0,             0,             0,             0,             0, -8.31456567633e-19,             0,             0,             0,             0,             0, -8.31459307669e-19, -0.000505992618855, 0.000366784835933, 0.000505992618855, -0.000366784835933, 0.40838560462, 0.408398389816, 0.40838560462, 0.408398389816, 0.833254039288, 0.000234777835431, -0.000234777835431, 5.23766317773e-19,             1, 119.969467163,           120, 119.969047546, 0.834090530872, -2.07589817047, 0.834090530872, -2.07589817047, 0.833254039288, 0.834090530872, -2.07589817047, 17.4956226349, 0.834090530872, -2.07589817047, -6.70473668886e-21,             0, 0.000236085033976, -0.000116457980766, -0.000236085033976, 0.000116457980766, 0.837498366833, 0.837501943111, -0.837498366833, -0.837501943111, -7.75733451965e-21, 0.837501168251, 0.837499856949,             0, -0.837501168251, -0.837499856949,             0, -5.55111512313e-17,             0, -5.55111512313e-17, -0.00844954978675, 0.316507935524, 0.324076861143,             0, 0.316507935524, 0.324076861143
         0.05, -0.00135955680162, 0.000779378577136, 0.00135955680162, -0.000779378577136, 2.48979317106e-18, 5.27015379821e-19,             0, -38.3646202087, -14.7300815582, -38.3646202087, -14.7300815582, 1.29246270657, -0.552982449532, -1.29246270657, 0.552982449532, 4637.89306641, 2669.24169922, 4637.89306641, 2669.24169922,             6,             0, -7.95394388058e-20, 0.140965566039,             0,             0,             0,             0,             0, -9.62795467774e-18,             0,             0,             0,             0,             0, -9.62798362906e-18, -0.0017528772587, 0.00111492199358, 0.0017528772587, -0.00111492199358, 0.816214621067, 0.816256225109, 0.816214621067, 0.816256225109, 1.66632604599, 0.000948923872784, -0.000948923872784, 3.96366172536e-18,             1, 119.937217712,           120, 119.936546326, 1.66712105274, -1.24286556244, 1.66712105274, -1.24286556244, 1.66632604599, 1.66712105274, -1.24286556244, 18.3241786957, 1.66712105274, -1.24286556244, 5.79231155989e-20,             0, 0.000953239388764, -0.000425554986577, -0.000953239388764, 0.000425554986577, 0.837494254112, 0.837505817413, -0.837494254112, -0.837505817413, -7.95394388058e-20, 0.837503969669, 0.837499499321,             0, -0.837503969669, -0.837499499321, -5.55111512313e-17,             0, -5.55111512313e-17,             0, -0.008161672391, 0.316694438457, 0.324040144682,             0, 0.316694438457, 0.324040144682
        0.075, -0.00294332881458, 0.0013125045225, 0.00294332881458, -0.0013125045225, 1.72862616225e-17, -7.85274350251e-19,             0, -47.4814758301, -14.3686008453, -47.4814758301, -14.3686008453, 3.12415242195, -1.00772929192, -3.12415242195, 1.00772929192, 4583.73388672, 2672.19555664, 4583.73388672, 2672.19555664,             6,             0, -1.81064627435e-19,  0.1321695894,             0,             0,             0,             0,             0, -2.35476383564e-17,             0,             0,             0,             0,             0, -2.35477012221e-17, -0.00412421720102, 0.00216723978519, 0.00412421720102, -0.00216723978519, 1.22390079498, 1.22400701046, 1.22390079498, 1.22400701046, 2.49918651581, 0.00225512427278, -0.00225512427278, 5.62828826186e-18,             1,  119.90385437,           120, 119.903160095, 2.49992847443, -0.410054683685, 2.49992847443, -0.410054683685, 2.49918651581, 2.49992847443, -0.410054683685, 19.1524028778, 2.49992847443, -0.410054683685, 3.25306250077e-19,             0, 0.00226464401931, -0.000935979012866, -0.00226464401931, 0.000935979012866, 0.837486386299, 0.837511360645, -0.837486386299, -0.837511360645, -1.81064627435e-19, 0.837509214878, 0.837499082088,             0, -0.837509214878, -0.837499082088,             0,             0,             0,             0, -0.00776686891913, 0.316896528006, 0.324029117823,             0, 0.316896528006, 0.324029117823
          0.1, -0.00498784752563, 0.00139284296893, 0.00498784752563, -0.00139284296893, -1.47370117429e-17, 7.25519339788e-19,             0, -52.8677711487, -14.0513114929, -52.8677711487, -14.0513114929,  5.7956237793, -1.25309634209, -5.7956237793, 1.25309634209, 4545.59277344, 2664.19091797, 4545.59277344, 2664.19091797,             6,             0, -2.37482726683e-19, 0.123963683844,             0,             0,             0,             0,             0, -3.19809167549e-17,             0,             0,             0,             0,             0, -3.19809928556e-17, -0.00750475702807, 0.00294697657228, 0.00750475702807, -0.00294697657228, 1.63144373894, 1.63164365292, 1.63144373894, 1.63164365292, 3.33180689812, 0.00409412523732, -0.00409412523732, 1.06969805675e-17,             1, 119.869659424,           120, 119.869102478,   3.332498312, 0.422519385815,   3.332498312, 0.422519385815, 3.33180689812,   3.332498312, 0.422519385815, 19.9802932739,   3.332498312, 0.422519385815, 2.24181920927e-19,             0, 0.00411037169397, -0.00123688264284, -0.00411037169397, 0.00123688264284, 0.837475061417, 0.837515413761, -0.837475061417, -0.837515413761, -2.37482726683e-19, 0.837516546249, 0.837498724461,             0, -0.837516546249, -0.837498724461,             0, -5.55111512313e-17,             0, -5.55111512313e-17, -0.00735045131296, 0.317038834095, 0.32405897975,             0, 0.317038834095, 0.32405897975
        0.125, -0.00720255961642, 0.00110761530232, 0.00720255961642, -0.00110761530232, -4.87091623362e-17, 4.38924118743e-18,             0, -53.8702964783, -13.8941774368, -53.8702964783, -13.8941774368, 8.95221042633, -1.11266088486, -8.95221042633, 1.11266088486, 4529.61279297,  2650.6496582, 4529.61279297,  2650.6496582,             6,             0, -5.2540439388e-19, 0.117596380413,             0,             0,             0,             0,             0, -6.51794235192e-17,             0,             0,             0,             0,             0, -6.51795624856e-17, -0.0114122545347, 0.00291191902943, 0.0114122545347, -0.00291191902943, 2.03885483742, 2.03916120529, 2.03885483742, 2.03916120529, 4.16417217255, 0.00622733356431, -0.00622733356431, 4.29851287456e-17,             1, 119.835128784,           120, 119.834754944, 4.16482305527, 1.25484788418, 4.16482305527, 1.25484788418, 4.16417217255, 4.16482305527, 1.25484788418,  20.807888031, 4.16482305527, 1.25484788418, -5.81912151752e-19,             0, 0.00625076936558, -0.00129484420177, -0.00625076936558, 0.00129484420177, 0.837461709976, 0.837515234947, -0.837461709976, -0.837515234947, -5.2540439388e-19,  0.8375248909, 0.837498784065,             0, -0.8375248909, -0.837498784065,             0, 5.55111512313e-17,             0, 5.55111512313e-17, -0.00697512226179, 0.317098468542, 0.324109524488,             0, 0.317098468542, 0.324109524488
         0.15, -0.00931115634739, 0.000415423797676, 0.00931115634739, -0.000415423797676, -6.60150744613e-17, 2.26134751665e-17,             0, -51.189868927, -13.9114294052, -51.189868927, -13.9114294052, 12.1751737595, -0.638349235058, -12.1751737595, 0.638349235058, 4531.54785156, 2640.03930664, 4531.54785156, 2640.03930664,             6,             0, -1.43183599185e-18, 0.113020770252,             0,             0,             0,             0,             0, -1.69936646787e-16,             0,             0,             0,             0,             0, -1.6993697766e-16, -0.0153169706464, 0.00200805789791, 0.0153169706464, -0.00200805789791, 2.44614839554, 2.44655823708, 2.44614839554, 2.44655823708, 4.99628210068, 0.00836780667305, -0.00836780667305, 1.29352743951e-16,             1, 119.800727844,           120, 119.800476074, 4.99690294266, 2.08693027496, 4.99690294266, 2.08693027496, 4.99628210068, 4.99690294266, 2.08693027496, 21.6352367401, 4.99690294266, 2.08693027496, -2.19105110258e-18,             0, 0.0083980364725, -0.00086321280105, -0.0083980364725, 0.00086321280105, 0.837448179722, 0.83751052618, -0.837448179722, -0.83751052618, -1.43183599185e-18, 0.837532997131, 0.837499141693,             0, -0.837532997131, -0.837499141693,             0,             0,             0,             0, -0.0066680717282, 0.317091226578, 0.324149101973,             0, 0.317091226578, 0.324149101973
        0.175, -0.0111549338326, -0.000191133527551, 0.0111549338326, 0.000191133527551, 6.39364609027e-16, 5.87399746517e-17,             0, -46.0085868835, -14.0546627045, -46.0085868835, -14.0546627045, 15.1241493225, -0.0507702231407, -15.1241493225, 0.0507702231407, 4542.87158203, 2637.31689453, 4542.87158203, 2637.31689453,             6,             0, -2.891161677e-18, 0.109499953687,             0,             0,             0,             0,             0, -3.63071064311e-16,             0,             0,             0,             0,             0, -3.63071726055e-16, -0.0188489854336, 0.000665407278575, 0.0188489854336, -0.000665407278575, 2.85333776474, 2.85383653641, 2.85333776474, 2.85383653641,   5.828145504, 0.010311611928, -0.010311611928, 1.63055708466e-16,             1, 119.766822815,           120, 119.766616821, 5.82874202728, 2.91877126694, 5.82874202728, 2.91877126694,   5.828145504, 5.82874202728, 2.91877126694, 22.4623966217, 5.82874202728, 2.91877126694, 1.35722037149e-18,             0, 0.0103476531804, -0.000307689799229, -0.0103476531804, 0.000307689799229, 0.837435781956, 0.837503492832, -0.837435781956, -0.837503492832, -2.891161677e-18, 0.837540090084, 0.83749973774,             0, -0.837540090084, -0.83749973774, 5.55111512313e-17,             0, 5.55111512313e-17,             0, -0.00642708688974, 0.317048966885, 0.324159264565,             0, 0.317048966885, 0.324159264565
          0.2, -0.0126990769058, -0.00054598407587, 0.0126990769058, 0.00054598407587, 4.5168485075e-15, 2.73639261097e-16,             0, -39.5800819397, -14.2539310455, -39.5800819397, -14.2539310455, 17.6177616119, 0.38084551692, -17.6177616119, -0.38084551692, 4555.76074219,  2641.8503418, 4555.76074219,  2641.8503418,             6,             0, -4.02990979343e-18, 0.106290720403,             0,             0,             0,             0,             0, -6.31395299542e-16,             0,             0,             0,             0,             0, -6.31396358333e-16, -0.0218590889126, -0.000535588245839, 0.0218590889126, 0.000535588245839, 3.26043272018, 3.26099920273, 3.26043272018, 3.26099920273, 6.65977239609, 0.011973853223, -0.011973853223, -4.27557217832e-16,             1, 119.733612061,           120, 119.733398438, 6.66034793854, 3.75037837029, 6.66034793854, 3.75037837029, 6.65977239609, 6.66034793854, 3.75037837029, 23.2894115448, 6.66034793854, 3.75037837029, 3.92187305712e-17,             0, 0.0120144253597, 0.000189709491679, -0.0120144253597, -0.000189709491679, 0.837425112724, 0.83749717474, -0.837425112724, -0.83749717474, -4.02990979343e-18, 0.837546050549, 0.837500214577,             0, -0.837546050549, -0.837500214577,             0, -5.55111512313e-17,             0, -5.55111512313e-17, -0.00623457925394, 0.317000865936, 0.324142336845,             0, 0.317000865936, 0.324142336845
        0.225, -0.01396607887, -0.000621630693786, 0.01396607887, 0.000621630693786, 3.31831340427e-15, 9.28156270463e-17,             0, -31.8072452545, -14.4615221024, -31.8072452545, -14.4615221024,  19.603427887, 0.550812780857, -19.603427887, -0.550812780857, 4565.49365234, 2649.53027344, 4565.49365234, 2649.53027344,             6,             0, -3.84445548651e-18, 0.102999798954,             0,             0,             0,             0,             0, -9.33163280738e-16,             0,             0,             0,             0,             0, -9.33164763045e-16, -0.0243745930493, -0.00120532070287, 0.0243745930493, 0.00120532070287, 3.66743946075, 3.66804981232, 3.66743946075, 3.66804981232, 7.49117231369, 0.013341685757, -0.013341685757, -1.99726049095e-15,             1, 119.701210022,           120, 119.700965881, 7.49172687531, 4.58175849915, 7.49172687531, 4.58175849915, 7.49117231369, 7.49172687531, 4.58175849915, 24.1163063049, 7.49172687531, 4.58175849915, 1.22974863791e-16,             0, 0.0133855259046, 0.000492328894325, -0.0133855259046, -0.000492328894325, 0.837416052818, 0.837493658066, -0.837416052818, -0.837493658066, -3.84445548651e-18, 0.837550878525,  0.8375005126,             0, -0.837550878525, -0.8375005126,             0, -5.55111512313e-17,             0, -5.55111512313e-17, -0.00607028976083, 0.316964536905, 0.324113696814,             0, 0.316964536905, 0.324113696814
