Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,             0,             0, -1577.33288574, 0.65008431673,          2000, -5.32941102982,             0, -1.68537187576
        0.025, -0.990000009537,             0,             0, -1579.64611816, 0.721759080887,          2000, -5.32962274551, -0.0827463418245, -1.68693244457
         0.05, -0.980000019073,             0,             0, -1582.00244141, 0.794809043407,          2000, -5.32983827591, -0.165475100279, -1.68852031231
        0.075, -0.97000002861,             0,             0, -1584.40319824, 0.869274020195,          2000, -5.33005809784, -0.248168632388, -1.69013595581
          0.1, -0.959999978542,             0,             0, -1586.84960938, 0.945195317268,          2000, -5.3302822113, -0.330809354782, -1.69178020954
        0.125, -0.949999988079,             0,             0, -1589.34289551, 1.02261579037,          2000, -5.33051013947, -0.413379639387, -1.69345402718
         0.15, -0.939999997616,             0,             0, -1591.88452148, 1.10158014297,          2000,  -5.330742836, -0.495861917734, -1.69515788555
        0.175, -0.930000007153,             0,             0, -1594.47570801, 1.18213474751,          2000, -5.3309803009, -0.578238666058, -1.69689285755
          0.2, -0.920000016689,             0,             0, -1597.11804199, 1.26432776451,          2000, -5.33122253418, -0.660492241383, -1.69865965843
        0.225, -0.910000026226,             0,             0, -1599.17028809, 1.34863960743,          2000, -5.32918167114, -0.742319405079, -1.69975364208
         0.25, -0.899999976158,             0,             0, -1602.04748535, 1.43416643143,          2000, -5.32989263535, -0.824306428432, -1.70172786713
        0.275, -0.889999985695,             0,             0, -1604.98095703,  1.5214933157,          2000, -5.33060932159, -0.906130671501, -1.70373725891
          0.3, -0.879999995232,             0,             0, -1607.97253418, 1.61067712307,          2000, -5.33133268356, -0.987774789333, -1.70578300953
        0.325, -0.870000004768,             0,             0, -1611.02380371, 1.70177721977,          2000, -5.33206272125, -1.06922137737, -1.70786583424
         0.35, -0.860000014305,             0,             0, -1614.13684082, 1.79485535622,          2000, -5.33279943466, -1.15045320988, -1.70998716354
        0.375, -0.850000023842,             0,             0, -1617.31335449, 1.88997614384,          2000, -5.33354282379, -1.23145282269, -1.71214783192
          0.4, -0.839999973774,             0,             0, -1620.55529785, 1.98720693588,          2000, -5.33429384232, -1.31220304966, -1.71434915066
        0.425, -0.829999983311,             0,             0, -1623.86486816, 2.08661794662,          2000, -5.3350520134, -1.39268672466, -1.71659231186
         0.45, -0.819999992847,             0,             0, -1627.24414062,  2.1882827282,          2000, -5.33581733704, -1.47288656235, -1.71887850761
        0.475, -0.810000002384,             0,             0, -1630.6953125, 2.29227805138,          2000, -5.33659076691, -1.55278563499, -1.72120916843
          0.5, -0.800000011921,             0,             0, -1633.41650391, 2.39902949333,          2000, -5.33455753326, -1.6315946579, -1.72270619869
        0.525, -0.790000021458,             0,             0, -1636.88256836, 2.50796580315,          2000,  -5.334877491, -1.71066856384, -1.72498142719
         0.55, -0.77999997139,             0,             0, -1640.42700195, 2.61947798729,          2000, -5.33520460129, -1.78937804699, -1.72730457783
        0.575, -0.769999980927,             0,             0, -1644.05236816,  2.7336575985,          2000, -5.33553981781, -1.86770665646, -1.72967684269
          0.6, -0.759999990463,             0,             0, -1647.76135254, 2.85060095787,          2000, -5.33588266373, -1.94563746452, -1.73210012913
        0.625,         -0.75,             0,             0, -1651.5567627, 2.97040891647,          2000, -5.33623409271, -2.02315402031, -1.73457586765
         0.65, -0.740000009537,             0,             0, -1655.44152832, 3.09318685532,          2000, -5.33659410477, -2.10023975372, -1.7371057272
        0.675, -0.730000019073,             0,             0, -1659.41882324, 3.21904611588,          2000, -5.33696317673, -2.1768784523, -1.7396914959
          0.7, -0.72000002861,             0,             0, -1663.49182129,   3.348102808,          2000, -5.33734130859, -2.25305342674, -1.7423350811
        0.725, -0.709999978542,             0,             0, -1667.66381836, 3.48047971725,          2000, -5.33772945404, -2.32874846458, -1.74503815174
         0.75, -0.699999988079,             0,             0, -1671.93835449, 3.61630511284,          2000, -5.33812761307, -2.4039478302, -1.74780285358
        0.775, -0.689999997616,             0,             0, -1676.3190918, 3.75571417809,          2000, -5.33853578568, -2.47863531113, -1.75063121319
          0.8, -0.680000007153,             0,             0, -1680.80981445, 3.89884996414,          2000, -5.33895540237, -2.55279493332, -1.75352537632
        0.825, -0.670000016689,             0,             0, -1685.41455078, 4.04586172104,          2000, -5.33938598633, -2.62641096115, -1.75648736954
         0.85, -0.660000026226,             0,             0, -1690.13745117, 4.19690799713,          2000, -5.33982849121,  -2.699467659, -1.75951969624
        0.875, -0.649999976158,             0,             0, -1694.98278809, 4.35215520859,          2000, -5.34028339386, -2.77194952965, -1.7626247406
          0.9, -0.639999985695,             0,             0, -1699.95532227, 4.51177930832,          2000, -5.34075117111, -2.84384131432, -1.76580488682
        0.925, -0.629999995232,             0,             0, -1705.05957031, 4.67596626282,          2000, -5.34123182297, -2.91512727737, -1.76906263828
         0.95, -0.620000004768,             0,             0, -1710.30078125, 4.84491252899,          2000, -5.34172677994, -2.98579263687, -1.77240085602
        0.975, -0.610000014305,             0,             0, -1715.68395996, 5.01882505417,          2000, -5.34223604202, -3.05582213402, -1.77582216263
            1, -0.600000023842,             0,             0, -1721.21459961, 5.19792366028,          2000, -5.3427605629, -3.12520074844, -1.77932953835
        1.025, -0.589999973774,             0,             0, -1726.8984375, 5.38244152069,          2000, -5.3433008194, -3.19391417503, -1.7829259634
         1.05, -0.579999983311,             0,             0, -1732.74145508, 5.57262516022,          2000, -5.3438577652,  -3.261947155, -1.78661441803
        1.075, -0.569999992847,             0,             0, -1738.74975586, 5.76873588562,          2000, -5.34443235397, -3.32928562164, -1.79039824009
          1.1, -0.560000002384,             0,             0, -1744.92993164, 5.97105169296,          2000, -5.34502458572, -3.39591526985, -1.79428052902
        1.125, -0.550000011921,             0,             0, -1751.28881836, 6.17986774445,          2000, -5.34563589096, -3.46182155609, -1.79826462269
         1.15, -0.540000021458,             0,             0, -1757.83337402, 6.39549827576,          2000, -5.3462677002, -3.5269908905, -1.80235421658
        1.175, -0.52999997139,             0,             0, -1764.57104492, 6.61827659607,          2000, -5.34692001343, -3.59140896797, -1.80655276775
          1.2, -0.519999980927,             0,             0, -1771.50964355, 6.84855985641,          2000, -5.34759426117, -3.65506243706, -1.81086373329
        1.225, -0.509999990463,             0,             0, -1778.65710449, 7.08672714233,          2000, -5.34829187393, -3.71793723106, -1.81529092789
         1.25,          -0.5,             0,             0, -1786.02172852, 7.33318376541,          2000, -5.34901380539, -3.78002071381, -1.81983816624
        1.275, -0.490000009537,             0,             0, -1793.61230469, 7.58836269379,          2000, -5.34976100922, -3.84129905701, -1.82450890541
          1.3, -0.479999989271,             0,             0, -1801.43786621, 7.85272789001,          2000, -5.35053539276, -3.90175914764, -1.82930707932
        1.325, -0.469999998808,             0,             0, -1809.50744629,  8.1267747879,          2000, -5.3513379097, -3.96138858795, -1.83423638344
         1.35, -0.460000008345,             0,             0, -1817.83081055, 8.41103458405,          2000, -5.35217046738, -4.02017450333, -1.83930015564
        1.375, -0.449999988079,             0,             0, -1826.41772461, 8.70607948303,          2000, -5.35303449631,  -4.078104496, -1.8445019722
          1.4, -0.439999997616,             0,             0, -1835.27832031,  9.0125207901,          2000, -5.35393238068, -4.13516569138, -1.84984505177
        1.425, -0.430000007153,             0,             0, -1844.42272949,  9.3310174942,          2000, -5.35486555099, -4.19134616852, -1.85533201694
         1.45, -0.419999986887,             0,             0, -1853.86132812,  9.6622800827,          2000, -5.35583591461, -4.24663448334, -1.86096549034
        1.475, -0.409999996424,             0,             0, -1863.60449219, 10.0070743561,          2000, -5.35684585571, -4.30101823807, -1.86674726009
          1.5, -0.40000000596,             0,             0, -1873.66235352, 10.3662252426,          2000, -5.35789823532, -4.35448598862, -1.87267839909
        1.525, -0.389999985695,             0,             0, -1884.04492188, 10.7406253815,          2000, -5.35899543762, -4.40702676773, -1.87875914574
         1.55, -0.379999995232,             0,             0, -1894.76159668, 11.1312408447,          2000, -5.36014032364, -4.45862913132, -1.88498818874
        1.575, -0.370000004768,             0,             0, -1905.82116699, 11.5391187668,          2000, -5.36133575439, -4.50928163528, -1.89136302471
          1.6, -0.360000014305,             0,             0, -1917.23144531, 11.9653949738,          2000, -5.36258506775, -4.55897378922, -1.89787912369
        1.625, -0.34999999404,             0,             0, -1928.99853516, 12.4113035202,          2000, -5.3638920784, -4.60769557953, -1.90452933311
         1.65, -0.340000003576,             0,             0, -1941.12670898, 12.8781862259,          2000, -5.36526060104, -4.65543556213, -1.9113035202
        1.675, -0.330000013113,             0,             0, -1953.61743164, 13.3675069809,          2000, -5.36669540405, -4.70218467712, -1.91818785667
          1.7, -0.319999992847,             0,             0,   -1966.46875, 13.8808612823,          2000, -5.36820030212, -4.74793195724, -1.92516350746
        1.725, -0.310000002384,             0,             0, -1979.67419434, 14.4199934006,          2000, -5.3697810173, -4.79266834259, -1.93220579624
         1.75, -0.300000011921,             0,             0, -1993.22094727, 14.9868106842,          2000, -5.37144327164, -4.83638429642, -1.93928265572
        1.775, -0.289999991655,             0,             0, -2007.08874512,  15.583404541,          2000, -5.37319326401, -4.87907028198, -1.94635272026
          1.8, -0.280000001192,             0,             0, -2021.24719238, 16.2120666504,          2000, -5.3750371933, -4.92071676254, -1.95336282253
        1.825, -0.270000010729,             0,             0, -2035.65319824, 16.8753147125,          2000, -5.3769826889, -4.96131563187, -1.9602458477
         1.85, -0.259999990463,             0,             0, -2050.24682617, 17.5759181976,          2000, -5.37903785706, -5.00085830688, -1.9669162035
        1.875,         -0.25,             0,             0, -2064.94775391, 18.3169212341,          2000, -5.38121175766, -5.03933572769, -1.97326588631
          1.9, -0.239999994636,             0,             0, -2079.64819336, 19.1016769409,          2000, -5.3835144043, -5.07673978806, -1.97915875912
        1.925, -0.230000004172,             0,             0, -2094.20556641, 19.9338798523,          2000, -5.38595676422, -5.11306285858, -1.98442363739
         1.95, -0.219999998808,             0,             0, -2108.43334961, 20.8175945282,          2000, -5.38854980469, -5.14829683304, -1.98884499073
        1.975, -0.209999993443,             0,             0, -2122.08862305, 21.7572956085,          2000, -5.39130830765, -5.18243503571, -1.99215245247
            2, -0.20000000298,             0,             0, -2134.85546875, 22.7578926086,          2000, -5.39424514771, -5.21546888351, -1.99400675297
        2.025, -0.189999997616,             0,             0, -2146.32495117, 23.8247642517,          2000, -5.39737701416, -5.24739265442, -1.99398338795
         2.05, -0.180000007153,             0,             0, -2155.9699707, 24.9637699127,          2000, -5.40072107315, -5.27819871902, -1.99155163765
        2.075, -0.170000001788,             0,             0, -2163.11206055, 26.1812400818,          2000, -5.40429544449, -5.30788040161, -1.98605024815
          2.1, -0.159999996424,             0,             0, -2166.88085938, 27.4839458466,          2000, -5.40812063217, -5.33643198013, -1.9766587019
        2.125, -0.15000000596,             0,             0, -2166.16357422, 28.8789958954,          2000, -5.41221761703, -5.36384725571, -1.96236360073
         2.15, -0.140000000596,             0,             0, -2159.5456543, 30.3736629486,          2000, -5.41660690308, -5.39012002945, -1.94192266464
        2.175, -0.129999995232,             0,             0, -2145.24072266, 31.9750804901,          2000, -5.4213104248, -5.41524505615, -1.91382586956
          2.2, -0.119999997318,             0,             0, -2121.01416016, 33.6897583008,          2000, -5.42634677887, -5.43921661377, -1.87625515461
        2.225, -0.109999999404,             0,             0, -2084.11010742, 35.5229072571,          2000, -5.4317317009, -5.46202993393, -1.82703995705
         2.25, -0.10000000149,             0,             0, -2031.19665527, 37.4775733948,          2000, -5.43747377396, -5.48368024826, -1.76359272003
        2.275, -0.0900000035763,             0,             0, -1958.35778809,  39.553817749,          2000, -5.44357347488, -5.50416231155, -1.68278121948
          2.3, -0.0799999982119,             0,             0, -1861.18017578, 41.7486991882,          2000, -5.45002174377, -5.52347278595, -1.58064723015
        2.325, -0.070000000298,             0,             0, -1734.99230957, 44.0589599609,          2000, -5.45680904388, -5.54160642624, -1.45184469223
         2.35, -0.0599999986589,             0,             0, -1575.32836914, 46.4903450012,          2000, -5.46395301819, -5.55855989456, -1.28879022598
        2.375, -0.0500000007451,             0,             0, -1378.66308594, 49.0798835754,          2000, -5.47156190872, -5.57432985306, -1.08108043671
          2.4, -0.0399999991059,             0,             0, -1143.39538574, 51.9347229004,          2000, -5.47995042801, -5.58891248703, -0.816801846027
        2.425, -0.0299999993294,             0,             0, -870.926696777, 55.2655258179,          2000, -5.48973941803, -5.60230541229, -0.48760959506
         2.45, -0.019999999553,             0,             0, -566.510498047, 59.3190536499,          2000, -5.50165319443, -5.61450481415, -0.096264116466
        2.475, -0.00999999977648,             0,             0, -239.456802368, 64.0609359741,          2000, -5.51559209824, -5.62550830841, 0.339920639992
          2.5, 7.52869988574e-16,             0,             0, 97.6339950562, 68.7553710938,          2000, -5.52939081192, -5.63531398773, 0.794939339161
        2.525, 0.00999999977648,             0,             0, 430.592346191, 72.1654129028,          2000, -5.53941202164, -5.64391946793, 1.24469912052
         2.55, 0.019999999553,             0,             0, 745.902160645,  73.486289978,          2000, -5.54328870773, -5.65132331848,  1.6728746891
        2.575, 0.0299999993294,             0,             0, 1032.71228027, 72.8123779297,          2000, -5.54129838943, -5.65752315521, 2.06868958473
          2.6, 0.0399999991059,             0,             0, 1284.03320312,  70.742477417,          2000, -5.53520202637, -5.66251850128, 2.42220330238
        2.625, 0.0500000007451,             0,             0, 1496.91650391, 67.8916778564,          2000, -5.52680921555, -5.66630744934, 2.72396683693
         2.65, 0.0599999986589,             0,             0, 1671.82592773, 64.7016220093,          2000, -5.51741790771, -5.66888999939, 2.96834611893
        2.675, 0.070000000298,             0,             0, 1811.60681152, 61.4418983459,          2000, -5.50782251358, -5.67026519775, 3.15561246872
          2.7, 0.0799999982119,             0,             0, 1920.43481445, 58.2617111206,          2000, -5.49846029282, -5.67050886154, 3.29103350639
        2.725, 0.0900000035763,             0,             0, 2002.96643066, 55.2362594604,          2000, -5.48955345154, -5.67050027847, 3.38252735138
         2.75, 0.10000000149,             0,             0, 2063.76464844, 52.3980293274,          2000, -5.48119688034, -5.67049217224, 3.43858265877
        2.775, 0.109999999404,             0,             0, 2106.97241211,  49.755771637,          2000, -5.47341680527, -5.67048358917, 3.46702361107
          2.8, 0.119999997318,             0,             0, 2136.17114258, 47.3056221008,          2000, -5.46620178223, -5.6704750061, 3.47449350357
        2.825, 0.129999995232,             0,             0, 2154.35449219, 45.0373916626,          2000, -5.45952129364, -5.67046642303, 3.46636939049
         2.85, 0.140000000596,             0,             0, 2163.96826172, 42.9381256104,          2000, -5.45333814621, -5.67045736313, 3.44687533379
        2.875, 0.15000000596,             0,             0, 2166.97802734, 40.9940605164,          2000, -5.4476108551, -5.67044878006, 3.41926884651
          2.9, 0.159999996424,             0,             0, 2164.94628906, 39.1916694641,          2000, -5.44230031967, -5.67043972015, 3.38603019714
        2.925, 0.170000001788,             0,             0, 2159.10498047, 37.5181732178,          2000, -5.43736886978, -5.67043066025, 3.34903001785
         2.95, 0.180000007153,             0,             0, 2150.41967773, 35.9617805481,          2000, -5.43278217316, -5.67042160034, 3.30967020988
        2.975, 0.189999997616,             0,             0, 2139.64453125,  34.511756897,          2000, -5.42850780487, -5.67041254044, 3.26899313927
            3, 0.20000000298,             0,             0, 2127.36572266, 33.1584205627,          2000, -5.42451763153, -5.67040300369, 3.22776889801
        3.025, 0.209999993443,             0,             0, 2114.03881836, 31.8930530548,          2000, -5.42078590393, -5.67039346695, 3.18656134605
         3.05, 0.219999998808,             0,             0, 2100.01586914, 30.7078495026,          2000, -5.41729021072, -5.67038393021, 3.14577841759
        3.075, 0.230000004172,             0,             0, 2085.56860352, 29.5958156586,          2000, -5.41400957108, -5.67037439346, 3.10571122169
          3.1, 0.239999994636,             0,             0, 2070.90551758, 28.5506858826,          2000, -5.41092538834, -5.67036437988, 3.06656217575
        3.125,          0.25,             0,             0, 2056.18652344, 27.5668430328,          2000, -5.40802145004, -5.67035484314,  3.0284678936
         3.15, 0.259999990463,             0,             0, 2041.53283691, 26.6392478943,          2000, -5.40528297424, -5.67034482956, 2.99151515961
        3.175, 0.270000010729,             0,             0,  2027.0357666, 25.7633743286,          2000, -5.4026966095, -5.67033481598, 2.95575404167
          3.2, 0.280000001192,             0,             0, 2012.76318359, 24.9351444244,          2000, -5.40024995804, -5.6703248024, 2.92120695114
        3.225, 0.289999991655,             0,             0, 1998.76464844, 24.1508846283,          2000, -5.39793252945, -5.67031431198,  2.8878762722
         3.25, 0.300000011921,             0,             0, 1985.07568359, 23.4072780609,          2000, -5.39573478699, -5.6703042984,  2.8557498455
        3.275, 0.310000002384,             0,             0, 1971.72045898, 22.7013168335,          2000, -5.39364767075, -5.67029380798, 2.82480478287
          3.3, 0.319999992847,             0,             0, 1958.71472168, 22.0302829742,          2000, -5.39166307449, -5.67028284073, 2.79501080513
        3.325, 0.330000013113,             0,             0, 1946.06738281, 21.3916988373,          2000, -5.38977384567, -5.67027235031, 2.76633262634
         3.35, 0.340000003576,             0,             0, 1933.78222656, 20.7833156586,          2000, -5.38797330856, -5.67026185989, 2.73873209953
        3.375, 0.34999999404,             0,             0, 1921.85913086,  20.203081131,          2000, -5.38625526428, -5.67025089264, 2.71216869354
          3.4, 0.360000014305,             0,             0, 1910.29492188, 19.6491222382,          2000, -5.38461446762, -5.67023992538, 2.68660140038
        3.425, 0.370000004768,             0,             0, 1899.08410645, 19.1197223663,          2000, -5.38304615021, -5.67022895813,  2.6619887352
         3.45, 0.379999995232,             0,             0, 1888.21960449, 18.6133117676,          2000, -5.38154506683, -5.67021751404, 2.63829016685
        3.475, 0.389999985695,             0,             0, 1877.69311523,  18.128446579,          2000, -5.38010692596, -5.67020654678, 2.61546564102
          3.5, 0.40000000596,             0,             0, 1867.49523926, 17.6638031006,          2000, -5.37872886658, -5.67019510269, 2.59347605705
        3.525, 0.409999996424,             0,             0, 1857.61633301, 17.2181606293,          2000, -5.3774061203, -5.6701836586, 2.57228374481
         3.55, 0.419999986887,             0,             0, 1848.04626465, 16.7903900146,          2000, -5.37613582611, -5.67017221451, 2.55185294151
