Time,Station,VxTarget
            0,          -160,            80
          0.2, -155.557739258, 77.5360107422
          0.4, -151.130523682, 76.1061325073
          0.6, -146.755310059, 75.0018234253
          0.8, -142.446792603, 73.8983535767
            1, -138.207809448, 72.7964477539
          1.2, -134.039321899, 71.6964111328
          1.4, -129.941864014, 70.5984268188
          1.6, -125.91570282, 69.5026473999
          1.8, -121.961036682, 68.4092407227
            2, -118.077941895, 67.3183364868
          2.2, -114.266426086, 66.2300949097
          2.4, -110.526435852, 65.1447067261
          2.6, -106.857841492, 64.0623474121
          2.8, -103.260406494, 62.9832382202
            3, -99.7338104248, 61.9076156616
          3.2, -96.2775878906, 60.8339500427
          3.4, -92.8912582397, 59.7618255615
          3.6, -89.5806045532, 58.6951713562
          3.8, -86.3458633423, 57.6347427368
            4, -83.1447372437, 56.5670089722
          4.2, -79.9606170654, 55.4861450195
          4.4, -76.8017883301, 54.3873214722
          4.6, -73.6794204712, 53.2798614502
          4.8, -70.6044464111, 52.1680679321
            5, -67.5857391357, 51.0557250977
          5.2, -64.6295394897, 49.9387741089
          5.4, -61.7397994995, 48.8201446533
          5.6, -58.9189338684,   47.70677948
          5.8, -56.1683654785,  46.599029541
            6, -53.4889450073, 45.4836425781
          6.2, -50.8811759949, 44.3776702881
          6.4, -48.3453178406, 43.2788391113
          6.6, -45.8814468384, 42.1727333069
          6.8, -43.4909515381, 41.0829696655
            7, -41.1857070923,  39.994594574
          7.2, -38.9570159912, 38.9175643921
          7.4, -36.7950935364, 37.8454551697
          7.6, -34.7003059387, 36.7705307007
          7.8, -32.6720504761, 35.7083625793
            8, -30.7095623016, 34.6379890442
          8.2, -28.8119983673, 33.5815505981
          8.4, -26.9584331512, 32.5077133179
          8.6, -25.1198253632, 31.4101390839
          8.8, -23.3032646179, 30.2905769348
            9, -21.520116806, 29.1361446381
          9.2, -19.7825908661,  27.996919632
          9.4, -18.1075611115, 26.8020572662
          9.6, -16.5188598633, 25.6687793732
          9.8, -14.9934825897, 24.4886493683
           10, -13.5281257629,  23.309387207
         10.2, -12.1298217773, 22.1840858459
         10.4, -10.800983429, 20.9475269318
         10.6, -9.54390621185, 19.7606239319
         10.8, -8.36047744751, 18.6432609558
           11, -7.27741575241, 17.4368419647
         11.2, -6.31738138199, 16.2861804962
         11.4, -5.41632223129,  15.206202507
         11.6, -4.56835889816,  14.189863205
         11.8, -3.77899622917,  13.279004097
           12, -3.0388405323, 12.5099058151
         12.2, -2.33427906036,  11.777794838
         12.4, -1.63544225693, 11.0516319275
         12.6, -0.948543310165, 10.3378744125
         12.8, -0.279579758644,  9.6427526474
           13, 0.373300343752, 9.65496063232
         13.2, 1.00889885426, 10.1703853607
         13.4,   1.640838027, 10.6828432083
         13.6, 2.34460616112, 11.2535486221
         13.8,  3.1207716465, 11.8829631805
           14, 3.92574977875, 12.5357437134
         14.2, 4.70679426193,  13.330529213
         14.4, 5.50309181213,   14.15812397
         14.6, 6.33060026169, 15.0181570053
         14.8, 7.19441080093, 15.9159193039
           15, 8.10074043274, 16.8366279602
         15.2, 9.05645656586, 17.6283664703
         15.4, 10.0472688675,  18.449180603
         15.6, 11.0926504135, 19.3152008057
         15.8, 12.1777114868, 20.1930122375
           16, 13.3206310272, 21.0042686462
         16.2, 14.4989156723, 21.8406257629
         16.4, 15.7351350784, 22.7181053162
         16.6, 17.0111942291, 23.5442218781
         16.8, 18.3414306641, 24.3836650848
           17, 19.7117156982, 25.2483825684
         17.2, 21.1373462677,  26.082950592
         17.4, 22.6279258728,  26.938293457
         17.6, 24.1570835114, 27.8088607788
         17.8, 25.7248497009, 28.6395111084
           18, 27.3382759094, 29.4943504333
         18.2, 29.0025901794, 30.3408565521
         18.4, 30.7094783783, 31.1851215363
         18.6, 32.4668960571, 32.0408401489
         18.8,  34.268989563, 32.8799362183
           19, 36.1188735962, 33.7383766174
         19.2, 38.0158805847, 34.5753250122
         19.4, 39.9591026306, 35.4326591492
         19.6, 41.9504928589, 36.2703933716
         19.8, 43.9877319336, 37.1265411377
           20, 46.0730018616, 37.9651069641
         20.2, 48.2091140747, 38.8205337524
         20.4, 50.3943634033, 39.6640281677
         20.6, 52.6227684021,  40.515296936
         20.8, 54.8979721069, 41.3610725403
           21,  57.220500946, 42.2088356018
         21.2, 59.5891418457, 43.0590591431
         21.4, 62.0052452087, 43.9031562805
         21.6, 64.4678344727, 44.7537460327
         21.8, 66.9776382446, 45.5992927551
           22, 69.5344085693, 46.4459266663
         22.2, 72.1380233765, 47.2968559265
         22.4, 74.7889022827, 48.1410713196
         22.6,  77.486656189, 48.9881019592
         22.8, 80.2313995361, 49.8380966187
           23, 83.0233306885, 50.6833953857
         23.2, 85.8621749878, 51.5298118591
         23.4, 88.7480163574, 52.3783531189
         23.6, 91.6809921265, 53.2265052795
         23.8, 94.6630783081, 54.0725021362
           24, 97.6936798096, 54.9205055237
         24.2, 100.768157959, 55.7687950134
         24.4, 103.890274048,  56.617515564
         24.6,  107.05922699,  57.463306427
         24.8, 110.274665833,   58.30991745
           25,   113.5365448, 59.1570892334
         25.2, 116.844947815, 60.0046348572
         25.4, 120.200019836, 60.8524284363
         25.6, 123.601867676, 61.6987991333
         25.8, 127.050621033, 62.5448074341
           26, 130.546356201,  63.391166687
         26.2, 134.089126587, 64.2377929688
         26.4, 137.678970337,  65.084602356
         26.6, 141.315811157, 65.9315109253
         26.8, 144.999694824, 66.7784729004
           27,  148.73059082, 67.6254501343
         27.2, 152.508575439, 68.4724273682
         27.4, 156.333633423, 69.3193740845
         27.6, 160.205795288, 70.1662979126
         27.8, 164.125076294, 71.0131835938
           28,  168.09147644, 71.8600311279
         28.2, 172.105010986, 72.7068405151
         28.4, 176.165664673, 73.5536270142
         28.6, 180.273452759, 74.4003982544
         28.8, 184.428359985, 75.2471618652
           29, 188.630401611, 76.0939254761
         29.2, 192.879608154, 76.9407196045
         29.4, 197.175979614, 77.7875671387
         29.6,  201.51953125,  78.634475708
         29.8, 205.910232544, 79.4814605713
           30,  210.34777832, 79.9514160156
