Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,            -8,             0, -2946.39257812, 370.289489746,          4000, -12.8100061417,             0, -0.494473278522
        0.025, -0.990000009537,            -8,             0, -2949.2409668, 376.301269531,          4000, -12.8449935913, -0.152442544699, -0.458307296038
         0.05, -0.980000019073,            -8,             0, -2952.12548828, 382.424743652,          4000, -12.8806324005, -0.304853469133, -0.421650767326
        0.075, -0.97000002861,            -8,             0, -2955.04614258,  388.66305542,          4000, -12.9169387817, -0.457201182842, -0.384495198727
          0.1, -0.959999978542,            -8,             0, -2958.00366211,  395.01940918,          4000, -12.9539318085, -0.609454035759, -0.346832036972
        0.125, -0.949999988079,            -8,             0, -2960.99829102,   401.4972229,          4000, -12.9916315079, -0.761580467224, -0.308652549982
         0.15, -0.939999997616,            -8,             0, -2964.03027344, 408.099914551,          4000, -13.0300579071, -0.913548946381, -0.269947946072
        0.175, -0.930000007153,            -8,             0, -2966.52587891, 414.745452881,          4000, -13.065990448, -1.06512737274, -0.231318160892
          0.2, -0.920000016689,            -8,             0, -2969.86450195, 421.642456055,          4000, -13.1072263718, -1.21674883366, -0.191302552819
        0.225, -0.910000026226,            -8,             0, -2973.24243164, 428.676818848,          4000, -13.149269104, -1.36814081669, -0.150720238686
         0.25, -0.899999976158,            -8,             0, -2976.65991211,  435.85256958,          4000, -13.1921434402, -1.5192719698, -0.109561622143
        0.275, -0.889999985695,            -8,             0, -2980.1171875,  443.17401123,          4000, -13.2358732224, -1.67011106014, -0.0678170844913
          0.3, -0.879999995232,            -8,             0, -2983.61474609, 450.645507812,          4000, -13.2804851532, -1.82062649727, -0.0254768710583
        0.325, -0.870000004768,            -8,             0, -2986.33422852,   458.1378479,          4000, -13.3212661743, -1.97026205063, 0.0164490193129
         0.35, -0.860000014305,            -8,             0, -2989.67797852, 465.882446289,          4000, -13.3663368225, -2.11983585358, 0.0596832707524
        0.375, -0.850000023842,            -8,             0, -2993.06152344, 473.790100098,          4000, -13.4123573303, -2.26896977425, 0.103525854647
          0.4, -0.839999973774,            -8,             0, -2996.48510742, 481.865936279,          4000, -13.4593553543, -2.41763281822, 0.147986263037
        0.425, -0.829999983311,            -8,             0, -2999.94873047, 490.115386963,          4000, -13.5073642731, -2.56579470634, 0.193073943257
         0.45, -0.819999992847,            -8,             0, -3003.45239258,  498.54397583,          4000, -13.5564155579, -2.71342396736, 0.238798379898
        0.475, -0.810000002384,            -8,             0, -3006.99584961, 507.157562256,          4000, -13.6065425873, -2.86049032211, 0.285168945789
          0.5, -0.800000011921,            -8,             0, -3010.57910156, 515.962280273,          4000, -13.6577825546, -3.00696349144, 0.332194924355
        0.525, -0.790000021458,            -8,             0, -3014.20166016, 524.964355469,          4000, -13.7101707458, -3.15281248093, 0.379885584116
         0.55, -0.77999997139,            -8,             0, -3017.86303711, 534.170593262,          4000, -13.7637472153, -3.29800772667, 0.428249955177
        0.575, -0.769999980927,            -8,             0, -3021.56298828, 543.587768555,          4000, -13.8185510635, -3.44251847267, 0.477296888828
          0.6, -0.759999990463,            -8,             0, -3025.30102539, 553.223205566,          4000, -13.874625206, -3.58631515503, 0.527035057545
        0.625,         -0.75,            -8,             0, -3029.07592773, 563.084472656,          4000, -13.9320135117, -3.72936797142, 0.577472925186
         0.65, -0.740000009537,            -8,             0, -3032.88720703, 573.179443359,          4000, -13.9907617569, -3.8716468811, 0.62861841917
        0.675, -0.730000019073,            -8,             0, -3036.73364258, 583.516479492,          4000, -14.0509176254, -4.01312255859, 0.680479347706
          0.7, -0.72000002861,            -8,             0, -3040.61401367, 594.104248047,          4000, -14.1125335693, -4.15376567841, 0.733062922955
        0.725, -0.709999978542,            -8,             0, -3044.52685547, 604.951782227,          4000, -14.175661087, -4.29354715347, 0.786375820637
         0.75, -0.699999988079,            -8,             0, -3048.47045898, 616.068725586,          4000, -14.2403564453, -4.43243789673, 0.840424180031
        0.775, -0.689999997616,            -8,             0, -3052.44287109, 627.465026855,          4000, -14.3066778183, -4.57040882111, 0.895213544369
          0.8, -0.680000007153,            -8,             0, -3056.44189453, 639.151123047,          4000, -14.3746852875, -4.70743179321, 0.950748443604
        0.825, -0.670000016689,            -8,             0, -3060.46508789, 651.138122559,          4000, -14.4444437027, -4.84347820282, 1.00703275204
         0.85, -0.660000026226,            -8,             0, -3064.50952148,  663.43762207,          4000, -14.5160207748, -4.9785194397, 1.06406903267
        0.875, -0.649999976158,            -8,             0, -3068.57177734, 676.061645508,          4000, -14.5894870758, -5.11252832413, 1.12185907364
          0.9, -0.639999985695,            -8,             0, -3072.6484375, 689.023132324,          4000, -14.6649160385, -5.24547576904, 1.18040299416
        0.925, -0.629999995232,            -8,             0, -3076.73535156, 702.335510254,          4000, -14.7423877716, -5.3773355484, 1.23969972134
         0.95, -0.620000004768,            -8,             0, -3080.82763672, 716.012878418,          4000, -14.8219842911, -5.50807952881, 1.29974603653
        0.975, -0.610000014305,            -8,             0, -3084.92041016, 730.070251465,          4000, -14.9037914276, -5.63768100739, 1.36053752899
            1, -0.600000023842,            -8,             0, -3089.00732422, 744.523376465,          4000, -14.9879026413, -5.76611280441, 1.42206692696
        1.025, -0.589999973774,            -8,             0, -3093.08203125, 759.388793945,          4000, -15.0744123459, -5.89334821701,  1.4843249321
         1.05, -0.579999983311,            -8,             0, -3097.13720703, 774.684082031,          4000, -15.1634244919, -6.0193605423, 1.54729950428
        1.075, -0.569999992847,            -8,             0, -3101.16455078,  790.42767334,          4000, -15.2550458908, -6.1441245079, 1.61097538471
          1.1, -0.560000002384,            -8,             0, -3105.15478516, 806.639221191,          4000, -15.3493909836, -6.26761388779, 1.67533409595
        1.125, -0.550000011921,            -8,             0, -3109.09765625, 823.339355469,          4000, -15.4465789795, -6.38980293274, 1.74035310745
         1.15, -0.540000021458,            -8,             0, -3112.98144531, 840.549987793,          4000, -15.5467386246, -6.51066589355, 1.80600547791
        1.175, -0.52999997139,            -8,             0, -3116.79370117, 858.294311523,          4000, -15.6500043869, -6.63017845154, 1.87225937843
          1.2, -0.519999980927,            -8,             0, -3120.51977539, 876.596862793,          4000, -15.7565193176, -6.74831533432, 1.93907737732
        1.225, -0.509999990463,            -8,             0, -3124.14355469, 895.483703613,          4000, -15.8664340973, -6.86505222321, 2.00641584396
         1.25,          -0.5,            -8,             0, -3127.64746094, 914.982421875,          4000, -15.9799118042, -6.9803647995, 2.07422399521
        1.275, -0.490000009537,            -8,             0, -3131.01123047, 935.122497559,          4000, -16.097120285, -7.09422922134, 2.14244294167
          1.3, -0.479999989271,            -8,             0, -3134.21313477, 955.934997559,          4000, -16.2182445526, -7.20662164688, 2.21100449562
        1.325, -0.469999998808,            -8,             0, -3137.22802734, 977.453186035,          4000, -16.3434753418, -7.31751918793,  2.2798306942
         1.35, -0.460000008345,            -8,             0, -3140.02856445, 999.712341309,          4000, -16.4730205536, -7.42689847946, 2.34883117676
        1.375, -0.449999988079,            -8,             0, -3142.58374023, 1022.75006104,          4000, -16.6070957184, -7.5347366333, 2.41790270805
          1.4, -0.439999997616,            -8,             0,  -3144.859375, 1046.60644531,          4000, -16.7459373474, -7.64101171494,  2.4869260788
        1.425, -0.430000007153,            -8,             0, -3146.81689453, 1071.32434082,          4000, -16.889793396, -7.74570178986, 2.55576491356
         1.45, -0.419999986887,            -8,             0, -3148.41430664, 1096.94909668,          4000, -17.0389289856, -7.84878444672, 2.62426304817
        1.475, -0.409999996424,            -8,             0, -3149.60351562, 1123.52978516,          4000, -17.1936264038, -7.95023918152, 2.69224095345
          1.5, -0.40000000596,            -8,             0, -3150.33203125, 1151.11816406,          4000, -17.3541927338, -8.05004405975, 2.75949168205
        1.525, -0.389999985695,            -8,             0, -3150.5402832,  1179.7701416,          4000, -17.5209503174, -8.14817905426, 2.82577848434
         1.55, -0.379999995232,            -8,             0, -3150.16308594, 1209.54528809,          4000, -17.6942443848, -8.2446231842, 2.89082765579
        1.575, -0.370000004768,            -8,             0, -3149.12670898, 1240.50732422,          4000, -17.8744506836, -8.3393573761, 2.95432376862
          1.6, -0.360000014305,            -8,             0, -3147.34960938, 1272.72460938,          4000, -18.0619621277, -8.43236064911, 3.01590251923
        1.625, -0.34999999404,            -8,             0, -3144.74121094, 1306.27038574,          4000, -18.2572078705, -8.52361488342, 3.07514119148
         1.65, -0.340000003576,            -8,             0, -3141.20043945, 1341.22290039,          4000, -18.4606456757, -8.61310100555, 3.13154888153
        1.675, -0.330000013113,            -8,             0, -3136.61474609, 1377.66638184,          4000, -18.6727619171, -8.70079994202, 3.18455410004
          1.7, -0.319999992847,            -8,             0, -3130.85986328, 1415.69091797,          4000, -18.8940849304,  -8.786693573, 3.23348784447
        1.725, -0.310000002384,            -8,             0, -3123.79711914, 1455.39282227,          4000, -19.1251735687, -8.87076377869, 3.27756667137
         1.75, -0.300000011921,            -8,             0, -3115.27319336, 1496.87524414,          4000, -19.3666305542, -8.95299434662,  3.3158686161
        1.775, -0.289999991655,            -8,             0, -3105.1184082,  1540.2487793,          4000, -19.619096756, -9.03336715698,  3.3473045826
          1.8, -0.280000001192,            -8,             0, -3093.14575195, 1585.63085938,          4000, -19.8832607269, -9.11186504364,  3.3705842495
