Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,            -8,             0, -9960.32128906, 1809.95007324,         20000, -75.8577423096,             0, 10.1123085022
        0.025, -0.990000009537,            -8,             0, -9980.52148438, 1830.03430176,         20000, -76.6993713379, -4.43234634399, 10.1642093658
         0.05, -0.980000019073,            -8,             0, -10001.1425781, 1850.56091309,         20000, -77.5595245361, -8.85631942749, 10.2157497406
        0.075, -0.97000002861,            -8,             0, -10022.1962891, 1871.54418945,         20000, -78.4388122559, -13.2635612488, 10.2668657303
          0.1, -0.959999978542,            -8,             0, -10043.6962891, 1892.99926758,         20000, -79.3378601074, -17.6457462311, 10.3174858093
        0.125, -0.949999988079,            -8,             0,  -10065.65625, 1914.94165039,         20000, -80.2573242188, -21.994594574, 10.3675355911
         0.15, -0.939999997616,            -8,             0, -10088.0908203, 1937.38757324,         20000, -81.197883606, -26.3018913269, 10.4169340134
        0.175, -0.930000007153,            -8,             0, -10111.0146484, 1960.35424805,         20000, -82.1602630615, -30.5594997406, 10.4655923843
          0.2, -0.920000016689,            -8,             0, -10134.4433594,   1983.859375,         20000, -83.1451950073, -34.7593765259, 10.5134143829
        0.225, -0.910000026226,            -8,             0, -10158.3916016, 2007.92163086,         20000, -84.1534576416, -38.8935852051, 10.5602998734
         0.25, -0.899999976158,            -8,             0, -10182.8789062, 2032.56030273,         20000, -85.185874939, -42.9543151855, 10.6061353683
        0.275, -0.889999985695,            -8,             0, -10207.9199219, 2057.79589844,         20000, -86.2432937622, -46.9338989258, 10.6508016586
          0.3, -0.879999995232,            -8,             0, -10233.5351562, 2083.64941406,         20000, -87.3265914917, -50.8248176575, 10.6941699982
        0.325, -0.870000004768,            -8,             0, -10259.7412109, 2110.14306641,         20000, -88.4367141724, -54.6197166443, 10.7361001968
         0.35, -0.860000014305,            -8,             0, -10286.5595703, 2137.30053711,         20000, -89.5746307373, -58.3114318848, 10.7764387131
        0.375, -0.850000023842,            -8,             0, -10314.0097656, 2165.14575195,         20000, -90.741355896, -61.8929862976, 10.8150243759
          0.4, -0.839999973774,            -8,             0, -10342.1142578,  2193.7043457,         20000, -91.9379653931, -65.3576126099, 10.8516788483
        0.425, -0.829999983311,            -8,             0, -10370.8935547, 2223.00292969,         20000, -93.1655731201, -68.6987686157, 10.8862104416
         0.45, -0.819999992847,            -8,             0, -10400.3720703, 2253.07006836,         20000, -94.4253616333, -71.9101409912, 10.9184122086
        0.475, -0.810000002384,            -8,             0, -10430.5742188, 2283.93457031,         20000, -95.7185592651, -74.9856567383, 10.9480600357
          0.5, -0.800000011921,            -8,             0, -10461.5234375, 2315.62792969,         20000, -97.0464553833, -77.9195175171, 10.9749097824
        0.525, -0.790000021458,            -8,             0, -10493.2480469, 2348.18212891,         20000, -98.4104156494, -80.7061691284, 10.9986991882
         0.55, -0.77999997139,            -8,             0, -10525.7744141,  2381.6315918,         20000, -99.8118591309, -83.3403549194, 11.0191421509
        0.575, -0.769999980927,            -8,             0, -10559.1318359, 2416.01196289,         20000, -101.252296448, -85.8171005249, 11.0359296799
          0.6, -0.759999990463,            -8,             0, -10593.3486328, 2451.36108398,         20000, -102.733299255, -88.1317138672, 11.0487260818
        0.625,         -0.75,            -8,             0, -10628.4570312, 2487.71850586,         20000, -104.256523132, -90.279838562, 11.0571670532
         0.65, -0.740000009537,            -8,             0, -10664.4892578, 2525.12597656,         20000, -105.823722839, -92.2574081421, 11.0608577728
