Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -40,             0, 252.037918091, 1493.18994141,          2000, -52.0188522339, -10.1999931335, -0.396805614233
        0.025,             0, -39.9900016785,             0, 252.041702271, 1493.28930664,          2000, -52.022315979, -10.1999931335, -0.397130399942
         0.05,             0, -39.9799995422,             0,  252.04548645, 1493.38867188,          2000, -52.0257759094, -10.1999931335, -0.397455394268
        0.075,             0, -39.9700012207,             0, 252.049255371, 1493.48803711,          2000, -52.0292396545, -10.1999931335, -0.397780656815
          0.1,             0, -39.9599990845,             0, 252.053039551, 1493.58752441,          2000, -52.0327033997, -10.1999931335, -0.398106187582
        0.125,             0, -39.9500007629,             0, 252.056838989, 1493.68688965,          2000, -52.0361671448, -10.1999931335, -0.39843198657
         0.15,             0, -39.9399986267,             0, 252.060623169, 1493.78637695,          2000, -52.0396308899, -10.1999931335, -0.398758023977
        0.175,             0, -39.9300003052,             0, 252.064407349, 1493.88586426,          2000, -52.043094635, -10.1999931335, -0.399084329605
          0.2,             0, -39.9199981689,             0, 252.068206787, 1493.98535156,          2000, -52.0465621948, -10.1999931335, -0.399410873652
        0.225,             0, -39.9099998474,             0, 252.071990967, 1494.08483887,          2000, -52.0500259399, -10.1999931335, -0.399737685919
         0.25,             0, -39.9000015259,             0, 252.075790405, 1494.18432617,          2000, -52.0534934998, -10.1999931335, -0.400064766407
        0.275,             0, -39.8899993896,             0, 252.079589844, 1494.28381348,          2000, -52.0569572449, -10.1999931335, -0.400392085314
          0.3,             0, -39.8800010681,             0, 252.083389282, 1494.38330078,          2000, -52.0604248047, -10.1999931335, -0.400719672441
        0.325,             0, -39.8699989319,             0, 252.087188721, 1494.48278809,          2000, -52.0638923645, -10.1999931335, -0.40104752779
         0.35,             0, -39.8600006104,             0, 252.091003418, 1494.58239746,          2000, -52.0673599243, -10.1999931335, -0.401375621557
        0.375,             0, -39.8499984741,             0, 252.094802856, 1494.68188477,          2000, -52.0708274841, -10.1999931335, -0.401703983545
          0.4,             0, -39.8400001526,             0, 252.098617554, 1494.78149414,          2000, -52.0742950439, -10.1999931335, -0.402032583952
        0.425,             0, -39.8300018311,             0, 252.102416992, 1494.88098145,          2000, -52.0777626038, -10.1999931335, -0.402361482382
