Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -40,             0, 99.1246566772, 12739.6103516,         20000, -531.836853027, -101.999954224, -7.90013074875
        0.025,             0, -39.9900016785,             0, 99.1362533569,  12740.734375,         20000, -531.883361816, -101.999954224, -7.92070245743
         0.05,             0, -39.9799995422,             0, 99.1478652954, 12741.8583984,         20000, -531.929931641, -101.999954224, -7.94129276276
        0.075,             0, -39.9700012207,             0, 99.1594772339, 12742.9824219,         20000, -531.97644043, -101.999954224, -7.96190214157
          0.1,             0, -39.9599990845,             0, 99.1710968018, 12744.1064453,         20000, -532.023010254, -101.999954224, -7.98253059387
        0.125,             0, -39.9500007629,             0,  99.182723999, 12745.2314453,         20000, -532.069580078, -101.999954224, -8.00317764282
         0.15,             0, -39.9399986267,             0, 99.1943511963, 12746.3554688,         20000, -532.116149902, -101.999954224, -8.02384471893
        0.175,             0, -39.9300003052,             0, 99.2059860229, 12747.4804688,         20000, -532.162780762, -101.999954224, -8.04452991486
          0.2,             0, -39.9199981689,             0,  99.217628479, 12748.6064453,         20000, -532.209350586, -101.999954224, -8.06523513794
        0.225,             0, -39.9099998474,             0, 99.2292785645, 12749.7314453,         20000, -532.255981445, -101.999954224, -8.08595943451
         0.25,             0, -39.9000015259,             0, 99.2409286499, 12750.8574219,         20000, -532.30255127, -101.999954224, -8.10670185089
        0.275,             0, -39.8899993896,             0, 99.2525863647, 12751.9833984,         20000, -532.349182129, -101.999954224, -8.12746429443
          0.3,             0, -39.8800010681,             0,  99.264251709,  12753.109375,         20000, -532.395812988, -101.999954224, -8.14824581146
        0.325,             0, -39.8699989319,             0, 99.2759246826, 12754.2363281,         20000, -532.442504883, -101.999954224, -8.16904640198
         0.35,             0, -39.8600006104,             0, 99.2875976562, 12755.3632812,         20000, -532.489135742, -101.999954224, -8.18986606598
        0.375,             0, -39.8499984741,             0, 99.2992782593, 12756.4902344,         20000, -532.535827637, -101.999954224, -8.21070575714
          0.4,             0, -39.8400001526,             0, 99.3109664917, 12757.6171875,         20000, -532.582519531, -101.999954224, -8.23156356812
        0.425,             0, -39.8300018311,             0, 99.3226623535, 12758.7441406,         20000, -532.629211426, -101.999954224, -8.25244140625
         0.45,             0, -39.8199996948,             0, 99.3343582153, 12759.8720703,         20000, -532.67590332, -101.999954224, -8.27333831787
        0.475,             0, -39.8100013733,             0, 99.3460617065,         12761,         20000, -532.722595215, -101.999954224, -8.29425430298
          0.5,             0, -39.7999992371,             0, 99.3577728271, 12762.1289062,         20000, -532.769287109, -101.999954224, -8.31518936157
        0.525,             0, -39.7900009155,             0, 99.3694915771, 12763.2568359,         20000, -532.816040039, -101.999954224, -8.33614444733
         0.55,             0, -39.7799987793,             0, 99.3812103271, 12764.3857422,         20000, -532.862792969, -101.999954224, -8.35711860657
        0.575,             0, -39.7700004578,             0, 99.3929367065, 12765.5146484,         20000, -532.909545898, -101.999954224, -8.37811183929
          0.6,             0, -39.7599983215,             0, 99.4046707153, 12766.6435547,         20000, -532.956298828, -101.999954224, -8.39912414551
        0.625,             0,        -39.75,             0, 99.4164047241, 12767.7734375,         20000, -533.003051758, -101.999954224, -8.42015647888
         0.65,             0, -39.7400016785,             0, 99.4281539917, 12768.9023438,         20000, -533.049804688, -101.999954224, -8.44120788574
        0.675,             0, -39.7299995422,             0, 99.4399032593, 12770.0322266,         20000, -533.096618652, -101.999954224, -8.46227931976
          0.7,             0, -39.7200012207,             0, 99.4516601562, 12771.1630859,         20000, -533.143432617, -101.999954224, -8.48336982727
        0.725,             0, -39.7099990845,             0, 99.4634170532, 12772.2929688,         20000, -533.190185547, -101.999954224, -8.50447940826
         0.75,             0, -39.7000007629,             0, 99.4751815796, 12773.4238281,         20000, -533.237060547, -101.999954224, -8.52560901642
        0.775,             0, -39.6899986267,             0, 99.4869613647, 12774.5546875,         20000, -533.283874512, -101.999954224, -8.54675769806
          0.8,             0, -39.6800003052,             0, 99.4987335205, 12775.6855469,         20000, -533.330688477, -101.999954224, -8.56792545319
        0.825,             0, -39.6699981689,             0, 99.5105209351, 12776.8173828,         20000, -533.377563477, -101.999954224, -8.58911418915
         0.85,             0, -39.6599998474,             0, 99.5223083496, 12777.9482422,         20000, -533.424377441, -101.999954224, -8.61032104492
        0.875,             0, -39.6500015259,             0, 99.5341033936, 12779.0800781,         20000, -533.471252441, -101.999954224, -8.63154792786
          0.9,             0, -39.6399993896,             0, 99.5459060669, 12780.2128906,         20000, -533.518127441, -101.999954224, -8.65279483795
        0.925,             0, -39.6300010681,             0, 99.5577163696, 12781.3447266,         20000, -533.565002441, -101.999954224, -8.67406082153
         0.95,             0, -39.6199989319,             0, 99.5695266724, 12782.4775391,         20000, -533.611938477, -101.999954224, -8.6953458786
        0.975,             0, -39.6100006104,             0, 99.5813446045, 12783.6103516,         20000, -533.658813477, -101.999954224, -8.71665096283
            1,             0, -39.5999984741,             0,  99.593170166, 12784.7431641,         20000, -533.705749512, -101.999954224, -8.73797607422
        1.025,             0, -39.5900001526,             0, 99.6050033569, 12785.8769531,         20000, -533.752685547, -101.999954224, -8.75932025909
         1.05,             0, -39.5800018311,             0, 99.6168365479, 12787.0097656,         20000, -533.799621582, -101.999954224, -8.78068447113
        1.075,             0, -39.5699996948,             0, 99.6286773682, 12788.1435547,         20000, -533.846557617, -101.999954224, -8.80206871033
          1.1,             0, -39.5600013733,             0, 99.6405258179, 12789.2783203,         20000, -533.893493652, -101.999954224, -8.82347202301
        1.125,             0, -39.5499992371,             0, 99.6523742676, 12790.4121094,         20000, -533.940490723, -101.999954224, -8.84489536285
         1.15,             0, -39.5400009155,             0, 99.6642379761,  12791.546875,         20000, -533.987426758, -101.999954224, -8.86633872986
        1.175,             0, -39.5299987793,             0, 99.6761016846, 12792.6816406,         20000, -534.034423828, -101.999954224, -8.88780117035
          1.2,             0, -39.5200004578,             0, 99.6879730225, 12793.8164062,         20000, -534.081420898, -101.999954224,  -8.909283638
        1.225,             0, -39.5099983215,             0, 99.6998519897, 12794.9511719,         20000, -534.128417969, -101.999954224, -8.93078517914
         1.25,             0,         -39.5,             0,  99.711730957, 12796.0869141,         20000, -534.175476074, -101.999954224, -8.95230770111
        1.275,             0, -39.4900016785,             0, 99.7236175537, 12797.2226562,         20000, -534.222473145, -101.999954224, -8.97384929657
          1.3,             0, -39.4799995422,             0, 99.7355117798, 12798.3583984,         20000, -534.26953125, -101.999954224, -8.99541091919
        1.325,             0, -39.4700012207,             0, 99.7474136353, 12799.4951172,         20000, -534.316589355, -101.999954224, -9.01699256897
         1.35,             0, -39.4599990845,             0, 99.7593154907, 12800.6308594,         20000, -534.363647461, -101.999954224, -9.03859424591
        1.375,             0, -39.4500007629,             0,  99.771232605, 12801.7675781,         20000, -534.410705566, -101.999954224, -9.06021499634
          1.4,             0, -39.4399986267,             0, 99.7831497192, 12802.9052734,         20000, -534.457763672, -101.999954224, -9.08185577393
        1.425,             0, -39.4300003052,             0, 99.7950668335, 12804.0419922,         20000, -534.504821777, -101.999954224, -9.10351753235
         1.45,             0, -39.4199981689,             0, 99.8069992065, 12805.1796875,         20000, -534.551940918, -101.999954224, -9.12519836426
        1.475,             0, -39.4099998474,             0, 99.8189315796, 12806.3173828,         20000, -534.599060059, -101.999954224, -9.14689922333
          1.5,             0, -39.4000015259,             0,  99.830871582, 12807.4550781,         20000, -534.646179199, -101.999954224, -9.16862010956
        1.525,             0, -39.3899993896,             0, 99.8428192139, 12808.5927734,         20000, -534.69329834, -101.999954224, -9.19036102295
         1.55,             0, -39.3800010681,             0, 99.8547744751, 12809.7314453,         20000, -534.74041748, -101.999954224, -9.21212100983
        1.575,             0, -39.3699989319,             0, 99.8667297363, 12810.8701172,         20000, -534.787597656, -101.999954224, -9.23390197754
          1.6,             0, -39.3600006104,             0,  99.878692627, 12812.0087891,         20000, -534.834716797, -101.999954224, -9.25570297241
        1.625,             0, -39.3499984741,             0,  99.890663147, 12813.1484375,         20000, -534.881896973, -101.999954224, -9.27752399445
         1.65,             0, -39.3400001526,             0, 99.9026412964, 12814.2871094,         20000, -534.929077148, -101.999954224, -9.29936504364
        1.675,             0, -39.3300018311,             0, 99.9146194458, 12815.4267578,         20000, -534.976257324, -101.999954224,   -9.32122612
          1.7,             0, -39.3199996948,             0,  99.926612854, 12816.5673828,         20000,  -535.0234375, -101.999954224, -9.34310722351
        1.725,             0, -39.3100013733,             0, 99.9386062622, 12817.7070312,         20000, -535.070678711, -101.999954224, -9.36500835419
         1.75,             0, -39.2999992371,             0, 99.9505996704, 12818.8476562,         20000, -535.117858887, -101.999954224, -9.38692951202
        1.775,             0, -39.2900009155,             0, 99.9626083374, 12819.9882812,         20000, -535.165100098, -101.999954224, -9.40887069702
          1.8,             0, -39.2799987793,             0, 99.9746170044, 12821.1289062,         20000, -535.212341309, -101.999954224, -9.43083286285
        1.825,             0, -39.2700004578,             0, 99.9866333008, 12822.2695312,         20000, -535.25958252, -101.999954224, -9.45281410217
         1.85,             0, -39.2599983215,             0, 99.9986572266, 12823.4111328,         20000, -535.30682373, -101.999954224, -9.47481632233
        1.875,             0,        -39.25,             0, 100.010688782, 12824.5527344,         20000, -535.354064941, -101.999954224, -9.49683856964
          1.9,             0, -39.2400016785,             0, 100.022720337, 12825.6943359,         20000, -535.401367188, -101.999954224, -9.51888084412
        1.925,             0, -39.2299995422,             0, 100.034759521, 12826.8359375,         20000, -535.448669434, -101.999954224, -9.54094314575
         1.95,             0, -39.2200012207,             0, 100.046806335, 12827.9785156,         20000, -535.49597168, -101.999954224, -9.56302642822
        1.975,             0, -39.2099990845,             0, 100.058860779, 12829.1210938,         20000, -535.543273926, -101.999954224, -9.58512973785
            2,             0, -39.2000007629,             0, 100.070922852, 12830.2636719,         20000, -535.590576172, -101.999954224, -9.60725307465
        2.025,             0, -39.1899986267,             0, 100.082984924, 12831.4072266,         20000, -535.637878418, -101.999954224, -9.6293964386
         2.05,             0, -39.1800003052,             0, 100.095054626, 12832.5498047,         20000, -535.685241699, -101.999954224, -9.65156078339
        2.075,             0, -39.1699981689,             0, 100.107131958, 12833.6933594,         20000, -535.732543945, -101.999954224, -9.67374515533
          2.1,             0, -39.1599998474,             0, 100.119216919, 12834.8369141,         20000, -535.779907227, -101.999954224, -9.69594955444
        2.125,             0, -39.1500015259,             0,  100.13130188, 12835.9814453,         20000, -535.827270508, -101.999954224, -9.71817493439
         2.15,             0, -39.1399993896,             0,  100.14339447,     12837.125,         20000, -535.874633789, -101.999954224, -9.74042034149
        2.175,             0, -39.1300010681,             0,  100.15549469, 12838.2695312,         20000, -535.922058105, -101.999954224, -9.76268672943
          2.2,             0, -39.1199989319,             0, 100.167602539, 12839.4150391,         20000, -535.969421387, -101.999954224, -9.78497314453
        2.225,             0, -39.1100006104,             0, 100.179710388, 12840.5595703,         20000, -536.016845703, -101.999954224, -9.80727958679
         2.25,             0, -39.0999984741,             0, 100.191833496, 12841.7050781,         20000, -536.06427002, -101.999954224, -9.82960700989
        2.275,             0, -39.0900001526,             0, 100.203956604, 12842.8505859,         20000, -536.111694336, -101.999954224, -9.85195541382
          2.3,             0, -39.0800018311,             0, 100.216087341, 12843.9960938,         20000, -536.159118652, -101.999954224, -9.87432384491
        2.325,             0, -39.0699996948,             0, 100.228225708, 12845.1416016,         20000, -536.206542969, -101.999954224, -9.89671230316
         2.35,             0, -39.0600013733,             0, 100.240364075, 12846.2880859,         20000, -536.25402832, -101.999954224, -9.91912174225
        2.375,             0, -39.0499992371,             0, 100.252510071, 12847.4345703,         20000, -536.301452637, -101.999954224, -9.9415512085
          2.4,             0, -39.0400009155,             0, 100.264663696, 12848.5810547,         20000, -536.348937988, -101.999954224, -9.96400165558
        2.425,             0, -39.0299987793,             0, 100.276824951, 12849.7275391,         20000, -536.39642334, -101.999954224, -9.9864730835
         2.45,             0, -39.0200004578,             0, 100.288993835,     12850.875,         20000, -536.443908691, -101.999954224, -10.0089645386
        2.475,             0, -39.0099983215,             0,  100.30116272, 12852.0224609,         20000, -536.491394043, -101.999954224, -10.0314769745
          2.5,             0,           -39,             0, 100.313339233, 12853.1699219,         20000, -536.53894043, -101.999954224, -10.0540094376
        2.525,             0, -38.9900016785,             0, 100.325523376, 12854.3173828,         20000, -536.586486816, -101.999954224, -10.0765638351
         2.55,             0, -38.9799995422,             0, 100.337715149, 12855.4658203,         20000, -536.633972168, -101.999954224, -10.0991373062
        2.575,             0, -38.9700012207,             0, 100.349914551, 12856.6142578,         20000, -536.681518555, -101.999954224, -10.1217327118
          2.6,             0, -38.9599990845,             0, 100.362113953, 12857.7626953,         20000, -536.729064941, -101.999954224, -10.1443481445
        2.625,             0, -38.9500007629,             0, 100.374320984, 12858.9111328,         20000, -536.776672363, -101.999954224, -10.1669845581
         2.65,             0, -38.9399986267,             0, 100.386535645, 12860.0605469,         20000, -536.82421875, -101.999954224, -10.1896419525
        2.675,             0, -38.9300003052,             0, 100.398757935, 12861.2099609,         20000, -536.871826172, -101.999954224, -10.2123193741
          2.7,             0, -38.9199981689,             0, 100.410987854,  12862.359375,         20000, -536.919372559, -101.999954224, -10.2350177765
        2.725,             0, -38.9099998474,             0, 100.423217773, 12863.5087891,         20000, -536.96697998, -101.999954224, -10.2577371597
         2.75,             0, -38.9000015259,             0, 100.435455322, 12864.6591797,         20000, -537.014587402, -101.999954224, -10.2804775238
        2.775,             0, -38.8899993896,             0,   100.4477005, 12865.8095703,         20000, -537.062255859, -101.999954224, -10.3032388687
          2.8,             0, -38.8800010681,             0, 100.459953308, 12866.9599609,         20000, -537.109863281, -101.999954224, -10.3260202408
        2.825,             0, -38.8699989319,             0, 100.472206116, 12868.1103516,         20000, -537.157531738, -101.999954224, -10.3488235474
         2.85,             0, -38.8600006104,             0, 100.484474182, 12869.2617188,         20000, -537.20513916, -101.999954224, -10.3716468811
        2.875,             0, -38.8499984741,             0, 100.496742249, 12870.4130859,         20000, -537.252807617, -101.999954224, -10.3944911957
          2.9,             0, -38.8400001526,             0, 100.509017944, 12871.5644531,         20000, -537.300476074, -101.999954224, -10.4173564911
        2.925,             0, -38.8300018311,             0,  100.52129364, 12872.7158203,         20000, -537.348205566, -101.999954224, -10.4402427673
         2.95,             0, -38.8199996948,             0, 100.533584595, 12873.8681641,         20000, -537.395874023, -101.999954224, -10.4631509781
        2.975,             0, -38.8100013733,             0, 100.545875549, 12875.0205078,         20000, -537.44354248, -101.999954224, -10.486079216
            3,             0, -38.7999992371,             0, 100.558174133, 12876.1728516,         20000, -537.491271973, -101.999954224, -10.5090284348
        3.025,             0, -38.7900009155,             0, 100.570480347, 12877.3251953,         20000, -537.539001465, -101.999954224, -10.5319986343
         3.05,             0, -38.7799987793,             0, 100.582794189, 12878.4785156,         20000, -537.586730957, -101.999954224, -10.5549898148
        3.075,             0, -38.7700004578,             0, 100.595108032, 12879.6318359,         20000, -537.634460449, -101.999954224, -10.578001976
          3.1,             0, -38.7599983215,             0, 100.607437134, 12880.7851562,         20000, -537.682250977, -101.999954224, -10.6010351181
        3.125,             0,        -38.75,             0, 100.619766235, 12881.9384766,         20000, -537.729980469, -101.999954224, -10.6240901947
         3.15,             0, -38.7400016785,             0, 100.632102966, 12883.0927734,         20000, -537.777770996, -101.999954224, -10.6471652985
        3.175,             0, -38.7299995422,             0, 100.644447327, 12884.2460938,         20000, -537.825561523, -101.999954224, -10.6702623367
          3.2,             0, -38.7200012207,             0, 100.656791687, 12885.4013672,         20000, -537.873352051, -101.999954224, -10.6933803558
        3.225,             0, -38.7099990845,             0, 100.669143677, 12886.5556641,         20000, -537.921142578, -101.999954224, -10.7165184021
         3.25,             0, -38.7000007629,             0, 100.681510925, 12887.7109375,         20000, -537.968933105, -101.999954224, -10.7396793365
        3.275,             0, -38.6899986267,             0, 100.693878174, 12888.8652344,         20000, -538.016784668, -101.999954224, -10.7628602982
          3.3,             0, -38.6800003052,             0, 100.706245422, 12890.0205078,         20000, -538.064575195, -101.999954224, -10.7860622406
        3.325,             0, -38.6699981689,             0,  100.71862793, 12891.1767578,         20000, -538.112426758, -101.999954224, -10.8092861176
         3.35,             0, -38.6599998474,             0, 100.731010437, 12892.3320312,         20000, -538.16027832, -101.999954224, -10.8325309753
        3.375,             0, -38.6500015259,             0, 100.743408203, 12893.4882812,         20000, -538.208129883, -101.999954224, -10.8557977676
          3.4,             0, -38.6399993896,             0, 100.755805969, 12894.6445312,         20000, -538.25604248, -101.999954224, -10.8790845871
        3.425,             0, -38.6300010681,             0, 100.768203735, 12895.8017578,         20000, -538.303894043, -101.999954224, -10.9023933411
         3.45,             0, -38.6199989319,             0,  100.78061676, 12896.9580078,         20000, -538.351806641, -101.999954224, -10.9257240295
        3.475,             0, -38.6100006104,             0, 100.793037415, 12898.1152344,         20000, -538.399719238, -101.999954224, -10.9490747452
          3.5,             0, -38.5999984741,             0, 100.805458069, 12899.2724609,         20000, -538.447631836, -101.999954224, -10.972448349
        3.525,             0, -38.5900001526,             0, 100.817886353, 12900.4296875,         20000, -538.495544434, -101.999954224,  -10.99584198
         3.55,             0, -38.5800018311,             0, 100.830322266, 12901.5878906,         20000, -538.543457031, -101.999954224, -11.0192575455
        3.575,             0, -38.5699996948,             0, 100.842758179, 12902.7460938,         20000, -538.591369629, -101.999954224, -11.0426940918
          3.6,             0, -38.5600013733,             0, 100.855209351, 12903.9042969,         20000, -538.639343262, -101.999954224, -11.0661525726
        3.625,             0, -38.5499992371,             0, 100.867660522,    12905.0625,         20000, -538.687316895, -101.999954224, -11.0896320343
         3.65,             0, -38.5400009155,             0, 100.880119324, 12906.2216797,         20000, -538.735290527, -101.999954224, -11.1131334305
        3.675,             0, -38.5299987793,             0, 100.892585754, 12907.3808594,         20000, -538.78326416, -101.999954224, -11.1366558075
          3.7,             0, -38.5200004578,             0, 100.905059814, 12908.5400391,         20000, -538.831237793, -101.999954224, -11.160200119
