Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -40,             0, 4.38180137508e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
        0.025,             0, -39.9900016785,             0, 4.38335234776e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
         0.05,             0, -39.9799995422,             0, 4.38490360466e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
        0.075,             0, -39.9700012207,             0, 4.38646310386e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
          0.1,             0, -39.9599990845,             0, 4.38801407654e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
        0.125,             0, -39.9500007629,             0, 4.38957357574e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
         0.15,             0, -39.9399986267,             0, 4.39113279072e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
        0.175,             0, -39.9300003052,             0, 4.39268404762e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
          0.2,             0, -39.9199981689,             0, 4.3942432626e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
        0.225,             0, -39.9099998474,             0, 4.39580276179e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
         0.25,             0, -39.9000015259,             0, 4.39736197677e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
        0.275,             0, -39.8899993896,             0, 4.39892119175e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
          0.3,             0, -39.8800010681,             0, 4.40048069095e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
        0.325,             0, -39.8699989319,             0, 4.40204814822e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
         0.35,             0, -39.8600006104,             0, 4.4036073632e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
        0.375,             0, -39.8499984741,             0, 4.4051668624e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
          0.4,             0, -39.8400001526,             0, 4.40673431967e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
        0.425,             0, -39.8300018311,             0, 4.40829353465e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
         0.45,             0, -39.8199996948,             0, 4.40986127614e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
        0.475,             0, -39.8100013733,             0, 4.41142873342e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
          0.5,             0, -39.7999992371,             0, 4.41299619069e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
        0.525,             0, -39.7900009155,             0, 4.41455540567e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
         0.55,             0, -39.7799987793,             0, 4.41612314717e-07, 3676.76660156,          6000, -286.694976807, -39.7799987793, -1.70510029793
