Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,            -6,             0, -10048.0566406, 1525.42285156,         20000, -63.9342880249,             0, 8.56783771515
        0.025, -0.990000009537,            -6,             0, -10070.1035156, 1542.33129883,         20000, -64.6428756714, -4.45137405396, 8.61226177216
         0.05, -0.980000019073,            -6,             0, -10092.6279297, 1559.61206055,         20000, -65.3670654297, -8.89426612854, 8.65639781952
        0.075, -0.97000002861,            -6,             0, -10115.6455078, 1577.27734375,         20000, -66.1073684692, -13.3202114105, 8.70018959045
          0.1, -0.959999978542,            -6,             0, -10139.1708984, 1595.33972168,         20000, -66.8643112183, -17.7207756042, 8.74357891083
        0.125, -0.949999988079,            -6,             0, -10163.2216797,     1613.8125,         20000, -67.6384506226, -22.0875720978, 8.78650188446
         0.15, -0.939999997616,            -6,             0, -10187.8134766, 1632.70935059,         20000, -68.4303588867, -26.4122848511,  8.8288898468
        0.175, -0.930000007153,            -6,             0, -10212.9658203,  1652.0447998,         20000, -69.2406311035, -30.686668396, 8.87066841125
          0.2, -0.920000016689,            -6,             0, -10238.6953125, 1671.83361816,         20000, -70.0699081421, -34.9025802612,  8.9117565155
        0.225, -0.910000026226,            -6,             0, -10265.0224609, 1692.09155273,         20000, -70.9188461304, -39.051990509, 8.95206737518
         0.25, -0.899999976158,            -6,             0, -10291.9667969, 1712.83496094,         20000, -71.7881164551, -43.1269874573, 8.99150657654
        0.275, -0.889999985695,            -6,             0, -10319.5488281, 1734.08117676,         20000, -72.6784515381, -47.119808197, 9.02997207642
          0.3, -0.879999995232,            -6,             0, -10347.7919922, 1755.84790039,         20000, -73.5905914307, -51.0228462219, 9.06735420227
        0.325, -0.870000004768,            -6,             0, -10376.7167969, 1778.15393066,         20000, -74.5253295898, -54.8286590576, 9.10353374481
         0.35, -0.860000014305,            -6,             0, -10406.3496094,  1801.0189209,         20000, -75.4834899902, -58.530002594, 9.13838100433
        0.375, -0.850000023842,            -6,             0, -10436.7128906, 1824.46337891,         20000, -76.465927124, -62.1198234558, 9.17175674438
          0.4, -0.839999973774,            -6,             0, -10467.8330078,  1848.5090332,         20000, -77.4735412598, -65.5912780762, 9.20351028442
        0.425, -0.829999983311,            -6,             0, -10499.7382812, 1873.17834473,         20000, -78.5072860718, -68.9377441406, 9.23347663879
