Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,             0,             0, -27657.6132812, -24.5665187836,         60000, 0.324116587639,             0, -0.463446736336
        0.025, -0.990000009537,             0,             0, -27722.5449219, -24.8704051971,         60000, 0.32812589407, -13.2528018951, -0.468697309494
         0.05, -0.980000019073,             0,             0, -27788.9003906, -25.1817855835,         60000, 0.332234054804, -26.4807319641, -0.474062651396
        0.075, -0.97000002861,             0,             0, -27856.7265625, -25.5009346008,         60000, 0.336444705725, -39.6589698792, -0.479546278715
          0.1, -0.959999978542,             0,             0, -27926.0722656, -25.8281364441,         60000, 0.340761631727, -52.7627830505, -0.485151946545
        0.125, -0.949999988079,             0,             0, -27996.9863281, -26.1636924744,         60000, 0.345188766718, -65.767578125, -0.490883469582
         0.15, -0.939999997616,             0,             0, -28069.5214844, -26.5079193115,         60000, 0.349730312824, -78.6489562988, -0.496744930744
        0.175, -0.930000007153,             0,             0, -28143.7304688, -26.8611469269,         60000, 0.354390591383, -91.3827362061, -0.502740442753
          0.2, -0.920000016689,             0,             0, -28219.6699219, -27.2237224579,         60000, 0.359174191952, -103.945022583, -0.508874356747
        0.225, -0.910000026226,             0,             0, -28297.3984375, -27.5960121155,         60000, 0.364085972309, -116.31224823, -0.515151202679
         0.25, -0.899999976158,             0,             0, -28376.9804688, -27.9783992767,         60000, 0.369130939245, -128.461196899, -0.521575629711
        0.275, -0.889999985695,             0,             0, -28458.4765625, -28.3712863922,         60000, 0.37431448698, -140.36907959, -0.528152525425
          0.3, -0.879999995232,             0,             0, -28541.9570312, -28.775100708,         60000, 0.379642188549, -152.013534546, -0.53488701582
        0.325, -0.870000004768,             0,             0, -28627.4902344, -29.1902885437,         60000, 0.385119915009, -163.37272644, -0.541784286499
         0.35, -0.860000014305,             0,             0, -28715.1484375, -29.6173229218,         60000, 0.390753954649, -174.425323486, -0.548849880695
        0.375, -0.850000023842,             0,             0, -28805.0117188, -30.0566997528,         60000, 0.396550863981, -185.150604248, -0.55608946085
          0.4, -0.839999973774,             0,             0,  -28897.15625, -30.5089435577,         60000, 0.40251749754, -195.528411865, -0.563509047031
        0.425, -0.829999983311,             0,             0, -28991.6699219, -30.9746112823,         60000,  0.4086612463, -205.539291382, -0.571114718914
         0.45, -0.819999992847,             0,             0, -29088.6386719, -31.454284668,         60000, 0.414989769459, -215.16444397, -0.578912973404
        0.475, -0.810000002384,             0,             0,  -29188.15625, -31.9485816956,         60000, 0.421511262655, -224.38583374, -0.586910486221
